ID,Author,Title,Year
LLOSM,Dan Edward Lloyd,Simple Minds,1989
CLAMPC,Andy Clark,"Microcognition: Philosophy, Cognitive Science, and Parallel Distributed Processing",1989
STETRT,Kim Sterelny,The Representational Theory of Mind: An Introduction,1990
HORCAT-4,Terence Horgan and John Tienson,Connectionism and the Philosophy of Psychology,1996
RAMPAC-2,William Ramsey and Stephen P. Stich and D. M. Rumelhart,Philosophy and Connectionist Theory,1991
AYDLOT-2,Murat Aydede,The Language of Thought Hypothesis,2010
STEC,Kim Sterelny,Connectionism,1990
MILDLA-10,"Rapha\""{e}l Milli\`{e}re",Deep Learning and Synthetic Media,2022
NADNCM,L. Nadel,"Neural Connections, Mental Computations",1989
HORCAT-3,Terence E. Horgan and John L. Tienson,Connectionism and the Philosophy of Mind,1991
CHUOTN-2,Paul M. Churchland,On the Nature of Theories: A Neurocomputational Perspective,1989
HUMISW,Glyn W. Humphreys,2. Information Processing Systems Which Embody Computational Rules: The Connectionist Approach,1986
ANDTNT-2,John R. Anderson and Christian Lebiere,The Newell Test for a Theory of Cognition,2003
THACAE,Paul Thagard,Connectionism and Epistemology: Goldman on Winner-Take-All Networks,1989
CLACCA,Andy Clark,"Connectionism, Competence and Explanation",1990
MACCDO,Cynthia MacDonald and Graham MacDonald,Connectionism: Debates on Psychological Explanation,1991
CUMCCA,Robert C. Cummins and Georg Schwarz,"Connectionism, Computation, and Cognition",1991
SHAACM,Benny Shanon,Are Connectionist Models Cognitive?,1992
OPIHDC,Gerard O'Brien and Jonathan Opie,How Do Connectionist Networks Compute?,2006
COPOAT-2,Jack Copeland and Diane Proudfoot,On Alan Turing's Anticipation of Connectionism,1996
CHUNRA-2,Patricia S. Churchland and Terrence J. Sejnowski,Neural Representation and Neural Computation,1989
CHUNRA,Patricia S. Churchland and Terrence J. Sejnowski,Neural Representation and Neural Computation,1989
CHUOTN,Paul M. Churchland,On the Nature of Explanation: A Pdp Approach,1989
DAVCMA-2,Martin Davies,"Connectionism, Modularity, and Tacit Knowledge",1989
PLETUS-2,Alessio Plebe and Giorgio Grasso,The Unbearable Shallow Understanding of Deep Learning,2019
BECCAR,William Bechtel,Connectionism and Rules and Representation Systems: Are They Compatible?,1988
LLOPDP,Dan Lloyd,Parallel Distributed Processing and Cognition: Only Connect?,1989
COLFTG,Mark Collier,Filling the Gaps: Hume and Connectionism on the Continued Existence of Unperceived Objects,1999
CLAMCA,Andy Clark,Microfunctionalism: Connectionism and the Scientific Explanation of Mental States,1989
LYCHFM,William G. Lycan,Homuncular Functionalism Meets Pdp,1991
Carpintero1995-GARTPI,Manuel Garc\'{i}a{-}Carpintero,The Philosophical Import of Connectionism: A Critical Notice of Andy Clark's Associative Engines,1995
