ID,Author,Title,Year
POLNM-3,Thomas W. Polger,Natural Minds,2004
FIGPOM,Carrie Figdor,Pieces of Mind: The Proper Domain of Psychological Predicates,2018
PAVPS-3,Carlotta Pavese,Practical Senses,2015
DRATPD-2,Zoe Drayson,The Personal/Subpersonal Distinction,2014
DEJLAK,Hanne De Jaegher,Loving and Knowing: Reflections for an Engaged Epistemology,2019
COLETE-3,Giovanna Colombetti and Tom Roberts,Extending the Extended Mind: The Case for Extended Affectivity,2015
NAASRF-3,Hichem Naar,Subject-Relative Reasons for Love,2017
MACLAP-5,Edouard Machery and Christopher Grau and Cynthia L. Pury,Love and Power: Grau and Pury (2014) as a Case Study in the Challenges of X-Phi Replication,2020
BAROS-4,Gary Bartlett,Occurrent States,2018
MLLIDO-2,"Jean Moritz M\""{u}ller",In Defense of the Content-Priority View of Emotion,forthcoming
PALLCA-2,S. Orestis Palermos,"Loops, Constitution and Cognitive Extension",2014
FRIRAA-2,Jane Friedman,Rational Agnosticism and Degrees of Belief,2013
ENGNAA,Bart Engelen and Thomas Nys,Nudging and Autonomy: Analyzing and Alleviating the Worries,2020
BLSFHA,"Claudia Bl\""{o}ser and Titus Stahl",Fundamental Hope and Practical Identity,2017
SPAMNA-2,Shannon Spaulding,Mirror Neurons and Social Cognition,2013
MADSPA-4,Alex Madva and Michael Brownstein,"Stereotypes, Prejudice, and the Taxonomy of the Implicit Social Mind",2016
ELPIBO,Andreas Elpidorou,Is Boredom One or Many? A Functional Solution to the Problem of Heterogeneity,2020
SABEPA-5,Coninx Sabrina,Experiencing Pain: A Scientific Enigma and its Philosophical Solution,2020
FIGWAW,Carrie Figdor,"What Are We Talking About When We Talk About Cognition?: Human, Cybernetic, and Phylogenetic Conceptual Schemes (1st edition)",2023
WESCPO-2,Mason Westfall,Constructing Persons: On the Personal?Subpersonal Distinction,2024
MORTIO-40,Adam Morton,The Importance of Being Understood: Folk Psychology as Ethics,2002
HATVRP,Anthony Hatzimoysis,Valent Representation: Problems and Prospects,2024
OVEMAH,Karenleigh Overmann and Thomas Wynn,Materiality and Human Cognition,2019
WINITP,Mark Windsor,Imagining the Past of the Present,forthcoming
KNOPAD,Joshua Knobe,Philosophers Are Doing Something Different Now: Quantitative Data,2015
HORHRA-3,David Horst,How Reasoning Aims at Truth,2021
NEUATI-5,Jerome Neu,A Tear is an Intellectual Thing: The Meanings of Emotion,2000
SALTGA-6,Pietro Salis,The Given and the Hard Problem of Content,2024
JENTSO-6,Carolyn Dicey Jennings,The Subject of Attention,2012
PALEKA,Spyrion Orestis Palermos and Duncan Pritchard,Extended Knowledge and Social Epistemology,2013
BUCP-12,Andrei A. Buckareff,Pantheism,2022
MANATO-8,Eric Mandelbaum,Associationist Theories of Thought,2015
HUTTNP-2,Daniel D. Hutto,The Narrative Practice Hypothesis: Origins and Applications of Folk Psychology,2007
GOOTOI-4,Rachel Goodman,Trading on Identity and Singular Thought,2022
Taylor2018-CAVNRA,Dan Cavedon{-}Taylor,"Na\""{i}ve Realism and the Cognitive Penetrability of Perception",2018
FUSDAI,Riccardo Fusaroli and Joanna Raczaszek{-}Leonardi and Kristian Tyl\'{e}n,Dialog as Interpersonal Synergy,2013
KRSOTF,Vladimir Krsti\'c,On the Function of Self-Deception,2021
GALMEE,Shaun Gallagher and Matthew Bower,Making Enactivism Even More Embodied,2013
ELGOOO,Adam Elga,On Overrating Oneself... And Knowing It,2005
MENEAE-2,Dina Mendon\c{c}a,Emotions About Emotions,2013
BRUEAA-2,Brian Bruya,Effortless Attention: A New Perspective in the Cognitive Science of Attention and Action,2010
