ID,Author,Title,Year
DUHTAA,Pierre Maurice Marie Duhem,The Aim and Structure of Physical Theory,1954
LEBDAO,Baptiste Le Bihan and James Read,Duality and Ontology,2018
IOANLA,Stavros Ioannidis and Vassilis Livanios and Stathis Psillos,"No Laws and (Thin) Powers in, No (Governing) Laws Out",2021
CARRAS-3,Rudolf Carnap,Replies and Systematic Expositions,1963
WILCRI-3,Alastair Wilson,Counterpossible Reasoning in Physics,2021
ALLPAP-18,Valia Allori and Sheldon Goldstein and Roderich Tumulka and Nino Zangh\`i,Predictions and Primitive Ontology in Quantum Foundations: A Study of Examples,2014
JACIDO-8,Caspar Jacobs,In Defence of Dimensions,forthcoming
SEUJTS,Park Seungbae,Justifying the Special Theory of Relativity with Unconceived Methods,2018
JHAOTC,Aditya Jha and Douglas Campbell and Clemency Montelle and Phillip L. Wilson,On the Continuum Fallacy: Is Temperature a Continuous Function?,2023
DOUBHT-3,John Dougherty and Craig Callender,Black Hole Thermodynamics: More Than an Analogy?,
HOWWMA,Don Howard,What Makes a Classical Concept Classical? Toward a Reconstruction of Niels Bohr's Philosophy of Physics,1994
BELWDW,Gordon Belot,Whose Devil? Which Details?,2005
MAXISN,Nicholas Maxwell,Is Science Neurotic?,2002
STEPSS-2,Susan G. Sterrett,Physically Similar Systems: A History of the Concept,2017
MAXAFW,Nicholas Maxwell,Arguing for Wisdom in the University: An Intellectual Autobiography,2012
STRTND-2,Marij van Strien,The Norton Dome and the Nineteenth Century Foundations of Determinism,2014
MAXAEA-2,Nicholas Maxwell,Aim-Oriented Empiricism and the Metaphysics of Science,2019
REAGOA,James Read,Geometric Objects and Perspectivalism,2022
MAXPKL-3,Nicholas Maxwell,"Popper, Kuhn, Lakatos, and Aim-Oriented Empiricism",2005
MAXAMG,Nicholas Maxwell,A Mug's Game? Solving the Problem of Induction with Metaphysical Presuppositions,2017
SHETTA-6,David Sherry,"Thermoscopes, Thermometers, and the Foundations of Measurement",2011
MCQHTM,Kelvin J. McQueen and Lev Vaidman,How the Many Worlds Interpretation Brings Common Sense to Paradoxical Quantum Experiments,2020
MASQIA,M. Masi,Quantum Indeterminacy and Libertarian Panpsychism,2024
ROMPAP-8,Gustavo E. Romero,Physics and Philosophy of Physics in the Work of Mario Bunge,2019
HAWCNO,Katherine Hawley,Critical Notice of Every Thing Must Go,2010
MAXUAR,Nicholas Maxwell,Unification and Revolution: A Paradigm for Paradigms,2014
MAXRTC,Nicholas Maxwell,Reply to Comments on Science and the Pursuit of Wisdom,2010
FILEAA-2,Nicolas Fillion and Robert H. C. Moir,Explanation and Abstraction From a Backward-Error Analytic Perspective,2018
NORWIT-12,Jill North,What is the Problem About the Time-Asymmetry of Thermodynamics?--A Reply to Price,2002
WALTSO-21,Steven E. Wallis,The Structure of Theory and the Structure of Scientific Revolutions: What Constitutes an Advance in Theory?,2010
SCHHVH,Gregor Schiemann,Hermann von Helmholtz?s Mechanism: The Loss of Certainty: A Study on the Transition From Classical to Modern Philosophy of Nature,2009
MAZHSE,Nicholas Mazwell,Has Science Established That the Universe is Comprehensible?,1999
MAXWNT,Nicholas Maxwell,We Need to Recreate Natural Philosophy,2018
MAXHCL,Nicholas Maxwell,How Can Life of Value Best Flourish in the Real World?,2009
SOLSDA-5,H. G. Solari and Mario Natiello,"Science, Dualities and the Phenomenological Map",2024
CHRAP,Chris Smeenk and Hoefer Carl,Philosophy of the Physical Sciences,2014
KUZMSR,Vladimir Kuznetsov,Modified Structure-Nominative Reconstruction of Practical Physical Theories as a Frame for the Philosophy of Physics,forthcoming2021
SOBGOA,Alan Soble,"Gender, Objectivity, and Realism",1994
PATMRA,Lydia Patton,Methodological Realism and Modal Resourcefulness: Out of the Web and Into the Mine,2015
HAMDTP-2,Brendon Hammer,Deconstructing the Physical World: Relationship to Russellian Monism,manuscript
MUNEMA,Brent Mundy,Extensive Measurement and Ratio Functions,1988
MAXPCA,Nicholas Maxwell,Practical Certainty and Cosmological Conjectures,2006
MAXKRP,Nicholas Maxwell,Karl Raimund Popper,1978
MORWDQ,Matteo Morganti,"Weak Discernibility, Quantum Mechanics and the Generalist Picture",2008
PERERA-3,Slobodan Perovic,"Experimenter?s Regress Argument, Empiricism, and the Calibration of the Large Hadron Collider",2017
SCHWHV,Gregor Schiemann,"Wahrheitsgewissheitsverlust. Hermann von Helmholtz' Mechanismus Im Anbruch der Moderne. Eine Studie Zum \""{U}bergang von Klassischer Zu Moderner Naturphilosophie",1997
DEMGTP,Heather Demarest and Elizabeth Miller,Generalizing the Problem of Humean Undermining,2023
OPPPEI,Graham Oppy,Physical Eschatology,2001
WILCCT-7,Isaac Wilhelm,Celestial Chaos: The New Logics of Theory-Testing in Orbital Dynamics,2019
MAXAPR,Nicholas Maxwell,Are Philosophers Responsible for Global Warming?,2008
LYRIEP,Holger Lyre,"Informationstheorie: Eine Philosophisch-Naturwissenschaftliche Einf\""{u}hrung",2002
SCHMEI-12,Brigitte Falkenburg and Gregor Schiemann,Mechanistic Explanations in Physics and Beyond,2019
MAXWWW-4,Nicholas Maxwell,What's Wrong with Science and Technology Studies? What Needs to Be Done to Put It Right?,2015
SHALQI,Michael J. Shaffer,Lakatos? Quasi-Empiricism in the Philosophy of Mathematics,2015
BELCAF,Gordon Belot,Chaos and Fundamentalism,2000
COLMAP-7,Mark Colyvan and Kenny Easwaran,Mathematical and Physical Continuity,2008
MAXNRS,Nicholas Maxwell,"Non-Empirical Requirements Scientific Theories Must Satisfy: Simplicity, Unification, Explanation, Beauty",2004
CULASI,Boris \v{C}ulina,A Simple Interpretation of Quantity Calculus,2022
WEAOTA-3,Christopher Gregory Weaver,On the Argument From Physics and General Relativity,2020
SMISFO-4,Andrey Smirnov,Some Features of Physical Systems Without Time and Dynamics (in English),manuscript
LOPDEL,Mart\'{i}n Lopez Corredoira,Determinismo En la F\'{i}sica Cl\'{a}sica: Laplace Vs. Popper o Prigogine,2001
KAKOTU,Spyridon Kakos,On the Untrustworthiness of Axiomatic-Founded Science,2020
MAXDPL-2,Nicholas Maxwell,Do Philosophers Love Wisdom?,2003
MAXSVR,Nicholas Maxwell,"Science Versus Realization of Value, Not Determinism Versus Choice",2005
MAXMUS,Nicholas Maxwell,Misunderstanding Understanding Scientific Progress,manuscript
FERHUF-2,Jos\'e Ferreir\'{o}s and Javier Ord\'{o}~{n}ez,Hacia Una Filosof\'{i}a de la Experimentaci\'{o}n,2002
WOLMQR,Gereon Wolters,Mach,2000
JOOCII,Kim Joosoak,Contradictions Inherent in Special Relativity: Space Varies.,manuscript
DUCSMA,Wlodzislaw Duch,"Synchronicity, Mind, and Matter",2002
BAEDTR,W. Baer,Does the Rose-Tinted Glasses Effect in Contemporary Physics Prevent Us From Explaining Consciousness?,2017
GIEQV,Alfred Gierer,"\""{U}ber Wolfgang Pauli - Quantenphysik, Verst\""{a}ndnis der Natur Und Die Rolle der Psyche",2019
ALLFNT-2,Valia Allori,From No-Signaling to Spontaneous Localization Theories,2019
SCHGUN,Gregor Schiemann,Geschichte Und Natur Zwischen Differenz Und Konvergenz,1997
BADTDO-7,Massimiliano Badino,Three Dogmas on Scientific Theory,manuscript
MAXDSP,Nicholas Maxwell,Does Science Provide Us with the Methodological Key to Wisdom?,2012
SCHEBW,Gregor Schiemann,"Wer Beeinflu\s{s}te Wen? Die Kausalit\""{a}tskritik der Physik Im Kontext der Weimarer Kultur.",1996
MAXTMO-3,Nicholas Maxwell,The Menace of Science Without Wisdom,2012
MLLCSC,"Olaf L. M\""{u}ller",Colour Spectral Counterpoints. Case Study on Aestetic Judgement in the Experimental Sciences,2009
WEBWAA,Anderson Weekes and Michel Weber,Whitehead as a Neglected Figure of 20Th Century Philosophy,2010
MAXFKT-7,Nicholas Maxwell,From Knowledge to Wisdom: Assessment and Prospects After Three Decades,2013
SCHPUN,Gregor Schiemann,"Physik Und Natur. Zu Hermann von Helmholtz' Begr\""{u}ndung des Energieprinzips in der Einleitung Zu Seiner Schrift ""\""{U}ber Die Erhaltung der Kraft""",1998
SCHI-31,Gregor Schiemann and Friedrich Steinle,Introduction: The Empirical and the Formal - Tensions in Scientific Knowledge,2008
SCHPDT-6,Gregor Schiemann,Philosophie der Teilchenphysik,2017
BUGKUO,Grzegorz Bugajak,"Kilka Uwag o ""Postulowanej Ontologii"" Teorii Naukowych",2004
SCHWHM,Gregor Schiemann,Was Hei\s{s}t Moderne Physik?,1995
CUMSCA,Robert Cummins,"States, Causes, and the Law of Inertia",1976
VANCIN-4,Marij van Strien,Continuity in Nature and in Mathematics: Boltzmann and Poincar\'e,2015
HTTIIP,"Andreas H\""{u}ttemann",Idealizations in Physics,2002
ALEEOQ,Alexander Egoyan,Explanation of Qualia and Self-Awareness Using Elastic Membrane Concept,2017
SHEWPA,Michael A. Sherbon,Wolfgang Pauli and the Fine-Structure Constant,2012
GLITFO-7,David Glick and George Darby and Anna Marmodoro,"The Foundation of Reality: Fundamentality, Space, and Time",2020
FREARA-4,Danny Frederick,A Regimented and Concise Exposition of Karl Popper?s Critical Rationalist Epistemology (Version 2),manuscript
MAXTAN,Nicholas Maxwell,Towards a New Enlightenment: What the Task of Creating Civilization has to Learn From the Success of Modern Science,1992
BARPTS-8,Luis F. Bartolo Alegre,Peut-on Tester Si le Mouvement Est Contradictoire ?,forthcoming
CHUTVI,Eugene Chua,The Verdict is Out: Against the Internal View of the Gauge/Gravity Duality,manuscript
LPEATT-2,Mart\'{i}n L\'{o}pez Corredoira and Carlos Castro Perelman,Against the Tide. A Critical Review by Scientists of How Physics and Astronomy Get Done,2008
GRALFO,Vincent Grandjean,Le Futur Ouvert (1st edition),2023
PRITAA-4,Zoran Primorac and Andrej Ule,Pojava I Uloga Kompleksa U Nekim Tvrdnjama Galileja Galileja,2005
KANHSI-2,Hans Kangro,Historical Studies in the Physical Sciencesrussell Mccormmach,1970
CHIITC-2,Lawrence Chiuminatto,Is the Clock Running Down,1930
REHAIT,William Rehg and Kent Staley,?Agreement? in the Ipcc Confidence Measure,2017
BERHPO-3,"Anders \""{O}berg",Hilary Putnam on Meaning and Necessity,2011
HEIWID-5,Michael Heidelberger,"Wandlungstypen in den Baconischen Wissenschaften Im Deutschland des Fr\""{u}hen 19. Jahrhunderts",1983
SCHHVH-7,Gregor Schiemann and Michael Heidelberger and Helmut Pulte,"Hermann von Helmholtz, Philosophische Und Popul\""{a}rwissenschaftliche Schriften. 3 B\""{a}nde.",2017
LENTPO-13,V. Lenzen,The Philosophy of Physical Sciencearthur Eddington,1941
FREATP-4,Danny Frederick,Against the Philosophical Tide: Essays in Popperian Critical Rationalism,2020
MUMFSC-2,Stephen Mumford,"Function, Structure, Capacity",2006
VACAT,Gabriel Vacariu,"(August 2022 to 2014) the Unbelievable Similarities Between the Ideas of Some People (2011-2016) and My Ideas (2002-2008) in Physics (Quantum Mechanics, Cosmology), Cognitive Neuroscience, Philosophy of Mind, and Philosophy",2022
GIEWDD,Alfred Gierer,"Wissenschaftliches Denken, Das R\""{a}tsel Bewusstsein Und Pro-Religi\""{o}se Ideen",2019
SCHTEA-44,Gregor Schiemann and Friedrich Steinle,The Empirical and the Formal ? Tensions in Scientific Knowledge (Centaurus 50/3),2008
KNORCF,Eleanor Knox and Alastair Wilson,The Routledge Companion to Philosophy of Physics,2022
HOLEMW,Eric W. Holman,Extensive Measurement Without an Order Relation,1974
KATPSA-2,Louis Osgood Kattsoff,Physical Science and Physical Reality,1957
VACDDK,Gabriel Vacariu,"Did Dirk K. F. Meijer and Hans J. H. Geesink (2017) (University of Groningen, Netherlands) Plagiarize My Ideas (2002-2008)?",2017
SILIEL,Ignacio Silva,Indeterminismo En la Naturaleza y Mec\'{a}nica Cu\'{a}ntica: Werner Heisenberg y Tom\'{a}s de Aquino,2011
GIEZUN,Alfred Gierer,Zufall Und Naturgesetzliche Notwendigkeit,1998
GIECP-2,Alfred Gierer,Cusanus - Philosophie Im Vorfeld Moderner Naturwissenschaft,2002
PEAOTP,Igor Pe\~{n}a and Daniel Sudarsky,On the Possibility of Measuring the Unruh Effect,2014
KEIQ,Geert Keil,Quine,2011
WITEAC-4,John Tucker,Exposition and Critique of the Conceptions of Eddington Concerning the Philosophy of Physical Science,1961
NEELAO,Paul Needham,Law and Order: Issues in the Philosophy of Science,1988
JOHHOS-3,Sean F. Johnston,Beginner's Guide to the History of Science,2009
VACLST,Gabriel Vacariu,Lee Smolin?s Trick: Unbelievable Similarities Between Lee Smolin?s Ideas (2017) and My Ideas (2002-2008) (Another ?Dinosaurs?!,2018
LEIAUC,David Pierre Leibovitz,A Unified Cognitive Model of Visual Filling-in Based on an Emergic Network Architecture,2013
POLQPP,Pawe\l Polak,"""By\l{}em Pana Przeciwnikiem [Profesorze Einstein]..."": Relatywistyczna Rewolucja Naukowa Z Perspektywy \'{S}rodowiska Naukowo-Filozoficznego Przedwojennego Lwowa",2012
CARRBS-2,Cathryn Carson and Silvan Schweber,Recent Biographical Studies in the Physical Sciences,1994
GIEPLA-2,Alfred Gierer,"Physics, Life and Mind: The Scope and Limitations of Science",1988
VACPOI,Gabriel Vacariu and Mihai Vacariu,"Physics Overwritten in a New Perspective: ?Epistemologically Different Worlds?,",2020
SERIOP,Yaroslav Sergeyev and Dmitri Iudin and Masaschi Hayakawa,Interpretation of Percolation in Terms of Infinity Computations,2012
RAMTSA-2,Varanasi Ramabrahmam,The Significance and Use of Absence,manuscript
KUHTHA-2,Thomas S. Kuhn,"The Halt and the Blind: Philosophy and History of Science: ""Method and Appraisal in the Physical Sciences""",1980
DRAHAF,Antonino Drago,History and Foundations of Physical Theories. The Physicists? Missed Path for Discovering the Foundations of Science,manuscript
MILMIN-3,Clifford Miller,"Medicine is Not Science: Guessing the Future, Predicting the Past",2014
