ID,Author,Title,Year
ALBAP,David Z. Albert,After Physics,2015
CHEGWA-2,Eddy Keming Chen and Sheldon Goldstein,Governing Without a Fundamental Direction of Time: Minimal Primitivism About Laws of Nature,2022
CHEOFP,Eddy Keming Chen,??Our Fundamental Physical Space: An Essay on the Metaphysics of the Wave Function,2017
BRITLO,Percy Williams Bridgman,The Logic of Modern Physics,1927
LEBPMB,Baptiste Le Bihan,Priority Monism Beyond Spacetime,2017
BURTMF-3,Edwin Arthur Burtt,The Metaphysical Foundations of Modern Physical Science,1925
HEIPAB,Werner Heisenberg,Physics and Beyond: Encounters and Conversations,1971
NORPSA-5,Jill North,"Physics, Structure, and Reality",2021
LANAIT-2,Marc Lange,"An Introduction to the Philosophy of Physics: Locality, Fields, Energy, and Mass",2002
LEBAMV,Baptiste Le Bihan and Adrien Barton,Analytic Metaphysics Versus Naturalized Metaphysics: The Relevance of Applied Ontology,2021
SHETRT-8,Orly Shenker and Meir Hemmo,The Road to Maxwell?s Demon,2012
MARTNO-8,Henry Margenau,The Nature of Physical Reality: A Philosophy of Modern Physics,1950
SAANEI,Juha Saatsi,Non-Causal Explanations in Physics,2022
SLAEAP,Matias Slavov,Eternalism and Perspectival Realism About the ?Now?,2020
CASIB,Elena Castellani,Interpreting Bodies: Classical and Quantum Objects in Modern Physics,1998
APETPI,Milic? C?apek,The Philosophical Impact of Contemporary Physics,1961
KUTCAI,Douglas Kutach,Causation and its Basis in Fundamental Physics,2013
TALTEO-3,Eran Tal,The Epistemology of Measurement: A Model-Based Account,2012
BECBUT-2,"Philip Bechtle and Cristin Chall and Martin King and Michael Kr\""{a}mer and Peter M\""{a}ttig and Michael St\""{o}ltzner",Bottoms Up: The Standard Model Effective Field Theory From a Model Perspective,2022
HUBUPW,Mario Hubert,"Understanding Physics: ?What??, ?Why??, and ?How??",2021
CHEEAT-5,Eddy Keming Chen and Daniel Rubio,Evil and the Quantum Multiverse,forthcoming
HUBRF-3,Mario Hubert,Reviving Frequentism,2021
MAUOTU-2,Tim Maudlin,On the Unification of Physics,1996
DORDRP,Mauro Dorato,"Dispositions, Relational Properties and the Quantum World (1st edition)",2017
TORTPO-11,Roberto Torretti,The Philosophy of Physics,1999
GUATBC,Alexandre Guay and Thomas Pradeu,To Be Continued: The Genidentity of Physical and Biological Processes,2016
ROSLRI,Joshua Rosaler,Local Reduction in Physics,2015
