ID,Author,Title,Year
BAKPOD,Mikhail Mikha\u{i}lovich Bakhtin,Problems of Dostoevsky?s Poetics,1984
POLANO-5,Andrej Poleev,Apocalypse Now.,2024
MURTCO-22,Jeffrie G. Murphy,The Case of Dostoevsky?s General,2009
PATDAT-9,George Pattison and Diane Oenning Thompson,Dostoevsky and the Christian Tradition,2001
DIOLFR,Angela Dioletta,La Filosofia Russa,2020
MISZYL,Lucas Misseri,Zamiatin y la \'{E}tica Kantiana: Libertad y Felicidad En Nosotros,2020
DERAYP-3,Irina Dereti\'c,\CYRD\cyro\cyrs\cyrt\cyro\cyre\cyrv\cyrs\cyrk\cyri\cyrishrt: \CYRR\cyra\cyrz\cyrm\cyrery\cyrsh\cyrl\cyrya\cyrya \CYRO \CYRP\cyra\cyrr\cyra\cyrd\cyro\cyrk\cyrs\cyra\cyrh \CYRG\cyru\cyrm\cyra\cyrn\cyri\cyrz\cyrm\cyra,1982
DIADTT,Diane Christine Raymond,Dostoevsky the Thinker (Review),2003
BERMWR,IsaiahHG Berlin,Meetings with Russian Writers in 1945 and 1956,2014
GRAFD-3,GeorgeHG Grant,'Fyodor Dostoevsky' - with Sheila Grant,2002
LANWRD-3,Janine Langan,Why Read Dostoevsky?,2000
BALESL-2,Marina Balina and Nancy Condee and Evgeni\ui Aleksandrovich Dobrenko,Endquote: Sots-Art Literature and Soviet Grand Style,2000
MUKRLA-2,R. F. Mukhametshina,Russian Language and Literature in Bicultural Context: Results of the Survey of School Graduates of the Republic of Tatarstan,2015
SALPBA-6,S. A. Salova,Pritchy? by A. P. Sumarokov (1762): The Continuation of the Russian ?Discussion About Anacreon,2013
GNEJPS,"Itir G\""{u}nes","James P. Scanlan, Dostoevsky the Thinker Reviewed By",2003
MAITD,A. Mailov,Tema Dostoevskogo,1992
EJMNAM-2,Bo\.{z}ena \.{Z}ejmo and Beata Prze\'{z}dziecka,Nation and Mission. Russian Literature and National Identity,2011
UZBVNP-2,G. F. Uzbekova,V. Nabokov?s Play with a Reader in His Written in Russian Novels,2016
Davey2013-ALEDPT,Ethan Alexander{-}Davey and Steven D. Ealy and Khalil M. Habib and Michael Kochin and John P. Moran and Ellis Sandoz and Ron Srigley and David Walsh and Jingcai Ying,Dostoevsky's Political Thought,2013
CORSFO,N. Cornwell,Social Functions of Literature: Alexander Pushkin and Russian Culture. By Paul Debreczeny,1998
SHATSO-40,S. S. Shaulov,The Structure of the Negative Reception of Fyodor Dostoevsky in Contemporary Culture,2014
GUNJPS,I. Gunes,"James P. Scanlan, Dostoevsky the Thinker",2003
MOOGAB,James Moore,Gurdjieff: A Biography,1999
REYTGI,John Hereward Reyner,The Gurdjieff Inheritance,1984
FRATTR,Joseph Frank,Through the Russian Prism: Essays on Literature and Culture,1989
DILDPA-2,\.{I}lham Dilman,Dostoyevsky: Psychology and the Novelist,1983
CARPAB-2,Pedro Carn\'e,Pr\'{i}ncipe Andrei Bolk\'{o}nski: Um Her\'{o}i Schopenhaueriano,2019
ANDOD,Susan Leigh Anderson,On Dostoevsky,2001
SYKDOC,I. Sykora,Discussion on Criterion of Social Progress in Soviet Philosophical Literature,1978
