ID,Author,Title,Year
MITTEO-12,Brent Mittelstadt and Patrick Allo and Mariarosaria Taddeo and Sandra Wachter and Luciano Floridi,The Ethics of Algorithms: Mapping the Debate,2016
IHDTAT-3,Don Ihde,Technology and the Lifeworld: From Garden to Earth,1990
DANWRI,John Danaher,Welcoming Robots Into the Moral Circle: A Defence of Ethical Behaviourism,2020
ELLTTS,Jacques Ellul,The Technological Society,1964
STITAT,Bernard Stiegler,Technics and Time,1998
HEEAVE,Richard Heersmink,"A Virtue Epistemology of the Internet: Search Engines, Intellectual Virtues and Education",2018
MITTEO-9,Brent Daniel Mittelstadt and Luciano Floridi,The Ethics of Big Data: Current and Foreseeable Issues in Biomedical Contexts,2016
NOVAIA,Claudio Novelli and Mariarosaria Taddeo and Luciano Floridi,Accountability in Artificial Intelligence: What It is and How It Works,2023
WACTEA,Sandra Wachter and Brent Mittelstadt and Luciano Floridi,"Transparent, Explainable, and Accountable Ai for Robotics",2017
DANAAU,John Danaher,Automation and Utopia: Human Flourishing in an Age Without Work,2019
BIJTSC,Wiebe E. Bijker and Thomas P. Hughes and Trevor Pinch,The Social Construction of Technological Systems: New Directions in Sociology and History of Technology (25Th Anniversary Edition with New Preface),1987
FEEQT,Andrew Feenberg,Questioning Technology,1999
VONAVO,Rene Von Schomberg,A Vision of Responsible Innovation,2017
HEEVOA,Richard Heersmink,"Varieties of Artifacts: Embodied, Perceptual, Cognitive, and Affective",2021
DANTTO-13,John Danaher,"The Threat of Algocracy: Reality, Resistance and Accommodation",2016
BORTAT-4,Albert Borgmann,Technology and the Character of Contemporary Life: A Philosophical Inquiry,1984
HEEVOT,Richard Heersmink,Varieties of the Extended Self,2020
WINTWA,Langdon Winner,The Whale and the Reactor: A Search for Limits in an Age of High Technology,1986
HARMFA,Donna Jeanne Haraway,Modest$_-$Witness?Second$_-$Millennium.Femaleman$_-$Meets$_-$Oncomouse: Feminism and Technoscience,1997
BLORIT-2,V. Blok and P. Lemmens,The Emerging Concept of Responsible Innovation. Three Reasons Why It is Questionable and Calls for a Radical Transformation of the Concept of Innovation,2015
ZEDSTB,Carlos Zednik,Solving the Black Box Problem: A Normative Framework for Explainable Artificial Intelligence,2019
HEEDSP,Richard Heersmink,Distributed Selves: Personal Identity and Extended Memory Systems,2017
HARWII-7,Jacqueline Harding and Nathaniel Sharadin,What is It for a Machine Learning Model to Have a Capability?,forthcoming
DANWLB,John Danaher,Will Life Be Worth Living in a World Without Work? Technological Unemployment and the Meaning of Life,2017
DANRBA-2,John Danaher,Robot Betrayal: A Guide to the Ethics of Robotic Deception,2020
VOGTLA-4,Steven Vogel,Thinking Like a Mall: Environmental Philosophy After the End of Nature,2015
FEETTA,Andrew Feenberg,Transforming Technology: A Critical Theory Revisited,2002
NYHTEO,Sven Nyholm and Jilles Smids,The Ethics of Accident-Algorithms for Self-Driving Cars: An Applied Trolley Problem?,2016
DANTAE-2,John Danaher,Toward an Ethics of Ai Assistants: An Initial Framework,2018
