ID,Author,Title,Year
LOWTPO-12,Edward Jonathan Lowe,"The Possibility of Metaphysics: Substance, Identity, and Time",1998
LATION-3,Andrew J. Latham and Kristie Miller and James Norton,"Is Our Na\""{i}ve Theory of Time Dynamical?",2021
LATWDP,Andrew J. Latham and Kristie Miller,Why Do People Represent Time as Dynamical? An Investigation of Temporal Dynamism and the Open Future,2023
GRETRO-49,Preston Greene and Alex Holcombe and Andrew J. Latham and Kristie Miller and James Norton,The Rationality of Near Bias Toward Both Future and Past Events,2021
Saji2014-ALSAPO-3,Alia Al{-}Saji,A Phenomenology of Hesitation: Interrupting Racializing Habits of Seeing,2014
MILAAN-3,Andrew J. Latham and Kristie Miller and James Norton,Against a Normative Asymmetry Between Near- and Future-Bias,2023
DAITAS-5,Barry Dainton,Time and Space,2001
MULTEO-12,R. T. Mullins,The End of the Timeless God,2016
KAMTTM,Hans Kamp,Formal Properties of 'Now',1971
STETOA-5,Mark Steedman,Temporal Ontology and Temporal Reference,unknown
FOWAFV,Gregory Fowler,A Fourth View Concerning Persistence,manuscript
SHETRT-8,Orly Shenker and Meir Hemmo,The Road to Maxwell?s Demon,2012
COSTTT,Damiano Costa,The Transcendentist Theory of Persistence,2017
BELIAT,Nuel Belnap and Mitchell Green,Indeterminism and the Thin Red Line,1994
GORFME,Gordon Belot,Fifty Million Elvis Fans Can?T Be Wrong,2018
GROTTF,Elizabeth Grosz,"Time Travels: Feminism, Nature, Power",2005
FORTGB,Graeme A. Forbes,The Growing Block?s Past Problems,2016
IAQFRO,Samuele Iaquinto and Giuliano Torrengo,"Fragmenting Reality: An Essay on Passage, Causality and Time Travel",2022
DUMTAT-3,Michael Dummett,Truth and the Past,2003
VANAIT-2,Bas C. Van Fraassen,An Introduction to the Philosophy of Time and Space,1970
AMIECF,Fatema Amijee,Explaining Contingent Facts,2020
GREHMD-4,Preston Greene and Andrew J. Latham and Kristie Miller and James Norton,How Much Do We Discount Past Pleasures?,2022
SLAEAP,Matias Slavov,Eternalism and Perspectival Realism About the ?Now?,2020
LATFBI,Andrew J. Latham and Kristie Miller and James Norton and Christian Tarsney,Future Bias in Action: Does the Past Matter More When You Can Affect It?,2020
IACPPI,Andrea Iacona and Samuele Iaquinto,Postsemantic Peirceanism,2023
MCCTIC-4,C. D. McCoy and Craig Callender,Time in Cosmology,2022
BERTTA-7,Sara Bernstein,Time Travel and the Movable Present,2017
SIDTP-3,Theodore Sider,Temporal Parts,2008
GREWAP-3,Preston Greene and Andrew James Latham and Kristie Miller and James Norton,Why Are People so Darn Past Biased?,2022
FARARO-2,Matt Farr and Alexander Reutlinger,"A Relic of a Bygone Age? Causation, Time Symmetry and the Directionality Argument",2013
THYTRA,Pieter Thyssen,The Rietdijk?Putnam?Maxwell Argument,2023
PEAAEA,Olley Pearson,Appropriate Emotions and the Metaphysics of Time,2018
WTHPBS-2,"Christian W\""{u}thrich and Baptiste Le Bihan and Nick Huggett",Philosophy Beyond Spacetime: Introduction,2021
IACCF-3,Andrea Iacona and Samuele Iaquinto,Credible Futures,2021
ARVANT-2,Marcus Arvan,A New Theory of Free Will,2013
IACKOF,Andrea Iacona,Knowledge of Future Contingents,2022
NERTSO-5,Graham Nerlich,The Shape of Space,1994
ALESTA-3,Samuel Alexander,"Space, Time, and Deity: The Gifford Lectures at Glasgow 1916-1918",1920
LEPTIF,Robin Le Poidevin,Travels in Four Dimensions: The Enigmas of Space and Time,2003
RINTWP-2,A. A. Rini and M. J. Cresswell,The World-Time Parallel: Tense and Modality in Logic and Metaphysics,2012
BARTPO-67,L. Barlassina and F. Del Prete,The Puzzle of the Changing Past,2015
PURFAT-6,Stephen Puryear,Finitism and the Beginning of the Universe,2014
CALTOH-2,Craig Callender,The Oxford Handbook of Philosophy of Time,2011
SIDTIA,Theodore Sider,Travelling in a- and B- Time,2005
SALSTA,Wesley C. Salmon,"Space, Time, and Motion: A Philosophical Introduction",1980
LEBCLD,Baptiste Le Bihan,Contre les D\'{e}fenses du Pr\'{e}sentisme Par le Sens Commun,2018
Saji2019-ALSD-3,Alia Al{-}Saji,Dur\'{e}e,2019
LEEPIT-5,Ruth Lee and Christoph Hoerl and Patrick Burns and Alison Sutton Fernandes and Patrick A. O'Connor and Teresa McCormack,Pain in the Past and Pleasure in the Future: The Development of Past?Future Preferences for Hedonic Goods,2020
BERNMT,Sara Bernstein,Nowhere Man: Time Travel and Spatial Location,2015
SALTAI-4,Nathan Salmon,Tense and Intension,2003
FORISD,Peter Forrest,Is Space-Time Discrete or Continuous? -- an Empirical Question,1995
WTHWBO,"Christian W\""{u}thrich and Craig Callender",What Becomes of a Causal Set?,2016
BARFTP,Samuel Baron and Peter Evans and Kristie Miller,From Timeless Physical Theory to Timelessness,2010
NOEEOT,Alva Noe,Experience of the World in Time,2006
YOUTDO-4,Palle Yourgrau,The Disappearance of Time: Kurt Go?Del and the Idealistic Tradition in Philosophy,1991
IACOWT,Andrea Iacona,Ockhamism Without Thin Red Lines,2014
TELSRA,Paul Teller,"Substance, Relations, and Arguments About the Nature of Space-Time",1991
THYTBU,Pieter Thyssen,The Block Universe: A Philosophical Investigation in Four Dimensions,2020
SPEWTT,Joshua Spencer,What Time Travelers Cannot Not Do (but Are Responsible for Anyway),2013
Saji2004-ALSTMO,Alia Al{-}Saji,"The Memory of Another Past: Bergson, Deleuze and a New Theory of Time",2004
DUMITA,Michael Dummett,Is Time a Continuum of Instants,2000
MARFNA,Ned Markosian,Five New Arguments for the Dynamic Theory of Time,2022
CUSTUG,John Cusbert and Kristie Millier,The Unique Groundability of Temporal Facts,2017
PURFDA,Stephen Puryear,"Finitism, Divisibilty, and the Beginning of the Universe: Replies to Loke and Dumsday",2016
CYRBTA,Taylor W. Cyr and Grace Scott,Back to a New and Improved Future,forthcoming
TOUTDO,Stephen Toulmin,The Discovery of Time,1965
GONCAP-2,Nathalie Gontier,Cosmological and Phenomenological Transitions Into How Humans Conceptualize and Experience Time,2018
ADAT-3,Barbara Adam,Time,2006
SWIGAT-2,Richard Swinburne,God and Time,1989
LIZTPO,Margarita V\'{a}zquez Campos and Antonio Manuel Liz Guti\'{e}rrez,Temporal Points of View: Subjective and Objective Aspects,2015
FRIPAT-12,Akiko Frischhut,Presentism and Temporal Experience,2017
SOBTAK,Elliott Sober and Mike Steel,Time and Knowability in Evolutionary Processes,2014
TORNPT,Giuliano Torrengo,Nunc Pro Tunc. The Problem of Retroactive Enactments,2018
ROMBHP,Gustavo E. Romero,Black Hole Philosophy,2021
VASAPF-2,Antonio Vassallo and Pedro Naranjo and Tim Koslowski,A Proposal for a Metaphysics of Self-Subsisting Structures. I. Classical Physics,2022
SMICT-7,Daniel W. Smith,The Pure and Empty Form of Time: Deleuze?s Theory of Temporality,2023
ANDBTA-8,Giacomo Andreoletti,Branching Time and Doomsday,2022
IACTMO,Andrea Iacona,The Metaphysics of Ockhamism,2022
VANTPO-16,James Van\texttt{\char126}Cleve and Robert E. Frederick,The Philosophy of Right and Left: Incongruent Counterparts and the Nature of Space,1991
TULTEO-4,Emanuele Tullio and Tommaso Soriani,The Epistemic Objection Against Perdurantism,2024
HOETIC,Christoph Hoerl and Teresa McCormack,Time in Cognitive Development,2011
BENPRA-2,Jiri Benovsky,Photographic Representation and Depiction of Temporal Extension,2012
BASTCS,Michelle Bastian,The Contradictory Simultaneity of Being with Others: Exploring Concepts of Time and Community in the Work of Gloria Anzald\'{u}a,2011
IACTT,Andrea Iacona,Timeless Truth,2012
BANTNP,John Bannan,The New Philosophy of Superdeterminism on the Nature of Miracles,manuscript
MAREIN-2,Florian Marion,Existence is Not Relativistically Invariant--Part 1: Meta-Ontology (1st edition),2024
TALTFP,Jonathan Tallant,Time for Presence?,2010
SMAPOS,John Jamieson Carswell Smart,Problems of Space and Time,1964
LEPTPO,Robin Le Poidevin and Murray MacBeath,The Philosophy of Time,1993
JACWAS,Jack Reynolds,Wounds and Scars: Deleuze on the Time and Ethics of the Event,2007
LATQGT,Andrew J. Latham and Kristie Miller,"Quantum Gravity, Timelessness, and the Folk Concept of Time",2020
LINLOT-5,Martin Lin,Leibniz on the Modal Status of Absolute Space and Time,2015
PRORTD,Simon Prosser,"Replies to Deng, Lee, and Skow",2018
MCKAAT-10,Camden Alexander McKenna,Agency and the Successive Structure of Time-Consciousness,2023
FINTAT-4,J. N. Findlay,Time: A Treatment of Some Puzzles,1941
