ID,Author,Title,Year
MATCAW,Erich Hatala Matthes,Cultural Appropriation Without Cultural Essentialism?,2016
XHIDDA,Michel{-}Antoine Xhignesse,Distant Dinosaurs and the Aesthetics of Remote Art,2024
DIXLIA-2,Daisy Dixon,Lies in Art,2022
PANMIT-2,Erwin Panofsky,Meaning in the Visual Arts: Papers in and on Art History,1955
DESACA-2,Johan de Smedt and Helen de Cruz,A Cognitive Approach to the Earliest Art,2011
RIGUTS-2,Nick Riggle,Using the Street for Art: A Reply to Baldini,2016
HOPRIF,Robert Hopkins,Realism in Film (and Other Representations),2016
AWEWEA,A. W. Eaton,Where Ethics and Aesthetics Meet: Titian's \emph{Rape of Europa},2003
BALSAA-2,Andrea Baldini,Street Art: A Reply to Riggle,2016
FASNCO,Hannah Fasnacht,The Narrative Characteristics of Images,2023
GODOTN-2,David Godden,On the Norms of Visual Argument: A Case for Normative Non-Revisionism,2017
LIUPOM-3,Michelle Liu,Paintings of Music,2022
RADMTM,Marietta Radomska,"Mourning the More-Than-Human: Somatechnics of Environmental Violence, Ethical Imaginaries, and Arts of Eco-Grief",2024
MAEAAP-6,Hans Maes and Jerrold Levinson,Art and Pornography: Philosophical Essays,2012
PETDTO-2,Mikael Pettersson,Depictive Traces: On the Phenomenology of Photography,2011
STEMOO-4,Jakub Stejskal,Monumental Origins of Art History: Lessons From Mesopotamia,forthcoming
MATPOT-17,Erich Hatala Matthes,Portraits of the Landscape,2019
STETSP-5,Jakub Stejskal,The Substitution Principle Revisited,2018
MORSAB-6,Iwan Morus,Seeing and Believing Science,2006
DAVVI-2,David Davies,Varying Impressions,2015
CROPOT-7,Paul Crowther,Phenomenology of the Visual Arts (Even the Frame),2009
BANPPA-2,Katerina Bantinaki,Pictorial Perception as Twofold Experience,2010
ABEPAA-2,Catharine Abell,Printmaking as an Art,2015
ALLPAA-7,Emmanuel Alloa,Performing an Appearance. On the Performativity of Images,2023
RAVCAA,Matteo Ravasio and Jiachen Liu and Ye Zhu,Calligraphy as a Symbol System,forthcoming
MORHMI-2,Chris Mortensen and Steve Leishman and Peter Quigley and Theresa Helke,How Many Impossible Images Did Escher Produce?,2013
ELPIIN,Andreas Elpidorou,Imagination in Non-Representational Painting,2010
CORLR-4,Andrew J. Corsa,"Labeouf, R\""{o}nkk\""o \& Turner, Digital Remix, and Group Authorship",2020
CARMTT,Paul Carter,Material Thinking: The Theory and Practice of Creative Research,2004
JARPSA,Ian Jarvie,Pornography Stumps Analytic Philosophers of Art,2015
ALLITA-3,Emmanuel Alloa,Iconic Turn: A Plea for Three Turns of the Screw,2015
ELPSTI,Andreas Elpidorou,Seeing the Impossible,2016
AVITOI,Doron Avital and Karolina Dolanska,The Original in the Digital Age,2023
SIMAPA-8,Vid Simoniti,Adrian Piper and the Rhetoric of Conceptual Art,2018
TURCCL,Matthew Turner,Classical Chinese Landscape Painting and the Aesthetic Appreciation of Nature,2009
BATERI,M. Pabst Battin,Exact Replication in the Visual Arts,1979
DALMAI,Anya Daly,Merleau-Ponty?s Aesthetic Interworld,2018
STEPAI-11,Jakub Stejskal,Postformalism: An Introduction,2022
WILSUE,M. Blake Wilson,Slicing Up Eyeballs: The Criminal Underworlds of Nicolas Winding Refn,2020
LENADL,Malena Le\'{o}n,Actitud de la Obra de Arte,2021
VANPGY,Carlos Vanegas,"Paul Gauguin y Mario Vargas Llosa, Entre El Arte y la Literatura. Manao Tupapau-El Esp\'{i}ritu Del Muerto la Recuerda, 1892",2015
TRICKA,Ioannis Trisokkas,Can Kant?s Aesthetics Accommodate Conceptual Art? A Reply to Costello,2020
STEAVE-2,Jakub Stejskal,Art's Visual Efficacy: The Case of Anthony Forge's Abelam Corpus,2016/2017
GILPIC,Daniel Gilman,Pictures in Cognition,1994
GRAVAT-2,Gordon Graham,Value and the Visual Arts,1994
GITWAS,Chrysoula Gitsoulis,Wittgenstein and Surrealism,2012
POPFAA,Maria Popczyk,Fear and Anxiety in the Dimensions of Art,2012
SPATEI,Rosanna Sparacino,The Ethical Implications of the Intentional Fallacy: How We Ought to Address the Art of Immoral Artists,2019
STEDTL,Marilyn Stendera,Disintegrating the Linear: Time in Simon Finn?s \emph{Instability},2018
ELETCB,Fell Elena and Ioanna Kopsiafti,"The Cognitive Basis of Aesthetics: Cassirer, Crowther, and the Future",2016
DEBWIA-2,Ulrich De Balbian,"What is Art (Classificatory Disputes, Aesthetic Judgements, Contemporary Art",2017
KEEQTS,Gavin Keeney,"""Shadow-Lands"": The Suffering Image",manuscript
VANALF-2,Carlos Vanegas and Javier Dom\'{i}nguez and Carlos Arturo Fern\'{a}ndez and Daniel Tob\'{o}n,Ante la Fragilidad de la Memoria,2014
PLUCOC,Gilbert Plumer,"Commentary On: Chiara Pollaroli's ""T(R)Opical Patterns in Advertising""",2013
HORWSI-2,Gizela Horvath,Whose Shoes? Identity in Works of Art,2011
GREARP,Michael Grenfell,Art Rules: Pierre Bourdieu and the Visual Arts,2007
ALLWIE-2,Emmanuel Alloa,Wann Ist Ein Bild? Bildwissenschaft Als Symptomatologie,2020
VANGLH,Carlos Vanegas,Gombrich: La Historia Del Arte y Las Humanidades,2016
CPI,Hans Maes,Challenging Partial Intentionalism,2008
DORMMP-2,Andreas Dorschel,Metaphysisch Malen: Philosophie Und Bild Bei Giorgio de Chirico,2009
DZAAAB,Davor Dzalto,Art: A Brief History of Absence,2015
JAKITT-4,Marzenna Jakubczak,"Introduction to the Issue: Psychophysical Integrity of the Human Self. Comparative Approach: Philosophy, Literature and Art",2015
SHATQO-3,S. Shafi,The Queerness of Art and the Foucauldian Origins of Judith Butler's Notion of Performativity; an Overview,2024
VANYBY,Carlos Vanegas,Yosman Botero y Postcolombino,2016
KEEVA,Gavin Keeney,Vertiginous Acedie,manuscript
SALSEI-2,Francisco Salinas,Sublimidad e Imaginaci\'{o}n En El Combate Tierra-Mundo: Una Lectura Existencialista de la Desgarradura Del Arte En Heidegger,2014
SNYDNP,Stephen Snyder,Danto's Narrative Philosophy of History and the End of Art,2015
ALLLDM-3,Emmanuel Alloa,L?Arr\^{e}t de Mort. Notes Sur le Temps Photographique,2022
DILPOM,John Dilworth,Pictorial Orientation Matters,2003
GOVAAM-2,K. E. Gover,Are All Multiples the Same? The Problematic Nature of the Limited Edition,2015
JAKASB,Marzenna Jakubczak,Architektura Stupy Buddyjskiej Jako Przyk\l{}ad Projektu Sakralnego,1999
CORPUE,Jos\'e Ram\'{o}n Fabelo Corzo,Por Una Est\'{e}tica Apegada a la Vida,2010
ALLALB,Emmanuel Alloa,A Lesser Being. From Louis Marin to Simondon and Back,2021
SEDCNA,Sonia Sedivy,Conventional Naturalism: A Perceptualist Account of Pictorial Representation,1996
GILLAE,Scott F. Gilbert and Marion Faber,Looking at Embryos: The Visual and Conceptual Aesthetics of Emerging Form,1996
Johnson2023-CANCSA-7,Logan Canada{-}Johnson,Cinematic Street Art? Exploring the Limits of the Philosophy of Street Art (1st edition),2023
WINSEM-2,David Winfield,Some Early Medieval Figure Sculpture From North-East Turkey,1968
DELAPO,Sophia Delza,A Picture of the Art of Face Painting and Make-Up in the Classical Chinese Theatre,1971
SANECF-3,Simone Santamato,"E Che Fa, Essere Confusi? \emph{8 1/2} di Federico Fellini",manuscript
STONWI,Kathleen Stock and Katherine Thomson{-}Jones,New Waves in Aesthetics,2008
WALSAT-23,Kendall Walton,Style and the Processes of Art,1979
ALLTDO-26,Derek Allan,The Death of Beauty: Goya's Etchings and Black Paintings Through the Eyes of Andr\'e Malraux,2016
ZISAAA,Jens Dam Ziska,Art as Alchemy: The Bildobjekt Interpretation of Pictorial Illusion,2018
DCBTCO,Dami\'{a}n Carl\'{o}s Bay\'{o}n,The Characteristics of the Visual Arts in America,1963
SAUJAQ,Martina Sauer,"Josef Albers. ""so Ist Kunst ... Erlebnis"" (1st edition)",2018
RONTMC,David Rondel,The Moral Consequences of the End of Art,2014
