ID,Author,Title,Year
VUOCVP,Quan{-}Hoang Vuong and Tam{-}Tri Le and Viet{-}Phuong La and Huyen Thanh Thanh Nguyen and Manh{-}Toan Ho and Van Quy Khuc and Minh{-}Hoang Nguyen,Covid-19 Vaccines Production and Societal Immunization Under the Serendipity-Mindsponge-3D Knowledge Management Theory and Conceptual Framework,2022
DELATP,Gilles Deleuze,A Thousand Plateaus: Capitalism and Schizophrenia,1987
LEWPP-2,David Kellogg Lewis,Philosophical Papers,1983
WIMRPF,William C. Wimsatt,Re-Engineering Philosophy for Limited Beings: Piecewise Approximations to Reality,2007
DUMTAO,Michael Dummett,Truth and Other Enigmas,1978
VUOTPM,Quan{-}Hoang Vuong,Mindsponge-Based Theoretical Reasoning on the Political Psychology That Begets and Empowers a Dictator,2022
FRATIO-25,Harry G. Frankfurt,The Importance of What We Care About: Philosophical Essays,1988
BLAMAM-3,Max Black,Models and Metaphors,1962
MCDMVA,John Henry McDowell,"Mind, Value, and Reality",1998
BLAMAM-12,Max Black,Models and Metaphors: Studies in Language and Philosophy,1962
WILCTU-2,Edward O. Wilson,Consilience: The Unity of Knowledge,1998
STINAE,Jonathan M. Weinberg and Shaun Nichols and Stephen Stich,Normativity and Epistemic Intuitions,2001
SMAPAS-4,J. J. C. Smart,Philosophy and Scientific Realism,1963
HOTASM,Manh{-}Tung Ho and Quan{-}Hoang Vuong,Toward a Social Theory of Human-Ai Co-Creation: Bringing Techno-Social Reproduction and Situated Cognition Together with the Following Seven Premises,manuscript
ARETLO,Hannah Arendt,The Life of the Mind,1978
KNOEP-2,Joshua Michael Knobe and Shaun Nichols,Experimental Philosophy,2008
ZALTSE,Edward N. Zalta,The Stanford Encyclopedia of Philosophy,2014
RUSHOW,Bertrand Russell,History of Western Philosophy,1946
NOVAIA,Claudio Novelli and Mariarosaria Taddeo and Luciano Floridi,Accountability in Artificial Intelligence: What It is and How It Works,2023
QUEMPT,Matthieu Queloz,Making Past Thinkers Speak to Us Through Pragmatic Genealogies,2023
GOOPAP-3,Nelson Goodman,Problems and Projects,1972
BRATOT,Robert Brandom,Tales of the Mighty Dead: Historical Essays in the Metaphysics of Intentionality,2002
FRANVA-2,Harry G. Frankfurt,"Necessity, Volition, and Love",1998
