ID,Author,Title,Year
WALAS-7,Douglas Walton and Christopher Reed and Fabrizio Macagno,Argumentation Schemes,2008
PETTAP-2,Michael A. Peters and Petar Jandri\'c and Ruth Irwin and Kirsten Locke and Nesta Devine and Richard Heraud and Andrew Gibbons and Tina Besley and Jayne White and Daniella Forster and Liz Jackson and Elizabeth Grierson and Carl Mika and Georgina Stewart and Marek Tesar and Susanne Brighouse and Sonja Arndt and George Lazaroiu and Ramona Mihaila and Catherine Legg and Leon Benade,Towards a Philosophy of Academic Publishing,2016
VUOTDA-2,Quan{-}Hoang Vuong and Manh{-}Tung Ho,The Disruptive Alphageometry: Is It the Beginning of the End of Mathematics Education? (1st edition),manuscript
VONAVO,Rene Von Schomberg,A Vision of Responsible Innovation,2017
DENCTO-4,M. R. X. Dentith,Conspiracy Theories on the Basis of the Evidence,2019
DOTHIT,Kristie Dotson,How is This Paper Philosophy?,2012
DELTAP-8,Finnur Dells\'{e}n and Insa Lawler and James Norton,Thinking About Progress: From Science to Philosophy,2022
KNOTOM-4,Atina Knowles,Taxonomy of Morals and Ethical Theories. Why We Do the Things We Do and How We Ought to Do Them.,2024
KLEWMI,Stan Klein,What Memory Is,2015
CAVTWO,Stephen Cave and Kanta Dihal,The Whiteness of Ai,2020
SAYWTM,Andrew Sayer,"Why Things Matter to People: Social Science, Values and Ethical Life",2011
FLOETR,Luciano Floridi,Establishing the Rules for Building Trustworthy Ai,2019
HAZTMO,Allan Hazlett,The Myth of Factive Verbs,2010
SCETPT-2,Eric R. Scerri,"The Periodic Table, its Story and its Significance",2007
TIMSTI,Travis Timmerman,Sometimes There is Nothing Wrong with Letting a Child Drown,2015
KAUPAI-4,"Stephan K\""{a}ufer and Anthony Chemero",Phenomenology: An Introduction,2015
GOLCIA-3,Natalie Gold and Robert Sugden,Collective Intentions and Team Agency,2007
PAVSIE,Carlotta Pavese,Skill in Epistemology I: Skill and Knowledge,2016
FROTDT,Helen Frowe,The Duty to Remove Statues of Wrongdoers,2019
JENMVD,C. S. I. Jenkins,Merely Verbal Disputes,2014
FLOTEL-2,Luciano Floridi,The European Legislation on Ai: A Brief Analysis of its Philosophical Approach,2021
SAWDFF-2,Jana Sawicki,"Disciplining Foucault: Feminism, Power, and the Body",1991
JASSOF-2,Romy Jaster and David Lanius,Speaking of Fake News: Definitions and Dimensions,2021
MAXFKT-3,Nicholas Maxwell,From Knowledge to Wisdom: A Revolution in the Aims and Methods of Science,1984
SCHTDO-132,Eric Schwitzgebel and Liam Kofi Bright and Carolyn Dicey Jennings and Morgan Thompson and Eric Winsberg,The Diversity of Philosophy Students and Faculty,2021
VONWRI,Rene Von Schomberg,Why Responsible Innovation,2019
BRIESR,Robert Briscoe,Egocentric Spatial Representation in Action and Perception,2009
BRIMRI-2,Ingar Brinck and Christian Balkenius,Mutual Recognition in Human-Robot Interaction: A Deflationary Account,2020
GUTTNT-3,Rico Gutschmidt and Merlin Carl,"The Negative Theology of Absolute Infinity: Cantor, Mathematics, and Humility",2024
DOUFUA,Tom Dougherty and Samuel Baron and Kristie Miller,Female Under-Representation Among Philosophy Majors: A Map of the Hypotheses and a Survey of the Evidence,2015
DEHBMO,Sanneke De Haan and Erik Rietveld and Martin Stokhof and Damiaan Denys,Becoming More Oneself? Changes in Personality Following Dbs Treatment for Psychiatric Disorders: Experiences of Ocd Patients and General Considerations,2017
KRSDAA,Vladimir Krsti\'c and Chantelle Saville,Deception (Under Uncertainty) as a Kind of Manipulation,2019
KLEP-6,Stan Klein,Autonoesis and Belief in a Personal Past: An Evolutionary Theory of Episodic Memory Indices,2014
GALDRI-6,Shaun Gallagher and Anya Daly,Dynamical Relations in the Self-Pattern,2018
PAUTPO-13,Adam Pautz,The Puzzle of the Laws of Appearance,2020
MOVCIL,Hamed Movahedi,Continuity in Leibniz and Deleuze: A Reading of Difference and Repetition and the Fold,2024
Forde2023-INETUF,Angelina Inesia{-}Forde,"\emph{The Us Founding Documents Through the Lenses of Bourdieu, Foucault, and Marx: A Power Analysis}",2023
GOLCDI,Natalie Gold and Andrew Colman and Briony Pulford,Cultural Differences in Responses to Real-Life and Hypothetical Trolley Problems,2015
