ID,Author,Title,Year
LORTBW,Hendrik Lorenz,The Brute Within: Appetitive Desire in Plato and Aristotle,2006
HARPOP,Verity Harte,Plato on Parts and Wholes: The Metaphysics of Structure,2002
CHEACO-3,Harold F. Cherniss,Aristotle's Criticism of Plato and the Academy,1944
BHAPET,Roy Bhaskar,Plato Etc.: The Problems of Philosophy and Their Resolution,1994
BRIAIT-8,Julia Annas,An Introduction to Plato's Republic,1981
KARPAA,George E. Karamanolis,Plato and Aristotle in Agreement?: Platonists on Aristotle From Antiochus to Porphyry,2006
FINOIA,Gail Fine,On Ideas: Aristotle?s Criticism of Plato?s Theory of Forms,1993
DUHTST,Pierre Duhem,"To Save the Phenomena, an Essay on the Idea of Physical Theory From Plato to Galileo",1969
KRADAT-3,Richard Kraut,Desire and the Human Good,1994
ANNPEO-3,Julia Annas,"Platonic Ethics, Old and New",1999
MORMAP-9,Kathryn A. Morgan,Myth and Philosophy From the Presocratics to Plato,2000
KEUPAT,Tae{-}Yeoun Keum,Plato and the Mythic Tradition in Political Thought,2020
HORPAP-5,Phillip Sidney Horky,Plato and Pythagoreanism,2013
KORSIT,Christine M. Korsgaard,Self-Constitution in the Ethics of Plato and Kant,1999
DIGPAT,P. E. Digeser and Rebecca LeMoine and Jill Frank and David Lay Williams and Jacob Abolafia and Tae{-}Yeoun Keum,Plato and the Mythic Tradition in Political Thought,2022
ANNPAA,Julia Annas,Plato and Aristotle on Friendship and Altruism,1977
BHAPEP,Roy Bhaskar,Plato Etc.: Problems of Philosophy and Their Resolution,2010
CRATCA-3,William Lane Craig,The Cosmological Argument From Plato to Leibniz,1980
DODTPO-3,E. R. Dodds,The Parmenides of Plato and the Origin of the Neoplatonic 'One',1928
GRAIAU,Christopher Grau,Irreplaceability and Unique Value,2004
MILTED,Christian Miller,The Euthyphro Dilemma,2021
MENAAP,Stephen Menn,Aristotle and Plato on God as Nous and as the Good,1992
PATPAE,Jan Patoc?ka,Plato and Europe,2002
LEEEAP,Mi{-}Kyoung Lee,"Epistemology After Protagoras: Responses to Relativism in Plato, Aristotle, and Democritus",2005
DURTSO,Will Durant,The Story of Philosophy,1926
GADDAD,Hans{-}Georg Gadamer,Dialogue and Dialectic: Eight Hermeneutical Studies on Plato,1980
KATTCO-3,Paul Katsafanas,"The Concept of Unified Agency in Nietzsche, Plato, and Schiller",2011
JULPRA,Julia Annas,Plato's Republic and Feminism,1976
DILTHO,John M. Dillon,"The Heirs of Plato: A Study of the Old Academy, 347-274 B.C",2003
MARPON-3,Marije Martijn,Proclus on Nature: Philosophy of Nature and its Methods in Proclus? Commentary on Plato?s \emph{Timaeus},2010
BROSAB-3,Sarah Broadie,Soul and Body in Plato and Descartes,2001
BRYLAL,Jenny Bryan,Likeness and Likelihood in the Presocratics and Plato,2012
EVALFE-2,Matthew Evans,Lessons From Euthyphro 10a-11B,2012
COUAOA-2,Sean Coughlin,Athenaeus of Attalia on the Psychological Causes of Bodily Health,2018
MUNTPP,Dana LaCourse Munteanu,Tragic Pathos: Pity and Fear in Greek Philosophy and Tragedy,2011
RUNPOA-3,David T. Runia,"Philo of Alexandria and the ""Timaeus"" of Plato",1986
OSBEUP,Catherine Osborne,Eros Unveiled: Plato and the God of Love,1994
TARPFI,Harold Tarrant,Plato's First Interpreters,2000
BALTAT-3,Han Baltussen,Theophrastus Against the Presocratics and Plato: Peripatetic Dialectic in the de Sensibus,2000
GONKIG,Cheng Gong,???????????,manuscript
BURGPT,John Burnet,Greek Philosophy: Thales to Plato,1968
GONPAH-2,Francisco J. Gonzalez,Plato and Heidegger: A Question of Dialogue,2009
FINTDO-3,Jakob Leth Fink,The Development of Dialectic From Plato to Aristotle,2012
PALPAH,John Palmer,Plato and His Predecessors: The Dramatisation of Reason,2002
BALTCI-2,Dirk Baltzly and Nick Eliopoulos,The Classical Ideals of Friendship,2009
MABIPR,J. D. Mabbott,Is Plato's Republic Utilitarian?,1937
GERDAI,Sebastian Ramon Philipp Gertz,Death and Immortality in Late Neoplatonism: Studies on the Ancient Commentaries on Plato's Phaedo,2011
BARTCA-4,Rachel Barney,The Carpenter and the Good,2007
GERPAT,Lloyd P. Gerson,Platonism and the Invention of the Problem of Universals,2004
FINFAC-2,Jakob L. Fink,Form and Content in the Philosophical Dialogue: Dialectic and Dialogue in the Lysis / Morten S. Thaning ; the Laches and 'Joint Search' Dialectic / Holger Thesleff ; the Philosophical Importance of the Dialogue Form for Plato / Charles H. Kahn ; How Did Aristotle Read a Platonic Dialogue?,2012
PENPAD-4,Terrence M. Penner,Plato and Davidson: Parts of the Soul and Weakness of Will,1990
HORHPT,Phillip Sidney Horky,Herennius Pontius: The Construction of a Samnite Philosopher.,2011
RISEAP,John M. Rist,Eros and Psyche,1964
HOIFAR-3,Dewey J. Hoitenga Jr,Faith and Reason From Plato to Plantinga: An Introduction to Reformed Epistemology,1991
HANPIT-2,James Hankins,Plato in the Italian Renaissance,1990
MORPAP-4,Julius Moravcsik,"Plato and Platonism: Plato's Conception of Appearance and Reality in Ontology, Epistemology, and Ethics, and its Modern Echoes",1992
HOFWOW,Tobias Hoffmann,Weakness of Will From Plato to the Present,2008
MCLMPV-2,Colin McLarty,?Mathematical Platonism? Versus Gathering the Dead: What Socrates Teaches Glaucon \&Dagger,2005
HORAIO-4,Phillip Sidney Horky,"'Anonymus Iamblichi, on Excellence (Peri Aret\^{e}s): A Lost Defense of Democracy'",2020
PROPCO-2,Proclus,Proclus' Commentary on Plato's Parmenides,1987
ADECAI,Francesco Ademollo,Cosmic and Individual Soul in Early Stoicism,2020
MCPPJA,Mark L. McPherran,"Piety, Justice, and the Unity of Virtue",2000
BUREIE-3,M. F. Burnyeat,"Examples in Epistemology: Socrates, Theaetetus and G. E. Moore",1977
PRIBSP,Alex Priou,Becoming Socrates: Political Philosophy in Plato's Parmenides,2018
HEAAPP,Malcolm Heath,Ancient Philosophical Poetics,2012
ADETPO-8,Francesco Ademollo,The Platonic Origins of Stoic Theology,2012
HORPCA-2,Phillip Sidney Horky,Persian Cosmos and Greek Philosophy: Plato's Associates and the Zoroastrian Magoi,2009
VAZTCA,Daniel Vazquez,"Teleology, Causation and the Atlas Motif in Plato's \emph{Phaedo}",2020
RUSVAL,Daniel C. Russell,"Virtue as ""Likeness to God"" in Plato and Seneca",2004
MCCPAH-7,Jyl Gentzler,Plato and His Predecessors: The Dramatisation of Reason,2003
AMBCYS,Amber Carpenter and Jonardon Ganeri,Can You Seek the Answer to This Question? (Meno in India),2010
BAMNEO-3,Renford Bambrough,New Essays on Plato and Aristotle,1965
MALNLT,Shimon Malin,"Nature Loves to Hide: Quantum Physics and Reality, a Western Perspective",2001
COLHFA-2,Matthew Colvin,Heraclitean Flux and Unity of Opposites in Plato's Theaetetus and Cratylus,2007
PROOPC,Brian Duvick,"Proclus: On Plato's ""Cratylus""",2007
WRAHOP,Mark Wrathall,"Heidegger on Plato, Truth, and Unconcealment: The 1931?32 Lecture on the Essence of Truth",2004
PRIPAF-2,A. W. Price,Plato and Freud,1990
BROSTW-4,Wendy Brown,Supposing Truth Were a Woman.,1988
PENPAD,Terrence M. Penner,Plato and Davidson,1990
RUTTPO-2,Richard B. Rutherford,"The Philosophy of the ""Odyssey""",1986
FORTBO-10,Simona Forti,The Biopolitics of Souls,2006
TAYIAI-2,Richard C. Taylor,Intellect as Intrinsic Formal Cause in the Soul According to Aquinas and Averroes,2009
BNATPA,"Thomas B\'{e}natou\""{i}l and Mauro Bonazzi","Theoria, Praxis, and the Contemplative Life After Plato and Aristotle",2012
FLEAIT,Antony Flew,An Introduction to Western Philosophy: Ideas and Argument From Plato to Popper,1989
FRETTO-3,Bernard Freydberg,"The Thought of John Sallis: Phenomenology, Plato, Imagination",2012
EGAEAP,Kieran Egan,"Education and Psychology: Plato, Piaget, and Scientific Psychology",1983
BACAOA,Jussi Backman,All of a Sudden: Heidegger and Plato?s Parmenides,2007
HENASE-3,Devin Henry,A Sharp Eye for Kinds: Collection and Division in Plato's Late Dialogues,2011
STEPIP-3,Carlos Steel,"Procli in Platonis Parmenidem Commentaria: Tomus I, Libros I-Iii Continens",2007
LANOMA,Helen S. Lang,On Memory: Aristotle's Corrections of Plato,1980
JANNPA-2,Christopher Janaway,Nietzsche's Psychology as a Refinement of Plato's,2014
STEDPA-4,Buckle Stephen,"Descartes, Plato and the Cave",2007
CAILPF,Huntington Cairns,Legal Philosophy From Plato to Hegel,1956
BARTCW,Jeremy Barris,"The Crane's Walk: Plato, Pluralism, and the Inconstancy of Truth",2009
CORPTO,Kevin Corrigan,"Plotinus' Theory of Matter-Evil and the Question of Substance: Plato, Aristototle, and Alexander of Aphrodisias",1996
PARMAR,Joshua Parens,"Metaphysics as Rhetoric: Alfarabi's Summary of Plato's ""Laws""",1995
RALHP,Mark Ralkowski,Heidegger's Platonism,2009
WARRPB,Peter Warnek,Reading Plato Before Platonism (After Heidegger),1997
BOBWSP,Christopher Bobonich,Why Should Philosophers Rule? Plato's Republic and Aristotle's Protrepticus,2007
CAROTM,David Carr,On the Moral Value of Physical Activity: Body and Soul in Plato's Account of Virtue,2010
MADSAA,Arthur Madigan,Syrianus and Asclepius on Forms and Intermediates in Plato and Aristotle,1986
RASTRO-3,Will Rasmussen,The Realism of Universals in Plato and Ny\={a}ya,2009
PECPVP,Arthur L. Peck,Plato Versus Parmenides,1962
BLUAPA-2,R. S. Bluck,"Aristotle, Plato, and Ideas of Artefacta",1947
PETMSO-2,Federico M. Petrucci,Making Sense of the Soul?s Numbers. Middle Platonist Readings of Plato?s Divisio Animae,2019
MCDXMP,John McDowell,X--Identity Mistakes: Plato and the Logical Atomists,1970
MARPOH-2,Marjorie O'Rourke Boyle,Pure of Heart: From Ancient Rites to Renaissance Plato,2002
CHAPRE,Charles Marsh,"Public Relations Ethics: Contrasting Models From the Rhetorics of Plato, Aristotle, and Isocrates",2001
DOSBBH,Robert J. Dostal,Beyond Being: Heidegger's Plato,1985
MILDAD-3,Mitchell Miller,"On Dmitri Nikulin, Dialectic and Dialogue",2011
JONNFP,A. R. Jonsen,Neuroethics: From Plato's Republic to Today,forthcoming
PYLMQP,Anna Pylypiuk,"Manuscript ""Neoplatonic Philosophy"" by Pamfil D. Yurkevych: Source Criticism",2018
PARHAP,Catalin Partenie and Tom Rockmore,Heidegger and Plato: Toward Dialogue,2005
FIOBVD,David Fiorovanti,"Badiou Versus Derrida: Truth, Sets, and Sophistry",2012
SIMTTA,David Simpson,"Truth, Truthfulness and Philosophy in Plato and Nietzsche",2007
Castrillejo2015-TORLMD-3,David Torrijos{-}Castrillejo,La Metaf\'{i}sica de Plat\'{o}n Seg\'{u}n San Alberto Magno,2015
EDMLAP,Mark Edmundson,"Literature Against Philosophy, Plato to Derrida: A Defence of Poetry",1995
AVEAOP,Averroes,Averroes on Plato's Republic,1974
TAROCO,Harold Tarrant,Olympiodorus: Commentary on Platos Gorgias : Introduction by Harold Tarrant,1998
LANPPH,M. S. Lane,Plato's Progeny: How Socrates and Plato Still Captivate the Modern Mind,2001
SHOPAA-2,Paul Shorey,"Platonism, Ancient and Modern",1938
GROCWT-2,Peter S. Groff,Cultivating Weeds: The Place of Solitude in the Political Philosophies of Ibn B\={a}jja and Nietzsche,2020
KAYSPP,Daryl Kaytor,Shakespeare's Political Philosophy: A Debt to Plato in \emph{Timon of Athens},2012
ARRCTC-2,Cinzia Arruzza,?Cleaning the City?: Plato and Popper on Political Change,2012
KIMPIG,Alan Kim,Plato in Germany: Kant - Natorp - Heidegger,2010
BERPOV,Sandrine Berges,Plato on Virtue and the Law,2009
CORTCO-7,Christopher Cordner,Two Conceptions of Love in Philosophical Thought,2011
DAVPAN-5,Michael Davis,Plato and Nietzsche on Death,1980
FERPAT-13,Rafael Ferber,Plato as Teacher of Socrates?,2016
HORGAA,Phillip Sidney Horky,'Gramsci and Ancient Philosophy: Prelude to a Study' (Please Contact Me for Proofs),2021
GONOTW,Francisco J. Gonzalez,"On the Way to Sophia: Heidegger on Plato's Dialectic, Ethics, and Sophist",1997
GUEAPA,Henry Guerlac,Amicus Plato and Other Friends,1978
BIARFT-2,Emanuela Bianchi,Receptacle/ Ch\={o}ra: Figuring the Errant Feminine in Plato's Timaeus,2001
GONDAP,Francisco Gonzalez,"Dialectic as ""Philosophical Embarrassment"": Heidegger's Critique of Plato's Method",2002
LEITVO,Stephen Leighton,The Value of Passions in Plato and Aristotle,1995
GADPAP,Hans{-}Georg Gadamer,Plato as Portraitist,2000
MATPIP,Gareth B. Matthews,"Perplexity in Plato, Aristotole, and Tarski",1997
GRAATO-4,Daniel W. Graham,A Testimony of Anaximenes in Plato,2003
KARTOP,George Karamanolis,Transformations of Plato's Ethics: Platonist Interpretations of Plato's Ethics From Antiochus to Porphyry,2004
DEVPPI-3,Daniel T. Devereux,Pauline Predications in Plato,1977
SOLSEF,Marco Solinas,"Socrate e Freud. Due Psicoterapie a Confronto, in ""Kyk\'{e}ion. Semestrale di Idee in Discussione"", 8 , Pp. 105-116",2002
OLOTSO,Pettersson Olof,The Science of Philosophy: Discourse and Deception in Plato?s Sophist,2018
SENOPT,Marcos Seneda,O Plat\~{a}o Tomista,1999
GARGAT-7,John V. Garner,Gadamer and the Lessons of Arithmetic in Plato?s Hippias Major,2017
ANDOLC,Joshua Anderson,"Ordinary Language, Cephalus and a Deflationary Account of the Forms",2020
PASGVA-2,David Blair Pass,"Gender, Virtue, and Paideia: Proclus? Interpretation of Plato?s Proposal",2017
CORSOT,Kevin Corrigan,"Simmias? Objection to Socrates in the Phaedo: Harmony, Symphony and Some Later Platonic/ Patristic Responses to the Mind/Soul-Body Question",2010
BOSAOT-3,A. P. Bos,"Aristotle, on the Life-Bearing Spirit (de Spiritu): A Discussion with Plato and His Predecessors on Pneuma as the Instrumental Body of the Soul",2008
LEOREM,Leone Gazziero,Rationes Ex Machina. La Micrologie \`A L?\^{A}ge de L?Industrie de L?Argument,2008
DRATDO-2,Ryan Drake,The Death of Painting (After Plato),2011
Friemuth2009-ELKTAI,Maha Elkaisy{-}Friemuth,Tradition and Innovation in the Psychology of Fakhr Al-D\={i}n Al-R\={a}z\=i,2009
LANCGA,Melissa Lane,Comparing Greek and Chinese Political Thought: The Case of Plato?s Republic,2009
DISOTC,Leonardo V. Distaso,"On the Common Origin of Music and Philosophy: Plato, Nietzsche, and Benjamin",2009
GOUTSO,Jean{-}Baptiste Gourinat,The Stoics on Matter and Prime Matter : Corporealism and Theimprint of Plato's Timaeus,2009
DORMAM,Kenneth Dorter,"Metaphysics and Morality in Neo-Confucianism and Greece: Zhu Xi, Plato, Aristotle, and Plotinus",2009
KVAFTO,Jonathan Kvanvig,Further Thoughts on the Swamping Problem,unknown
CUFPIT,Domenico Cufalo,Per Il Testo Degli Scoli Platonici,2003
BERPCO,Robbert Maarten van den Berg,Proclus' Commentary on the Cratylus in Context: Ancient Theories of Language and Naming,2007
CUFNST,Domenico Cufalo,Note Sulla Tradizione Degli Scoli Platonici,2001
CUSDPD,Guido Cusinato,Phenomenological Reduction as a Philosophical Conversion (Periagoge): Husserl and Scheler,2012
THEIVP,Panos Theodorou,"?\ensuremath{\mu}\ensuremath{\alpha}\ensuremath{\rho}\ensuremath{\tau}i\ensuremath{\alpha}, Verfall, Pain. Plato's and Heidegger's Philosophies of Politics and Beyond",2013
ECKTSI,Maureen Eckert,This Site is Under Construction: Situating Hegel's Plato,2006
BOWPHA-3,W. Derek Bowman,Philosophy Hitherto: A Reply to Frodeman and Briggle,2016
CUFPEI,Domenico Cufalo,Platone e I Suoi Commentatori,2006
FURPE,Rick Anthony Furtak,Platonic Eros,2010
VEGLSD,Mario Vegetti and Marco Solinas,Lo Strabismo Dello Storico (Fra Gli Antichi e Noi). Intervista Teorico-Biografica. A Cura di Marco Solinas,2008
MCMTSO,Jennifer A. McMahon,The Significance of Plato's Notions of Beauty and Pleasure in the Philosophy of Kant,2007
OLOI,Pettersson Olof,Introduction,2017
KIRTIT,Sean D. Kirkland,Thinking in the Between with Heidegger and Plato,2007
NERGAP-2,Zbigniew Nerczuk,Gorgiasz a Platon. Przyczynek Do Historii Empiryzmu,1997
