ID,Author,Title,Year
HAVPTP,Eric Alfred Havelock,Preface to Plato,1963
BHAPET,Roy Bhaskar,Plato Etc.: The Problems of Philosophy and Their Resolution,1994
NAITPO-4,Debra Nails,The People of Plato: A Prosopography of Plato and Other Socratics,2002
DOVGPM,Kenneth James Dover,Greek Popular Morality in the Time of Plato and Aristotle,1974
KRATCC-3,Richard Kraut,The Cambridge Companion to Plato,1992
CROAEO,I. M. Crombie,An Examination of Plato's Doctrines,1962
GILPPM,Mary Louise Gill,Philosophos: Plato?s Missing Dialogue,2012
PETSAP-9,Sandra Peterson,Socrates and Philosophy in the Dialogues of Plato,2011
GROPAT-10,George Grote,Plato and the Other Companions of Sokrates,1888
PRIMC-3,A. W. Price,Mental Conflict,1994
BHAPEP,Roy Bhaskar,Plato Etc.: Problems of Philosophy and Their Resolution,2010
SALCOB-2,John Sallis,Chorology: On Beginning in Plato's Timaeus,1999
BEVCSA-2,John Beversluis,Cross-Examining Socrates: A Defense of the Interlocutors in Plato?s Early Dialogues,2000
CAMTST-12,Douglas R. Campbell,The Soul?s Tool: Plato on the Usefulness of the Body,2022
GOLPAT-7,Rebecca Goldstein,Plato at the Googleplex: Why Philosophy Won't Go Away,2014
BRAAWI,Leonard Brandwood,A Word Index to Plato,1976
CHETRO-2,Harold Fredrik Cherniss,The Riddle of the Early Academy,1962
PATPAE,Jan Patoc?ka,Plato and Europe,2002
IRWPH,T. H. Irwin,Plato's Heracleiteanism,1977
GRIPWR-2,Charles L. Griswold,Platonic Writings/Platonic Readings,1988
BRATCO-50,Leonard Brandwood,The Chronology of Plato's Dialogues,1990
BENACT-10,Hugh H. Benson,A Companion to Plato,2006
SCHRAM-15,Lea Aurelia Schroeder,Replenishment and Maintenance of the Human Body,2021
DILTHO,John M. Dillon,"The Heirs of Plato: A Study of the Old Academy, 347-274 B.C",2003
BAIRAO,Nicholas R. Baima,Republic 382a-D: On the Dangers and Benefits of Falsehood,2017
KERP-4,G. B. Kerferd,Plato,1951
ACKEOP,J. L. Ackrill,Essays on Plato and Aristotle,2001
FRIP-2,Paul Friedla?nder,Plato,1969
KRAP,Richard Kraut,Plato,1981
BONNGI,Giulia Bonasio,Natural Goods in the Eudemian Ethics,2021
ANNP-2,Julia Annas,Plato,1986
FINTOH-4,Gail Fine,The Oxford Handbook of Plato,2008
CRIDOA,Matthew Crippen,"Dewey on Arts, Sciences and Greek Philosophy",2016
NEHPAT,Alexander Nehamas,Plato and the Mass Media,1988
ALLWPW-5,Danielle S. Allen,Why Plato Wrote,2010
OSBDBA,Catherine Osborne,Dumb Beasts and Dead Philosophers: Humanity and the Humane in Ancient Philosophy and Literature,2007
FOWHAH,Robert L. Fowler,Herodotos and His Contemporaries,1996
LONCAS,Alex Long,Conversation and Self-Sufficiency in Plato,2013
ANNPAV,Julia Annas,Plato: A Very Short Introduction,2003
KAHSPU,Charles H. Kahn,"Some Philosophical Uses of ""to Be"" in Plato",1981
GORPEW-3,Jill Gordon,Plato's Erotic World: From Cosmic Origins to Human Death,2012
BOAFAL,George Boas,Fact and Legend in the Biography of Plato,1948
PERPNE-2,Marcelo Perine,Plat\~{a}o N\~{a}o Estava Doente,2014
FRIP-13,Paul Friedla?nder,Platon,1928
GRUPT-2,George Maximilian Anthony Grube,Plato's Thought,1935
LEVIDO-2,Ronald Bartlett Levinson,In Defense of Plato,1953
HANPIT-2,James Hankins,Plato in the Italian Renaissance,1990
COHRIA,S. Marc Cohen and Patricia Curd and C. D. C. Reeve,Readings in Ancient Greek Philosophy: From Thales to Aristotle,2016
KIRPAR,Christopher Kirwan,Plato and Relativity,1974
PENS,Terry Penner,Socrates,2000
