ID,Author,Title,Year
COOPOW,John Madison Cooper,Pursuits of Wisdom: Six Ways of Life in Ancient Philosophy From Socrates to Plotinus,2012
GERP,Lloyd P. Gerson,Plotinus,1994
PLOE,Plotinus,Enneads,1949
ELISIP-2,Mark Eli Kalderon,Sympathy in Perception,2017
REMPOS-2,Pauliina Remes,Plotinus on Self: The Philosophy of the 'We',2007
PLOTE-3,Plotinus,The Enneads,1983
COHWTO,Caleb M. Cohoe,"Why the One Cannot Have Parts: Plotinus on Divine Simplicity, Ontological Independence, and Perfect Being Theology",2017
NOBHPS,Christopher Isaac Noble,How Plotinus' Soul Animates His Body: The Argument for the Soul-Trace at Ennead 4.4.18.1-9,2013
COOFAR-2,Ursula Coope,Freedom and Responsibility in Neoplatonist Thought,2020
CHIOIE,Riccardo Chiaradonna,"Ontology in Early Neoplatonism: Plotinus, Porphyry, Iamblichus",2023
EMIPOS-3,Eyjo?lfur Kjalar Emilsson,Plotinus on Sense-Perception: A Philosophical Study,1988
ADATAP,Peter Adamson,The Arabic Plotinus: A Philosophical Study of the Theology of Aristotle,2002
RAPRNN-2,Sara Rappe,"Reading Neoplatonism: Non-Discursive Thinking in the Texts of Plotinus, Proclus, and Damascius",2000
BLUPP,H. J. Blumenthal,Plotinus' Psychology,1971
RISPT,J. M. Rist,Plotinus : The Road to Reality,1967
HUTPOC-2,D. M. Hutchinson,Plotinus on Consciousness,2018
NOBCAD,Christopher Noble and Nathan Powers,Creation and Divine Providence in Plotinus,2015
CHIACF-2,Riccardo Chiaradonna,Aristotle?s Categories From Plotinus to Iamblichus,2024
ELITNO,Erik Eliasson,The Notion of That Which Depends on Us in Plotinus and its Background,2008
MERFPT-2,Philip Merlan,From Platonism to Neoplatonism,1960
SCHLDS-5,Alexandrine Schniewind,L'\'{e}thique du Sage Chez Plotin: Le Paradigme du Spoudaios,2003
LLOTAO-5,Antony C. Lloyd,The Anatomy of Neoplatonism,1990
KINAAP,R. A. H. King,Aristotle and Plotinus on Memory,2009
CALPOT-5,Damian Caluori,Plotinus on the Soul,2015
NOBPUS,Christopher Noble,Plotinus? Unaffectable Soul,2016
BYEQAT,Sarah Byers,"""Augustine and the Philosophers""",2012
ARMP-2,A. H. Armstrong,Plotinus,1968
HADPOT,Pierre Hadot,"Plotinus, or, the Simplicity of Vision",1993
THAAL,Eugene Thacker,After Life,2010
REMN-2,Pauliina Remes,Neoplatonism,2008
OKEATO,Tim O'Keefe,Ancient Theories of Freedom and Determinism,2020
EDWNST,M. J. Edwards,Neoplatonic Saints: The Lives of Plotinus and Proclus by Their Students,2000
EMIP-4,Eyjo?lfur Kjalar Emilsson,Plotinus,2005
REMPEO,Pauliina Remes,Plotinus's Ethics of Disinterested Interest,2006
PLOTSE,Plotinus,The Six Enneads,unknown
OMERNN,Dominic J. O?Meara,"Reading Neoplatonism: Nondiscursive Thinking in the Texts of Plotinus, Proclus, and Damascius",2002
OMEPAI,Dominic J. O'Meara,Plotinus: An Introduction to the Enneads,1993
RISPTR,John M. Rist,Plotinus: The Road to Reality,1967
RISPOM-2,John M. Rist,Plotinus on Matter and Evil,1961
OPSPVP,Jan Opsomer,Proclus Vs Plotinus on Matter (de Mal. Subs. 30-7 ),2001
HALDAD-10,Joshua Hall,Demiurge and Deity: The Cosmical Theology of Olaf Stapledon?s \emph{Star Maker},2023
MAGSAS-2,Sara Magrin,Sensation and Scepticism in Plotinus,2010
HALDAZ,Jens Halfwassen,Der Aufstieg Zum Einen: Untersuchungen Zu Platon Und Plotin,1992
RISEAP-5,John M. Rist,"Eros and Psyche: Studies in Plato, Plotinus, and Origen",1964
GERTCH,Lloyd P. Gerson,The Cambridge History of Philosophy in Late Antiquity,2010
HUTPAT,Douglas Hedley and Sarah Hutton,Platonism and the Origins of Modernity: The Platonic Tradition and the Rise of Modern Philosophy,2008
NOBPUM,Christopher Isaac Noble,Plotinus' Unaffectable Matter,2013
BOBAIG,Christopher Bobonich and Pierre Destre?e,Akrasia in Greek Philosophy: From Socrates to Plotinus,2007
STAPAT-10,Giannis Stamatellos,Plotinus and the Presocratics: A Philosophical Study of Presocratic Influences in Plotinus' Enneads,2007
ZAIEPA,Syed A. H. Zaidi,"Eternity, Perpetuity, and Time in the Cosmologies of Plotinus and M\={i}r D\={a}m\={a}d",2024
HAMPOS-2,D. W. Hamlyn and Eyjolfur K. Emilsson,Plotinus on Sense-Perception,1989
ARMP-18,Unknown,Plotinus,1954
HARENS,Richard Harder,Eine Neue Schrift Plotins,1936
Gillet2009-STEDSA,Suzanne Stern{-}Gillet,Dual Selfhood and Self-Perfection in the Enneads,2009
SMIUAQ-2,Andrew Smith,Unconsciousness and Quasiconsciousness in Plotinus,1978
RISEAP,John M. Rist,Eros and Psyche,1964
PERTBI,Eric David Perl,Thinking Being: Introduction to Metaphysics in the Classical Tradition,2014
BALTVA-4,Dirk Baltzly,The Virtues and 'Becoming Like God': Alcinous to Proclus,2004
MERFPT-6,PHILIP MERLAN,From Platonism to Neoplatonism,1953
WARCIP,Edward W. Warren,Consciousness in Plotinus,1964
PHIPOT-3,John Phillips,Plotinus on the Generation of Matter,2009
KNOTAC-2,Adam Https://Orcidorg Knowles,"Toward a Critique of Walten: Heidegger, Derrida, and Henological Difference",2013
NOBLNT,Christopher Isaac Noble,Leaving Nothing to Chance: An Argument for Principle Monism in Plotinus,2018
ARMTAO-6,Arthur Hilary Armstrong,The Architecture of the Intelligible Universe in the Philosophy of Plotinus: An Analytical and Historical Study,1940
SCHFAT-29,Frederic Maxwell Schroeder,Form and Transformation: A Study in the Philosophy of Plotinus,1992
BUSTOA-4,John Bussanich,The One and its Relation to Intellect in Plotinus: A Commentary on Selected Texts,1988
ODAPPO,Gerard J. P. O'Daly,Plotinus' Philosophy of the Self,1973
DECNCA-4,John Deck,"Nature, Contemplation, and the One: A Study in the Philosophy of Plotinus",1967
