ID,Author,Title,Year
LAKCAT,Imre Lakatos and Alan Musgrave,Criticism and the Growth of Knowledge,1970
POPRAT,Karl R. Popper,Realism and the Aim of Science,1988
POPTOU,Karl Raimund Popper,The Open Universe: An Argument for Indeterminism,1982
POPWID,Karl R. Popper,What is Dialectic?,1940
POPTPO-16,Karl Raimund Popper,The Philosophy of Karl Popper,1974
OHEKP,Anthony O'Hear,Karl Popper,1980
MAGP-5,Bryan Magee,Popper,1973
POPTWO,Karl Raimund Popper,The World of Parmenides: Essays on the Pre-Socratic Enlightenment,1998
POPPS,Karl R. Popper,Popper Selections,1983
MAXPKL-3,Nicholas Maxwell,"Popper, Kuhn, Lakatos, and Aim-Oriented Empiricism",2005
THOKP-2,Stephen Thornton,Karl Popper,2008
MAXKPS,Nicholas Maxwell,"Karl Popper, Science and Enlightenment",2017
POPUQ,Karl Raimund Popper,Unended Quest,1976
POPNFF,Karl Popper,New Foundations for Logic,1947
POPTNO,K. R. Popper,The Nature of Philosophical Problems and Their Roots in Science,1952
KEUTPO,Herbert Keuth,The Philosophy of Karl Popper,2005
NOLAPK,Robert Nola and Howard Sankey,"After Popper, Kuhn and Feyerabend: Recent Issues in Theories of Scientific Method",2000
BORCCA-9,Lutz Bornmann and K. Brad Wray and Robin Haunschild,Citation Concept Analysis (Cca): A New Form of Citation Analysis Revealing the Usefulness of Concepts for Other Researchers Illustrated by Exemplary Case Studies Including Classic Books by Thomas S. Kuhn and Karl R. Popper,2020
PIEKPO,Thomas Piecha,Karl Popper on Deduction,2024
KIDAPC-2,Ian Kidd,A Pluralist Challenge to 'Integrative Medicine': Feyerabend and Popper on the Cognitive Value of Alternative Medicine,2013
SWITPO-8,R. G. Swinburne and P. A. Schilpp,The Philosophy of Karl Popper,1975
POPAPP,Karl Raimund Popper and David Miller,A Pocket Popper,1983
HORKP-2,Terence Horgan and Anthony O'Hear,Karl Popper,1983
MILPS,David Miller,Popper Selections,1985
ACKTPO,Robert John Ackermann,The Philosophy of Karl Popper,1976
STOPPP-2,Geoff Stokes,"Popper: Philosophy, Politics and Scientific Method",1998
POPISO-5,Gerd Buchdahl,In Search of a Better World Lectures and Essays From Thirty Years by Karl Popper. Routledge: London \& New York245Pp,1994
POPTTF,Karl Raimund Popper,The Two Fundamental Problems of the Theory of Knowledge,2009
POPARV,Karl Popper,"A Realist View of Logic, Physics, and History",1970
MAXKRP,Nicholas Maxwell,Karl Raimund Popper,1978
HEAKPP,A. O' Hear,Karl Popper: Philosophy and Problems,1996
BRNTLW,Constantin C. Br\^{i}ncu\cs,The Logical Writings of Karl Popper,2023
MANTMA-5,Alireza Mansouri,The Moral Agent: A Critical Rationalist Perspective,2024
CATKPC-2,Philip Catton and Graham Macdonald,Karl Popper: Critical Appraisals,2004
POPIPO,Karl R. Popper and Paul Levinson,In Pursuit of Truth: Essays on the Philosophy of Karl Popper on the Occasion of His 80Th Birthday,1982
POPOSC,Karl R. Popper,On Subjunctive Conditionals with Impossible Antecedents,1959
POPACE,K. R. Popper,Are Contradictions Embracing?,1943
BUNTCA,Mario Augusto Bunge and Karl Raimund Popper,Critical Approaches to Science and Philosophy,2018
DHMTPP,D. H. Mellor,The Popper Phenomenon,1977
OHEKPP-3,Anthony O'Hear,Karl Popper: Philosophy and Problems,1995
CORAIT-6,Roberta Corvi,An Introduction to the Thought of Karl Popper,1996
BURTPO-40,T. E. Burke,The Philosophy of Popper,1983
MAGPAT-2,Bryan Magee,Philosophy and the Real World: An Introduction to Karl Popper,1985
PARRP,Zuzana Parusnikov\'a and Robert S. Cohen,Rethinking Popper,2009
MOSPUW,Mark W. Moss,Practically Useless? Why Management Theory Needs Popper,2003
MAXTEP,Nicholas Maxwell,"The Enlightenment, Popper and Einstein",2007
POPJHW,Karl Popper,Joseph Henry Woodger,1981
IIITPO,W. W. Bartley Iii,The Philosophy of Karl Popper,1978
EIDMPT,Fred Eidlin,Matching Popperian Theory to Practice,1999
POPOJH,Karl Popper,Obituary: Joseph Henry Woodger,1981
JOHKPA-2,John Watkins,Karl Popper: A Memoir,2004
CHROLS,Chris Mortensen and Tim Burgess,On Logical Strength and Weakness,1989
MEWKRP,John Watkins,Karl Raimund Popper 1902?1994,1997
PERTMO-5,Ray Scott Percival,The Myth of the Closed Mind: Understanding Why and How People Are Rational,2011
SCHZKU-4,Gregor Schiemann,"Zwischen Klassischer Und Moderner Wissenschaftstheorie: Hermann von Helmholtz Und Karl R. Popper, Erkenntnistheoretisch Verglichen",1995
LUTPAE,"Christoph L\""{u}tge",Popper Als Ethiker,2001
MCNSKP-2,D. R. McNamara,Sir Karl Popper and Education,1978
AGAAPA,Joseph Agassi,A Philosopher's Apprentice: In Karl Popper's Workshop,2008
PEREOS-2,Ray Scott Percival,Sir Karl Popper,2005
CHMFPA-2,Adam Chmielewski,Filozofia Poppera: Analiza Krytyczna,1995
MARFLT-2,Herbert Marcuse,From Luther to Popper,1972
NOTTMO-2,Mark Amadeus Notturno,The Myth of the Framework: In Defence of Science and Rationality,1994
MAGKP,Bryan Magee,Karl Popper,1973
POPACO,K. R. Popper,A Comment on the New Prediction Paradox,1962
COWDIR-2,Christopher Cowton and Gerhard Zecha,Doing It Right Instead of Twice: A Popperian Approach to Management Decisions,2003
WATOKP,John Watkins,Obituary: Karl Popper (1902-1994),1994
POPHTM,K. R. Popper,How the Moon Might Throw Some of Her Light Upon the Two Ways of Parmenides,1992
MINDPE,Kenneth Minogue,Does Popper Explain Historical Explanation?,1995
LUEOSI,Geert{-}Leuke Lueken,On Showing in Argumentation,1997
BUNTCA-3,V. F. Lenzen,The Critical Approach to Science and Philosophy: Essays in Honor of Karl R. Popper,1966
SUSTSO,Bernard Susser,The Sociology of Knowledge and its Enemies,1989
KPOCSI,Karl P. Popper,Creative Self-Criticism in Science and in Art,1989
VAAKWK,"R\""{u}diger Vaas",Kritische Welterkenntnis. Karl R. Popper Und Die Kosmologie,2019
