ID,Author,Title,Year
MAYPOS-3,Ernst Mayr,Principles of Systematic Zoology,1969
PIGOTC,Massimo Pigliucci and Jonathan Kaplan,On the Concept of Biological Race and its Applicability to Humans,2003
MILPAI-4,Roberta L. Millstein,Populations as Individuals,2009
DOBACO,Th Dobzhansky,A Critique of the Species Concept in Biology,1935
WILBI-2,Robert A. Wilson and Matthew J. Barker,Biological Individuals,2024
MILTCO-9,Roberta L. Millstein,the Concepts of Population and Metapopulation in Evolutionary Biology and Ecology,2010
BROSWV,John Broome,Should We Value Population?,2005
BARDCA-3,Matthew J. Barker and Joel D. Velasco,Deep Conventionalism About Evolutionary Groups,2013
STEIPL,Beckett Sterner,Individuating Population Lineages: A New Genealogical Criterion,2017
OHAPTA-2,Robert J. O'Hara,Population Thinking and Tree Thinking in Systematics,1997
LEWWDP,R. C. Lewontin,What Do Population Geneticists Know and How Do They Know It,2000
ROLPON,Jakob Roloff,Populations of Neurons and Rocks? Against a Generalization of the Selected Effects Theory of Functions,2023
WITIKL,Guenther Witzany,Introduction: Key Levels of Biocommunication of Bacteria,2010
EGESOA-2,Frank N. Egerton,Studies of Animal Populations From Lamarck to Darwin,1968
STEPIN-5,Jacob Stegenga,?Population? is Not a Natural Kind of Kinds,2010
EGEHDA-2,Frank N. Egerton,"Humboldt, Darwin, and Population",1970
STEESI-2,Beckett Sterner,Evolutionary Species in Light of Population Genomics,2019
TYNPIE,?????? ??????? ???????,????? ?? ????????? ??????? ??????? ?????? ?????? ?????? ???????.???? ????? ?????? ?????? (1st edition),2021
VELPAP,Joel D. Velasco,Phylogeny as Population History,2013
CHEAFP-2,Marvin Chester,A Fundamental Principle Governing Populations,2012
ADATAS-7,Mark B. Adams,"Towards a Synthesis: Population Concepts in Russian Evolutionary Thought, 1925?1935",1970
JONTCO-3,L. H. M. Jonckers,The Concept of Population in Biology,1973
FLETSO,Antony Flew,The Structure of Malthus' Population Theory,1957
MILD-3,Roberta L. Millstein,Should We Be Population Pluralists? A Reply to Stegenga,2010
MILJSI-2,Jacob Stegenga,"?Population"" is Not a Natural Kind of Kinds",2010
GRI-20,Leonid Grinin and Andrey Korotayev,"\CYRG\cyrl\cyro\cyrb\cyra\cyrl\cyrsftsn\cyrn\cyro\cyre \CYRS\cyrt\cyra\cyrr\cyre\cyrn\cyri\cyre \CYRN\cyra\cyrs\cyre\cyrl\cyre\cyrn\cyri\cyrya, \CYRSH\cyre\cyrs\cyrt\cyro\cyrishrt \CYRT\cyre\cyrh\cyrn\cyro\cyrl\cyro\cyrg\cyri\cyrch\cyre\cyrs\cyrk\cyri\cyrishrt \CYRU\cyrk\cyrl\cyra\cyrd \CYRI \CYRM\cyri\cyrr\cyro\cyrv\cyra\cyrya \CYRF\cyri\cyrn\cyra\cyrn\cyrs\cyro\cyrv\cyra\cyrya \CYRS\cyri\cyrs\cyrt\cyre\cyrm\cyra",2015
Silva2009-VERESD,Francisco Vergara{-}Silva and Rasmus Gr\o{}nfeldt Winther,"Editorial: Systematics, Darwinism, and the Philosophy of Science",2009
GRIMOB,Leonid Grinin and Andrey V. Korotayev and Alexander V. Markov,Modeling of Biological and Social Phases of Big History,2015
GRIIRI-2,Leonid Grinin and J. Goldstone and Andrey Koortayev,Introduction. Research Into Global Ageing and its Consequences,2015
TOYKOP,John Toye,Keynes on Population,2000
PIRPD-2,Marcel Pi\'{e}rart,\`A Propos des Subdivisions de la Population Argienne,1985
GRI-24,Leonid Grinin and Andrey Korotayev,"\CYRG\cyrl\cyro\cyrb\cyra\cyrl\cyrsftsn\cyrn\cyro\cyre \CYRS\cyrt\cyra\cyrr\cyre\cyrn\cyri\cyre \CYRN\cyra\cyrs\cyre\cyrl\cyre\cyrn\cyri\cyrya, \CYRSH\cyre\cyrs\cyrt\cyro\cyrishrt \CYRT\cyre\cyrh\cyrn\cyro\cyrl\cyro\cyrg\cyri\cyrch\cyre\cyrs\cyrk\cyri\cyrishrt \CYRU\cyrk\cyrl\cyra\cyrd \CYRI \CYRM\cyri\cyrr\cyro\cyrv\cyra\cyrya \CYRF\cyri\cyrn\cyra\cyrn\cyrs\cyro\cyrv\cyra\cyrya \CYRS\cyri\cyrs\cyrt\cyre\cyrm\cyra",2015
MILJSI-3,Roberta L. Millstein,Jacob Stegenga--?Population? is Not a Natural Kind of Kinds,2010
HOBTPR,J. R. Hobhouse,The Population Report,1951
ACITIP,M. Acien Almansa,The Indigenous Population in Al-Andalus and Traces of the First Andalusi Population,1999
GOLP-11,Daniel Goldstick,30. Population,2009
OFAWAT,Horace Handley O'Farrell,War and the Stature of the Population,1917
DRYPOP,C. V. Drysdale,Place on Population,1930
CANATI,Mauricio Canals and Ramiro O. Bustamante and Mildred H. Ehrenfeld and Pedro E. Cattan,Assessing the Impact of Disease Vectors on Animal Populations,1998
KERPAE,R. B. Kerr,Population and Employment,1940
BLAJPP,C. P. Blacker,Japan's Population Problem,1956
FREDLD-4,Bruno S. Frey and Werner W. Pommerehne,De l'\'{E}quit\'e du March\'e : R\'{e}sultats d'Un Sondage Sur les Opinions de la Population,1991
ZIRPP-2,Conway Zirkle,Population Problems,1947
COXPAT,Harold Cox,Population and the Social Problem,1924
MACTPO-55,E. W. MacBride,The Problem of Population,1923
BUETGP-2,M. C. Buer,The General Population,1931
Martyn1931-HOWTWP,Edith How{-}Martyn,The World Population Conference,1931
GOUWIA,T. A. Goudge,What is a Population?,1955
MILP-17,John StuartHG Mill,8. Population,1988
CANLMM,Jorge Paulo Cancela and Kimon Hadjibiros,Le Modele Matriciel Deterministe de Leslie Et Ses Applications En Dynamique des Populations,1977
KERTDI-2,R. B. Kerr,The Decline in Population,1936
