ID,Author,Title,Year
CHATNO-4,David J. Chalmers,The Nature of Epistemic Space,2011
BERWOC,Berto Francesco and David Ripley and Graham Priest and Rohan French,Williamson on Counterpossibles,2018
STAMPM-2,Robert Stalnaker,Mere Possibilities: Metaphysical Foundations of Modal Semantics,2012
FORTMO-3,Graeme Forbes,The Metaphysics of Modality,1985
DIVPW-2,John Divers,Possible Worlds,2002
Doane2019-CLAMAA-14,Justin Clarke{-}Doane,Metaphysical and Absolute Possibility,2019
LOUTPA-2,Michael J. Loux,The Possible and the Actual: Readings in the Metaphysics of Modality,1979
MASSAA-9,Christopher James Masterman,Serious Actualism and Nonexistence,2024
BERIWA,Francesco Berto,Impossible Worlds and Propositions: Against the Parity Thesis,2010
LIAWAC,Shen{-}yi Liao,What Are Centered Worlds?,2012
PRIMAC,Huw Price,Metaphysics After Carnap : The Ghost Who Walks?,2009
TorrenteForthcoming-GOMMRA,Mario G\'{o}mez{-}Torrente,Modal Realism and Anthropic Reasoning,forthcoming
CLIIVA,Nevin Climenhaga,Infinite Value and the Best of All Possible Worlds,2018
NOLTIT-3,Daniel Patrick Nolan,Topics in the Philosophy of Possible Worlds,2002
CHIITP,Roderick M. Chisholm,Identity Through Possible Worlds: Some Questions,1967
MENPW-2,Christopher Menzel,Possible Worlds,2013
KAPAPI,David Kaplan,A Problem in Possible Worlds Semantics,1995
JUBP,Michael Jubien,Possibility,2009
NOLRU,Daniel Nolan,Recombination Unbound,1996
RUSPWA,Jeffrey Sanford Russell,Possible Worlds and the Objective World,2013
VETCWP,Barbara Vetter,'Can' Without Possible Worlds: Semantics for Anti-Humeans,2013
RUSPP-5,Jeffrey Sanford Russell and John Hawthorne,Possible Patterns,2018
HUMFWT,I. L. Humberstone,From Worlds to Possibilities,1981
ZALTBT,Edward N. Zalta,Twenty-Five Basic Theorems in Situation and World Theory,1993
FRIAPR,Fritz Peter,A Purely Recombinatorial Puzzle,2017
UZQMAP,Gabriel Uzquiano,Modality and Paradox,2015
MEIWMI-3,Lukas J. Meier,What Matters in the Mirror of Time: Why Lucretius? Symmetry Argument Fails,2019
UZQRAP,Gabriel Uzquiano,Recombination and Paradox,2015
AMITCO-5,Fatema Amijee,The Contingency of Creation and Divine Choice,2022
EFIWIT,David Efird and Tom Stoneham,What is the Principle of Recombination?,2008
QUIWA,W. V. Quine,Worlds Away,1976
WALTLS-6,Meg Wallace,The Lump Sum: A Theory of Modal Parts,2019
NOLTPF,Daniel Nolan,Three Problems for ?Strong? Modal Fictionalism,1997
FITIDO,G. W. Fitch,In Defense of Aristotelian Actualism,1996
BRIPOP-2,Phillip Bricker,Plenitude of Possible Structures,1991
BUEARP,Ot\'{a}vio Bueno and Christopher Menzel and Edward N. Zalta,Worlds and Propositions Set Free,2014
ARSTPO-2,Aran Arslan,The Problem of Communication in de Se Thoughts,manuscript
SKYPWP,Brian Skyrms,"Possible Worlds, Physics and Metaphysics",1976
MENSAW,Christopher Menzel,Sets and Worlds Again,2012
NOLCWA,Daniel Nolan,"Classes, Worlds and Hypergunk",2004
PELSMM,Alik Pelman,Possible World Semantics Meets Metaphysics,2024
STAOWP,Robert C. Stalnaker,On What Possible Worlds Could Not Be,1996
HEAHMW,Richard A. Healey,How Many Worlds?,1984
VANWIN,Bas C. van Fraassen,?World' is Not a Count Noun,1995
IACTT,Andrea Iacona,Timeless Truth,2012
ZALOTS,Edward N. Zalta,On the Structural Similarities Between Worlds and Times,1987
WHIEPW,Bruno Whittle,Epistemically Possible Worlds and Propositions,2009
HEIIS-2,John Heil,Iii--Aristotelian Supervenience,2015
GOOWWW,Nelson Goodman,"Words, Works, Worlds",1975
JUBPWP,Michael Jubien,Problems with Possible Worlds,1988
BETWTW,Gregor Betz,What?s the Worst Case? The Methodology of Possibilistic Prediction,2010
BENPTT,Jiri Benovsky,Persistence Through Time and Across Possible Worlds,2006
COWTLO-2,Sam Cowling,The Limits of Modality,2011
GIRPW-4,Rod Girle,Possible Worlds,2003
PRIPW,A. N. Prior,Possible Worlds,1962
BADTNO,Ralf M. Bader,The Non-Transitivity of the Contingent and Occasional Identity Relations,2012
BRAPW-3,Raymond Bradley and Normans Swartz,Possible Worlds,1982
MENTFT-2,Christopher Menzel and Edward N. Zalta,The Fundamental Theorem of World Theory,2014
ROYWAM,Tony Roy,Worlds and Modality,1993
PIKDFH,Nelson Pike,"Divine Foreknowledge, Human Freedom and Possible Worlds",1977
LYCXTO,William G. Lycan,"Xii*--Two--No, Three--Concepts of Possible Worlds",1991
TorrenteManuscript-GOMCPH,Mario Gomez{-}Torrente,"Consciousness, Psychophysical Harmony, and Anthropic Reasoning",manuscript
PEAPFP-2,Christopher Peacocke,Principles for Possibilia,2002
COGWAO-4,Geraldine Coggins,World and Object: Metaphysical Nihilism and Three Accounts of Worlds,2003
YORMDA-2,Kyle York,Moral Demandingness and Modal Demandingness,2024
GUICAI,Ghislain Guigon,Coextension and Identity,2015
HUMM,Lloyd Humberstone,Modality,2005
STEPPW,Alexander Steinberg,Pleonastic Possible Worlds,2013
DECTEW,Rafael De Clercq,The Empty World as the Null Conjunction of States of Affairs,forthcoming
LEPWWW,Robin Le Poidevin,Worlds Within Worlds? The Paradoxes of Embedded Fiction,1995
FLALCR,Tobias Flattery,Leibniz's Causal Road to Existential Independence,2023
ROBPWA-2,Mark Ian Thomas Robson,Possible Worlds and the Beauty of God,2010
NOLPWS,Daniel Nolan,Possible Worlds Semantics,2011
MONREA,Fabrizio Mondadori,"Reference, Essentialism, and Modality in Leibniz's Metaphysics",1973
LWEAUA-5,"David L\""{o}wenstein","Agentive Und Andere F\""{a}higkeiten: Bemerkungen Zu Agents' Abilities von Romy Jaster",2020
HARTTA-20,Fredrik Haraldsen,The Truth About Sherlock Holmes,2017
ROPTAE,Andrew Roper,Towards an Eliminative Reduction of Possible Worlds,1982
PASTSA,Alexander Paseau,The Subtraction Argument(S),2006
RESATO-2,Nicholas Rescher,A Theory of Possibility: A Constructivistic and Conceptualistic Account of Possible Individuals and Possible Worlds,1975
DYKRTA,Heather Dyke,Real Times and Possible Worlds,1998
Yami2010-BENCSH,Hanoch Ben{-}Yami,Could Sherlock Holmes Have Existed?,2010
CHROAU,Christopher Menzel,On an Unsound Proof of the Existence of Possible Worlds,1989
KIMUYW,Seahwa Kim,Understanding Yagisawa's Worlds,2011
MOZSOT-2,Joshua M. Mozersky,Smith on Times and Tokens,2001
FITAAN,Gregory W. Fitch,Analyticity and Necessity in Leibniz,1979
MILMMA,Peter Milne,Modal Metaphysics and Comparatives,1992
MCDDAD-2,K. Mcdaniel,Distance and Discrete Space,2007
IMAPWL,Guido Imaguire and Dale Jacquette,"Possible Worlds: Logic, Semantics and Ontology",2010
NOLOTP-2,Daniel Nolan,On the Plurality of Parts of Classes,forthcoming
SPOTKO,Wolfgang Spohn,Three Kinds of Worlds and Two Kinds of Truth,2016
FORORA-2,Peter Forrest,Occam?s Razor and Possible Worlds,1982
PLAWWC,Alvin C. Plantinga,Which Worlds Could God Have Created?,1973
PURAIT,R. L. Purtill,About Identity Through Possible Worlds,1968
CHICAC-14,Yual Chiek,Compossibility and Co-Possibility,2016
BALTPO-16,Roberta Ballarin,"The Perils of Primitivism: Takashi Yagisawa's Worlds and Individuals, Possible and Otherwise",2011
HESAFM,Elijah Hess,Arguing From Molinism to Neo-Molinism,2015
SEAUYW,K. I. M. Seahwa,Understanding Yagisawa's Worlds,2011
TOMCP-5,Alfredo Tomasetta,Counting Possibilia,2010
MCNLOC-2,Paul McNamara,"Leibniz on Creation, Contingency and Pe-Se Modality",1990
KRYPPW,Wojciech Krysztofiak,"Phenomenology, Possible Worlds and Negation",1991
SMITSO-65,Quentin Smith,Tensed States of Affairs and Possible Worlds,1988
KNGOAT,"Guido K\""{u}ng",Ontology and the Construction of Systems,1993
SENOQA,Maciej Send\l{}ak,On Quantitative and Qualitative Parsimony,2018
SCHTWO-29,Charles S. Chihara,The Worlds of Possibility: Modal Realism and the Semantic of Modal Logic,1998
HEMPWI,Meir Hemmo,Possible Worlds in the Modal Interpretation,1996
LONDAP-2,Michael Tze{-}Sung Longenecker,Dualism About Possible Worlds,2019
RAMIDN,Olga Ram\'{i}rez Calle,"I Do Not Believe in Meigas, but There Are Such. A Meinongian Empirical Case Based on Galician ?Meigas?",2020
LYCTMO-4,William G. Lycan,The Metaphysics of Possibilia,2002
NOLWAP,John E. Nolt,What Are Possible Worlds?,1986
VENOTP-2,Zeno Vendler,On the Possibility of Possible Worlds,1975
RANCPW,Aarne Ranta,Constructing Possible Worlds,1991
KRAWR,Robert Kraut,Worlds Regained,1979
ROREPI,Amelie Oksenberg Rorty,Essential Possibilities in the Actual World,1972
LAJTIA,Kaave Lajevardi,Transworld Identity as a Problem for Essentialism About Kinds.,manuscript
SALMPI-2,Nathan Salm\'{o}n,Modal Paradox Ii: Essence and Coherence,2021
MORIWF,Luca Moretti,Interview with Francesco Berto,2016
GREFAP,Dominic Gregory,Functionalism About Possible Worlds,2006
LENEAI-3,Karol Lenart,"Esencjalizm, Antyhaecceityzm I Haecceityzm",2019
COCGYA,Mar\'{i}a Cocco and Eduardo Dib,Geometr\'{i}a y Alteridad En Kant,1998
WASTOS-2,Ryan Wasser,The Ontological Significance of Foundherentism,manuscript
ANDCAT-9,Joshua Anderson,Counterfactuals and Their Truthmakers,2014
OTEEEO-2,Manuel P\'{e}rez Otero,El Estatus Ontol\'{o}gico de Los Mundos Posibles,2009
SENBTA,Maciej Send\l{}ak,Between the Actual and the Trivial World,2016
TREAPA,Russell Trenholme,A Physicalist Analysis of Probability,1978
TERPWA,Vladislav Terekhovich,Possible Worlds and Possibilities of Substances,manuscript
CAHFAT,Steven M. Cahn and Maureen Eckert,Freedom and the Self: Essays on the Philosophy of David Foster Wallace,2015
VELLED-3,Paulo Velez Leon,La Expresi\'{o}n de Lo Cognoscible y Los Mundos Posibles,2016
HILMRI,Scott Hill,Modal Realism is a Newcomb Problem,2022
BENMRA-3,Jiri Benovsky,Modal Realism and the Possibility of Island Universes: Why There Are No Possible Worlds,2021
KACTOO,Daisuke Kachi,The Ontology of Many-Worlds : Modality and Time,1998
SOPTMS-2,Forrest Adam Sopuck,The Magical Santayanan Groundwork for Metaphysical Coherentism,2022
LYCPWA,William G. Lycan,Possible Worlds and Possibilia,1998
PARMIH,Josh Parsons,Might I Have Been Non-Actual?,
MAULAS,Ari Maunu,Leibniz and Spinozist Necessitarianism,2018
NOWTAF,Leszek NowAK,"Thoughts Are Facts in Possible Worlds, Truths Are Facts of a Given World",1991
REIBOR,Bruce Reichenbach,Basinger on Reichenbach and the Best Possible World,1980
HEEPWA-2,Patrick A. Heelan,Perceived Worlds Are Interpreted Worlds,1984
PHDTSD,Grant McColley,The Seventeenth-Century Doctrine of a Plurality of Worlds,1936
MOOPWA,A. W. Moore,Possible Worlds and Diagonalization,1984
PARMM,Ted Parent,Modal Metaphysics,2011
THOWIA,David L. Thompson,"What, If Anything, is Represented? Objects in Their Worlds",manuscript
LHTPWO,"Ilkka L\""{a}hteenm\""{a}ki",Possible Worlds of History,2018
GALFKA,R. Gallie,"Fine, K. And Prior, A. N. ""Worlds, Times and Selves""",1979
GREKSP,Dominic Gregory,Keeping Semantics Pure,2005
SIDROC,Theodore Sider,The Worlds of Possibility,2001
BERPWA-2,Sandy Berkovski,Possible Worlds: A Neo-Fregean Alternative,2011
SANMP-2,David Sanson,Maximal Possibilities,manuscript
LUNCHM,Laureano Luna,C\'{o}mo Hacer Metaf\'{i}sica a Partir de la L\'{o}gica,2012
IACTT-2,Andrea Iacona,Timeless Truth,2012
BENBVD,Jiri Benovsky,Branching Versus Divergent Possible Worlds,2005
SCHWAT-17,Peter K. Schotch and Gillman Payette,Worlds and Times: Ns and the Master Argument,2011
SNCLED-6,Manuel S\'{a}nchez Rodr\'{i}guez and Neftal\'i Villanueva Fern\'{a}ndez,La Estupefacci\'{o}n de Arnauld. El Fundamento L\'{o}gico-Metaf\'{i}sico de la Identidad Personal En la Filosof\'{i}a de Leibniz En Torno a 1686,2011
DIVMPM,John Divers,Mere Possibilities: Metaphysical Foundations of Modal Semantics,2014
LIMTFO-3,David Limbaugh,"The Flexibility of Reality: An Essay on Modality, Representation, and Powers",2018
NACIWA-2,Ohad Nachtomy,"Individuals, Worlds, and Relations: A Discussion of Catherine Wilson?s ?Plenitude and Compossibility in Leibniz?",2001
HENWOW-2,Vincent F. Hendricks and Stig Andur Pedersen,Ways of Worlds I?Ii Two Special Issues on Possible Worlds and Related Notions,2006
CREPTA,M. J. Cresswell,Physical Theories and Possible Worlds,1973
PLADRM,Ullin T. Place,De Re Modality Without Possible Worlds,1997
CHIMWW,C. Chihara,Modality Without Worlds,1993
FELWPW-2,James W. Felt,Why Possible Worlds Aren't,1996
WILTPO-111,Ron Wilburn,The Probability of the Possible,2014
PRIWA-2,Graham Priest,Worlds Apart,2000
SALFPW,Nathan Salmon,From Possible Worlds to Parallel Universes,manuscript
CATEAI-4,Troy Thomas Catterson,Essentialism and Individuation in Modal Logic,2003
SUPCOE,Patrick Suppes,Comment on Essler's ?the World and the Worlds?,2008
JACALP,Dale Jacquette,Against Logically Possible World-Relativized Existence,2014
RINOWO,Adriane Rini,Outside Worlds; Outside Time,2007
SMIPWA-2,Benedict Smith,Possible Worlds and Moral Philosophy,2001
NADROT-2,R. Nadeau,Reflections on the Plurality of Worlds,1993
WEBPIT,Douglas J. Webb,Possibility in the Actual World,2003
RANAAT,E. Randi,Augustinus-Triumphus and the Doctrine of a Plurality of Worlds-an Unpublished 14Th-Century Document,1989
KUCOAN,John{-}Michael Kuczynski,Outlining a Non-Possible-Worlds-Based Conception of Modality,2005
MIRWSA,Adrian Miroiu,World-Indexed Sentences and Modality,2005
FREWCA,Yehudah Freundlich,Who Cares About Identity Across Possible Worlds?,1980
KELTLO-22,Joshua Kelleher,The Limits of Classical Mereology: Mixed Fusions and the Failures of Mereological Hybridism,2020
FINWOP-2,Hannah Finley,Worlds of Possibility,2009
WOLROI,Jan Wolenski,Remarks on Identity Across Possible Worlds,2008
IACNEI,Andrea Iacona,Not Everything is Possible,2007
MORRIM,Vittorio Morato,Ridurre I Mondi Possibili Al Linguaggio,2006
KORIIP,Stephen Korner,Individuals in Possible Worlds,1973
MAUNKT,Ari Maunu,Natural Kind Terms Are Similar to Proper Names in Being World-Independent,2002
SWAORT,Norman Swartz,On Reducing the Number of Possible Worlds,1974
OAKEAP,Robert Oakes,Existence Across Possible Worlds: An Epistemological Resolution,1981
NULWNW,Timothy J. Nulty,"Worlds, Not Worldviews: Reply to Beillard",2015
