ID,Author,Title,Year
ANSI-2,Gertrude Elizabeth Margaret Anscombe,Intention,1957
THOLAA-3,Michael Thompson,Life and Action: Elementary Structures of Practice and Practical Thought,2008
HAWKAA,John Hawthorne and Jason Stanley,Knowledge and Action,2008
BRONR,John Broome,Normative Requirements,1999
NGUTSO-2,C. Thi Nguyen,The Seductions of Clarity,2021
MCHFF-2,Conor McHugh and Jonathan Way,Fittingness First,2016
WAYRAP-10,Jonathan Way,Reasons as Premises of Good Reasoning,2017
SCHIIB-2,Berislav Maru\v{s}i\'c and John Schwenkler,Intending is Believing: A Defense of Strong Cognitivism,2018
RINBFP,Susanna Rinard,Believing for Practical Reasons,2018
PAUG-5,Sarah K. Paul and Jennifer M. Morton,Grit,2018
KELERA,Thomas Kelly,Epistemic Rationality as Instrumental Rationality: A Critique,2003
KIESRL,Benjamin Kiesewetter and Alex Worsnip,Structural Rationality,2023
VELTPO-12,J. David Velleman,The Possibility of Practical Reason,2000
MCHWIR,Conor McHugh and Jonathan Way,What is Reasoning?,2018
KAUTEV,Antti Kauppinen,The Epistemic Vs. The Practical,2023
LITTUO,Clayton Littlejohn,The Unity of Reason,2013
TURDSL,John Turri and Wesley Buckwalter,"Descartes?s Schism, Locke?s Reunion: Completing the Pragmatic Turn in Epistemology",2017
VELPR,David Velleman,Practical Reflection,1989
MCHWIG-5,Conor McHugh and Jonathan Way,What is Good Reasoning?,2018
BERACA-12,Selim Berker,A Combinatorial Argument Against Practical Reasons for Belief,2018
BROSIA,Jessica Brown,Subject-Sensitive Invariantism and the Knowledge Norm for Practical Reasoning,2008
SCHAIA-27,John Schwenkler,Anscombe?s \emph{Intention}: A Guide,2019
SCHDDA-20,Sebastian Schmidt,Doxastic Dilemmas and Epistemic Blame,forthcoming
WHIRIS-2,Daniel Whiting,Right in Some Respects: Reasons as Evidence,2018
SCHPAT-18,Karl Schafer,Perception and the Rational Force of Desire,2013
LITMWA,Clayton Littlejohn,Must We Act Only on What We Know?,2009
BENKN,Matthew A. Benton,Knowledge Norms,2014
COHBAA,L. Jonathan Cohen,Belief and Acceptance,1989
WORMSF,Alex Worsnip,Making Space for the Normativity of Coherence,2022
SCHRAT-48,Karl Schafer,Rationality as the Capacity for Understanding,2019
SOUDQI,Nicholas Southwood,Does ?Ought? Imply ?Feasible??,2016
WAYIYJ-2,Jonathan Way and Daniel Whiting,"If You Justifiably Believe That You Ought to \ensuremath{\Phi}, You Ought to \ensuremath{\Phi}",2016
KIECSD-2,Benjamin Kiesewetter,"Contrary-to-Duty Scenarios, Deontic Dilemmas, and Transmission Principles",2018
TUREOF,John Turri,Evidence of Factive Norms of Belief and Decision,2015
BRAIBP,Michael E. Bratman,"Intention, Belief, Practical, Theoretical",2009
Petersen2019-STEAIA-8,Asbj\o{}rn Steglich{-}Petersen and Mattias Skipper,An Instrumentalist Account of How to Weigh Epistemic and Practical Reasons for Belief,2019
BRUPRT-2,John Brunero,"Practical Reasons, Theoretical Reasons, and Permissive and Prohibitive Balancing",2022
SCHWRA-7,Eva Schmidt,Where Reasons and Reasoning Come Apart,2020
TSAWAS-2,Cheng{-}Hung Tsai,Wisdom: A Skill Theory,2023
RAIOTH,Peter Railton,On the Hypothetical and Non-Hypothetical in Reasoning About Belief and Action,1997
AUDTAO-3,Robert Audi,The Architecture of Reason: The Structure and Substance of Rationality,2001
BROKAP-3,Jessica Brown,Knowledge and Practical Reason,2008
ALORFR,Facundo M. Alonso,Reasons for Reliance,2016
FERDCO-2,Luca Ferrero,Diachronic Constraints of Practical Rationality,2012
RAZRPA,Joseph Raz,Reasons : Practical and Adaptive,2009
THOATN,David Thorstad,Against the Newer Evidentialists,2023
SCHHCT-8,John Schwenkler,How Can There Be Reasoning to Action?,2021
FOROWI,Anton Ford,On What is in Front of Your Nose,2016
LOCPC,Dustin Locke,Practical Certainty,2013
KELEAN-2,Thomas Kelly,Evidence and Normativity: Reply to Leite,2007
FERDSR,Luca Ferrero,Diachronic Structural Rationality,2014
WORCAK,Alex Worsnip,Contextualism and Knowledge Norms,2017
PHIWFI,Callie K. Phillips,Why Future-Bias Isn't Rationally Evaluable,2021
WORICR,Alex Worsnip,Isolating Correct Reasoning,2019
