ID,Author,Title,Year
HANWTP-5,Michael Hannon,What's the Point of Understanding?,2019
VANTTA-10,Neil Van Leeuwen,The Trinity and the Light Switch: Two Faces of Belief,forthcoming
Doane2022-CLAMAM-10,Justin Clarke{-}Doane,\emph{Mathematics and Metaphilosophy},2022
KOOPAT-4,Colin Koopman,"Pragmatism as Transition: Historicity and Hope in James, Dewey, and Rorty",2009
QUEGAK,Matthieu Queloz,Genealogy and Knowledge-First Epistemology: A Mismatch?,2019
DAOECV,Marc{-}Kevin Daoust and Charles C\^{o}t\'e{-}Bouchard,"Epistemic Consequentialism, Veritism, and Scoring Rules",2023
FOSPBP,Thomas Fossen,Politicizing Brandom's Pragmatism: Normativity and the Agonal Character of Social Practice,2014
SIMWIG,Matthew Simpson,What is Global Expressivism?,2020
KOORLT,Colin Koopman,Rorty?s Linguistic Turn: Why (More Than) Language Matters to Philosophy,2011
ANDTPC-4,H. K. Andersen and Sandra D. Mitchell,The Pragmatist Challenge: Pragmatist Metaphysics for Philosophy of Science,2023
SIMDAT-8,Matthew Simpson,Deflationism and Truthmaking,2019
LEGML-2,Catherine Legg and Paul Giladi,"Metaphysics -- Low in Price, High in Value: A Critique of Global Expressivism",2018
LAUMAP-4,Richard Lauer,Motivating a Pragmatic Approach to Naturalized Social Ontology,2022
LOHOIO,Simon Lohse,Ontological Investigations of a Pragmatic Kind? A Reply to Lauer,2020
KLESRA-3,Alexander Klein,"Science, Religion, and ?the Will to Believe""",2015
REYGDL-2,James Chase and Jack Reynolds,"Grace de Laguna, Joel Katzav, and the Conservatism of Analytic Philosophy",2023
NEINP-2,Neil Sinhababu,Nietzschean Pragmatism,2017
ROTEPA-5,Amanda Roth,Ethical Progress as Problem-Resolving,2012
FISPEP,Justin C. Fisher,Pragmatic Experimental Philosophy,2015
BERCI-2,Sara Bernstein,Causal Idealism,2017
DANLIA,Dani\`{e}le Moyal?Sharrock,Logic in Action: Wittgenstein's Logical Pragmatism and the Impotence of Scepticism,2003
DACPP,Newton C. A. Da Costa,Pragmatic Probability,1986
FOSTGO,Thomas Fossen,The Grammar of Political Obligation,2014
STUFVR,David J. Stump,Fallibilism Versus Relativism in the Philosophy of Science,2021
GARPSA-14,Georgi Gardiner,"Pragmatism, Skepticism, and Over-Compatibilism: On Michael Hannon?s \emph{What?s the Point of Knowledge}?",forthcoming
ZHUBAO-2,Bojin Zhu,Beyond 'All or Some': Reframing the Debate Between Local and Global Expressivists,forthcoming
Doane2023-CLAOAI,Justin Clarke{-}Doane and Avner Ash,Observation and Intuition,2023
HOFHTG,Michael H. G. Hoffmann,How to Get It. Diagrammatic Reasoning as a Tool of Knowledge Development and its Pragmatic Dimension,2004
SHALEA-2,Lionel Shapiro,Logical Expressivism and Logical Relations,2018
OSHCOO,James O'Shea,Concepts of Objects as Prescribing Laws: A Kantian and Pragmatist Line of Thought,2016
ODABEA,Takaharu Oda,Buddhist Ethics: A Pragmatist Account,2022
COSPP,Newton C. A. Costa,Pragmatic Probability,1986
SOLSDA-5,H. G. Solari and Mario Natiello,"Science, Dualities and the Phenomenological Map",2024
GORONC,Pietro Gori,"On Nietzsche?s Criticism Towards Common Sense Realism in Human, All Too Human I, 11",2017
OSHTAP-3,James O'Shea,The Analytic Pragmatist Conception of the a Priori: C. I. Lewis and Wilfrid Sellars,2017
Doane2023-CLAPOM-4,Justin Clarke{-}Doane,Pr\'{e}cis of \emph{Morality and Mathematics},2023
FRITAP-2,Jan Kyrre Berg Friis,Technoscience and Postphenomenology: The Manhattan Papers,2015
UEBBTF,Thomas Uebel,Beyond the Formalist Criterion of Cognitive Significance: Philipp Frank?s Later Antimetaphysics,2011
VANWCS-2,Hans Van Eyghen,What Cognitive Science of Religion Can Learn From John Dewey,2018
ANDAPC-4,Holly Andersen,A Pragmatist Challenge to Constraint Laws,2017
GORWDI,Pietro Gori,What Does It Mean to Orient Oneself in Science? On Ernst Mach?s Pragmatic Epistemology,2019
ROTNTA-3,Amanda Roth,Nonideal Theory and Ethical Pragmatism in Bioethics: Value Conflicts in Lgbtq+ Family-Making,2021
MACFMA-4,Eric A. Macgilvray,"Five Myths About Pragmatism, or, Against a Second Pragmatic Acquiescence",2000
ROTTVO,Hans Rott,The Value of Truth and the Value of Information : On Isaac Levi's Epistemology,2006
SEPMRW,Andrew Sepielli,Moral Realism Without Moral Metaphysics,2009
DONTOO-3,Zili Dong,The Ontology of Causation: A Carnapian-Pragmatist Approach,forthcoming
GIRPIP-2,Mathias Girel,Perfectionism in Practice: Shusterman?s Place in Recent Pragmatism,2015
GRII-32,Serge Grigoriev and Robert Piercey,Introduction,2019
KRBBDF,"Nils K\""{u}rbis",Bilateralist Detours: From Intuitionist to Classical Logic and Back,2017
GORIPD,Pietro Gori,Il Pragmatismo di Nietzsche. Saggi Sul Pensiero Prospettivistico,1946
SHALFA-3,Lionel Shapiro,Linguistic Function and Content: Reflections on Price's Pragmatism,2014
DUNWJW,Jeremy Dunham,Was James Ward a Cambridge Pragmatist?,2014
MILJDI-3,Steven A. Miller,John Dewey is a Tool: Lessons From Rorty and Brandom on the History of Pragmatism,2014
HOWPTA,Andrew Howat,"Pragmatism, Truth and Response-Dependence",2005
SINREA,Neil Sinhababu,Rational Epistemic Akrasia for the Ambivalent Pragmatist,2020
CAPFGE,John Capps,From Global Expressivism to Global Pragmatism,2018
HADLAV,John Hadley,Liberty and Valuing Sentient Life,2013
Doane2020-CLAROA-5,Justin Clarke{-}Doane,"Realism, Objectivity, and Evaluation",2020
OSHHPW,James O'Shea,How Pragmatist Was Sellars? Reflections on an Analytic Pragmatism,2018
HANLI,Sven Ove Hansson,Levi's Ideals,2006
SAGLPD,Alex Sager and Albert R. Spencer,Liberation Pragmatism: Dussel and Dewey in Dialogue,2016
SEPQAC,Andrew Sepielli,Quietism and Counter-Normativity,forthcoming
HOGPSP,Brendan Hogan,Pushing Social Philosophy to its Democratic Limits,2021
HUTPPB-2,Phil Hutchinson and Rupert Read,Practising Pragmatist-Wittgensteinianism,2013
SEPPAM,Andrew Sepielli,Pragmatism and Metaethics,2018
GRIRLH,Serge Grigoriev,"Reason, Language, History: Pragmatism's Contested Promise",2022
HILPAA-5,David L. Hildebrand,Pragmatist Aesthetics and the Experience of Technology,2018
OSHOSA,James O'Shea,On Sellars?s Analytic-Kantian Conception of Categories as Classifying Conceptual Roles,forthcoming
LENDTB,Lawrence Lengbeyer,"?Don't Think, but Look!?: Wittgenstein (\& James) on Method.",1997
CREOCA,Sergio Cremaschi,On Continental and Analytic Philosophies,2002
HOGTCO-6,Brendan Hogan and Lawrence Marcelle,"The Complementarity of Means and Ends: Putnam, Pragmatism and the Critique of Economic Rationality",2017
CANLAW,Paola Cant\`u and De Zan Mauro,Life and Works of Giovanni Vailati,2009
RONJOM,David Rondel,James on Morality,2017
OSHCOR,James O'Shea,?Comments on Robert Brandom?s From Empiricism to Expressivism: Brandom Reads Sellars?,2016
LILSWY,Hallvard Lillehammer,Smile When You?Re Winning: How to Become a Cambridge Pragmatist,2016
ALFLVP,Jaime Alfaro Iglesias,La Visi\'{o}n Pragmatista de C.S. Peirce Sobre la Aserci\'{o}n,2017
GRIAPC,Serge Grigoriev,A Pragmatist Critique of Dogmatic Philosophy of History,2017
WHIBOA-2,Daniel Whiting,Between Old and New: Brandom?s Analytic Pragmatism,2009
TEIPYC,David Teira,Probabilidad y Contratos. Sobre El Pragmatismo de Roberto Torretti,2016
DUFDAT-5,Simon B. Duffy,Deleuze and the Pragmatist Priority of Subject Naturalism,2014
LEODDM,Andrii Leonov,Dewey?s Denotative Method: A Critical Approach,2022
GORIPI,Pietro Gori,Il Pragmatismo Italiano di Fronte a Nietzsche,2011
LEEPAI-5,Lee McBride,Pragmatism and Insurrectionist Philosophy,2022
OCHSPJ,Peter Ochs,A Scriptural Pragmatism: : Jewish Philosophy's Conception of Truth,1986
QUAEEA,John Quay,"Education, Experience and Existence: Engaging Dewey, Peirce and Heidegger",2013
ROSPOR-3,Sandra Rosenthal,Proofs of Realism and Experiential Flow,2004
ROSIAT-14,Sandra Rosenthal,Idealism and the Elusiveness of a Peircean Label,2001
PETAS,Steve Petersen,"Analysis, Schmanalysis",2008
GIRDAT-3,Mathias Girel,Duties and the Ethical Space of Claims in Dewey?s 1932 Ethics,2020
HOGPOI,Brendan Hogan,Practices of Interpretation: Social Inquiry as Problem Solving and Self-Definition,2019
KIDREB,William Kidder,Resisting Empathy Bias with Pragmatist Ethics,2019
SAGNEA,Alex Sager,Normative Ethics After Pragmatic Naturalism,2014
MENRO,Christopher Menzel,Reference Ontologies -- Application Ontologies: Either/or or Both/And?,2004
REYTPP,Jack Reynolds,"Transcendental Pragmatics? Pragmatism, Deleuze, and Metaphilosophy",2014
BROSAD,Matthew J. Brown,"Science, Values, and Democracy in the Global Climate Change Debate",2013
Hunter2017-BENRPA-4,Guy Bennett{-}Hunter,Ritual Practices: An Emergentist Perspective,2017
WITBMB,Ryan Wittingslow,Bloody-Minded Metaphysics: Barry Allen Vs. The World,2016
BEARA-5,Richard Beardsworth,Review Articles : Contemporary Philosophy and Democracy,1997
SANTMB-2,Daniele Santoro,The Modal Bond of Analytic Pragmatism,2009
SZOKEF,Konrad Szocik,Krytyka Epistemicznej Funkcji Przekona\'n Religijnych W \'{S}wietle Kognitywnych Nauk o Religii,2016
HOGTTH,Brendan Hogan,"The Tenuous Harmony of Imagination, Vision, and Critique",2019
PARACO-16,T. Parent,A Critique of Metaphysical Thinking,manuscript
EISPSA-2,Carolyn Eisele,"Peirce, Semeiotic, and Pragmatism. Max H. Fisch, Kenneth Laine Ketner, Christian J. W. Kloesel",1988
SELTSO-3,R. W. Sellars,The Status of Epistemology,1917
MLLDTM-2,"Ralf M\""{u}ller and George Wrisley",D\={o}gen?s Texts: Manifesting Religion and/as Philosophy?,2023
BRUDYR,Michael Bruckner,Do You Really Want to Know? Challenging Pragmatism and Clearing Space for the Intrinsic Value View,2016
HOOALR,Christopher Hookway,"Analyticity, Linguistic Rules and Epistemic Evaluation",1997
LEWEPI,William S. Lewis,Evolutionary Psychology in the Service of Moral Philosophy: A Possible Future for Ethics?,2011
PAZUPC,Miguel Angel Quintana Paz,Usos Pragmatistas Cabe la Filosof\'{i}a Wittgensteiniana,2010
FEUDMA,Lewis S. Feuer,Dialectical Materialism and Soviet Science,1949
HOGPPA-2,Brendan Hogan,"Pragmatism, Power, and the Situation of Democracy",2016
ROSRPO-7,Sandra B. Rosenthal,"Recent Perspectives on American Pragmatism, Ii",1974
MAREHM-2,Joel Marks,Ethical Health: Managing Our Moral Impulses,forthcoming
MERNAN,Meredith Garmon,Neither Absolutism nor Relativism,1995
BORIPI,Francesca Bordogna and Massimo Ferrari and Christopher Hookway,I Pragmatisti Italiani a Cura di Giovanni Maddalena e Giovanni Tuzet,2009
PAZUPC-2,Miguel Angel Quintana Paz,Usos Pragmatistas Cabe la Filosof\'{i}a Wittgensteiniana,2010
STELFD-7,Pierre Steiner,La Fabrique des Pens\'{e}es (1st edition),2022
MARTOH-5,Sarin Marchetti,"Tendenze Odierne: Haack, West, Brandom e Shusterman",2015
WACQDC,Brian Wachter,Quantum Dreams,manuscript
ANTHPA-4,Baiju Anthony,Human Person According to John Dewey,manuscript
ANTHPA-3,Baiju Anthony,Human Person According to John Dewey,manuscript
PRIOTP-5,Francois{-}Igor Pris,On the Philosophical Views of Werner Heisenberg and His Notion of a Closed Theory From the Later Wittgenstein's Perspective,2014
PRISLN-2,Fr\'{e}d\'{e}rique Laurent and Fran\c{c}ois{-}Igor Pris,Sur les Notions D?Usage Chez Wittgenstein Et Heidegger,2015
FOGLPD,Giacomo Foglietta,La Pragmatica Del Vuoto in Nagarjuna,2010
MANRGL,Armando Manchisi,"Recognition, Good Life, and Good World",2021
MCLBRE,Colin McLear,: \emph{From Empiricism to Expressivism: Brandom Reads Sellars},2016
BURTPM-5,Tom Burke,The Pragmatic Maxim,2001
PRIQAD,Francois{-}Igor Pris,Quelques Applications de la Seconde Philosophie de Wittgenstein (Isbn 978-3-639-48126-6),2015
SALMDP-2,Pietro Salis,"Massimo Dell'utri, Putnam, Carocci 2020",2021
MATAAE-12,Samantha Matherne,Art and Ethics in a Material World: Kant's Pragmatist Legacy,2017
MILRRA-6,Steven Miller,"Richard Rorty. An Ethics for Today: Finding Common Ground Between Philosophy and Religion. New York: Columbia University Press, 2011. Pp. 72 + Xxii. Cloth Isbn: 978-0-231-15056-9",2011
DANROJ,Nicholas Danne,"Review of Joshua Gert, ""Primitive Colors""",2018
CHOMRA,Victoria Choy,"Mind-Body, Realism and Rorty's Therapy",1982
IVADSC-2,Milena Ivanova,"David Stump. Conceptual Change and the Philosophy of Science: Alternative Interpretations of the a Priori. New York: Routledge, 2015. Pp. 176. \$116.00",2017
BROOWQ,Matthew J. Brown,On What Quine Is: A Review of the Cambridge Companion to Quine,2006
PRAJMP-2,C. Prado,"Joseph Margolis, Pragmatism Without Foundations",1987
FRESOR,Roberto Frega,"Symposia on R. Bernstein, the Pragmatic Turn, Polity Press, Cambridge, 2010",2011
SHAROR-2,Lionel Shapiro,"Review of Robert Brandom, Between Saying and Doing",2010
