ID,Author,Title,Year
FARNAP-3,Delia Graff Fara,Names Are Predicates,2015
Garb2015-ARMPAP-3,Bradley Armour{-}Garb and James A. Woodbridge,Pretense and Pathology: Philosophical Fictionalism and its Applications,2015
TAPMIA,Christine Tappolet,Mixed Inferences: A Problem for Pluralism About Truth Predicates,1997
BROKAP-2,Berit Brogaard,Knowledge-the and Propositional Attitude Ascriptions,2008
FRIPSI-2,Friederike Moltmann,"Part Structures, Integrity, and the Mass-Count Distinction",1998
MACPR-3,Fraser MacBride,Predicate Reference,2005
HURTNB,James R. Hurford,The Neural Basis of Predicate-Argument Structure,2003
ZEMCAD,Dan Zeman,Contextualism and Disagreement About Taste,2016
LASGDO,Peter Lasersohn,Generalized Distributivity Operators,1998
TANSIA-3,Kai Tanter,"Subatomic Inferences: An Inferentialist Semantics for Atomics, Predicates, and Names",2021
HANTTC,Tobias Hansson Wahlberg,The Tenseless Copula in Temporal Predication,2010
SWIG-3,R. G. Swinburne,Grue,1968
BECPC,Sigrid Beck,Pluractional Comparisons,2012
FINFM,Fraser MacBride,Predicate Reference,2005
LPEFPD,Dan L\'{o}pez De Sa,Flexible Property Designators,2006
GREAPO-10,Karen Green,A Pinch of Salt for Frege,2006
CARFAE-5,Fabrizio Cariani,"Future-Past Asymmetries, Evidential Grounding, and Projection",2022
SAVOBC,Heidi Savage,Why the Predicativist Calling Account Fails: Names Can Never Hurt You,manuscript
WACODW,Daniel von Wachter,On Doing Without Relations,1998
SWIPP,R. G. Swinburne,Projectible Predicates,1969
BRAIAN-3,E. R. Brandon,"Is ""a Needs X"" Elliptical?",1993
SWIPAS-4,R. G. Swinburne,Primary and Secondary Tests,1969
WELRIC,John R. Welch,Referential Inscrutability: Coming to Terms Without It,1984
MOSALA,Bert Mosselmans,Aristotle?s Logic and the Quest for the Quantification of the Predicate,2008
FREFID,Danny Frederick,Flaws in Dummett?s Syntactical Account of Singular Terms,manuscript
JAMAIL,James Andrew Fulton,An Intensional Logic of Predicates and Predicate Modifiers Without Modal Operators,1979
ENGBOS,George Englebretsen,Brody on Sommers,1974
SPEDOP-2,Jeff Speaks,Davidson on Predication,2013
ALEIRS,Capone Alessandro,"Indirect Reports, Slurs, and the Polyphonic Speaker",2014
