ID,Author,Title,Year
MAUTMW,Tim Maudlin,The Metaphysics Within Physics,2007
CHEGWA-2,Eddy Keming Chen and Sheldon Goldstein,Governing Without a Fundamental Direction of Time: Minimal Primitivism About Laws of Nature,2022
LOETAO-2,Barry Loewer,Two Accounts of Laws and Time,2012
HILCPL,Tyler Hildebrand,Can Primitive Laws Explain?,2013
DORTNO-5,Chris Dorst and Marc Lange,The Necessity of Accidents,forthcoming
DORPLI,Chris Dorst,Productive Laws in Relativistic Spacetimes,forthcoming
COATPR,Ashley Coates,The Primitivist Response to the Inference Problem,forthcoming
HIRAAL,Salim Hir\`{e}che and Niels Linnemann and Robert Michels,Are All Laws of Nature Created Equal? Meta-Laws Versus More Necessary Laws,2023
LAULAN-2,Federico Laudisa,Laws Are Not Descriptions,2015
LAMLBS,"Vincent Lam and Christian W\""{u}thrich",Laws Beyond Spacetime,2023
EMMTSO-4,Parker Emmerson,The Sphere of Realization: The Mathematical Path of Harmonious Balance,2023
BICNMP,Daian Bica,Navigating Massimi?s Perspectival Garden with Inferential Forking Paths,2022
HEAROT,Richard Healey,"Review of Tim Maudlin, \emph{the Metaphysics Within Physics}",2008
BOCTUA,Emiliano Boccardi,The Universe as an Ongoing Enterprise: Commentary on the Metaphysics Within Physics by Tim Maudlin,2011
