ID,Author,Title,Year
BROWGE,John Broome,"Weighing Goods: Equality, Uncertainty and Time",1991
PERPFA-2,Govind Persad and Alan Wertheimer and Ezekiel J. Emanuel,Principles for Allocation of Scarce Medical Interventions,2009
PAREAP-2,Derek Parfit,Equality and Priority,1997
NEBCDI-2,Jacob M. Nebel and H. Orri Stef\'{a}nsson,Calibration Dilemmas in the Ethics of Distribution,2023
PAREOP,Derek Parfit,Equality or Priority?,2001
CASWSI,Paula Casal,Why Sufficiency is Not Enough,2007
NEBUAS,Jacob M. Nebel,Utils and Shmutils,2021
LARTRB-2,Buchak Lara,Taking Risks Behind the Veil of Ignorance,2017
CRIEPA,Roger Crisp,"Equality, Priority, and Compassion",2003
ARNLEA,Richard J. Arneson,Luck Egalitarianism and Prioritarianism,2000
ADLWAF,Matthew Adler,Well-Being and Fair Distribution: Beyond Cost-Benefit Analysis,2011
NEBRUA,Jacob M. Nebel,Rank-Weighted Utilitarianism and the Veil of Ignorance,2020
BRIEPA,Harry Brighouse and Adam Swift,"Equality, Priority, and Positional Goods",2006
SHITPF,Liam Shields,The Prospects for Sufficientarianism,2012
SHIJES,Liam Shields,Just Enough: Sufficiency as a Demand of Justice,2016
EMAAEF-2,Ezekiel J. Emanuel and Govind Persad and Adam Kern and Allen E. Buchanan and Cecile Fabre and Daniel Halliday and Joseph Heath and Lisa M. Herzog and R. J. Leland and Ephrem T. Lemango and Florencia Luna and Matthew McCoy and Ole F. Norheim and Trygve Ottersen and G. Owen Schaefer and Kok{-}Chor Tan and Christopher Heath Wellman and Jonathan Wolff and Henry S. Richardson,An Ethical Framework for Global Vaccine Allocation,2020
RAWTPO,John Rawls,The Priority of Right and Ideas of the Good,1988
HOLPIA,Nils Holtug,"Persons, Interests, and Justice",2010
PARADO-3,Derek Parfit,Another Defence of the Priority View,2012
OTSWIM,Michael Otsuka and Alex Voorhoeve,Why It Matters That Some Are Worse Off Than Others: An Argument Against the Priority View,2009
VOOPOE,Alex Voorhoeve and Marc Fleurbaey,Priority or Equality for Possible People?,2016
TEMED,Larry S. Temkin,Egalitarianism Defended,2003
STEAAB-4,H. Orri Stef\'{a}nsson,Ambiguity Aversion Behind the Veil of Ignorance,2021
VOODAY,Marc Fleurbaey and Alex Voorhoeve,Decide as You Would with Full Information! An Argument Against Ex Ante Pareto,2013
PETTDO-12,Martin Peterson,"The Dimensions of Consequentialism: Ethics, Equality and Risk",2013
FLEEAT-4,Alex Voorhoeve and Marc Fleurbaey,Egalitarianism and the Separateness of Persons,2012
OTSEVP,Michael Otsuka and Alex Voorhoeve,Equality Versus Priority,2018
NEBPNE,Jacob M. Nebel,"Priority, Not Equality, for Possible People",2017
TEMEPA,Larry Temkin,"Equality, Priority, and the Levelling-Down Objection",2000
ARNWIA,Richard J. Arneson,"What, If Anything, Renders All Humans Morally Equal?",1999
ADLPAR-2,Matthew D. Adler and Nils Holtug,Prioritarianism: A Response to Critics,2019
TEMEPO,Larry S. Temkin,"Equality, Priority or What?",2003
PERFPG,Govind Persad and Monica E. Peek and Ezekiel J. Emanuel,Fairly Prioritizing Groups for Access to Covid-19 Vaccines,2020
BROEVP,John Broome,Equality Versus Priority: A Useful Distinction,2015
BUCRP-2,Lara Buchak,Relative Priority,2023
BENTDO-2,Yitzhak Benbaji,The Doctrine of Sufficiency: A Defence,2005
WLOPFP,Wlodek Rabinowicz,Prioritarianism for Prospects,2002
GREA-5,Hilary Greaves,Antiprioritarianism,2015
