ID,Author,Title,Year
KRIWOR,Saul A. Kripke,Wittgenstein on Rules and Private Language: An Elementary Exposition,1982
TRATUO,Charles Travis,The Uses of Sense: Wittgenstein?s Philosophy of Language,1989
STEWOM,David G. Stern,Wittgenstein on Mind and Language,1995
BAKSRA,Gordon P. Baker and Peter Michael Stephan Hacker,"Scepticism, Rules and Language",1984
HECLTA,Richard G. Heck,"Language, Thought, and Logic: Essays in Honour of Michael Dummett",1997
WRIKAO-2,Crispin Wright,Kripke?s Account of the Argument Against Private Language,1984
SMISAD-2,Barry Smith,Searle and de Soto: The New Ontology of the Social World,2008
MULWPL,Stephen Mulhall,"Wittgenstein's Private Language: Grammar, Nonsense, and Imagination in Philosophical Investigations, Sections 243-315",2007
PEAPAP-2,David Pears,Paradox and Platitude in Wittgenstein's Philosophy,2006
GUAKAO,Andrea Guardo,Kripke's Account of the Rule-Following Considerations,2012
PAPPCA-2,David Papineau,Phenomenal Concepts and the Private Language Argument,2011
JONTPL,Owen Roger Jones,The Private Language Argument,1971
CANPL,Stewart Candlish,Private Language,2008
BAKOMW,Gordon P. Baker and P. M. S. Hacker,On Misunderstanding Wittgenstein: Kripke's Private Language Argument,1984
THOPL,Judith Jarvis Thomson,Private Languages,1964
JACWJO,Henry Jackman,William James on Conceptions and Private Language,2017
ZANMEM,Nick Zangwill,"Music, Essential Metaphor, and Private Language",2011
RHECTB,Rush Rhees,Can There Be a Private Language?,1954
AMMWAW-2,Erich Ammereller and Eugen Fischer,Wittgenstein at Work: Method in the Philosophical Investigations,2004
CANPLT,J. V. Canfield,Private Language: The Diary Case,2001
GEMWOR,G. E. M. Anscombe,Wittgenstein on Rules and Private Language,1985
AYESCT,A. J. Ayer and R. Rhees,Symposium: Can There Be a Private Language?,1954
LAURAA,Stephen Laurence and Eric Margolis,Regress Arguments Against the Language of Thought,1997
STEPL-4,David Stern,Private Language,2011
VERDSP,Claudine Verheggen,Davidson's Second Person,1997
TANIIN,Hao Tang,"?It is Not a Something, but Not a Nothing Either!?--Mcdowell on Wittgenstein",2014
On1992-BAROTP,Dorit Bar{-}On,On the Possibility of a Solitary Language,1992
DELDIA-8,Grace Andrus de Laguna and Joel Katzav,Dualism in Animal Psychology,2023
LAWFPL,Stephen Law,Five Private Language Arguments,2004
HOFKOP,Paul Hoffman,Kripke on Private Language,1985
UEBRTG,Thomas Uebel,Rejecting the Given: Neurath and Carnap on Methodological Solipsism,2021
STEASI,David Stern,Another Strand in the Private Language Argument,2010
VERWAS,Claudine Verheggen,Wittgenstein and 'Solitary' Languages,1995
WRIWTF,George Wrisley,Wherefore the Failure of Private Ostension?,2011
CUNLAT,Suzanne Cunningham,Language and the Phenomenological Reductions of Edmund Husserl,1976
GOLOEA,Irwin Goldstein,"Ontology, Epistemology, and Private Ostensive Definition",1996
MUNPLA,C. W. K. Mundle,"""Private Language"" and Wittgenstein's Kind of Behaviourism",1966
GERWPL,Bernard Gert,Wittgenstein's Private Language Arguments,1986
HORWOR,Paul Horwich,Wittgenstein on Rules and Private Language. Saul Kripke,1984
IRVAAT,Sherri Irvin,Aesthetics and the Private Realm,2009
CHISNP-2,William Child,"Sensations, Natural Properties, and the Private Language Argument",2017
SMECTB,Warren B. Smerud,Can There Be a Private Language?,1970
WRIIDO,John Newson Wright,In Defence of Kripkenstein: On Lewis? Proposed Solution to the Sceptical Argument,2012
ANSCN,G. E. M. Anscombe,Critical Notice: Wittgenstein on Rules and Private Language,1985
GUAIMD,Andrea Guardo,Il Mito Del Dato,2008
STETUO,David G. Stern,The Uses of Wittgenstein's Beetle: Philosophical Investigations and its Interpreters,2007
MILDAI-3,Ryan Miller,Does Artificial Intelligence Use Private Language?,2023
TANWAT,Hao Tang,Wittgenstein and the Dualism of the Inner and the Outer,2014
HOPIAP,James Hopkins,Ix*--Wittgenstein and Physicalism,1975
HINWOP,Jaakko Hintikka,Wittgenstein on Private Language: Some Sources of Misunderstanding,1969
CLATCV,Claudine Verheggen,The Community View Revisited,2007
WERSRA,Patricia Hogue Werhane,"Skepticism, Rules, and Private Languages",1992
KLEEOW,Elmer Daniel Klemke,Essays on Wittgenstein,1971
ROBWWC,de S\'a Pereira Roberto Hor\'{a}cio,What We Can Learn About Phenomenal Concepts From Wittgenstein?s Private Language (1st edition),2016
STOMAT-2,Michael A. G. Stocker,Memory and the Private Language Argument,1966
DUPPLP,Gabe Dupre,"Public Language, Private Language, and Subsymbolic Theories of Mind",2023
RHETLO,Rush Rhees,"The Language of Sense Data and Private Experience - I: Notes of Wittgenstein's Lectures, 1936",1984
CARPLT,James D. Carney,Private Language: The Logic of Wittgenstein's Argument,1960
KARPIA,Karsten R. Stueber,"Practice, Indeterminacy and Private Language: Wittgenstein's Dissolution of Scepticism",1994
AYECTB-3,A. J. Ayer,Can There Be a Private Language?,1967
STETRP-3,Stewart Candlish,The Real Private Language Argument,1980
MARVSA,Charles E. Marks,"Verificationism, Scepticism, and the Private Language Argument",1975
PERTAA-16,Moreland Perkins,Two Arguments Against a Private Language,1967
KHAKW-2,Ali Hossein Khani,Kripke?s Wittgenstein,2022
HUTHAP-2,Peter Hutcheson,Husserl's Alleged Private Language,1986
WRIKAO-3,Crispin Wright,Kripke's Account of the Argument Against Private Language,2010
KARLAD-2,Pedro Karczmarczyk,Los Argumentos Del Lenguaje Privado. Notas Para la Reconstrucci\'{o}n de Una Controversia,2012
DAVEAT-2,Kim Davies,Empiricism and the Private Language Argument,1981
RUNTPL,Bede Rundle,The Private Language Argument,2009
HUTHAP,Peter Hutcheson,Husserl and Private Languages,1981
GUASCC-2,Andrea Guardo,Su Che Cosa Si Pretende Dal Significato,2009
KAMREL,Fran\c{c}ois Kammerer,Repr\'{e}sentationnalisme Et Langage Priv\'e : Une D\'{e}fense Wittgensteinienne du Caract\`{e}re Non-Repr\'{e}sentationnel de la Ph\'{e}nom\'{e}nalit\'e,2015
KARECM,Pedro Karczmarczyk,"Estudio Cr\'{i}tico: Martin Kusch a Sceptical Guide to Meaning and Rules. Defending Kripke's Wittgenstein, Montreal and Kingston, Ithaca, Mcguill-Queen's University Press, 2006",2007
SAUQTQ,Jens Saugstad,"""I Think ...."" Kant on Self-Consciousness",2000
GREKOP,Paul Gregory,Kripke on Private Language,web
KROJIJ,Gregor Kroupa,Jezik in Javno: Reorganizacija Trivija V Lockovem Eseju in V Portroyalski Logiki,2013
LAUWTR,Stephen Laurence and Eric Margolis,Where the Regress Argument Still Goes Wrong: Reply to Knowles,1999
HANWDT,Oswald Hanfling,What Does the Private Language Argument Prove?,1984
VERSOW,Claudine Verheggen,"Stroud on Wittgenstein, Meaning, and Community",2005
UNKKOP,Unknown Unknown,Kripke on Private Language,web
BARTAO-59,Kyle Barrowman,"The Availability of Jim Jarmusch?s Film-Philosophy: Wittgenstein, Derrida and Private Language in Ghost Dog: The Way of the Samurai",2022
MOSBTP,Paul K. Moser,Beyond the Private Language Argument,1992
HOLTPP-3,L. C. Holborow,The Private-Language Problem: A Philosophical Dialogue,1970
GARWOP,Newton Garver,Wittgenstein on Private Language,1959
RHETLO-2,Rush Rhees,"The Language of Sense Data and Private Experience - Ii: Notes of Wittgenstein's Lectures, 1936",1984
HACFAT,Peter Hacker,Frege and the Private Language Argument,1972
NORPRA-3,Richard Norman,Public Reasons and the 'Private Language',2000
HARWOP,Clyde Laurence Hardin,Wittgenstein on Private Languages,1959
SCHTDF-3,Severin Schroeder,The Demand for Synoptic Representations and the Private Language Discussion,2004
HACTPL,P. M. S. Hacker,The Private Language Arguments,1990
JACWOP,Dale Jacquette,Wittgenstein on Private Language and Privat Mental Objects,1994
CUSTPL,Arnold Cusmariu,The Private Language Argument: Another Footnote to Plato?,2022
BRYLOP,Genevieve Brykman,Locke on Private Language,1992
HUMKWA,John A. Humphrey,Kripke?s Wittgenstein and the Impossibility of Private Language: The Same Old Story?,1996
WRIWPL-2,George Wrisley,Wittgenstein's Private Language Argument,2011-09-16
HACAOO-2,P. M. S. Hacker,An Overview of the Achievement of the Private Language Arguments,1990
PANREA,Cyrus Panjvani,"Rule-Following, Explanation-Transcendence, and Private Language",2008
BRISLT,Robert Briscoe,"Single-Mindedness: Language, Thought, and the First Person",2004
FISQBA,Tyrus Fisher,Quine?s Behaviorism and Linguistic Meaning: Why Quine?s Behaviorism is Not Illicit,2011
HACITT,P. M. S. Hacker,Introduction to the Private Language Arguments,1990
JANALA,Greg Janzen,Another Look at the Rule-Following Paradox,2014
HUMSOI,John Humphrey,Some Oddities in Kripke's Wittgenstein on Rules and Private Language,manuscript
KAREAD,Pedro Karczmarczyk,El Argumento Del Lenguaje Privado a Contrapelo,2011
HITWOP,Christopher Read Hitchcock,Wittgenstein on Private Language: Exorcising the Ghost From the Machine,1995
DEBTOI,Ulrich De Balbian,Types of Intersubjectivity and Alternative Reality Images,2017
TANPLA,N. P. Tanburn,Private Languages Again,1963
