ID,Author,Title,Year
BIRNML-2,Alexander Bird,Nature's Metaphysics: Laws and Properties,2007
DORTBF-2,Cian Dorr,To Be F is to Be G,2016
OLITMO-2,Alex Oliver,The Metaphysics of Properties,1996
ORIP,Francesco Orilia and Michele Paolini Paoletti,Properties,2020
BACC-8,Andrew Bacon and Cian Dorr,Classicism,2024
MASSAA-9,Christopher James Masterman,Serious Actualism and Nonexistence,2024
WYATMF,Jeremy Wyatt,The Many (yet Few) Faces of Deflationism,2016
HILTTO-9,Tyler Hildebrand,Two Types of Quidditism,2016
PLAQPA,Jan Plate,Qualitative Properties and Relations,2022
YABSOP,Stephen Yablo,Singling Out Properties,1995
PARDP,Josh Parsons,Distributional Properties,2004
MUNTMO-2,Brent Mundy,The Metaphysics of Quantity,1987
MACTPD,Fraser Macbride,The Particular?Universal Distinction: A Dogma of Metaphysics?,2005
EGASQA-2,Andy Egan,Secondary Qualities and Self-Location,2006
HAWQIL,John Hawthorne,Quantity in Lewisian Metaphysics,2006
BLUTCO-3,Ben Blumson,Two Conceptions of Similarity,2018
PICASP,Bryan Pickel,Against Second-Order Primitivism,2024
MELP-2,David Hugh Mellor and Alex Oliver,Properties,1997
FINPPA,Kit Fine,"Properties, Propositions and Sets",1977
BROAOT-9,Jeffrey E. Brower,Aquinas on the Problem of Universals,2016
COATUD,Ashley Coates,"Tropes, Unmanifested Dispositions and Powerful Qualities",2022
CARPRL-4,Chad Carmichael,Platonic Realism,2024
JACWIA-3,Nicholas J. J. Smith and Gideon Rosen,Worldly Indeterminacy: A Rough Guide,2004
AUDPPA,Paul Audi,"Properties, Powers, and the Subset Account of Realization",2012
HALPAT-7,B. Hale,Properties and the Interpretation of Second-Order Logic,2013
BEATOP,George Bealer,"Theories of Properties, Relations, and Propositions",1979
Kolss2019-HOFDQP,Vera Hoffmann{-}Kolss,Defining Qualitative Properties,2019
GOZNPO-2,Simone Gozzano and Christopher S. Hill,New Perspectives on Type Identity: The Mental and the Physical,2012
WHITIS-4,Bruno Whittle,The Iterative Solution to Paradoxes for Propositions,2022
ZAPUNA,Davide Andrea Zappulli,Unlimited Nature: A \'{S}aivist Model of Divine Greatness,2024
TALADO-4,Jonathan Tallant and David Ingram,A Defence of Lucretian Presentism,2020
SOBWLE,Elliott Sober,Why Logically Equivalent Predicates May Pick Out Different Properties,1982
SKITIN,Alexander Skiles,There is No Haecceitic Euthyphro Problem,2019
SPEAT,Joshua Spencer,All Things Must Pass Away,2012
BLUDAD,Ben Blumson,Distance and Dissimilarity,2018
WRIOTF,Cory Wright,On the Functionalization of Pluralist Approaches to Truth,2005
PAONRO-2,Michele Paolini Paoletti,"Non-Symmetrical Relations, o-Roles, and Modes",2016
BEAPT-2,George Bealer and Uwe Monnich,Property Theories,2003
ANTWAO,Louise Antony,Who's Afraid of Disjunctive Properties?,2003
MACRAT-5,Fraser MacBride,Relations and Truthmaking,2011
EFFMN,Nikk Effingham,Mereological Nominalism,2018
BEAPTI,"George Bealer and Uwe M\""{o}nnich",Property Theories,1983
INGTRO-5,"R\""{o}gnvaldur Ingthorsson",The Regress of Pure Powers Revisited,2012
MEIADP,Bo R. Meinertsen,Against Disjunctive Properties: Four Armstrongian Arguments,2020
MENACT-3,Christopher Menzel,"A Complete, Type-Free ""Second-Order"" Logic and its Philosophical Foundations",1984
WILEAD-6,Jessica Wilson M.,Essence and Dependence,2020
QUISID,W. V. Quine,Soft Impeachment Disowned,1980
WHIOAA-2,Ann Whittle,On an Argument for Humility,2006
SHEFOC,Gila Sher,Forms of Correspondence: The Intricate Route From Thought to Reality,2012
EFFTLO,Nikk Effingham,The Location of Properties,2015
JACSPA-10,Andy Egan,Second-Order Predication and the Metaphysics of Properties,2004
SANDVD,David H. Sanford,Determinates Vs. Determinables,2008
CORTMS-4,David M. Cornell,Taking Monism Seriously,2016
LEVPAR,Jerrold Levinson,Properties and Related Entities,1978
GILIDO-2,Cody Gilmore,In Defence of Spatially Related Universals,2003
CHATDE,Anjan Chakravartty,The Dispositional Essentialist View of Properties and Laws,2003
SKIIDO,Alexander Skiles,In Defense of the Disjunctive,2016
FIETCO-8,Hartry Field,The Consistency of the Naive Theory of Properties,2004
DIETOO-4,Joseph Diekemper,The Ontology of Thisness,2015
ALEISS,Alex Byrne,Is Sex Socially Constructed?,2018
MIKGAA-4,Mari Mikkola,Grounding and Anchoring: On the Structure of Epstein?s Social Ontology,2019
CLESAC-2,Cleve James Van,Supervenience and Closure,1990
MORTPI-2,Matteo Morganti,The Partial Identity Account of Partial Similarity Revisited,2011
AUDPRA-6,Paul Audi,Partial Resemblance and Property Immanence,2018
BARVIS,Elizabeth Barnes,Vagueness in Sparseness: A Study in Property Ontology,2005
BEAOTI-2,George Bealer,On the Identification of Properties and Propositional Functions,1989
BEAPTT,George Bealer,Property Theory: The Type-Free Approach V. The Church Approach,1994
RUPCPC,Robert D. Rupert,"Ceteris Paribus Laws, Component Forces, and the Nature of Special-Science Properties",2008
CROGHS,Troy Cross,"Goodbye, Humean Supervenience",2012
SOBETA,Elliott Sober,Evolutionary Theory and the Ontological Status of Properties,1981
DORTBF,Cian Dorr,To Be F is to Be G,2006
LINSAA,Martin Lin,"Substance, Attribute, and Mode in Spinoza",2006
BARWIA-6,Sam Baron and Richard Copley{-}Coltheart and Raamy Majeed and Kristie Miller,What is a Negative Property?,2013
PAOACP,Michele Paolini Paoletti,Against Conjunctive Properties,2020
COPOPA,Irving M. Copi,"Objects, Properties, and Relations in the Tractatus",1958
ROBRAP-3,Pendaran Roberts and Kelly Ann Schmidtke,Relationalism About Perceptible Properties and the Principle of Charity,2016
BEACIT,George Bealer,"Completeness in the Theory of Properties, Relations, and Propositions",1983
BALPIA,Derek Nelson Ball,Property Identities and Modal Arguments,2011
DARMCT,Anthony Dardis,Mental Causation: The Mind-Body Problem,2008
COCPAI,Nino B. Cocchiarella,Properties as Individuals in Formal Ontology,1972
BUCDDF-2,Andrei A. Buckareff,Disentangling Dispositions From Powers,2022
LAPRDF-2,Joseph LaPorte,Rigid Designators for Properties,2006
MAUEAE,Anna{-}Sofia Maurin,Exemplification as Explanation,2013
LIVCTI-3,Vassilis Livanios,Challenging the Identity Theory of Properties,2021
FRUAIN,Christopher Frug\'e,Against Instantiation,forthcoming
NOLIQ,Daniel Nolan,Finite Quantities,2008
BLAGWN,Charles Blattberg,Gaps: When Not Even Nothing is There,2021
GUICAI,Ghislain Guigon,Coextension and Identity,2015
IRMATP-2,Nurbay Irmak,Against the Property Theory of Musical Works,2024
MENTPA-2,Christopher Menzel,"Theism, Platonism, and the Metaphysics of Mathematics",1987
NOLPAP,Daniel Nolan,Properties and Paradox in Graham Priest?s Towards Non-Being,2008
BAXTPO-6,Donald L. M. Baxter,The Problem of Universals and the Asymmetry of Instantiation,2018
PELOGE,Alik Pelman,Ontology Generator,2023
SCHVP,Stephen Schiffer,Vague Properties,2010
BAUFTO-2,William A. Bauer,Four Theories of Pure Dispositions,2011
MORSAC-2,Thomas Mormann,Similarity and Continuous Quality Distributions,1996
LONPAT,Douglas C. Long,Particulars and Their Qualities,1968
SCHANO-11,Benjamin Schnieder,A Note on Particularised Qualities and Bearer-Uniqueness,2004
BRORAT-2,Jeffrey E. Brower,Abelard's Theory of Relations: Reductionism and the Aristotelian Tradition,1998
HOMNPR,David Hommen,"Negative Properties, Real and Irreducible",2013
JAKIVM,Hicham Jakha,Ingarden Vs. Meinong on Ficta?s Generation and Properties,2024
STRCAP,P. F. Strawson,Concepts and Properties or Predication and Copulation,1987
DIXSRO,T. Scott Dixon and Cody Gilmore,Speaks?s Reduction of Propositions to Properties: A Benacerraf Problem,2016
EBRRWP,Jeffrey E. Brower,Relations Without Polyadic Properties: Albert the Great on the Nature and Ontological Status of Relations,2001
WOOSWP,J. H. Woodger,Science Without Properties,1951
PAOIAE,Michele Paolini Paoletti,Intrinsic and Extrinsic Modes,2021
LIERAO,David Liebesman,Relations and Order-Sensitivity,2014
HIDSPA,Eric Hiddleston,Second-Order Properties and Three Varieties of Functionalism,2011
JOAIHR,Sahar Joakim and C. P. Ragland,Is Hobbes Really an Antirealist About Accidents?,2018
PETTAA-9,Steve Petersen,Toward an Algorithmic Metaphysics,2013
OUAATT,Chiao{-}Li Ou,Amphibians and the Particular-Universal Distinction,2024
CORRHB,Richard Corry,Rewriting History: Backwards Causation and Conflicting Declarations Among Institutional Facts,forthcoming
MARCS-5,Teresa Marques,Constru\c{c}~{a}o Social,2015
FORNPW,Peter Forrest,New Problems with Repeatable Properties and with Change,1990
MEIONA,Uwe Meixner,On Negative and Disjunctive Properties,1991
ORIAES,Francesco Orilia and Michele Paolini Paoletti,An Experimental Study on the Ontology of Relations,2024
WARMSW,Craig Warmke,Modal Semantics Without Worlds,2016
SCHAP,Benjamin Schnieder,Attributing Properties,2006
HOMMSO-3,David Hommen,Making Sense of Negative Properties,2017
HENTMW,Boris Hennig,The Man Without Properties,2017
ESPSTK,Joseph Esposito,Synechism: The Keystone of Peirce's Metaphysics,2005
MILPIA-3,Kristie Miller,Properties in a Contingentist's Domain,2013
WARMI-2,Craig Warmke,Modal Intensionalism,2015
GUIQAT,Ghislain Guigon,Quidditism and the Resemblance of Properties,2016
BVEFAB,Arvid B\a{a}ve,Features and Bugs in Schnieder?s Theory of Properties,forthcoming
FRAPRT-4,Bryan Frances,Plato?s Response to the Third Man Argument in the Paradoxical Exercise of the Parmenides,1996
BUYTDB,F. Buyse,The Distinction Between Primary Properties and Secondary Qualities in Galileo's Natural Philosophy.,2015
PENDPA,Alan Penczek,Disjunctive Properties and Causal Efficacy,1997
SPRIAE,Timothy Sprigge,Internal and External Properties,1962
ZANNPC,Nick Zangwill,"Negative Properties, Determination and Conditionals",2003
ENDNNI,Ronald P. Endicott,Nomic-Role Nonreductionism: Identifying Properties by Total Nomic Roles,2007
WARLTA-2,Craig Warmke,Logic Through a Leibnizian Lens,2019
Kupferblum2015-OSOCA,C. Naomi Osorio{-}Kupferblum,Conceptualising ?Authority?,2015
HAWWTP,Katherine Hawley,Why Temporary Properties Are Not Relations Be- Tween Physical Objects and Times,1998
PERAND,Katarina Perovic,A Neo-Armstrongian Defense of States of Affairs: A Reply to Vallicella,2016
CHRIEA,Arkadiusz Chrudzimski,"Internal, External and Intra-Individual Relations",2005
CROAAT-11,Charles B. Cross,Armstrong and the Problem of Converse Relations,2002
WIEWPO,Jan Willem Wieland,What Problem of Universals?,2008
ORIIDO,Francesco Orilia and Michele Paolini Paoletti,In Defense of Irreducible Relations,2023
BRYROC,Eyja M. Brynjarsd\'{o}ttir,Response-Dependence of Concepts is Not for Properties,2008
PAORAT,Michele Paolini Paoletti,Relationism and the Problem of Order,2023
WACAPW,Daniel von Wachter,Amstrongian Particulars with Necessary Properties,2013
BOTMON,Andrew Botterell,Mellor on Negative Properties,1998
BRIP-3,Phillip Bricker,Properties,1996
ROSFAE,Marek Rosiak,Formal and Existential Analysis of Subject and Properties,2006
