ID,Author,Title,Year
BOOTLO-7,George Boolos,The Logic of Provability,1993
HOLPS-4,Wesley H. Holliday,Possibility Semantics,2021
KURANO-7,Taishi Kurahashi,A Note on Derivability Conditions,2020
HOLCAA-7,Wesley H. Holliday and Tadeusz Litak,Complete Additivity and Modal Incompleteness,2019
AVROMS,Arnon Avron,On Modal Systems Having Arithmetical Interpretations,1984
IGNOSP,Konstantin N. Ignatiev,On Strong Provability Predicates and the Associated Modal Logics,1993
VELPLF,Frank Veltman and Dick De Jongh,Provability Logics for Relative Interpretability,1990
BOOOSO,George Boolos,On Systems of Modal Logic with Provability Interpretations,1980
GRTKP,Paul \'{E}gr\'e,The Knower Paradox in the Light of Provability Interpretations of Modal Logic,2004
DINAPI,Yifeng Ding and Wesley H. Holliday,Another Problem in Possible World Semantics,2020
VEROTP-2,Rineke Verbrugge and Alessandro Berarducci,On the Provability Logic of Bounded Arithmetic,1991
ALEST-2,Samuel A. Alexander,Self-Referential Theories,2020
SHANDI-3,Daniyar Shamkanov,"Non?Well-Founded Derivations in the G\""{o}del-L\""{o}b Provability Logic",2020
SAMTML-2,Samuel R. Buss,The Modal Logic of Pure Provability,1990
KUROIB,Taishi Kurahashi,On Inclusions Between Quantified Provability Logics,2021
BOOPTA,George Boolos,"Provability, Truth, and Modal Logic",1980
MCCCAT-24,Storrs McCall,"Can a Turing Machine Know That the G\""{o}del Sentence is True?",1999
MIRPPL,Seyed Ahmad Mirsanei and Lotfollah Nabavi,Propositional Provability Logics,2022
OLIAIM,Nicola Olivetti and Rineke Verbrugge,"Advances in Modal Logic, Vol. 13",2020
HERTLO-22,Eduardo Hermo Reyes and Joost J. Joosten,The Logic of Turing Progressions,2020
RANJM,Veikko Rantala and Ari Virtanen,Johdatus Modaalilogiikkaan,2004
PACMSB,Yang Immanuel Pachankis,"Mass Surveillance, Behavioural Control, and Psychological Coercion the Moral Ethical Risks in Commercial Devices",2022
