ID,Author,Title,Year
PIGPOP,Massimo Pigliucci and Maarten Boudry,Philosophy of Pseudoscience: Reconsidering the Demarcation Problem,2013
THAWAI,Paul R. Thagard,Why Astrology is a Pseudoscience,1978
HIRDWD,Ilmari Hirvonen and Janne Karisto,Demarcation Without Dogmas,2022
BOUDP-6,Maarten Boudry,Diagnosing Pseudoscience ? by Getting Rid of the Demarcation Problem,2022
MCITSA-3,Lee McIntyre,"The Scientific Attitude: Defending Science From Denial, Fraud, and Pseudoscience",2019
KIDWDF-2,Ian James Kidd,"Why Did Feyerabend Defend Astrology? Integrity, Virtue, and the Authority of Science",2016
BOUTHT,Maarten Boudry,The Hypothesis That Saves the Day: Ad Hoc Reasoning in Pseudoscience,2013
MUKWHI,Nikil Mukerji and Edzard Ernst,Why Homoeopathy is Pseudoscience,2022
EDWRAR-6,Terence Rajivan Edward,Rationality and Revolution in Western Astrology,manuscript
BOULWA,Maarten Boudry,Loki's Wager and Laudan's Error: On Genuine and Territorial Demarcation,2013
SIMNEE,Massimiliano Simons,Naar Een Emancipatie van de Complottheorie,2017
BLAPAA-16,Stefaan Blancke and Maarten Boudry,Pseudoscience as a Negative Outcome of Scientific Dialogue: A Pragmatic-Naturalistic Approach to the Demarcation Problem,2022
LETTGK,K\a{a}re Letrud,The Gordian Knot of Demarcation: Tying Up Some Loose Ends,2019
REIPLE,George A. Reisch,"Pluralism, Logical Empiricism, and the Problem of Pseudoscience",1998
BOUTEP,Maarten Boudry and Filip Buekens,The Epistemic Predicament of a Pseudoscience: Social Constructivism Confronts Freudian Psychoanalysis,2011
LUGBFA,Andrew Lugg,"Bunkum, Flim-Flam and Quackery: Pseudoscience as a Philosophical Problem",1987
LUTOAA-2,Sebastian Lutz,On an Allegedly Essential Feature of Criteria for the Demarcation of Science,2011
TVRVEO,Filip Tvrd\'y,Vice Epistemology of Believers in Pseudoscience,2021
HYMEOP,Ray Hyman,Evaluation of Program on Anomalous Mental Phenomena,
TURHTD-3,"Petri Turunen and Ilkka P\""{a}ttiniemi and Ilmari Hirvonen and Johan Hietanen and Henrik Saarinen",How to Defend Scientism (1st edition),2022
PONCCA-3,Francesca Pongiglione and Carlo Martini,Climate Change and Culpable Ignorance: The Case of Pseudoscience,2022
PARTIA-2,Seungbae Park,To Be Scientific is to Be Interactive,2016
EDECLA,Valeria Carolina Edelsztein and Pablo Jos\'e Francisco Ramos M\'{e}ndez and Claudio Cormick,Contra la Astrolog\'{i}a: Una Propuesta Did\'{a}ctico-Epistemol\'{o}gica Para Distinguir Discursos Anticient\'{i}ficos,2023
GOUITG-2,Arvin M. Gouw,"Is Transhumanism Good Science, Bad Science, or Pseudoscience?",2022
GOUITG,Arvin M. Gouw,"Is Transhumanism Good Science, Bad Science, or Pseudoscience?",2022
BABCSP,Babette Babich,Calling Science Pseudoscience: Fleck's Archaeologies of Fact and Latour's ?Biography of an Investigation? in Aids Denialism and Homeopathy,2015
RAAJPO,Panu Raatikainen,"Jordan Peterson on Postmodernism, Truth, and Science",2021
TVRSPA,Filip Tvrd\'y,"V\v{e}da, Pseudov\v{e}da a Parav\v{e}da",2020
THOTTP-4,Lynn Thorndike,The True Place of Astrology in the History of Science,1955
MUSUSA,Mohammad Mushfequr Rahman,Understanding Science and Preventing It From Becoming Pseudoscience,2021
EDWATU,Terence Rajivan Edward,Are There Uncontroversial Error Theories?,2011
LYNTVO-2,Kevin Lynch,The Vagaries of Psychoanalytic Interpretation: An Investigation Into the Causes of the Consensus Problem in Psychoanalysis,2014
MUKWEM,Nikil S. Mukerji,Wie Erkennt Man Pseudowissenschaften?,2017
KIDFPA-2,Ian James Kidd,"Feyerabend, Pluralism, and Parapsychology",2018
UYAAST,Tevfik Uyar,A Secondary Tool for Demarcation Problem: Logical Fallacies,2017
MONP-18,Bradley Monton,Pseudoscience,2013
EDWAFA,Terence Rajivan Edward,"Astrology, Fate and Causation",2016
PAUPCA-3,Moreno Paulon,Pseudoscience Charges and the Demarcation Problem,2023
HANWAT-10,Sven Ove Hansson,"With All This Pseudoscience, Why so Little Pseudotechnology?",2022
YARTKV,Alper Bilgehan Yard\i{}mc\i,Thomas Kuhn Ve Bilimin Do\u{g}as\i: Fen E\u{g}itimi Ve Bilim Felsefesi A\c{c}i{}s\i{}ndan Bir I?nceleme,2022
LOKCAI,Sergei A. Lokhov and \CYRL\cyro\cyrh\cyro\cyrv \CYRS\cyre\cyrr\cyrg\cyre\cyrishrt \CYRA\cyrl\cyre\cyrk\cyrs\cyra\cyrn\cyrd\cyrr\cyro\cyrv\cyri\cyrch and Dmitrii V. Mamchenkov and \CYRM\cyra\cyrm\cyrch\cyre\cyrn\cyrk\cyro\cyrv \CYRD\cyrm\cyri\cyrt\cyrr\cyri\cyrishrt \CYRV\cyra\cyrl\cyre\cyrr\cyrsftsn\cyre\cyrv\cyri\cyrch,Creationism - a Pseudoscience or Pseudoreligion,2024
MONCCC-2,Pietro Montanari,Creencias Conspirativas: Condiciones Psicol\'{o}gicas y Sociopol\'{i}ticas de Su Formaci\'{o}n y Prominencia (Conspiracy Beliefs: Psychological and Sociopolitical Conditions of Their Formation and Salience),2022
ROMCDU,Gustavo E. Romero,Confesiones de Un Maldito Cientificista,2017
DKA,Hans Maes and Katrien8 Schaubroeck,Different Kinds and Aspects of Bullshit,2006
MULRRH,Frederik A. Muller,Refutability Revamped: How Quantum Mechanics Saves the Phenomena,2003
LETDWK,K\a{a}re Letrud,Do We Know It When We See It? A Review of ?Pseudoscience? Patterns of Usage,2023
HANTDP-4,Sven Ove Hansson,"Tant de Pseudosciences, Si Peu de Pseudotechnologies",2022
BRIBTA-2,Adrian Briciu,"Bullshit, Trust, and Evidence",2021
AZZTPU-2,Monica Azzolini,"The Political Uses of Astrology: Predicting the Illness and Death of Princes, Kings and Popes in the Italian Renaissance",2010
DADREA,E. M. Dadlez and William L. Andrews and Courtney Lewis and Marissa Stroud,"Rape, Evolution, and Pseudoscience: Natural Selection in the Academy",2009
SFEPDD,Nicolae Sfetcu,Pseudo\c{s}tiin\c{t}ua? Dincolo de Noi...,2015
FERIPA-6,Clarice de Medeiros Chaves Ferreira,Is Psychoanalysis a Pseudoscience? Reevaluating the Doctrine Using a Multicriteria List,2021
DAGFPV,Joachim L. Dagg,Forgery: Prediction's Vile Twin,2003
KEIEFL,Geert Keil,Eine Fulminante Lehnstuhlkritik der Neurowissenschaften,2005
DEBDDL-3,St\'{e}phanie Debray,D\'{e}finition de la Pseudoscience Chez Sven Ove Hansson,2023
LETISA,K\a{a}re Letrud,Incorrigible Science and Doctrinal Pseudoscience,2022
FASWDW,Angelo Fasce,What Do We Mean When We Speak of Pseudoscience? The Development of a Demarcation Criterion Based on the Analysis of Twenty-One Previous Attempts,2017
EINIDO,"J\""{u}ri Eintalu",Institutional Degeneration of Science,2019
RUSPOO,Michael Ruse,Pseudoscience: Objective or Subjective?,2020
MUKDIA-2,Nikil Mukerji and Adriano Mannino,Deeper Into Argumentative Bullshit,2022
EDIARA,Taner Edis,"A Revolt Against Expertise: Pseudoscience, Right-Wing Populism, and Post-Truth Politicst",2020
BLAETP,Stefaan Blancke and Taner Edis and Johan Braeckman and Sven Ove Hansson and Asheley R. Landrum and Andrew Shtulman,Editorial: The Psychology of Pseudoscience,2022
YOUAMA-3,Raymond Aaron Younis,"Against Method, Against Science? On Logic, Order and Analogy in the Sciences",2017
LAMEMP,Ehud Lamm,Exposing Medical Pseudo-Science May Be Unethical,manuscript
BLABMT-2,Richard B. Blacher,Benign Magical Thinking,1997
BOUETH,Maarten Boudry,"Exploring the Hinterland of Science: Massimo Pigliucci: Nonsense on Stilts: How to Tell Science From Bunk. Chicago and London: University of Chicago Press, 2010, 332Pp, \$20.00 Pb",2010
GARITN,Frances Murphy Hamblin,In the Name of Science,1953
WELSOP-2,Stephen Weldon,"Science or Pseudoscience: Magnetic Healing, Psychic Phenomena, and Other Heterodoxies. Henry H. Bauer",2001
ALCPSO-2,James E. Alcock,Parapsychology: Science of the Anomalous or Search for Nonmaterial Aspects of Human Existence,1990
MAGLSP,Christian Magnan,La Science Pervertie,2005
STEEAC-3,Victor J. Stenger,Esp and Cold Fusion Parallels in Pseudoscience,
ALCSPA,James E. Alcock,"Science, Pseudoscience, and Anomaly",1998
BORTCO-5,Lisa Bortolotti,The Concept of Scientific Research,2011
ARTTSP,Arthurstill and Windydryden,"The Social Psychology of ""Pseudoscience"": A Brief History",2004
KINSSO,J. R. King,Scientific Status of Aromatherapy,1994
