ID,Author,Title,Year
WILSTO-2,Timothy D. Wilson,Strangers to Ourselves: Discovering the Adaptive Unconscious,2002
FREAOO,Sigmund Freud,An Outline of Psychoanalysis,1940
POLCTM,Andrej Poleev,Chatgpt,2023
FREJAT-3,Sigmund Freud and Angela Richards,Der Witz Und Seine Beziehung Zum Unbewussten,1991
POLGD,Andrej Poleev,German Disease.,2019
EPSIOT,S. Epstein,Integration of the Cognitive and the Psychodynamic Unconscious,1994
FURKAD,Hans G. Furth,Knowledge as Desire: An Essay on Freud and Piaget,1987
FENTPT-2,Otto Fenichel,The Psychoanalytic Theory of Neurosis,1999
SHEEPI,Howard Shevrin and W. J. Williams and R. E. Marshall and Linda A. Brakel,Event-Related Potential Indicators of the Dynamic Unconscious,1992
EAGTES-2,Morris N. Eagle,The Epistemological Status of Recent Developments in Psychoanalytic Theory,1983
JACETF,Ray Jackendoff,Exploring the Form of Information in the Dynamic Unconscious,1988
FRETSO,Sigmund Freud,The Structure of the Unconscious,1940
KANTAO,Eric Kandel,"The Age of Insight: The Quest to Understand the Unconscious in Art, Mind, and Brain, From Vienna 1900 to the Present",2011
KRIATS,Beate Krickel,Are the States Underlying Implicit Biases Unconscious? ? a Neo-Freudian Answer,2018
KHUDDD,Thomas Khurana,Die Dispersion des Unbewussten. Drei Studien Zu Einem Nicht-Substantialistischen Konzept des Unbewussten: Freud ? Lacan ? Luhmann,2002
BOUWRF,Jacques Bouveresse,Wittgenstein Reads Freud: The Myth of the Unconscious,1995
MURPOP-2,Dominic Murphy,Philosophy of Psychiatry,2010
DEVSAE,Manuel de Vega and Arthur M. Glenberg and Arthur C. Graesser,Symbols and Embodiment: Debates on Meaning and Cognition,2008
OLISDA-3,Kelly Oliver,"Shame, Depression, and Social Melancholy",2020
VELIPC,Max Velmans,Investigating Phenomenal Consciousness: New Methodologies and Maps,2000
Moshe2020-BENOWN-2,Nir Ben{-}Moshe,On Wittgenstein?s Notion of a Surveyable Representation: The Case of Psychoanalysis,2020
CAVTPM-4,Marcia Cavell,The Psychoanalytic Mind: From Freud To,forthcoming
SOLWIC,Mark Solms,What is Consciousness?,1997
FREWAI,Sigmund Freud,Wit and its Relation to the Unconscious,1999
MATTUA,Ignacio Matte Blanco,The Unconscious as Infinite Sets: An Essay in Bi-Logic,1998
HOPPRA,Jim Hopkins,Psychoanalysis Representation and Neuroscience: The Freudian Unconscious and the Bayesian Brain,2012
SHOBAC,Svetlana Sholokhova,"Benefits and Challenges of the Phenomenological Approach to the Psychiatrist's Subjective Experience: Impassivity, Neutrality, and Embodied Awareness in the Clinical Encounter",2019
HOPPMA,Jim Hopkins,"Psychoanalysis, Metaphor, and the Concept of Mind",1999
SHESUC,Howard Shevrin and Michael Snodgrass and Linda A. W. Brakel and Ramesh Kushwaha and Natalia L. Kalaida and Ariane Bazan,Subliminal Unconscious Conflict Alpha Power Inhibits Supraliminal Conscious Symptom Experience,2013
KIRDGD-3,Lewis Kirshner,Die Gegenwart des Analytikers,2018
DWHUI,D. W. Hamlyn,Unconscious Intentions,1971
MACTUA-8,Alasdair C. MacIntyre,The Unconscious: A Conceptual Analysis,1976
LEWTPM,Zinaida Lewczuk and Ernest Gellner,The Psychoanalytic Movement,1986
INGCRT,Line Ryberg Ingerslev and Doroth\'{e}e Legrand,Clinical Response to Bodily Symptoms in Psychopathology,2017
LEVFAT-2,Donald Levy,Freud Among the Philosophers: The Psychoanalytic Unconscious and its Philosophical Critics,1996
RIVIAT-2,W. H. R. Rivers,Instinct and the Unconscious,1922
SIEUI-2,Frederick A. Siegler,Unconscious Intentions,1967
SMIFPO-2,David Livingstone Smith,Freud?s Philosophy of the Unconscious,1999
PIATAU,Jean Piaget,The Affective Unconscious and the Cognitive Unconscious,1973
BAZPAD,Ariane Bazan and Ramesh Kushwaha and E. Samuel Winer and J. Michael Snodgrass and Linda A. W. Brakel and Howard Shevrin,Phonological Ambiguity Detection Outside of Consciousness and its Defensive Avoidance,2019
ULEIBA,James S. Uleman,Introduction: Becoming Aware of the New Unconscious,2005
MARRTU,Gauchet Marcel,Redefining the Unconscious,2002
KRIAPH,Beate Krickel,A Psychological ?How-Possibly? Model of Repression,2024
THOTTA-8,M. Guy Thompson,The Truth About Freud's Technique: The Encounter with the Real,1994
MACTUA-2,A. C. Macintyre,The Unconscious: A Conceptual Study,1958
GYISFA,J\'{u}lia Gyimesi,S\'{a}ndor Ferenczi and the Problem of Telepathy,2012
WOLOTF,Richard Wollheim,On the Freudian Unconscious,2003
SPETRE,Donald P. Spence and B. Holland,The Restricting Effects of Awareness: A Paradoc and an Explanation,1962
HOBPDT,Allan Hobson,Psychoanalytic Dream Theory: A Critique Based Upon Modern Neurophysiology,1988
BALWJW-2,Valentin Balanovskiy,Whether Jung Was a Kantian?,2016
Ferreira2022-PASFVO,Claudia Passos{-}Ferreira,Freud's Views on Mental Causation (1st edition),2022
NICITT,A. Nicholls and M. Liebscher,Introduction: Thinking the Unconscious,2010
GARPSA-4,Sebastian Gardner,"Psychoanalysis, Science, and Commonsense",1995
EKSTMB,Soren R. Ekstrom,"The Mind Beyond Our Immediate Awareness: Freudian, Jungian, and Cognitive Models of the Unconscious",2004
JENTTG,Earl Jennifer,"Tanks, Tear Gas, and Taxes: Toward a Theory of Movement Repression",2003
HALPCP,John J. Haldane,"Psychoanalysis, Cognitive Psychology and Self-Consciousness",1988
ERDRRA,Matthew H. Erdelyi,"Repression, Reconstruction, and Defense: History and Integration of the Psychoanalytic and Experimental Frameworks",1990
GILRAT-5,Eric Gillett,Relativism and the Social-Constructivist Paradigm,1998
JAMKCH,James Phillips,Key Concepts: Hermeneutics,1996
OWEPAP,Ian Rory Owen,"Psychotherapy and Phenomenology: On Freud, Husserl and Heidegger",2006
SOLLRD-3,Marco Solinas,La Red\'{e}couverte de la ? Via Regia ?. Freud Lecteur de Platon,2015
FULNAN-2,Bill Fulford and Katherine Morris and John Z. Sadler and Giovanni Stanghellini,Nature and Narrative: An Introduction to the New Philosophy of Psychiatry,2003
ARCCAT,David Archard,Consciousness and the Unconscious,1984
CLAMPA-2,Peter A. Clark and Crispin Wright,"Mind, Psychoanalysis, and Science",1988
SOLLRD,Marco Solinas,La Riscoperta Della Via Regia. Freud Lettore di Platone,2012
HOPCAC,Jim Hopkins,"Conscience and Conflict: Darwin, Freud, and the Origins of Human Aggression",2004
BAL-20,Valentin Balanovskiy,\CYRR\cyro\cyrl\cyrsftsn \CYRS. \CYRN. \CYRSH\cyrp\cyri\cyrl\cyrsftsn\cyrr\cyre\cyrishrt\cyrn \CYRV \CYRF\cyro\cyrr\cyrm\cyri\cyrr\cyro\cyrv\cyra\cyrn\cyri\cyri \CYRT\cyre\cyro\cyrr\cyre\cyrt\cyri\cyrch\cyre\cyrs\cyrk\cyro\cyrg\cyro \CYRB\cyra\cyrz\cyri\cyrs\cyra \CYRA\cyrn\cyra\cyrl\cyri\cyrt\cyri\cyrch\cyre\cyrs\cyrk\cyro\cyrishrt \CYRP\cyrs\cyri\cyrh\cyro\cyrl\cyro\cyrg\cyri\cyri,2020
LANBAO,Richard D. R. Lane and David A. S. Garfield,"Becoming Aware of Feelings: Integration of Cognitive-Developmental, Neuroscientific, and Psychoanalytic Perspectives",2005
GROMTU,Paul Grobstein,"Making the Unconscious Conscious, and Vice Versa: A Bi-Directional Bridge Between Neuroscience/Cognitive Science and Psychotherapy?",2005
VIGLCD-6,Ferruccio Vigna,La Costruzione Del S\'e Biologico a Confronto Con Quella Del S\'e Junghiano,2020
Ferreira2014-PASOSC,Claudia Passos{-}Ferreira,O Self Como Centro de A\c{c}~{a}o Em James e Winnicott (Self-Agency in James and Winnicott),2014
BALIKA,Valentin Balanovskiy,I. Kant and C.G. Jung on the Prospects of Scientific Psychology,2017
GROFS-2,Elizabeth Grosz,"Freud, Sigmund",1992
SHEVSN,Ewa Plonowska Ziarek,"Vital Signs: Nature, Culture, Psychoanalysis. Charles Shepherdson. London, New York: Routledge, 2000",2002
AUDPEA,Robert Audi,Psychoanalytic Explanation and the Concept of Rational Action,1972
HOUSRO-3,Esben Hougaard,Some Reflections on the Relationship Between Freudian Psycho-Analysis and Husserlian Phenomenology',1978
DONOUI,Donald Gustafson,On Unconscious Intentions,1973
WELTRA,Talia Welsh,The Retentional and the Repressed: Does Freud's Concept of the Unconscious Threaten Husserlian Phenomenology?,2002
FARTSO-4,B. A. Farrell,The Status of Psychoanalytic Theory,1964
MYEJAF,Gerald E. Myers,James and Freud,1990
NATTAI,Thomas Natsoulas,Toward an Improved Understanding of Sigmund Freud's Conception of Consciousness,1992
BOWATU,Gordon H. Bower,"Awareness, the Unconscious, and Repression: An Experimental Psychologist's Perspective",1990
SOLFAU,Robert C. Solomon,"Freud and ""Unconscious Motivation""",1974
NEUTPM-2,Jerome Neu,The Psychoanalytic Mind: From Freud to Philosophy,1995
SASWFA,L. Sass,"Wittgenstein, Freud, and the Nature of Psychoanalytic Explanation",2001
SULEVL,Shannon Sullivan,Enigma Variation: Laplanchean Psychoanalysis and the Formation of the Raced Unconscious,2003
POWFFT,Michael J. Power and C. R. Brewin,From Freud to Cognitive Science: A Contemporary Account of the Unconscious,1991
VARETA,Charles R. Varela,Ethogenic Theory and Psychoanalysis: The Unconscious as a Social Construction and a Failed Explanatory Concept,1995
DILTUL,Martin C. Dillon,The Unconscious: Language and World,1993
VOLIEA,Fred Vollmer,Intentional Explanation and its Place in Psychology,1986
PRITU-2,Morton Prince,The Unconscious,1914
BAL-22,Valentin Balanovskiy,\CYREREV\cyrh\cyro \CYRK\cyra\cyrn\cyrt\cyra \CYRV \CYRA\cyrn\cyra\cyrl\cyri\cyrt\cyri\cyrch\cyre\cyrs\cyrk\cyro\cyrishrt \CYRP\cyrs\cyri\cyrh\cyro\cyrl\cyro\cyrg\cyri\cyri \CYRK. \CYRG. \CYRYU\cyrn\cyrg\cyra,1898
RAPCAP,David Rapaport,Consciousness: A Psychopathological and Psychodynamic View,1951
EDWMPA,Terence Rajivan Edward,Moral Philosophy and Psychoanalysis: A Point of Convergence,manuscript
BRUEPW,Jos\'e Brunner,?Every Path Will End in Darkness? Or: Why Psychoanalysis Needs Metapsychology,1994
STEPOA-11,Jana Steinig and Ariane Bazan and Svenja Happe and Sarah Antonetti and Howard Shevrin,Processing of a Subliminal Rebus During Sleep: Idiosyncratic Primary Versus Secondary Process Associations Upon Awakening From Rem- Versus Non-Rem-Sleep,2017
HERMOP,Edwin L. Hersch,Making Our Philosophical Unconscious More Conscious: A Method of Exploring the Philosophical Basis of Psychological Theory,2001
BAL-25,Valentin Balanovskiy,\CYRN.\CYRYA. \CYRG\cyrr\cyro\cyrt \CYRI \CYRK.\CYRG. \CYRYU\cyrn\cyrg: \CYRO \CYRV\cyrk\cyrl\cyra\cyrd\cyre \CYRR\cyru\cyrs\cyrs\cyrk\cyro\cyrishrt \CYRF\cyri\cyrl\cyro\cyrs\cyro\cyrf\cyri\cyri \CYRV \CYRR\cyra\cyrz\cyrv\cyri\cyrt\cyri\cyre \CYRA\cyrn\cyra\cyrl\cyri\cyrt\cyri\cyrch\cyre\cyrs\cyrk\cyro\cyrishrt \CYRP\cyrs\cyri\cyrh\cyro\cyrl\cyro\cyrg\cyri\cyri,2016
VIGMVI-2,Ferruccio Vigna,Mystice Videre. Il Gioco Degli Specchi Tra Neurobiologia e Psicologia Analitica,2010
BAL-21,Valentin Balanovskiy,\CYRR\cyro\cyrl\cyrsftsn \CYRM\cyra\cyrs\cyrs\cyro\cyrv\cyro\cyrishrt \CYRP\cyrs\cyri\cyrh\cyro\cyrl\cyro\cyrg\cyri\cyri \CYRB.\CYRP. \CYRV\cyrery\cyrsh\cyre\cyrs\cyrl\cyra\cyrv\cyrc\cyre\cyrv\cyra \CYRV \CYRR\cyra\cyrz\cyrv\cyri\cyrt\cyri\cyri \CYRA\cyrn\cyra\cyrl\cyri\cyrt\cyri\cyrch\cyre\cyrs\cyrk\cyro\cyrishrt \CYRP\cyrs\cyri\cyrh\cyro\cyrl\cyro\cyrg\cyri\cyri,2020
SOLLPD-2,Marco Solinas,La Paternit\`a Dell?Eros: Il ?Simposio? e Freud,2005
SYMTUA,Paul Symington,The Unconscious and Conscious Self: The Nature of Psychical Unity in Freud and Lonergan,2006
PUPSF,Vanessa Pupavac,15 Sigmund Freud,2009
Sabat2001-NISPPA,Marilyn Nissim{-}Sabat,"Psychiatry, Psychoanalysis, and Race",2001
PAPTHO,Renos K. Papadopoulos,"The Handbook of Jungian Psychology: Theory, Practice and Applications",2006
BOARPA,Simon Boag,?Real Processes? and the Explanatory Status of Repression and Inhibition,2007
ALLTGS-2,David F. Allen and Jacques Postel and German E. Berrios,The Ganser Syndrome,2000
AVECAR,Jorge Aveleira,Consciousness and Reality: A Stable-Dynamic Model Based on Jungian Psychology,2001
JERTNL,Jerome Kroll,The Nine Lives of the Dynamic Unconscious,2002
SMIFNU,David L. Smith,Freud's Neural Unconscious,2002
KIHRAU,John F. Kihlstrom,Repression: A Unified Theory of a Will-O'-the-Wisp,2006
EDWCAU,David Edwards and Michael Jacobs,Conscious and Unconscious,2003
DILFAT,\.{I}lham Dilman,Freud and the Mind,1984
SHECAU,Howard Shevrin and J. Bond and L. Brakel and R. Hertel and W. J. Williams,"Conscious and Unconscious Processes: Psychodynamic, Cognitive, and Neurophysiological Convergences",1996
CHOTPO-8,Nancy Chodorow,The Psychodynamics of the Family,1997
SHESPA,Howard Shevrin,Subliminal Perception and Repression,1990
BRATPP,Linda A. Brakel and Shasha Kleinsorge and Michael Snodgrass and Howard Shevrin,The Primary Process and the Unconscious: Experimental Evidence Supporting Two Psychoanalytic Presuppositions,2000
CHATPO-4,S. C. Chang,The Psychology of Consciousness,1978
MASFAT-3,J. Moussaieff Masson,Fratricide Among the Monkeys: Psychoanalytic Observations on an Episode in the V\={a}lm\={i}kir\={a}m\={a}ya\d{n}amfratricide Among the Monkeys: Psychoanalytic Observations on an Episode in the Valmikiramayanam,1975
DILITU,Ilham Dilman,Is the Unconscious a Theoretical Construct?,1972
BRABLM,Patrick J. Bracken,Beyond Liberation: Michel Foucault and the Notion of a Critical Psychiatry,1995
ROBTPT,Robert K. Shope,The Psychoanalytic Theories of Wish-Fulfilment and Meaning,1967
BROANA-3,Jens Brockmeier,"Autobiography, Narrative, and the Freudian Concept of Life History",1997
Ruach1988-TOVFOU,Leila Tov{-}Ruach,"11. Freud on Unconscious Affects, Mourning, and the Erotic Mind",1988
NATARO-2,Thomas Natsoulas,A Rediscovery of Sigmund Freud,1995
MACTU,Juliet Flower MacCannell and Elizabeth Wright,The Unconscious,1992
FOUTOD,D. Foulkes,Theories of Dream Formation and Recent Studies of Sleep Consciousness,1964
OBRDWT,Gerard O'Brien and Jon Jureidini,Dispensing with the Dynamic Unconscious,2002
HOLSRO-2,Robert R. Holt,Some Reflections on Testing Psychoanalytic Hypotheses,1986
NATFAC,Thomas Natsoulas,Freud and Consciousness I-Xi,1996
EAGTPA,Morris N. Eagle,The Psychoanalytic and the Cognitive Unconscious,1987
LLOCHR,Dan Lloyd,Connectionist Hysteria: Reducing a Freudian Case Study to a Network Model,1994
ABRAPO-2,Nicolas Abraham and Maria Torok and Nicholas Rand,"A Poetics of Psychoanalysis: ""The Lost Object: Me""",1984
ERDDPC,Matthew H. Erdelyi,Defense Processes Can Be Conscious or Unconscious,2001
MASTOP,Robert J. Masek,The Overlooked Problem of Consciousness in Psychoanalysis: Pierre Janet Revisited,1989
ROSIAC,A. D. Rosenblatt and J. T. Thickstun,Intuition and Consciousness,1994
OLDCAB,D. D. Olds,"Consciousness: A Brain-Centered, Informational Approach",1992
JOSTCO-2,E. D. Joseph,The Consciousness of Being Conscious,1987
FARTBO,John Farrell,The Birth of the Psychoanalytic Hero: Freud's Platonic Leonardo,2007
BRUCPA-3,Bruce N. Waller,Comparing Psychoanalytic and Cognitive-Behavioral Perspectives on Control,2004
BLEMCT,Hugo Bleichmar,Making Conscious the Unconscious in Order to Modify Unconscious Processing: Some Mechanisms of Therapeutic Change,2004
GARTUM,Sebastian Gardner,The Unconscious Mind,2003
MCCCPS,Douglas McConnell and Neil Pickering,"Clinical Practice, Science, and the Unconscious",2005
DOULFT,Douglas McConnell and Grant Gillett,Lacan for the Philosophical Psychiatrist,2005
ANDATA,Victor Manoel Andrade,"Affect, Thought, and Consciousness: The Freudian Theory of Psychic Structuring From an Evolutionary Perspective",2003
MATRF,Eric Matthews,Revisiting Freud,2013
TAUFWO,Alfred I. Tauber,Freud Without Oedipus: The Cognitive Unconscious,2013
TAUTRU,Alfred I. Tauber,The Rational Unconscious: The Freudian Mind Reconsidered,2013
SMIFSO,D. Smith,Freudian Science of Consciousness: Then and Now,2000
SASDRA,Louis A. Sass,"Delusion, Reality, and Excentricity: Comment on Thomas Fuchs",2020
WEBBFA-3,Jonathan Webber,Bad Faith and the Unconscious,2013
RATTUA,Carl Ratner,The Unconscious: A Perspective From Sociohistorical Psychology,1994
SINDCA,Jerome L. Singer,"Daydreaming, Consciousness, and Self-Representations: Empirical Approaches to Theories of William James and Sigmund Freud",2003
JONSFL,Ernest Jones,"Sigmund Freud, Life and Work. Vol. 3: The Last Phase",1959
STOFIA,Adrian Stokes,Form in Art: A Psychoanalytic Interpretation,1959
ARATMO,Anna Aragno,The Marriage of Psychoanalytic Methodology with the Biosemiotic Agenda,2012
GARPTA-2,Sebastian Gardner,Psychoanalytic Theory: A Historical Reconstruction,2012
HOLWFA,M. Andrew Holowchak,"When Freud (Almost) Met Chaplin: The Science Behind Freud's ?Especially Simple, Transparent Case?",2012
SCHCCA,Marya Schechtman,"Community, Consciousness, and Dynamic Self-Understanding",2005
STOAAT,Robert D. Stolorow,"Autobiographical and Theoretical Reflections on the ""Ontological Unconscious""",2006
GALSFA-3,Iago Galdston,Sigmund Freud: A Critical Summary and Review,1949
WOOFTF,Chris Wood,Finding the Father: A Psychoanalytic Study of Rebel Without a Cause,2000
KONPIA-2,David Konstan,Plato's Ion and the Psychoanalytic Theory of Art,2005
SCHOTP,Peter Schwankl,On the Phenomenology of the Unconscious,1973
LOCAMM,Ian A. Lockhart,A Memory Model of Presymbolic Unconscious Mentation,2001
VANFAJ-2,Philippe Van Haute,"Fatal Attraction: Jean Laplanche on Sexuality, Subjectivity and Singularity in the Work of Sigmund Freud",1995
POCCOS,Susan Pockett,"Commentary on Shevrin, Ghannam, and Libet, \emph{a Neural Correlate of Consciousness Related to Repression}",2002
HORCAP,M. J. Horowitz and C. H. Stinson,Consciousness and Processes of Control,1995
CIMPIA,Cristiana Cimino and Antonello Correale,Projective Identification and Consciousness Alteration: A Bridge Between Psychoanalysis and Neuroscience?,2005
WILTAE,Warren Wilner,The Analyst's Embeddedness and the Emergence of Unconscious Experience,2006
KERCVR,Otto F. Kernberg,Chancing Views Regarding the Nature and Origin of the Dynamic Unconscious,1987
STAATO-3,Olaf Stapledon,A Theory of the Unconscious,1927
NEUDTP,Jerome Neu,"""Does the Professor Talk to God?"": Learning From Little Hans",1995
DRELAT-2,B. Elan Dresher and Norbert Hornstein,Language and the Deep Unconscious Mind: Aspectualities of the Theory of Syntax,1990
LEVSIT,Fred M. Levin and Colwyn Trevarthen,"Subtle is the Lord: The Relationship Between Consciousness, the Unconscious, and the Executive Control Network (Ecn) of the Brain",2000
PEDDHT,Loren E. Pedersen,Dark Hearts: The Unconscious Forces That Shape Men's Lives,1991
HOLCPV,Jeremy Holmes,Collective Pressure Versus Primary Love: A Psychoanalytic Comment,2014
FINUBA,Herbert Fingarette,Unconscious Behavior and Allied Concepts: A New Approach to Their Empirical Interpretation,1950
SILTRT-2,George Silberschatz,Transformative Relationships: The Control-Mastery Theory of Psychotherapy,2005
BUTSHF,Giuseppe Butera,Second Harvest: Further Reflections on the Promise of the Thomistic Psychology,2010
Laferriere1989-RANSPC,Daniel Rancour{-}Laferriere,Some Psychoanalytic Considerations,1989
ARROTA,Lucien Arr\'{e}at,On the Abuses of the Notion of the Unconscious,1911
GILSAT-2,Grant Gillett,Signification and the Unconscious,2001
SALHYD,Marco Alexis Salcedo,Herencia y Determinismo Gen\'{e}tico En la Obra de Sigmund Freud,2010
LAPPC,Rob Lapsley,Psychoanalytic Criticism,2006
THOAAT-17,J. M. Thorburn,Art and the Unconscious,1921
OVSTCO,Fred Ovsiew,"The Correspondence of Sigmund Freud and S\'{a}ndor Ferenczi. Volume 2:1914-1919 Edited by Ernst-Falzeder and Eva Brabant, with the Collaboration of Patrizia Giampieri-Deutsch",1997
ERDIIT,Matthew H. Erdelyi,Issues in the Study of Unconscious and Defense Processes,1988
MATPIN-2,\v{Z}eljka Matija\v{s}evi\'c,Psihoanaliza I New Age,2007
INGRAD,Gordon P. D. Ingram and Karolina Prochownik,Restrictive and Dynamic Conceptions of the Unconscious: Perspectives From Moral and Developmental Psychology,2014
ABRPOC-2,H. A. Abramson,Problems of Consciousness: Transactions of the Second Conference,1951
SNEDLF,D. Snelling,"Donald Levy, Freud Among the Philosophers: The Psychoanalytic Unconscious and its Philosophical Critics",forthcoming
MOGFTC,Karin Mogg and Lusia Stopa and Brendan P. Bradley,From the Conscious Into the Unconscious: What Can Cognitive Theories of Psychopathology Learn From Freudian Theory?,2001
DAVBTT,Jody M. Davies,"Back to the Future in Psychoanalysis: Trauma, Dissociation, and the Nature of Unconscious Processes",1999
ZALMPA-3,Michael R. Zales,Mysticism: Psychodynamics and Relationship to Psychopathology,1978
ROSTOO-16,Rosfort Ren\'e,The Opacity of Bodily Symptoms: Anonymous Meaning in Psychopathology,2017
KUBPAP,L. S. Kubie,Psychiatric and Psychoanalytic Considerations of the Problem of Consciousness,1954
BERSFE,Joel Bernat,Sigmund Freud Et la Fonction Goethe,2009
STUCOA,P. G. Sturdee,"Commentary on"" Aristotle's Akrasia and Psychoanalytic Regression""",1997
OLEGAS,Timothy O'Leary,Godfathers and Sons: Tripping Over the Unconscious,2009
EIGFFT,Michael Eigen,"Flames From the Unconscious: Trauma, Madness, and Faith",2009
SCOAAC,Charles E. Scott,Archetypes and Consciousness,1977
MACSFY,Jaime Macab\'{i}as,Sigmund Freud y la Teor\'{i}a Pol\'{i}tica,2003
BROXMO,C. D. Broad,Xi.--Various Meanings of the Term ?Unconscious.?,1923
VERPP-3,Paul Verhaeghe,Psychoanalytic Psychodiagnostics,2003
POWCAU,Michael J. Power,Conscious and Unconscious Representations of Meaning,1997
MILTCS,David Millar,The Christmas Story: A Psychoanalytic Enquiry,2006
COLCTS,Warren Colman,"Consciousness, the Self and the Isness Business",2004
RIVIAT,Katherine Gilbert,Instinct and the Unconscious. A Contribution to a Biological Theory of the Psycho-Neuroses,1923
BARIOP,J. Barron and Morris N. Eagle and D. Wolitzky,Interface of Psychoanalysis and Psychology,1992
STETIO-6,J. McKellar Stewart,The Idea of the Unconscious in the New Psychology,1923
EAGPCO,Morris N. Eagle,Psychoanalytic Conceptions of the Self,1991
SCHACR,J. G. Schimek,A Critical Re-Examination of Freud's Concept of Unconscious Mental Representation,1975
LICVCA,Joseph Lichtenberg,"Values, Consciousness, and Language",2002
BRAPAP-8,S. Boag L. Brakel and V. Talvete,Psychoanalysis and Philosophy of Mind:Unconscious Mentality in the 21St Century,2017
TROFTA,Guy Trobas,From the Associationist Unconscious to the Unconscious Structured Like a Language,2002
PHIFAT-4,James Phillips,Freud and the Cognitive Unconscious,2013
