ID,Author,Title,Year
VALLPA-3,Kevin Vallier,Liberal Politics and Public Faith: Beyond Separation,2014
GAUTRO-3,Gerald F. Gaus and Kevin Vallier,"The Roles of Religious Conviction in a Publicly Justified Polity: The Implications of Convergence, Asymmetry and Political Institutions",2009
LIVRLD,Federica Liveriero,Relational Liberalism: Democratic Co-Authorship in a Pluralistic World,2023
NORDTI-2,Ole Frithjof Norheim and Joelle Abi{-}Rached and Liam Kofi Bright and Kristine Baeroe and Octavio Ferraz and Siri Gloppen and Alex Voorhoeve,Difficult Trade-Offs in Response to Covid-19: The Case for Open and Inclusive Decision-Making,2021
LISTDD,Christian List,The Discursive Dilemma and Public Reason,2006
NEUPRA,Blain Neufeld,Public Reason and Political Autonomy: Realizing the Ideal of a Civic People,2022
BADUPP,Gabriele Badano and Alasia Nuti,"Under Pressure: Political Liberalism, the Rise of Unreasonableness, and the Complexity of Containment",2018
BADRPR,Gabriele Badano and Matteo Bonotti,Rescuing Public Reason Liberalism?s Accessibility Requirement,2020
MOECPR,Lars J. K. Moen,Collectivizing Public Reason,2024
JEFLEA-3,Anne Jeffrey,Limited Epistocracy and Political Inclusion,2017
GHESNA,Anca Gheaus,Political Liberalism and the Dismantling of the Gendered Division of Labour,forthcoming
BRNADA,"Claudia Br\""{a}ndle and Michael W. Schmidt",Autonomous Driving and Public Reason: A Rawlsian Approach,2021
DAGFPR,Fred D'Agostino,Free Public Reason: Making It Up as We Go,1996
BESOJI,Thomas M. Besch,"On Justification, Idealization, and Discursive Purchase",2019
WONAPA-3,Baldwin Wong,"Accessibility, Pluralism, and Honesty: A Defense of the Accessibility Requirement in Public Justification",2022
VALCAC-4,Kevin Vallier,Convergence and Consensus in Public Reason,2011
LELRIM,R. J. Leland and Han van Wietmarschen,"Reasonableness, Intellectual Modesty, and Reciprocity in Political Justification",2012
VALPJV,Kevin Vallier,Public Justification Versus Public Deliberation: The Case for Divorce,2015
BRITIO-33,Matthias Brinkmann,The Intransparency of Political Legitimacy,2023
WONCAT-3,Baldwin Wong,Conjecture and the Division of Justificatory Labour: A Comment on Clayton and Stevens,2019
VALAPR,Kevin Vallier,Against Public Reason Liberalism's Accessibility Requirement,2011
BESORD,Thomas M. Besch,On Robust Discursive Equality,2019
SCHTLT-5,Antoinette Scherz,Tying Legitimacy to Political Power: Graded Legitimacy Standards for International Institutions,2019
MULOTC,Thomas Mulligan,On the Compatibility of Epistocracy and Public Reason,2015
WONPRA-2,Baldwin Wong,Public Reason and Structural Coercion,2020
BESODR,Thomas M. Besch,On Discursive Respect,2014
DAHPJA,Marcus Dahlquist and Henrik D. Kugelberg,Public Justification and Expert Disagreement Over Non-Pharmaceutical Interventions for the Covid-19 Pandemic,2021
CEVPC,Emanuela Ceva and Maria Paola Ferretti,Political Corruption,2017
BILREC,Paul Billingham,"Consensus, Convergence, Restraint, and Religion",2018
WALIPJ,Steven Wall,Is Public Justification Self-Defeating?,2002
WENCPA-2,Fabian Wendt,"Compromise, Peace and Public Justification: Political Morality Beyond Justice",2016
LISPJA-2,Andrew Lister,Public Justification and the Limits of State Action,2010
KAPSAP-2,Klemens Kappel,Science as Public Reason and the Controversiality Objection,2021
BESPLT,Thomas M. Besch,"Political Liberalism, the Internal Conception, and the Problem of Public Dogma",2012
BESPJI-2,Thomas M. Besch,"Public Justification, Inclusion, and Discursive Equality",2018
VIEXTI,Daniel Viehoff,Xiv--the Truth in Political Instrumentalism,2017
BILCLA,Paul Billingham,Convergence Liberalism and the Problem of Disagreement Concerning Public Justification,2017
BESOPL,Thomas M. Besch,"On Political Legitimacy, Reasonableness, and Perfectionism",2013
VALMPB,Kevin Vallier,Must Politics Be War? Restoring Our Trust in the Open Society,2017
EMIACA,Andersson Emil,"Autonomy, Community, and the Justification of Public Reason",2024
HORRPR-2,John Horton,"Rawls, Public Reason and the Limits of Liberal Justification",2003
WENRPJ,Fabian Wendt,Rescuing Public Justification From Public Reason Liberalism,2019
KUGCEA,Henrik D. Kugelberg,Civic Equality as a Democratic Basis for Public Reason,2024
ANDFEA-6,Emil Andersson,"Freedom, Equality, and Justifiability to All: Reinterpreting Liberal Legitimacy",2022
BADTPO-8,Gabriele Badano,The Principle of Restraint: Public Reason and the Reform of Public Administration,2020
BADIYA,Gabriele Badano,"If You?Re a Rawlsian, How Come You?Re so Close to Utilitarianism and Intuitionism? A Critique of Daniels?s Accountability for Reasonableness",2018
ROSMVC,Enzo Rossi,"Modus Vivendi, Consensus, and (Realist) Liberal Legitimacy",2010
MOTTEL,Alexander Motchoulski,The Epistemic Limits of Shared Reasons,2020
BESODT,Thomas M. Besch,On Domination: Toward a Status-Centric View,manuscript
DIRGPR,Samuel Director,"Global Public Reason, Diversity, and Consent",2019
CEVPJT,Emanuela Ceva,Political Justification Through Democratic Participation,2015
WILDAC-6,Jeremy Williams,Death and Consensus Liberalism,2017
JAYPLA,Athmeya Jayaram and Michael Kates,Political Liberalism and Public Health,2021
BADSSD,Gabriele Badano,"Still Special, Despite Everything: A Liberal Defence of the Value of Healthcare in the Face of the Social Determinants of Health",2016
KUGSPL,Henrik D. Kugelberg,Strong Political Liberalism,2024
DIRJIT,Samuel Director,"Justice in the Laws, a Restatement: Why Plato Endorses Public Reason",2018
GIRDEG,Charles Girard,D\'{e}lib\'{e}rer Entre \'{E}gaux. Enqu\^{e}te Sur l'Id\'{e}al D\'{e}mocratique,2019
BESBJR,Thomas M. Besch,"\""{U}ber John Rawls' Politischen Liberalismus",1998
PETPLU,Fabienne Peter,Political Legitimacy Under Epistemic Constraints : Why Public Reasons Matter,2019
WENTMS,Fabian Wendt,The Moral Standing of Modus Vivendi Arrangements,2016
SAI-9,Dimitris Vardoulakis,Sovereignty and its Other: Toward the Dejustification of Violence,2013
BESOPC,Thomas M. Besch,On Practical Constructivism and Reasonableness,2004
BERPJT,Christopher Bertram,"Political Justification, Theoretical Complexity, and Democratic Community",1997
LOVTEO-9,Adam Lovett,The Ethics of Asymmetric Politics,2023
GAROAP-5,Paul Garofalo,On Associating (Politically) with the Unreasonable,forthcoming
BADPRP,Gabriele Badano and Alasia Nuti,"Public Reason, Partisanship and the Containment of the Populist Radical Right",2023
LEORRA-2,Kim Leontiev,Religious Reasons and Liberal Legitimacy,2023
BESCAP-2,Thomas M. Besch,Critique and Public Reason (1st edition),2024
COECCA,Marilie Coetsee,"Consensus, Convergence, and Covid-19: The Role of Religion in Leaders? Responses to Covid-19",2023
PATIPR,Patrick Neal,Is Public Reason Innocuous?,2008
BOESIA,James W. Boettcher,Strong Inclusionist Accounts of the Role of Religion in Political Decision-Making,2005
ROOLAA-3,James Dominic Rooney,Liberal Arts and the Failures of Liberalism,2024
ROOPRN,James Dominic Rooney,Public Reason Naturalism,2024
DAGPJ,Fred D'Agostino,Public Justification,2008
VATTPO-7,Miguel Vatter and Rogers M. Smith,The Idea of Public Reason and the Reason of State,2008
PETRIO-2,Fabienne Peter,Rawls' Idea of Public Reason and Democratic Legitimacy,2007
BONPAP-6,Matteo Bonotti,Partisanship and Public Reason,2014
MOTDPJ,Alexander Motchoulski,Democratic Public Justification,2020
BAJNPR,Sameer Bajaj and Enzo Rossi,"Noumenal Power, Reasons, and Justification: A Critique of Forst",2019
KLIBAB-2,Jennifer Kling and Megan Mitchell,Bottles and Bricks: Rethinking the Prohibition Against Violent Political Protest,2019
JAYFTP,Athmeya Jayaram,"For the People, by the Viewpoints? Realism and Idealism in Public Reason",2020
GAUJCA,Gerald Gaus,"Justification, Choice and Promise: Three Devices of the Consent Tradition in a Diverse Society",2012
ANDRLL-3,Emil Andersson,Reinterpreting Liberal Legitimacy,2019
BOHCAN-6,James Bohman,Citizenship and Norms of Publicity,1999
GARLAT-16,Paul Garofalo,Legitimacy and Two Roles for Flourishing in Politics,2023
BESDEA,Thomas M. Besch,Discursive Equality and Public Reason,2024
WINRCI-2,Julien Winandy,?Religious Citizens? in Post-Secular Democracies,2015
JASTSO-11,Jason Tyndal,The Separateness of Persons: A Moral Basis for a Public Justification Requirement,2017
MURIRB,Anantharaman Muralidharan and G. Owen Schaefer,Institutional Review Boards and Public Justification,2022
FREUAP,Christopher Freiman,Utilitarianism and Public Justification,2013
BADTLO-4,Gabriele Badano and Alasia Nuti,"The Limits of Conjecture: Political Liberalism, Counter-Radicalisation and Unreasonable Religious Views",2020
NORPRR,Richard North,"Public Reason, Religious Restraint and Respect",2012
BESMOA,Thomas M. Besch,Patterns of Justification: On Political Liberalism and the Primacy of Public Justification,2022
BESROT,Thomas M. Besch,Reflections on the Foundations of Human Rights,manuscript
FUMAML,Roberto Fumagalli,A More Liberal Public Reason Liberalism,2023
HUZNL,Eugen Huzum,Neutralismul Liberal,2013
AFEPRA,Alessandro Ferrara,Public Reason and the Normativity of the Reasonable,2004
HUZDCI,Eugen Huzum,"Dumnezeu, Constitu?\'{i}a ?i Imperativul Neutralit\ua?\'{i}i. O Analiz\ua Critic\ua a Ideii de Revizuire a Constitu?iei \^{I}n Sens Cre?tin",2013
MERWDE,Michael S. Merry,Waarom de Elites Houden van Burgerschap,2018
DUFDAI,Pavel Dufek,Democracy as Intellectual Taste? Pluralism in Democratic Theory,2018
LISLFO,Andrew Lister,Liberal Foundations of Democratic Authority,2010
BYRLAT,Edmund Byrne,Law as Technology Assessment,1982
KUGPJG,Elsa Kugelberg and Henrik D. Kugelberg,"Public Justification, Gender, and the Family",2024
FRESTS-2,Danny Frederick,Social Contract Theory Should Be Abandoned,2013
STRWTM-3,Narve Strand,World That Matters: Reply to Poul Houe,2011
AIKDDP,Scott F. Aikin,"Democratic Deliberation, Public Reason, and Environmental Politics",2006
BESREC,Andrei Bespalov,"Religious Exemptions, Claims of Conscience, and Idola Fori",2020
MACJRA-2,Alice MacLachlan and C. Allen Speight,"Justice, Responsibility, and Reconciliation in the Wake of Conflict",2013
HOYRAD,Philippe{-}Antoine Hoyeck,"Religion and Democracy: J\""{u}rgen Habermas and Charles Taylor on the Public Use of Reason",2021
NEUBBS,Jonathan A. Neufeld,Billy Budd's Song: Authority and Music in the Public Sphere,2013
GANDPR,Steffen Ganghof,"Does Public Reason Require Super-Majoritarian Democracy? Liberty, Equality, and History in the Justification of Political Institutions",2013
OLSPOD,Dustin Olson,"Public Opinion, Democratic Legitimacy, and Epistemic Compromise",2021
AUXHOH,Randall E. Auxier,Hanks on Habermas and Democratic Communication,1992
GAUPJA,Gerald F. Gaus,Public Justification and Democratic Adjudication,2009
FORITO,Andrew Forcehimes,Is the Order of Public Reason a Mere Modus Vivendi?,2013
LISCLC,Matthew Lister,"Criminal Law Conversations: ""Desert: Empirical, Not Metaphysical"" and ""Contractualism and the Sharing of Wrongs""",2009
BUCSAR-2,Richard M. Buck,Sincerity and Reconciliation in Public Reason,2001
BAIJIE,Kurt Baier,Justification in Ethics,1986
Renaud2013-TANBCF,Fran\c{c}ois Tanguay{-}Renaud,Basic Challenges for Governance in Emergencies,2013
BLACAP,Ricardo Blaug,Citizenship and Political Judgment: Between Discourse Ethics and Phronesis,2000
CHRAPC,Christopher Bennett,A Problem Case for Public Reason,2003
NAVFVW,Mar\'{i}a G. Navarro,"\""{O}ffentlichkeit Versus Wissen?",forthcoming
BADDDP,Gabriele Badano,"Deliberative Democracy, Public Reason, and the Allocation of Clinical Care Resources",2014
LACRAC-3,Justine Lacroix,"Review Article: Come o Liberals, Try Harder ?",2010
WENUUF-2,Fabian Wendt,"Universalisierbarkeit Und \""{O}ffentliche Rechtfertigung",2013
BRIAIT-13,Matthias Brinkmann,An Instrumentalist Theory of Political Legitimacy,2024
BIAGAE-2,Stefano Biancu,"Giudizio, Autorit\`a e Uso Pubblico Della Ragione",2011
TORTDI,Torben Bech Dyrberg,The Democratic Ideology of Right?Left and Public Reason in Relation to Rawls's Political Liberalism,2005
SHAPJA,Dan C. Shahar,Public Justification and the Politics of Agriculture,2018
FROPRM,Fred M. Frohock,Public Reason: Mediated Authority in the Liberal State,1999
WONCUL,Baldwin Wong,Church Under Leviathan: On the Democratic Participation of Religious Organizations in an Authoritarian Society,2021
EVATUA,Mark Evans,"Thin Universalism and the ""Limits"" of Justification",2006
HALNCA-5,James Hall,Normative Consent and Epistemic Conceptions of Democratic Authority,2024
MONCPP,Paolo Monti and Camil Ungureanu,Contemporary Political Philosophy and Religion: Between Public Reason and Pluralism,2017
LIVDPE,Federica Liveriero,Decisioni Pubbliche e Disaccordo,2017
THORTN-5,Malcolm Thorburn,Reinventing the Nightwatchman State?,2010
MENIKR,Matou\vs Mencl and Pavel Dufek,"Ide\'{a}ln\'i Konsenzus, Re\'{a}ln\'a Diverzita a V\'{y}zva Ve\v{r}ejn\'{e}ho Ospravedln\v{e}n\'i: K Limit\r{u}m Idealizace V Liber\'{a}ln\'i Politick\'e Teorii [Ideal Consensus, Real Diversity, and the Challenge of Public Justification: On the Limits of Idealisation in Liberal Political Theory]",2021
ISATPO-5,Jacob Isaac,The Principle of Convergent Restraint: A Failed Framework of Public Reason (1st edition),2023
DUFVRA,Pavel Dufek,Ve\v{r}ejn\'y Rozum a Pr\'{a}vo [Public Reason and Law],2020
DUFWAW,Pavel Dufek,Why a World State is Unavoidable in Planetary Defense: On Loopholes in the Vision of a Cosmopolitan Governance,2018
BELCLA-3,Enrique Camacho Beltran,Conservative Libertarianism and Ethics of Borders,2015
BLHERL,Sylvie Bl\'{a}hov\'a and Pavel Dufek,"Equal Respect, Liberty, and Civic Friendship: Why Liberal Public Justification Needs a Dual Understanding of Reciprocity",2021
