ID,Author,Title,Year
SIDWTB,Theodore Sider,Writing the Book of the World,2011
CHAM-9,Ryan Wasserman and David Manley and David Chalmers,Metametaphysics: New Essays on the Foundations of Ontology,2009
FIESWN-2,Hartry H. Field,Science Without Numbers: A Defence of Nominalism,1980
FINTQO,Kit Fine,The Question of Realism,2001
CARESA,Rudolf Carnap,"Empiricism, Semantics and Ontology",1950
MCDTFO-5,Kris McDaniel,The Fragmentation of Being,2017
SIDOR-2,Theodore Sider,Ontological Realism,2009
QUIOWT,W. V. Quine,On What There Is,1953
FINTQO-2,Kit Fine,The Question of Ontology,2009
DORWWD,Cian Dorr,What We Disagree About When We Disagree About Ontology,2005
AZZDEC-2,Jody Azzouni,Deflating Existential Consequence: A Case for Nominalism,2004
WILE,Timothy Williamson,Everything,2003
SKIHM,Lukas Skiba,Higher-Order Metaphysics,2021
UNKWOB,Kris McDaniel,Ways of Being,2009
HIRQVA,Eli Hirsch,Quantifier Variance and Realism: Essays in Metaontology,2010
TAHAIT-2,Tuomas E. Tahko,An Introduction to Metametaphysics,2015
KORFQA,Daniel Z. Korman,Fundamental Quantification and the Language of the Ontology Room,2013
BEREAA-2,Francesco Berto,Existence as a Real Property: The Ontology of Meinongianism,2012
BOOLLA,George Boolos,"Logic, Logic, and Logic",1998
ELIQVA,Eli Hirsch,Quantifier Variance and Realism,2002
YABDOR,Stephen Yablo,Does Ontology Rest on a Mistake?,1998
HOFAYM,Thomas Hofweber,"Ambitious, yet Modest, Metaphysics",2009
HIRPOV,Eli Hirsch,"Physical-Object Ontology, Verbal Disputes, and Common Sense",2005
DORTAN,Cian Dorr,There Are No Abstract Objects,2008
RAYNTD,Agustin Rayo and Stephen Yablo,Nominalism Through de-Nominalization,2001
KRIITA-3,Saul A. Kripke,Is There a Problem About Substitutional Quantification?,1976
SIDQAT,Theodore Sider,Quantifiers and Temporal Ontology,2006
TAHIDO,Tuomas E. Tahko,In Defence of Aristotelian Metaphysics,2011
SALE,Nathan Salmon,Existence,1987
SKIHMA,Lukas Skiba,Higher-Order Metaphysics and the Tropes Versus Universals Dispute,2021
PRIMAC,Huw Price,Metaphysics After Carnap : The Ghost Who Walks?,2009
YABTMO-2,Stephen Yablo,The Myth of the Seven,2005
AZZTAN-2,Jody Azzouni,"Talking About Nothing: Numbers, Hallucinations and Fictions",2010
BOOOSL,George S. Boolos,On Second-Order Logic,1975
YABEEA,Stephen Yablo,"Explanation, Extrapolation, and Existence",2012
MOLNLS,Friederike Moltmann,Natural Language Ontology,2017
DORQVA,Cian Dorr,Quantifier Variance and the Collapse Theorems,2014
HIRQVA-2,Eli Hirsch,Quantifier Variance and Realism,2002
SKIIDO-2,Lukas Skiba,In Defence of Hybrid Contingentism,2022
WILFAD-3,J. R. G. Williams,Fundamental and Derivative Truths,2010
FINRUQ,Kit Fine,Relatively Unrestricted Quantification,2006
MCDDOB,Kris McDaniel,Degrees of Being,2013
KOREOW-2,Daniel Z. Korman,Easy Ontology Without Deflationary Metaontology,2019
SIDNAQ,Theodore Sider,Neo-Fregeanism and Quantifier Variance,2007
CARSOE,Richard L. Cartwright,Speaking of Everything,1994
YABMEH,Stephen Yablo,Must Existence-Questions Have Answers?,2009
LEWNOA,David K. Lewis,Noneism or Allism?,1990
RUSQAQ,Jeffrey Sanford Russell,Quality and Quantifiers,2018
RAYOC,Agust\'{i}n Rayo,Ontological Commitment,2007
EFFTMO,Nikk Effingham,The Metaphysics of Groups,2010
Hawthorne1995-OLETON,John O'Leary{-}Hawthorne and Andrew Cortens,Towards Ontological Nihilism,1995
MOLTSO,Friederike Moltmann,The Semantics of Existence,2013
OPPOTL,Paul E. Oppenheimer and Edward N. Zalta,On the Logic of the Ontological Argument,1991
HALTMO-5,Bob Hale and Crispin Wright,The Metaontology of Abstraction,2009
MOLNQ,Friederike Moltmann,Nominalizing Quantifiers,2003
SMIAF,Barry Smith,Against Fantology,2005
MACSWS,Fraser MacBride,Speaking with Shadows: A Study of Neo-Logicism,2003
WARQVA,Jared Warren,Quantifier Variance and the Collapse Argument,2015
GOOHLA-2,Jeremy Goodman,Higher-Order Logic as Metaphysics,2024
HIROA,Eli Hirsch,Ontological Arguments : Interpretive Charity and Quantifier Variance,2008
FINTRO-20,Suki Finn,The Role of Existential Quantification in Scientific Realism,2017
EKLCAT,Matti Eklund,Collapse and the Varieties of Quantifier Variance,2021
MCSAEA,Michaela Markham McSweeney,An Epistemic Account of Metaphysical Equivalence1,2016
MOLTSO-12,Friederike Moltmann,Chapter 3: The Semantics of Special Quantifiers in Predicate Position,2012
CAMQNA,Ross P. Cameron,"Quantification, Naturalness and Ontology",2010
SKIEE,Lukas Skiba,Engineering Existence?,forthcoming
HOFAPA-2,Thomas Hofweber,A Puzzle About Ontology,2005
BOOIHP,G. Boolos,Is Hume's Principle Analytic?,1998
MOLNLN,Friederike Moltmann,"Names, Light Nouns, and Countability",2022
HOFISA,Thomas Hofweber,Innocent Statements and Their Metaphysically Loaded Counterparts,2007
SPEWOB,Joshua Spencer,Ways of Being,2012
DAMRAT-2,Justin D'Ambrosio,Ramsification and the Ramifications of Prior's Puzzle,2021
PAUAVA,Theodore Sider,Against Vague and Unnatural Existence: Reply to Liebesman and Eklund,2009
FINTEO-21,Peter Finocchiaro,The Explosion of Being: Ideological Kinds in Theory Choice,2019
YABAP,Stephen Yablo,A Priority and Existence,2000
LIGSAH,David Liggins,Should a Higher-Order Metaphysician Believe in Properties?,2021
WILWIE-3,Christopher John Fards Williams,What is Existence?,1981
HIRQVA-3,Eli Hirsch and Jared Warren,Quantifier Variance and the Demand for a Semantics,2017
JONAHS-2,Nicholas K. Jones,A Higher-Order Solution to the Problem of the Concept Horse,2016
HIRQV,Eli Hirsch and Jared Warren,Quantifier Variance,2019
THOTEA-3,Amie L. Thomasson,The Easy Approach to Ontology,2009
GLAQAR,Michael Glanzberg,Quantification and Realism,2004
HIRLOA,Eli Hirsch,"Language, Ontology, and Structure",2008
CHATCT-3,Saloua Chatti and Fabien Schang,"The Cube, the Square and the Problem of Existential Import",2013
SOATQD,Scott Soames,"Ontology, Analyticity, and Meaning : The Quine-Carnap Dispute",2009
STEPSS-2,Susan G. Sterrett,Physically Similar Systems: A History of the Concept,2017
MOLNLA,Friederike Moltmann,Natural Language and its Ontology,2019
FINQVD,Suki Finn and Ot\'{a}vio Bueno,Quantifier Variance Dissolved,2018
SIDHAO,Theodore Sider,Hirsch?s Attack on Ontologese,2014
LANEAM-8,Giorgio Lando,Expansionism and Mereological Universalism,2020
MARIQ,Ruth Barcan Marcus,Interpreting Quantification,1962
MOLQWI,Friederike Moltmann,Quantification with Intentional and with Intensional Verbs,2015
CAMTSQ,Ross P. Cameron,"Truthmaking, Second-Order Quantification, and Ontological Commitment",2019
BLITRH,Ricki Bliss and James Miller,The Routledge Handbook of Metametaphysics,2020
MILTEQ-3,Kristie Miller,"The Existential Quantifier, Composition and Contingency",2010
WILTDO-11,Jessica M. Wilson,Three Dogmas of Metaphysical Methodology,2013
LAUMAP-4,Richard Lauer,Motivating a Pragmatic Approach to Naturalized Social Ontology,2022
ELIFIM-2,Mark Eli Kalderon,Fictionalism in Metaphysics,2005
WILMAA-20,Jessica M. Wilson,Much Ado About 'Something',2011
LIESOE,David Liebesman and Matti Eklund,Sider on Existence,2007
DERAAO,Louis deRosset,Analyticity and Ontology,2015
SOLPSI,Tatjana von Solodkoff,Paraphrase Strategies in Metaphysics,2014
MARQAO,Ruth Barcan Marcus,Quantification and Ontology,1972
CRAEAQ,Tim Crane,Existence and Quantification Reconsidered,2011
SANTAT-8,Alexander Sandgren,Thought and Talk in a Generous World,2022
EKLRTF,Matti Eklund,Replies to Festschrift Contributors,2024
HOROIP,John Horden,Ontology in Plain English,2014
OREEAT,Alex Orenstein,Existence and the Particular Quantifier,1978
MOLSQH,Friederike Moltmann,Special Quantifiers: Higher-Order Quantification and Nominalization,manuscript
HOFLAO,Thomas Hofweber,Logic and Ontology,2005
BVEEOM,Arvid B\a{a}ve,Easy Ontology Made Easier (1st edition),forthcoming
GOLRTD-4,Jonah Goldwater,"Ryle, the Double Counting Problem, and the Logical Form of Category Mistakes",2018
KORWCA,Daniel Z. Korman,Why Care About What There Is?,2024
MCDWOB,Kris McDaniel,Ways of Being,2009
SALOWE,Nathan Salm\'{o}n,On What Exists,2020
WEHWPL,Kai F. Wehmeier,Wittgensteinian Predicate Logic,2004
FAISAH,Maegan Fairchild,Symmetry and Hybrid Contingentism,2024
LEETSA-12,Chanwoo Lee,The Structuralist Approach to Underdetermination,2022
WEDNAQ,Michael V. Wedin,Negation and Quantification in Aristotle,1990
HANTAD-6,Tobias Hansson Wahlberg,Towards a Deflationary Truthmakers Account of Social Groups,forthcoming
LEEIAG-2,Chanwoo Lee,Intertranslatability and Ground-Equivalence,forthcoming
TORVE-3,Alessandro Torza,Vague Existence,2008
MACASL-5,Fraser MacBride,Against Second-Order Logic: Quine and Beyond,2024
GOTOES,Dale Gottlieb,Ontological Economy: Substitutional Quantification and Mathematics,1980
MARE-4,Ruth Barcan Marcus,Extensionality,1960
GOOFET-2,Dustin Goo\s{s}ens,"Fundamentality, Existence, Totality: On Three Notions of Reality and the Landscape of Metaphysics",2024
PETTNO-2,Peter van Inwagen,The Number of Things,2002
BAVHTP,Arvid B\a{a}ve,How to Precisify Quantifiers,2011
MCDEAN,Kris McDaniel,Existence and Number,2013
Lauret2014-JANMNA,Frederique Janssen{-}Lauret,"Meta-Ontology, Naturalism, and the Quine-Barcan Marcus Debate",2014
HYLQOR,Peter Hylton,Quine on Reference and Ontology,2004
LINILA,Bernard Linsky and Edward N. Zalta,Is Lewis a Meinongian?,1991
VOLATE,Alberto Voltolini,All the Existences That There Are,2012
LINNAD,Leonard Linsky,Names and Descriptions,1977
Skardowska2018-WYBCOF,Urszula Wybraniec{-}Skardowska,Categories of First-Order Quantifiers,2018
DANACT-8,Nicholas Danne,A Counterexample to Deflationary Nominalism,2023
Castellanos2019-JAVQVO,A. Arturo Javier{-}Castellanos,"Quantifier Variance, Ontological Pluralism and Ideal Languages",2019
AZZAME,Jody Azzouni,"Applied Mathematics, Existential Commitment and the Quine-Putnam Indispensability Thesis",1997
UZQQAQ,Gabriel Uzquiano,Quantifiers and Quantification,2014
PRITCO-24,Graham Priest,The Closing of the Mind: How the Particular Quantifier Became Existentially Loaded Behind Our Backs: The Closing of the Mind,2008
LAVQAO,Shaughan Lavine,Quantification and Ontology,2000
HALQVW,Hans Halvorson,Quantifier Variance Without Collapse,manuscript
ROSOTL-2,Marcus Rossberg,On the Logic of Quantifier Variance (2008),manuscript
FINPAP-9,Peter Finocchiaro,A Puzzle About Parsimony,2020
SUDQVV,Rohan Sud,"Quantifier Variance, Vague Existence, and Metaphysical Vagueness",2023
WARQVS,Jared Warren,"Quantifier Variance, Semantic Collapse, and ?Genuine? Quantifiers",2021
LAVRBM-2,Gregory Lavers,Ruth Barcan Marcus?s Role in the Mid-Twentieth Century Debates on Analyticity and Ontology,2022
Vosters2022-MELTN-2,Damian Melamedoff{-}Vosters,Truthmaker Noumenalism,2022
MARNAT-5,Ruth Barcan Marcus,Nominalism and the Substitutional Quantifier,1978
Skardowska2018-WYBCOF-2,Urszula Wybraniec{-}Skardowska,Categories of First -Order Quantifiers,2018
WOOTB,Richard Woodward,Towards Being,2012
RAMEAA,Dolf Rami,Existence as a Property of Individuals,2014
FLOTCO-4,Salvatore Florio and Nicholas K. Jones,Two Conceptions of Absolute Generality,2023
HASOPA-3,Ataollah Hashemi and Davood Hosseini,Ontological Pluralism and Ontological Category,2023
QUITSO-11,Willard Van Orman Quine,The Significance of the New Logic,2018
SALWPA,Nathan Salmon,"Wholes, Parts, and Numbers",1997
HIRCTC,Eli Hirsch,Charity to Charity,2013
SIDFAD,Alan Sidelle,"Frameworks and Deflation in ?Empiricism, Semantics and Ontology? and Recent Metametaphysics",2016
MARDWP,Ruth Barcan Marcus,Dispensing with Possibilia,1975
PSITTR,Stathis Psillos,Tracking the Real: Through Thick and Thin,2004
HANTTA-8,Tobias Hansson Wahlberg,The Truth About Social Entities,2023
HAWIHN,Katherine Hawley,N Eo-F Regeanism and Q Uantifier V Ariance,2007
