ID,Author,Title,Year
SZAQ,Anna Szabolcsi,Quantification,2010
NINQAE,Dilip Ninan,Quantification and Epistemic Modality,2018
Vakkuri2013-YLIPAC,Juhani Yli{-}Vakkuri,Propositions and Compositionality,2013
PICTAO-7,Bryan Pickel and Brian Rabern,The Antinomy of the Variable: A Tarskian Resolution,2016
WARQVA-2,Jared Warren,Quantifier Variance and Indefinite Extensibility,2017
SZAWIA,Anna Szabolcsi and Frans Zwarts,Weak Islands and an Algebraic Semantics for Scope Taking,1997
PIETMO,Paul Pietroski and Jeffrey Lidz and Tim Hunter and Justin Halberda,"The Meaning of 'Most': Semantics, Numerosity and Psychology",2009
DAMRAT-2,Justin D'Ambrosio,Ramsification and the Ramifications of Prior's Puzzle,2021
VAROLR-2,Achille C. Varzi,On Logical Relativity,2002
GLAQAR,Michael Glanzberg,Quantification and Realism,2004
AVITEC-2,Jeremy Avigad and Richard Zach,The Epsilon Calculus,2014
GIATMO,Anastasia Giannakidou,The Meaning of Free Choice,2001
Yami2020-BENTBF-5,Hanoch Ben{-}Yami,The Barcan Formulas and Necessary Existence: The View From Quarc,2020
Yami2004-BENLN,Hanoch Ben{-}Yami,Logic \& Natural Language: On Plural Reference and its Semantic and Logical Significance,2004
Yami2014-BENTQA-2,Hanoch Ben{-}Yami,The Quantified Argument Calculus,2014
KRBABQ,"Nils K\""{u}rbis",A Binary Quantifier for Definite Descriptions in Intuitionist Negative Free Logic: Natural Deduction and Normalisation,2019
HARWSL,J. H. Harris,What's so Logical About the ?Logical? Axioms?,1982
CONFSS,Marcelo E. Coniglio and Aldo Figallo{-}Orellano and Ana Claudia Golzio,First-Order Swap Structures Semantics for Some Logics of Formal Inconsistency,2020
SZAQIP,Anna Szabolcsi,Quantifiers in Pair-List Readings,1997
KUHQAM,Steven T. Kuhn,Quantifiers as Modal Operators,1980
MOLSQH,Friederike Moltmann,Special Quantifiers: Higher-Order Quantification and Nominalization,manuscript
HIGMAC,Jim Higginbotham,Mass and Count Quantifiers,1994
TORIIA,Alessandro Torza,Ideology in a Desert Landscape,2017
ULIWIL,Boris \v{C}ulina,What is Logical in First-Order Logic?,manuscript
BAVHTP,Arvid B\a{a}ve,How to Precisify Quantifiers,2011
LENQA,Benjamin Lennertz,Quantificational Attitudes,2021
ROGTFL-2,Brian Rogers and Kai F. Wehmeier,Tractarian First-Order Logic: Identity and the N-Operator,2012
Skardowska2018-WYBCOF,Urszula Wybraniec{-}Skardowska,Categories of First-Order Quantifiers,2018
UZQQAQ,Gabriel Uzquiano,Quantifiers and Quantification,2014
ADATLO,Ernest W. Adams,The Logic of 'Almost All',1974
