ID,Author,Title,Year
HUNED,Josh Hunt,Epistemic Dependence and Understanding: Reformulating Through Symmetry,2023
HOCEII,Alexandre Hocquet and Fr\'{e}d\'{e}ric Wieber,Epistemic Issues in Computational Reproducibility: Software as the Elephant in the Room,2021
GAVNPN,Kostas Gavroglu and Ana Simoes,Neither Physics nor Chemistry: A History of Quantum Chemistry,2011
SEBECD,Charles T. Sebens,Electron Charge Density: A Clue From Quantum Chemistry for Quantum Foundations,2021
WIEMPA-3,Fr\'{e}d\'{e}ric Wieber and Alexandre Hocquet,"Models, Parameterization, and Software: Epistemic Opacity in Computational Chemistry",2020
BISPPA,Robert C. Bishop,Patching Physics and Chemistry Together,2005
HENMAA,Robin Findlay Hendry,Models and Approximations in Quantum Chemistry,1998
SCETEC,Eric R. Scerri,"The Electronic Configuration Model, Quantum Mechanics and Reduction",1991
SCEHCB,Eric R. Scerri,Has Chemistry Been at Least Approximately Reduced to Quantum Mechanics?,1994
LABWOD,Mart\'{i}n Labarca and Olimpia Lombardi,Why Orbitals Do Not Exist?,2010
HENTPT,Robin Findlay Hendry,"The Physicists, the Chemists, and the Pragmatics of Explanation",2004
SCEJHA,Eric R. Scerri,Just How Ab Initio is Ab Initio Quantum Chemistry?,2004
WOOPQM,Andrea I. Woody,Putting Quantum Mechanics to Work in Chemistry: The Power of Diagrammatic Representation,2000
LENDMA-2,Johannes Lenhard,"Disciplines, Models, and Computers: The Path to Computational Quantum Chemistry",2014
HETTUO-2,Hinne Hettema,The Union of Chemistry and Physics,2017
SCETAO,Eric R. Scerri,The Ambiguity of Reduction,2007
KSTWCA,"Johannes K\""{a}stner and Eckhart Arnold",When Can a Computer Simulation Act as Substitute for an Experiment? A Case-Study From Chemisty,manuscript
HARMAM-11,Rom Harr\'e and Jean{-}Pierre Llored,Molecules and Mereology,2013
PACAMD,Yang I. Pachankis,A Multi-Wavelength Data Analysis with Multi-Mission Space Telescopes,2022
LLOEAQ,Jean{-}Pierre Llored,Emergence and Quantum Chemistry,2012
THYPSG,Pieter Thyssen and Arnout Ceulemans,Particular Symmetries: Group Theory of the Periodic System,2020
SCHRQO,W. H. Eugen Schwarz,Recommended Questions on the Road Towards a Scientific Explanation of the Periodic System of Chemical Elements with the Help of the Concepts of Quantum Physics,2006
SEIRAE-2,Vanessa A. Seifert,Reduction and Emergence in Chemistry,2019
SCEPOB,Eric Scerri and Andrea I. Woody,"Philosophy of Biology, Psychology, and Neuroscience-Philosophy of Chemistry-Putting Quantum Mechanics to Work in Chemistry: The Power of Diagrammatic Representation",2000
HETAQM,Hinne Hettema,Austere Quantum Mechanics as a Reductive Basis for Chemistry,2012
SCETEP,Eric R. Scerri,"The Exclusion Principle, Chemistry and Hidden Variables",1995
FRIHI,Bretislav Friedrich,"... Hasn't It? A Commentary on Eric Scerri's Paper ""has Quantum Mechanics Explained the Periodic Table?""",2004
PARTHO-3,Buhm Soon B. S. Park,"The 'Hyperbola of Quantum Chemistry': The Changing Practice and Identity of a Scientific Discipline in the Early Years of Electronic Digital Computers, 1945-65",2003
HETEAT-2,Hinne Hettema,Explanation and Theory Formation in Quantum Chemistry,2009
ACCTCF,Hernan Lucas Accorinti and Juan Camilo Mart\'{i}nez Gonz\'{a}lez,Test Case for Perspectivism: Incompatible Models in Quantum Chemistry,forthcoming
BERMWV,Jerome A. Berson,Molecules with Very Weak Bonds: The Edge of Covalency,2008
HALTPE,Peter Joseph Hall,The Pauli Exclusion Principle and the Foundations of Chemistry,1986
