ID,Author,Title,Year
MONWFO-2,Bradley Monton,Wave Function Ontology,2002
BARQEA,Karen Barad,"Quantum Entanglements and Hauntological Relations of Inheritance: Dis/Continuities, Spacetime Enfoldings, and Justice-to-Come",2010
MYROFC,Wayne C. Myrvold,Ontology for Collapse Theories,2018
CALTCA-16,Francisco Calder\'{o}n,The Causal Axioms of Algebraic Quantum Field Theory: A Diagnostic,2024
GLITEF-2,David Glick,Timelike Entanglement for Delayed-Choice Entanglement Swapping,2019
MORANL,Matteo Morganti,A New Look at Relational Holism in Quantum Mechanics,2009
NORDTC,John D. Norton,Do the Causal Principles of Modern Physics Contradict Causal Anti-Fundamentalism?,2007
MCQHTM,Kelvin J. McQueen and Lev Vaidman,How the Many Worlds Interpretation Brings Common Sense to Paradoxical Quantum Experiments,2020
GOLOAO,Sheldon Goldstein,Opposite Arrows of Time Can Reconcile Relativity and Nonlocality,manuscript
HEAGTA-3,Richard Healey,Gauge Theories and Holisms,2004
CHROAS,Joy Christian,On a Surprising Oversight by John S. Bell in the Proof of His Famous Theorem,
GORTNO-8,Bruce L. Gordon,A Quantum-Theoretic Argument Against Naturalism,2011
CAVOMO-2,Eric G. Cavalcanti and Raymond Lal,On Modifications of Reichenbach's Principle of Common Cause in Light of Bell's Theorem,2014
PENTK,Vasil Penchev,The Kochen - Specker Theorem in Quantum Mechanics: A Philosophical Comment (Part 2),2013
GILTMA-3,Gilbert B. C\^{o}t\'e,Triple-Aspect Monism and the Ontology of Quantum Particles,2013
WALNAG-2,David Wallace and Christopher G. Timpson,Non-Locality and Gauge Freedom in Deutsch and Hayden?s Formulation of Quantum Mechanics,2007
CAVBNS,Eric G. Cavalcanti and Howard M. Wiseman,"Bell Nonlocality, Signal Locality and Unpredictability (or What Bohr Could Have Told Einstein at Solvay Had He Known About Bell Experiments)",2012
CHROIT-2,Joy Christian,Oversights in the Respective Theorems of von Neumann and Bell Are Homologous,manuscript
ELLWDC,David Ellerman,Why Delayed Choice Experiments Do Not Imply Retrocausality,2015
WESCCA,Brad Weslake,Common Causes and the Direction of Causation,2005
HAWFWT,James Hawthorne and Michael Silberstein,For Whom the Bell Arguments Toll,1995
PENTK-2,Vasil Penchev,The Kochen - Specker Theorem in Quantum Mechanics: A Philosophical Comment (Part 1),2013
CRAQNA,John G. Cramer,Quantum Nonlocality and the Possibility of Superluminal Effects,unknown
KITESA,Yuichiro Kitajima,Epr States and Bell Correlated States in Algebraic Quantum Field Theory,2013
CHRDOB-6,Joy Christian,Disproof of Bell?s Theorem: Illuminating the Illusion of Entanglement,2014
VAIVOT-2,Lev Vaidman,Variations on the Theme of the Greenberger-Horne-Zeilinger Proof,1999
ALLWII-5,Valia Allori,"What is It Like to Be a Relativistic Grw Theory? Or: Quantum Mechanics and Relativity, Still in Conflict After All These Years",2022
FLEOOH,Gordon N. Fleming,Observations on Hyperplanes: I State Reduction and Unitary Evolution,2003
DOBEKO,Shanna Dobson,Efimov K-Theory of Diamonds,manuscript
ROMPPO,Gustavo E. Romero,Philosophical Problems of Space-Time Theories,2012
MAXCII-2,Nicholas Maxwell,Could Inelastic Interactions Induce Quantum Probabilistic Transitions?,2018
GEOSOE-3,Danko D. Georgiev and Stanley P. Gudder,Sensitivity of Entanglement Measures in Bipartite Pure Quantum States,2022
CALNIT,Craig Callender,Nonlocality in the Expanding Infinite Well,manuscript
STACOI,Henry P. Stapp,"Comments on ?Interpretations of Quantum Mechanics, Joint Measurement of Incompatible Observables, and Counterfactual Definiteness?",1994
CAPQEW,Michele Caponigro and Xiaojiang Jiang and Ravi Prakash and Ram Lakhan Pandey Vimal,"Quantum Entanglement:Can We ""See"" the Implicate Order?Philosophical Speculations",2010
DEBPIA,J. De Barros and Patrick Suppes,Probabilistic Inequalities and Upper Probabilities in Quantum Mechanical Entanglement,2010
PEN-22,Vasil Penchev,\CYRT\cyre\cyro\cyrr\cyre\cyrm\cyra\cyrt\cyra \CYRN\cyra \CYRM\cyra\cyrr\cyrt\cyri\cyrn \CYRL\cyrsftsn\cyro\cyrb \CYRV\cyrhrdsn\cyrv \CYRF\cyri\cyrl\cyro\cyrs\cyro\cyrf\cyrs\cyrk\cyra \CYRI\cyrn\cyrt\cyre\cyrr\cyrp\cyrr\cyre\cyrt\cyra\cyrc\cyri\cyrya,2011
STEEOT-14,Gary Stephens,Entanglement of Two Josephson Junctions: Current Locking Revisited.,manuscript
FLESCL,Gordon N. Fleming,Shirokov's Contracting Lifetimes and the Interpretation of Velocity Eigenstates for Unstable Quantons,2009
STEDTS-2,Gary Stephens,"Does the Superfluid Part of a Supersolid, Superfluid, or Superconducting Body Have, of Itself, ?Inertia??",2009
VONMWM,Sascha Vongehr,Many Worlds Model Resolving the Einstein Podolsky Rosen Paradox Via a Direct Realism to Modal Realism Transition That Preserves Einstein Locality,2011
CTTPI,Gilbert B. C\^{o}t\'e,"The Philosophical Implications of the Loophole-Free Violation of Bell?s Inequality: Quantum Entanglement, Timelessness, Triple-Aspect Monism, Mathematical Platonism and Scientific Morality.",manuscript
CAPEVO-2,Michele Caponigro and Enrico Giannetto,Epistemic Vs Ontic Classification of Quantum Entangled States?,2012
VACMT-7,Gabriel Vacariu,(May 2018) ?Thus Spoke Zarathustra!? a Fairy-Tale with Eugen Ionesco and the Idiot,manuscript
KUPCWC,Marian Kupczynski,Can We Close the Bohr-Einstein Quantum Debate,2017
GEUPAQ,Han Geurdes,Probability and Quantum Foundation,manuscript
DoaneForthcoming-CLAF-25,Justin Clarke{-}Doane,Forward,forthcoming
KOBDTE,Adam Koberinski and Lucas Dunlap and William L. Harper,Do the Epr Correlations Pose a Problem for Causal Decision Theory?,2017
DUNWTE-2,Lucas Dunlap,Would the Existence of Ctcs Allow for Nonlocal Signaling?,2019
FELLAM,Laura Felline and Guido Bacciagaluppi,Locality and Mentality in Everett Interpretations: Albert and Loewer?s Many Minds,2013
LEBUQP,Soazig Le Bihan,Understanding Quantum Phenomena,2008
BIGCSA,Tomasz Bigaj,Counterfactual Semantics and Quantum Physics,2012
RAUNMW,Helmut Rauch,Neutron Matter Wave Quantum Optics,2012
SARRAI,Jack Sarfatti,Recent Advances in Post-Quantum Physics,manuscript
FINBRT-2,Arthur Fine,Bohr's Response to Epr: Criticism and Defense,2007
DEBMQ,Olivier Costa de Beauregard,M\'{e}chanique Quantique,1953
EYNAVB,Tim Oliver Eynck and Holger Lyre and Nicolai von Rummell,A Versus B! Topological Nonseparability and the Aharonov-Bohm Effect,2001
MYRKEF,Wayne C. Myrvold,Kochen-Specker Epsilon-Obstruction for Position and Momentum,2002
KITRCC,Yuichiro Kitajima,Reichenbach?s Common Cause in an Atomless and Complete Orthomodular Lattice,2008
MJEDES,J\o{}rn Kl\o{}vfjell Mjelva,Delayed-Choice Entanglement Swapping Experiments: No Evidence for Timelike Entanglement,2024
LICTAN,Ignazio Licata,Transaction and Non Locality in Quantum Field Theory,forthcoming
MEIPCF,Ningombam Bupenda Meitei,Philosophising Consciousness From String Theory,manuscript
SANPQP,Donato Santarcangelo,"Panpsychism, Quantum Physics and Synchronicity. Quantum Psychoid Monism, Towards the Informational-Spiritual Dimension of Matter-Energy.",2021
LICBTH,Ignazio Licata,Beyond Turing: Hypercomputation and Quantum Morphogenesis,2012
