ID,Author,Title,Year
BUTGTF-5,Judith Butler and Suzanne Pharr,Gender Trouble: Feminism and the Subversion of Identity,1990
AHMQPO,Sara Ahmed,"Queer Phenomenology: Orientations, Objects, Others",2006
NIETGS-3,Friedrich Wilhelm Nietzsche,The Gay Science,1974
NIETGS,Friedrich Wilhelm Nietzsche,The Gay Science,1910
FOUTHO-3,Michel Foucault,The History of Sexuality. Volume One: An Introduction,1980
EDENFQ,Lee Edelman,No Future: Queer Theory and the Death Drive,2004
CHEABR-2,Mel Y. Chen,"Animacies: Biopolitics, Racial Mattering, and Queer Affect",2012
GROSTA,Elizabeth A. Grosz,"Space, Time, and Perversion: Essays on the Politics of Bodies",1995
HALSFT,David M. Halperin,Saint Foucault: Towards a Gay Hagiography,1995
MCWBAP,Ladelle McWhorter,Bodies and Pleasures: Foucault and the Politics of Sexual Normalization,1999
KNODSP-2,Yoel Inbar and David A. Pizarro and Joshua Knobe and Paul Bloom,Disgust Sensitivity Predicts Intuitive Disapproval of Gays,2009
NIETGS-2,Friedrich Wilhelm Nietzsche,The Gay Science: With a Prelude in German Rhymes and an Appendix of Songs,2001
LUGHAT-3,Mar\'{i}a Lugones,Heterosexualism and the Colonial/Modern Gender System,2007
BETEDA-3,Talia Mae Bettcher,Evil Deceivers and Make-Believers: On Transphobic Violence and the Politics of Illusion,2007
SEDEOT,Eve Kosofsky Sedgwick,Epistemology of the Closet: Updated with a New Preface,1990
SALJB,Sara Salih,Judith Butler,2002
JAGQTA,Annamarie Jagose,Queer Theory: An Introduction,1996
IRVBA,Sherri Irvin,Body Aesthetics,2016
INGTHI,Chrys Ingraham,The Heterosexual Imaginary: Feminist Sociology and Theories of Gender,1994
SCHQTC,Naomi Scheman,Queering the Center by Centering the Queer: Reflections on Transsexuals and Secular Jews,1997
HUFATL,Lynne Huffer,Are the Lips a Grave?: A Queer Feminist on the Ethics of Sex,2013
SALJAQ,Gayle Salamon,"Justification and Queer Method, or Leaving Philosophy",2009
BERH,Leo Bersani,Homos,1995
VARKOS,Helga Varden,"Kant on Sex. Reconsidered. -- A Kantian Account of Sexuality: Sexual Love, Sexual Identity, and Sexual Orientation. --",2018
SEIQT,Steven Seidman,Queer Theory/Sociology,1996
MALRCT,Evan Malone,Rhinestone Cowboys: The Problem of Country Music Costuming,forthcoming
FLOTRO-2,Kevin Floyd,The Reification of Desire: Toward a Queer Marxism,2009
WINQF-2,Shannon Winnubst,Queering Freedom,2006
Sandilands2010-MORQES,Catriona Mortimer{-}Sandilands and Bruce Erickson,"Queer Ecologies: Sex, Nature, Politics, Desire",2010
SULACI,Nikki Sullivan,A Critical Introduction to Queer Theory,2003
MSPLCC,M. Spriggs,Lesbian Couple Create a Child Who is Deaf Like Them,2002
HJMWIT,P. H\o{}jme,"What is the Matter with Matter? Barad, Butler, and Adorno",2024
GRICCN,Christopher Griffin,Colonial Cisnationalism: Notes on Empire and Gender in the Uk?s Migration Policy,2024
GRETAQ,Greta Gaard,Toward a Queer Ecofeminism,1997
MUODQO,Jos\'e Esteban Mu\~{n}oz,Disidentifications: Queers of Color and the Performance of Politics,1999
RINBDU,Jessica Ringrose,"Beyond Discourse? Using Deleuze and Guattari's Schizoanalysis to Explore Affective Assemblages, Heterosexually Striated Space, and Lines of Flight Online and at School",2011
NAMUTT-2,Viviane Namaste,Undoing Theory: The ?Transgender Question? and the Epistemic Violence of Anglo-American Feminist Theory,2008
PILMTS,Steve Pile and N. J. Thrift,Mapping the Subject: Geographies of Cultural Transformation,1995
BREFAS-2,Samantha Brennan,"Fashion and Sexual Identity, or Why Recognition Matters""",2011
WATVWD,Julia Watts Belser,"Vital Wheels: Disability, Relationality, and the Queer Animacy of Vibrant Things",2016
MCWBAP-2,Julien S. Murphy,Bodies and Pleasures: Foucault and the Politics of Sexual Normalization,2000
CARLC-7,Claudia Card,Lesbian Choices,1996
DUTTOV,Jean du Toit,The (Oh-so-Queerly-Embodied) Virtual,2020
BURLAA-10,Megan M. Burke,Love as a Hollow: Merleau-Ponty's Promise of Queer Love,2017
AUMBTC,Rachel Aumiller,Before the Caress: The Expansion of Intimacy in Suspension,2024
STESTA-8,Arlene Stein and Ken Plummer and Steven Epstein and Chrys Ingraham and Ki Namaste,Sociology/Queer Theory: A Dialogue,1996
JAGQT,Annamarie Jagose,Queer Theory,1996
BUTRBA,Judith Butler,Revisiting Bodies and Pleasures,1999
AXTMSE,Bryan Axt,Metamorfoses Simbiopoi\'{e}ticas Em Paul B. Preciado. De Sujeitos a Simbiontes Pol\'{i}ticos,2023
ROTWDQ,Amanda Roth,What Does Queer Family Equality Have to Do with Reproductive Ethics?,2016
STASTJ,James Stanescu,"Species Trouble: Judith Butler, Mourning, and the Precarious Lives of Animals",2012
BELMDG,David Bell and Gill Valentine,Mapping Desire: Geographies of Sexualities,1994
WESLSB,Kath Weston,Long Slow Burn: Sexuality and Social Science,1998
EPSAQE,Steven Epstein,A Queer Encounter: Sociology and the Study of Sexuality,1994
CARGDT-3,Claudia Card,Gay Divorce: Thoughts on the Legal Regulation of Marriage,2007
MACCDA-7,Alice MacLachlan,Closet Doors and Stage Lights,2012
OFEACO,Ofelia Schutte,"A Critique of Normative Heterosexuality: Identity, Embodiment, and Sexual Difference in Beauvoir and Irigaray",1997
MARSWG,Biddy Martin,Sexualities Without Genders and Other Queer Utopias,1994
DEGTQP,Nicholas De Genova,The Queer Politics of Migration: Reflections on ?Illegality? and Incorrigibility,2010
PREMQ,Beatriz Preciado,Multitudes Queer,2003
BIANTA-2,Emanuela Bianchi,Nature Trouble: Ancient Physis and Queer Performativity,2019
NIGDAQ,Chrysanthi Nigianni and Merl Storr,Deleuze and Queer Theory,2009
NAMTPO,Ki Namaste,"The Politics of Inside/Out: Queer Theory, Poststructuralism, and a Sociological Approach to Sexuality",1994
YUSQCG,Kathryn Yusoff,Queer Coal: Genealogies in/of the Blood,2015
COLOT,Claire Colebrook,1. On the Very Possibility of Queer Theory,2009
ELGASS,Emie // Eva{-}Marie Elg,A Sexual Series,2021
TURAGO,William Benjamin Turner,A Genealogy of Queer Theory,2000
WARFOA,Michael Warner,Fear of a Queer Planet: Queer Politics and Social Theory,1993
BUTSDA-3,Judith Butler,Sexual Difference as a Question of Ethics,2008
THOSOG,Stephen J. Thornton,Silence on Gays and Lesbians in Social Studies Curriculum,2004
HALADB-2,Joshua M. Hall,A Darkly Bright Republic: Milton's Poetic Logic,2018
SEIQSS,Steven Seidman,"Queer-Ing Sociology, Sociologizing Queer Theory: An Introduction",1994
HOFHTD-3,Elwin Hofman,How to Do the History of the Self,2016
SAWQFA,Jana Sawicki,Queering Foucault and the Subject of Feminism,1994
HALTSO-43,Joshua M. Hall,The Self-Swarm of Artemis: Emily Dickinson as Bee/Hive/Queen,2022
FERGMA-3,Ann Ferguson,Gay Marriage: An American and Feminist Dilemma,2007
CARTLW,Claudia Card,The L Word and the F Word,2006
JOHBRA-32,Merri Lisa Johnson,Bad Romance: A Crip Feminist Critique of Queer Failure,2015
BRAMTM,Harold Braswell,"My Two Moms: Disability, Queer Kinship, and the Maternal Subject",2015
DUMQEO-2,"Elisabeth D. D\""{a}umer","Queer Ethics; or, the Challenge of Bisexuality to Lesbian Ethics",1992
PAZLTQ,Miguel \'{A}ngel Quintana Paz,"La Teolog\'{i}a Queer: Panorama, Balance y Perspectivas",2016
SAWFQT,Jana Sawicki,"Foucault, Queer Theory, and the Discourse of Desire",2010
GRIROR-3,Christopher Griffin,Relationalities of Refusal: Neuroqueer Disidentification and Post-Normative Approaches to Narrative Recognition,2022
PARIQP,Shelley M. Park,Is Queer Parenting Possible?,2009
FRACQP,Mariam Fraser,Classing Queer,1999
FREQ,Carla Freccero,Queer/Early/Modern,2006
LANIJQ,Mark Norris Lance and Alessandra Tanesini,"Identity Judgements, Queer Politics",2000
RADQDS-2,Marietta Radomska and Tara Mehrabi and Nina Lykke,"Queer Death Studies: Coming to Terms with Death, Dying and Mourning Differently. An Introduction",2019
HALNCA-4,Joshua M. Hall,Newton Contra Alt-Right Nietzsche: Dionysus as Androgynous Black Panther,2020
PARAMB-3,Shelley M. Park,Adoptive Maternal Bodies: A Queer Paradigm for Rethinking Mothering?,2006
MCDTFO,Kevin McDonough,The ?Futures? of Queer Children and the Common School Ideal,2007
WEEFMQ,Elizabeth Weed and Naomi Schor,Feminism Meets Queer Theory,1997
PARPIT-12,Shelley M. Park,Polyamory is to Polygamy as Queer is to Barbaric?,2017
MACWDW-7,Patricia MacCormack and Marietta Radomska and Nina Lykke and Ida Hillerup{-}Hansen and Phillip R. Olson and Nicholas Manganas,What Do We Talk About When We Talk About Queer Death? Theories and Definitions,2021
BUXSAA,Samuel Ritholtz and Rebecca Buxton,Sanctuary After Asylum: Addressing a Gap in the Political Theory of Refuge,forthcoming
SKEMSL,Blaz Skerjanec,"More Sex, Less Identity: Towards a Naturalistic Queer Theory",forthcoming
DIATEA,Lisa M. Diamond and Seth T. Pardo and Molly R. Butterworth,Transgender Experience and Identity,2011
ADRWLS,Adrian Alex Wellington,Why Liberals Should Support Same Sex Marriage,1995
WARIAT-9,Georgia Warnke,Intersexuality and the Categories of Sex,2001
HAYMSP,Felicity Haynes,More Sexes Please?,1999
CAZTEB-2,Marguerite La Caze,The Encounter Between Wonder and Generosity,2002
FRYART-3,Marilyn Frye,A Response to \emph{Lesbian Ethics},1990
ZITLA,Jacquelyn N. Zita,Lesbian Angels \& Other Matters,1990
JAMFQF,Robin James,"From ""No Future"" to ""Delete Yourself """,2013
WINTIQ,Shannon Winnubst,Temporality in Queer Theory and Continental Philosophy,2010
PARAVP,Shelley M. Park,A Virtual Pulse: Cautionary Notes About Public Mourning in the Digital Age,2016
SCHKIW-2,Karsten Schubert and Helge Schwiertz,"Konstruktivistische Identit\""{a}tspolitik. Warum Demokratie Partikulare Positionierung Erfordert",2021
GOWTCP,Christina Gowlett and Mary Lou Rasmussen,The Cultural Politics of Queer Theory in Education Research,2016
BRETSA,Samantha Brennan,?Those Shoes Are Definitely Bicurious?: More Thoughts on the Politics of Fashion,2012
SCHANE-4,Karsten Schubert,"A New Era of Queer Politics? Prep, Foucauldian Sexual Liberation, and the Overcoming of Homonormativity",2022
MCWTRO-2,Jennifer McWeeny,The Reversibility of Teacher and Student: Teaching/Learning Intersectionality and Activism Amidst the Lgbtq Protest,2011
STEICE,Arlene Stein and Ken Plummer,"""I Can't Even Think Straight"" ""Queer"" Theory and the Missing Sexual Revolution in Sociology",1994
ROTSTL,Amanda Roth,So This Lesbian Couple Walks Into a Fertility Clinic: Bioethics and the Medicalization of Queer Women?s Reproduction,2016
HALSCS,C. Jacob Hale,"Sex Change, Social Change: Reflections on Identity, Institutions, and Imperialism (Review)",2008
WEETCO,Jeffrey Weeks,The Construction of Homosexuality,1996
DIEDQL,Lisa Diedrich,"Doing Queer Love: Feminism, Aids, and History",2007
CORTSO-20,Drucilla Cornell,The Shadow of Heterosexuality,2007
DUGMI,Lisa Duggan,10 Making It Perfectly Queer,2001
PARCON,Shelley M. Park,Commentary on Nancy Nicol?s Politics of the Heart: Recogniiton of Homoparental Families,2008
ADABTS,Cassius Adair and Cameron Awkward{-}Rich and Amy Marvin,Before Trans Studies,2020
PARNML,Shelley M. Park,Nomadic Musings: Living and Thinking Queerly.,2007
BROQOC-2,Edward Brockenbrough,Queer of Color Agency in Educational Contexts: Analytic Frameworks From a Queer of Color Critique,2015
THOTPA-12,Carly Thomsen,The Post-Raciality and Post-Spatiality of Calls for Lgbtq and Disability Visibility,2015
SCHPAD-20,Karsten Schubert,Prep Als Demokratische Biopolitik. Zur Kritik der Biopolitischen Repressionshypothese - Oder: Die Pharmazeutische Destigmatisierung des Schwulseins,2020
BROCGG,Michael P. Brown,Closet Space: Geographies of Metaphor From the Body to the Globe,2000
HALQDA-2,Kim Q. Hall,"Queerness, Disability, and \emph{the Vagina Monologues}",2005
FRYLPO,Marilyn Frye,Lesbian Perspectives on Women's Studies,1980
GANDJA,Joshua Gang,Derek Jarman and Everything That is the Case,2022
ROBMTL,Ruthann Robson,Mother: The Legal Domestication of Lesbian Existence,1992
TREMDM,Joyce Trebilcot,More Dyke Methods,1990
KLEMPN,Christian Klesse,Modern Primitivism': Non-Mainstream Body Modification and Racialized Representation,1999
FRENSA,M. D. A. Freeman,Not Such a Queer Idea: Is There a Case for Same Sex Marriages?,1999
HOAATA-2,Michael Hoare,"""All Things Are Queer and Opposite"": Scientific Societies in Tasmania in the 1840'S",1969
MARGH,Bill Marshall,Guy Hocquenghem,1997
SCHQUS,Karsten Schubert,Queere Und Schwule Theorie (Foucault Rezeption),2020
RUDL,Kathy Rudy,Lgbtq?Z?,2012
DANFHT-2,S. Danuta Walters and I. Morland and A. Willox,"From Here to Queer: Radical Feminism, Postmodernism, and the Lesbian Menace",2005
CONCTG-2,Rory J. Conces,Coming to Grips with the Queer Festival and Deeper Concerns,2008
PARMQQ,Shelley M. Park,"Mothering Queerly, Queering Motherhood: Resisting Monomaternalism in Adoptive, Lesbian, Blended and Polygamous Families",2013
GIFTNQ,Noreen Giffney,The New Queer Cartoon,2009
EPSQSO,Rachel Epstein and Becky Idems and Adinne Schwartz,Queer Spawn on School,2013
SVECWL-2,\'{A}sta .,"Categories We Live By: The Construction of Sex, Gender, Race, and Other Social Categories",2018
WINTQT,Shannon Winnubst,The Queer Thing About Neoliberal Pleasure: A Foucauldian Warning,2012
CARSGA,Terrell Carver,"Sex, Gender and Heteronormativity: Seeing \ensuremath{|}{[}Lsquo]\ensuremath{|}Some Like It Hot\ensuremath{|}{[}Rsquo]\ensuremath{|} as a Heterosexual Dystopia",2009
KLESAT-10,Christian Klesse and Jon Binnie,Solidarities and Tensions: Feminism and Transnational Lgbtq Politics in Poland,2012
ADRHF,Olivier Lemeire and Andreas De Block,Philosophy and the Biology of Male Homosexuality,2015
DRUTFO,Peter Drucker,The Fracturing of Lgbt Identities Under Neoliberal Capitalism,2011
TURTAF,Stephanie S. Turner,Toward a Feminist Revision of Research Protocols on the Etiology of Homosexuality,1996
NORQDW,Trevor Norris,"Queer Defamiliarisation: Writing, Mattering, Making Strange by Helen Palmer",2022
DRAAFA,George Drazenovich,A Foucauldian Analysis of Homosexuality,2012
ATKIGP,Gary Atkins,"Imagining Gay Paradise: Bali, Bangkok, and Cyber-Singapore",2012
CHEASS,Cheshire Calhoun,"Alan Soble, Sexual Investigations:Sexual Investigations",1999
KRALNM,Cynthia Kraus,"Linking Neuroscience, Medicine, Gender and Society Through Controversy and Conflict Analysis : A ""Dissensus Framework"" for Feminist/Queer Brain Science Studies",2012
CANFFA,Loren Cannon,Firestonian Futures and Trans-Affirming Presents,2016
GINALN,Ruth Ginzberg,Audre Lorde's (Nonessentialist) Lesbian Eros,1992
WILSOT-11,Angelia R. Wilson,Somewhere Over the Rainbow: Queer Translating,1997
CURAIA,Rosemary Keefe Curb,Amazon Intertextuality and Sinuosity in Sandra Shotlander's \emph{Angels of Power},1995
MAIGEB,Giovanna Maina and Marian Nur Goni,Grotesque Empowerment Belladonna?s Strapped Dykes Entre Mainstream Et Queer,2013
FEHTRC,Yiftach J. H. Fehige,Transsexuality: Reconciling Christianity and Science,2011
TAYQBC,Yvette Taylor,"Queer, but Classless?",2009
Garcia2006-HAMWAS,Michael Hames{-}Garcia,"""""What's at Stake in"" Gay"" Identities?",2006
GARAMF-2,"Alexander Garc\'{i}a D\""{u}ttmann",A Man for All Seasons: Derrida-Cum-?Queer Theory? or the Limits of Performativity,2009
ALDTOD,David Alderson and Linda R. Anderson,Territories of Desire in Queer Culture: Refiguring Contemporary Boundaries,2000
LIUTSO-10,Petrus Liu,The Specter of Materialism: Queer Theory and Marxism in the Age of the Beijing Consensus,2022
HALQPP,Raja Halwani and Carol Viola Anne Quinn and Andy Wible,"Queer Philosophy: Presentations of the Society for Lesbian and Gay Philosophy, 1998-2008",2012
HUGQA,Hugh Lehman,Queer Arithmetics,1970
CARSBO,Claudia Card,Selected Bibliography of Lesbian Philosophy and Related Works,1992
SARFAQ,L. Ayu Saraswati,Feminist and Queer Theory: An Intersectional and Transnational Reader,2020
SIMA-3,Mark Simpson,Anti-Gay,1996
MCLTRO-5,J. McLaughlin,"The Return of the Material: Cycles of Theoretical Fashion in Lesbian, Gay and Queer Studies",2006
