ID,Author,Title,Year
POLHXL,Andrej Poleev,\CYRN\cyra\cyri\cyrv\cyrn\cyrery\cyrishrt \CYRR\cyre\cyra\cyrl\cyri\cyrz\cyrm.,2023
HEANPA,Richard Healey,Nonseparable Processes and Causal Explanation,1994
ALEDOR-2,Damian Aleksiev,Degrees of Reality,2024
POSICF-3,Venkata Rayudu Posina and Posina Venkata Rayudu and Sisir Roy,Isbell Conjugacy for Developing Cognitive Science,manuscript
DIATDO-5,Cora Diamond,The Difficulty of Reality and the Difficulty of Philosophy,2003
MILMRA-6,J. T. M. Miller,Metaphysical Realism and Anti-Realism,2022
SEARTC-4,John R. Searle,Replies to Critics of the Construction of Social Reality,1997
TURTCD-6,Michael{-}John Turp,"The \emph{Cogito}, Dreamt Characters, and Unreal Existence",2023
ALFEWR,Andi Alfian,Evaluating World Religion Paradigm Through the Idea of Ultimate Reality,2022
FRATEO-17,Mariam Fraser,"The Ethics of Reality and Virtual Reality: Latour, Facts and Values",2006
SANSCS-4,Howard Sankey,"Science, Common Sense and Reality",2024
GANAII,Nathaniel Gan,Arbiters of Truth and Existence,2024
CIOTUT-2,Tudor Cosmin Ciocan,"The Universe, the ?Body? of God. About the Vibration of Matter to God?s Command or the Theory of Divine Leverages Into Matter",2016
HACRSO-2,Ian Hacking,Review Symposium on John R. Searle: The Construction of Social Reality.,1997
SMISFO-4,Andrey Smirnov,Some Features of Physical Systems Without Time and Dynamics (in English),manuscript
AVCAMS,"Erg\""{u}n Avc\i",From Ancient Cave to Virtual Cave: Metaverse (Antik Ma\u{g}aradan Sanal Ma\u{g}araya: Metaverse),2022
SMISFO-3,Andrey Smirnov,Some Features of Structures Without Time and Dynamics (in Russian),manuscript
KAHCAO,Jan Gresil Kahambing,"Curation as Ontology, or Can We Fold Reality as an Object?",2024
POLSAR,Michael Polanyi,Science and Reality,1967
CIOTTO-2,Tudor Cosmin Ciocan,The Theory of a Multilayered Reality. Being Real or Being Thought as Real,2016
THOCO-5,David L. Thompson,Contextualizing Objects,manuscript
PENPEA,Vasil Penchev,Physical Entity as Quantum Information,2020
MACAEA,Copthorne Macdonald,An Energy/ Awareness/ Information Interpretation of Physical and Mental Reality,1994
CORLVY-7,Jos\'e Ram\'{o}n Fabelo Corzo,La Valoraci\'{o}n y Su Relaci\'{o}n Con El Conocimiento,1983
POLSAR-2,Michael Polanyi,Science and Reality,1946
SONVGD,Erwin Sonderegger,Vom Gewinn des Wirklichkeitsverlustes,1995
DERTGO-7,Julio De Rizzo,The Ground of All Negative Existential Truths,2020
NOBTQF,Bruno Nobre and Jo\~{a}o Carlos Onofre Pinto,"The Quest for the Dynamic Structure of Reality: Xavier Zubiri, Phenomenology, and Quantum Mechanics",2022
Corzo1984-COR-17,Jos\'e Ram\'{o}n Fabelo{-}Corzo,\CYRH. \CYRR. \CYRF\cyra\cyrb\cyre\cyrl\cyro. \CYRO\cyrc\cyre\cyrn\cyro\cyrch\cyrn\cyro\cyre \CYRO\cyrt\cyrr\cyra\cyrzh\cyre\cyrn\cyri\cyre \CYRD\cyre\cyrishrt\cyrs\cyrt\cyrv\cyri\cyrt\cyre\cyrl\cyrsftsn\cyrn\cyro\cyrs\cyrt\cyri \CYRI \CYRE\cyrg\cyro \CYRR\cyro\cyrl\cyrsftsn \CYRV \CYRP\cyro\cyrz\cyrn\cyra\cyrv\cyra\cyrt\cyre\cyrl\cyrsftsn\cyrn\cyro\cyrishrt \CYRI \CYRP\cyrr\cyra\cyrk\cyrt\cyri\cyrch\cyre\cyrs\cyrk\cyro\cyrishrt \CYRD\cyre\cyrya\cyrt\cyre\cyrl\cyrsftsn\cyrn\cyro\cyrs\cyrt\cyri. \CYRA\cyrv\cyrt\cyro\cyrr\cyre\cyrf\cyre\cyrr\cyra\cyrt (El Reflejo Valorativo de la Realidad y Su Papel En Las Actividades Cognoscitiva y Pr\'{a}ctica. Resumen de Tesis Doctoral),1984
ESPAPV,B. D. Espagnat,A Physicist's View on the Why and How of Reality,2000
KATFNS,Regine Kather,From Natural Science to Philosophical Cosmology. On Function and Transformation of Metaphysics in 20Th and 21St Century,2004
CARTMC-12,H. Wildon Carr,The Metaphysical Criterion and its Implications,1905
HOFIAT-4,Thomas Hofweber,Idealism and the Harmony of Thought and Reality,2023
LAWPRA-2,H. Lawton,Physical Research and Metaphysical Reality,1937
OWERAM,Joseph Owens,Reality and Metaphysics,1972
ARRCER,Roberto Arruda,Cosmovis\~{o}es e Realidades: A Filosofia de Cada Um. (3rd edition),2023
WOOMRR-2,Steve Woolgar,Mundane Reason: Reality in Everyday and Sociological Discourse. Melvin Pollner,1989
TOIFOR,Juhana Toivanen,Forms of Representation in the Aristotelian Tradition. Volume One: Sense Perception,2022
DUCRSA,C. J. Ducasse,"Reality, Science, and Metaphysics",1949
MCEWCS,Micheal McEwan,"Wesley C. Salmon, Reality and Rationality Reviewed By",2006
WALCRA-7,B. Alan Wallace,Choosing Reality a Buddhist View of Physics and the Mind,1996
HUBROA-2,Mario Hubert,Review of Alyssa Ney?s \emph{the World in the Wave Function: A Metaphysics for Quantum Physics},2022
TAYOTR-2,Louis Taylor,On the Reconciliation Between Infinity and Zero - Another 'Theory of Everything' Based on Nothing? - July 2024 Update (19th edition),manuscript
GRUWGD-2,Jeff Grupp,Why God Did Not Choose All Souls: New Scriptural Evidence,2020
KAKATS,Spyridon Kakos,Against the Senses,2022
VESFDO,Vincent Vesterby,Foundational Development of Emergence,manuscript
YARTMA,Ilexa Yardley,The Most Advanced Thinking on the Planet (in the Universe),2020
ZHABQA-3,Xinyan Zhang,"Beyond ""Nature"" and ""God""",manuscript
REMROF,Justin Remhof,"Review of Friedrich Wilhelm Nietzsche, Adrian Del Caro, Trans. The Joyful Science / Idylls From Messina / Unpublished Fragments From the Period of the Joyful Science (Spring 1881? Summer 1882): Volume 6. (1st edition)",forthcoming
YARNST,Ilexa Yardley,No Such Thing as Reality,2022
YARD,Ilexa Yardley,Duality,2021
YARQR,Ilexa Yardley,Quantum Reality,2021
YARM,Ilexa Yardley,Memetics,2022
YARHNT,Ilexa Yardley,How Nature ?Tokenizes? Reality,2021
YARTTO-3,Ilexa Yardley,The Tokenization of 'Reality',2021
YARTTK,Ilexa Yardley,"Tokenization: The Key to Philosophy, Physics, and Psychology",2021
ARRCAR,Roberto Thomas Arruda,Cosmovisions and Realities - the Each One's Philosophy (3rd edition),2023
THOMPS,Roberto Thomas Arruda,Mga Pananaw Sa Kosmos at Realidad: Ang Pilosopiyang Ay Bawat Isa,2024
BRONLT,Steen Brock,Nature Loves to Hide: Quantum Physics and the Nature of Reality: A Western Perspective,2004
