ID,Author,Title,Year
LEVPHT-2,Joseph Levine,Purple Haze: The Puzzle of Consciousness,2001
YABMC,Stephen Yablo,Mental Causation,1992
PERCAT-2,Derk Pereboom,Consciousness and the Prospects of Physicalism,2011
WILTUA-8,Jessica M. Wilson,The Unity and Priority Arguments for Grounding,2016
PERTMO,Derk Pereboom and Hilary Kornblith,The Metaphysics of Irreducibility,1991
KOSTTR,Daniel Kosti\'c,The Topological Realization,2018
LEPMOM-2,Ernest LePore and Barry Loewer,More on Making Mind Matter,1989
YATDE,David Yates,Demystifying Emergence,2016
SHAUTD-2,Lawrence A. Shapiro,Understanding the Dimensions of Realization,2008
WILCOM-10,Jessica M. Wilson,Comments on \emph{Making Things Up},2019
MELGAT-4,Andrew Melnyk,Grounding and the Formulation of Physicalism,2016
BAYEFA,Umut Baysan,"Emergence, Function and Realization",2018
MELIDO-3,Andrew Melnyk,In Defense of a Realization Formulation of Physicalism,2018
WILEAD-6,Jessica Wilson M.,Essence and Dependence,2020
KIMSER,Jaegwon Kim,"Supervenience, Emergence, Realization, Reduction",2003
BAYAAF,Umut Baysan,An Argument for Power Inheritance,2016
CRAR,Carl F. Craver and Robert A. Wilson,Realization,2006
WALDDA,Sven Walter,"Determinables, Determinates, and Causal Relevance",2007
POLMAE,Thomas W. Polger,Mechanisms and Explanatory Realization Relations,2010
ENDRRA,Ronald P. Endicott,"Realization Reductios, and Category Inclusion",2010
GILHTM,Carl Gillett,Hyper-Extending the Mind?: Setting Boundaries in the Special Sciences,2007
GILDTA-4,Carl Gillett and Bradley Rives,Does the Argument From Realization Generalize? Responses to Kim,2001
MCGPM,Colin McGinn,Philosophical Materialism,1980
WRETUO-2,Chase Wrenn,The Unreality of Realization,2010
POTAHO-3,Angela Potochnik,Antireductionism has Outgrown Levels,forthcoming
MELPRN,Andrew Melnyk,Pereboom?s Robust Non-Reductive Physicalism,2014
WILRMM,Robert A. Wilson,"Realization: Metaphysics, Mind, and Science",2004
ENDCP,Ronald P. Endicott,Constructival Plasticity,1994
VINRDA,Agust\'{i}n Vincente,"Realization, Determination and Mental Causation",2001
WHITRO-33,Ben White,"The Realization of Qualia, Persons, and Artifacts",2017
HEMILO,Meir Hemmo and Orly Shenker,Introduction: Levels of Reality,2022
SULREA-3,Jacqueline A. Sullivan,"Realization, Explanation and the Mind-Body Relation: Editor?s Introduction",2010
SCHAPA-15,Nicholas Schroeder,A Physicalistic Account of Emergentism,2015
HENR-23,Giovanna Hendel,Realization,2001
SLOEAC,Marc Slors,Epiphenomenalism and Cross-Realization Induction,2002
BENRDA-2,Agust\'{i}n Vicente Benito,"Realization, Determination and Mental Causation",2001
WILROK-4,Jessica M. Wilson,"Review of \emph{Physicalism Deconstructed: Levels of Reality and the Mind-Body Problem}, by Kevin Morris",2020
