ID,Author,Title,Year
KITAA,Philip Kitcher,1953 and All That. A Tale of Two Sciences,1984
ROSDRO,Alexander Rosenberg,"Darwinian Reductionism, or, How to Stop Worrying and Love Molecular Biology",2006
JABTOL,Eva Jablonka and Snait Gissis,Transformations of Lamarckism: From Subtle Fluids to Molecular Biology,2011
DUPTDO,John Dupr\'e,The Disunity of Science,1983
GOORBM,William K. Goosens,Reduction by Molecular Genetics,1978
POWFMT-2,Alexander Powell and John Dupr\'e,From Molecules to Systems: The Importance of Looking Both Ways,2009
WINSMO,Rasmus Gr?Nfeldt Winther,Schaffner?s Model of Theory Reduction: Critique and Reconstruction,2009
SCHTPO-182,Kenneth F. Schaffner,The Peripherality of Reductionism in the Development of Molecular Biology,1974
AYASIT,Francisco Jose Ayala and Theodosius Dobzhansky,Studies in the Philosophy of Biology: Reduction and Related Problems,1974
BAEMSA,Tudor M. Baetu,Mechanism Schemas and the Relationship Between Biological Theories,2011
CAMTCD-3,M. Polo Camacho,The Central Dogma is Empirically Inadequate?No Matter How We Slice It,2019
DEBIAO,Philippe De Backer and Danny De Waele and Linda Van Speybroeck,Ins and Outs of Systems Biology Vis-\`A-Vis Molecular Biology: Continuation or Clear Cut?,2009
LAMATW-2,Ehud Lamm and Sophie Veigl,A Third Way to the Selected Effect/Causal Role Distinction in the Great Encode Debate,2023
BAXMTC,Matthew Baxendale,Mapping the Continuum of Research Strategies,2019
HARMGR,Herbert W. Harris and Kenneth F. Schaffner,"Molecular Genetics, Reductionism, and Disease Concepts in Psychiatry",1992
PEROGA,Slobodan Perovic and Paul{-}Antoine Miquel,On Gene?s Action and Reciprocal Causation,2011
ELYTMO,Kate E. Lynch,"The Meaning of ""Cause"" in Genetics",2021
WEBTRO-16,Marcel Weber,The Reduction of Classical Experimental Embryology to Molecular Developmental Biology: A Tale of Three Sciences,2024
WADADO,Michael J. Wade and Rasmus Gr\o{}nfeldt Winther and Aneil F. Agrawal and Charles J. Goodnight,Alternative Definitions of Epistasis: Dependence and Interaction,2001
LAMBTC-2,Ehud Lamm and Sophie Juliane Veigl,Back to Chromatin: Encode and the Dynamic Epigenome,2022
BRIPOM-3,Ingo Brigandt,Philosophy of Molecular Biology,2018
PIOGAP,Monika Piotrowska,Genetics and Philosophy: An Introduction,2014
LAMTMG,Ehud Lamm,The Metastable Genome: A Lamarckian Organ in a Darwinian World?,2011
STARVQ,Michael Richard Starks,"Rezension von ""Sind Wir Fest Verdrahtet? "" (Are We Hardwired?) von Clark \& Grunstein (2000) (\""{U}berpr\""{u}fung \""{U}berarbeitet 2019)",2020
LINTFS,A. Lindenmayer and N. Simon,The Formal Structure of Genetics and the Reduction Problem,1980
MACRAM-4,Caitlin Mace and Cory Wright,Reduction and Mechanism,2022
