ID,Author,Title,Year
KLBITV,"Max K\""{o}lbel",Indexical Relativism Versus Genuine Relativism,2004
SPERAD,Jack Spencer,Relativity and Degrees of Relationality,2014
KOSTTO-6,Kathrin Koslicki,The Threat of Thinking Things Into Existence,2020
SEII-6,Markus Seidel and Richard Schantz,Introduction,2011
LUDTSO,Kirk Ludwig,The Sources of Relativism,2015
EKEPAT-2,Bahadir Eker,Perspectivalism About Temporal Reality,2023
BAGABH,Maria Baghramian,A Brief History of Relativism,2010
KOSTTO-5,Kathrin Koslicki,The Threat of Thinking Things Into Existence,2021
SCHAED,Gregor Schiemann,"Am Ende der Endg\""{u}ltigkeit. Friedrich Engels' Kritik des Geltungsanspruches der Naturwissenschaftlichen Erkenntnis.",1995
KUSTEO-7,Martin Kusch and Johannes Steizinger and Katherina Kinzel and Niels Jacob Wildschut,The Emergence of Relativism: German Thought From the Enlightenment to National Socialism,2019
ZEMCSI,Dan Zeman,"Context Sensitivity: Indexicalism, Contextualism, Relativism",2001
Rej2018-CZEPLA,Bo\.{z}ena Czernecka{-}Rej,Pluralizm Logiczny a Relatywizm W Logice,2018
YGATMT-2,Jos\'e Ortega Y. Gasset,The Modern Theme. Translated From the Spanish by James Cleugh.,1933
PRAJMP,C. G. Prado,"Joseph Margolis, Pragmatism Without Foundations Reviewed By",1987
RESTLO-17,Mark Ressler,The Logic of Relativism,2013
AGE,Vira Ageyeva,\CYRM\cyrii\cyrzh \CYRR\cyre\cyrl\cyrya\cyrt\cyri\cyrv\cyrn\cyrii\cyrs\cyrt\cyryu \CYRISHRT \CYRA\cyrb\cyrs\cyro\cyrl\cyryu\cyrt\cyro\cyrm,2018
FLOFAF,Gregor Flock,Four Arguments for Universal Relativism,2015
SUTSH,Mike Sutton,Sartre - How Do We Get From Nothingnes to Freedom,2015
MARTHR-6,Mother Marie Louise Martinez,The Historical Relativism of Ortega y Gasset,1947
KHAROR,Ali Hossein Khani,Relativism,forthcoming
SEIHNT,Markus Seidel,"How Not to Write an Introduction to Relativism: Bernd Irlenborn: Relativismus. Berlin/Boston: Walter de Gruyter Gmbh, 2016, 152Pp, \$35.00 Pb",2017
SEIROV,Markus Seidel,"Review of 'Viewpoint Relativism' by Antti Hautam\""{a}ki",2020
ZEMRAM-2,Dan Zeman,"Relativism and Monadic Truth, by Herman Cappelen and John Hawthorne, Oxford University Press, 2009",2009
