ID,Author,Title,Year
JAMTVO-8,William James,The Varieties of Religious Experience: A Study in Human Nature,1929
STAMAP,W. T. Stace,Mysticism and Philosophy,1960
ALSPGT-5,William P. Alston,Perceiving God: The Epistemology of Religious Experience,1991
JACBCA,Elizabeth Jackson,"Belief, Credence, and Faith",2019
TAVRER,Ann Taves,Religious Experience Reconsidered: A Building-Block Approach to the Study of Religion and Other Special Things,2009
MOORWI-2,Andrew Moon,Recent Work in Reformed Epistemology,2016
COTTSD-3,John Cottingham,"The Spiritual Dimension: Religion, Philosophy and Human Value",2005
DOKIRE,Enis Doko and Jamie B. Turner,Islamic Religious Epistemology,2023
SCHTHA-18,J. L. Schellenberg,The Hiddenness Argument,2021
FORTPO,Robert K. C. Forman,The Problem of Pure Consciousness: Mysticism and Philosophy,1990
VANSTS-6,Neil Van Leeuwen and Michiel van Elk,Seeking the Supernatural: The Interactive Religious Experience Model,2019
MAIPGT-3,Stephen Maitzen and William P. Alston,Perceiving God: The Epistemology of Religious Experience,1993
SCHTWT-4,J. L. Schellenberg,The Will to Imagine: A Justification of Skeptical Religion,2009
Hunter2014-BENIAR,Guy Bennett{-}Hunter,Ineffability and Religious Experience,2014
SCHTWT-11,J. L. Schellenberg,The Wisdom to Doubt: A Justification of Religious Skepticism,2007
SEBTPO,"G\""{a}b Sebastian",The Paradox of Ineffability,2017
CHATDU-3,Berman Chan,"The Demonstrative Use of Names, and the Divine-Name Co-Reference Debate",2023
NETREA,Harold A. Netland,Religious Experience and the Knowledge of God: The Evidential Force of Divine Encounters,2022
TUCPCA,Chris Tucker,Phenomenal Conservatism and Evidentialism in Religious Epistemology,2011
DILMOG-3,Jeanine Diller and Asa Kasher,Models of God and Alternative Ultimate Realities,2013
RICFTS-2,Paul Ric\o{e}ur,"Figuring the Sacred: Religion, Narrative, and Imagination",1995
FRICAD-5,Megan Fritts,Creation as Divine Absence: A Metaphysical Reframing of the Problem of Evil,forthcoming
LEVDIA-3,Stephen C. Levinson and Asifa Majid,Differential Ineffability and the Senses,2014
YANTEO,Keith E. Yandell,The Epistemology of Religious Experience,1993
