ID,Author,Title,Year
YUJACO,Andrei A. Buckareff and Yujin Nagasawa,Alternative Concepts of God: Essays on the Metaphysics of the Divine,2016
CHOCAW,Frederick Choo,Can a Worship-Worthy Agent Command Others to Worship It?,2022
STEIAG-2,James P. Sterba,Is a Good God Logically Possible?,2020
SMITCC-25,Tiddy Smith,The Common Consent Argument for the Existence of Nature Spirits,2020
CHIRDP-2,Andrew Chignell,"Religious Dietary Practices and Secular Food Ethics; or, How to Hope That Your Food Choices Make a Difference Even When You Reasonably Believe That They Don't",2018
KAFKMA,Wojciech Kaftanski,"Kierkegaard, Mimesis, and Modernity: A Study of Imitation, Existence, and Affect",2021
Snyder2010-HOWTPO-15,Daniel Howard{-}Snyder and Frances Howard{-}Snyder,The Puzzle of Petitionary Prayer,2010
ROGCTA-3,Katherin A. Rogers,Classical Theism and the Multiverse,2020
OPPPNM,Graham Oppy,"Perfection, Near-Perfection, Maximality, and Anselmian Theism",2011
MERCIA-3,Michael S. Merry,"Culture, Identity and Islamic Schooling: A Philosophical Approach",2007
GBMIAG,"Sebastian G\""{a}b",Mystical Ineffability: A Nonconceptual Theory,2024
MCNMAF-3,Tyler Dalton Mcnabb and Joseph E. Blado,Mary and F\'{a}tima: A Modest C-Inductive Argument for Catholicism,2020
BISNCT-3,Jeffrey P. Bishop and Martin J. Fitzgerald,Norming Covid-19: The Urgency of a Non-Humanist Holism,2022
BRURAT-9,Abram Brummett,"Reaching Across the ?Deepest Divide?: Moral Acquaintanceship, Religion, and Bioethics",2020
MILDDT,Christian B. Miller,Divine Desire Theory and Obligation,2008
BURNPO-6,Mikel Burley,Narrative Philosophy of Religion: Apologetic and Pluralistic Orientations,2020
TURITI-2,L\'{e}on Turner,"Isolating the Individual: Theology, the Evolution of Religion, and the Problem of Abstract Individualism",2020
MCPDD,David Mcpherson,Deep Desires,2019
BOHTLO-5,Einar Duenger Bohn,The Logic of the Trinity,2011
OLISDA-3,Kelly Oliver,"Shame, Depression, and Social Melancholy",2020
MERIIS,Michael Merry,"Indoctrination, Islamic Schools and the Broader Scope of Harm",2018
ARCRDI,James M. Arcadi,Recent Developments in Analytic Christology,2018
PUZANR,Anna Puzio,A Nao Robot Performing Religious Practices,2024
MIGTSF,Damiano Migliorini,Ten Strategies for the Trinity: God as Transcendental Multiplicity and Ipsa Relationalitas,2019
GONIAW,Elia Gonnella,\emph{Im Anfang War Das Wort}. Husserl e la Fenomenologia Della Coscienza Religiosa,2024
ROOFBW,James Dominic Rooney Op,From B\'{a}~{n}ez with Love: A Response to a Response by Taylor Patrick o?Neill,2023
GBMWC-2,"Sebastian G\""{a}b",Mysticism Without Concepts,2021
BURPAC-9,Michael S. Burdett,Personhood and Creation in an Age of Robots and Ai: Can We Say ?You? to Artifacts?,2020
HUNTHO-10,Marcus Hunt,The Hypostasis of the Archons: Platonic Forms as Angels,2023
LORTCG,James Lorenz,The Cinematic Gaze as ?a Long Loving Look at the Real?: Andrei Tarkovsky and Walter Burghardt?s Theology of Contemplation,2022
VEREPM,Nehama Verbin,Embracing Paradox: Maimonides and Kierkegaard on Divine Transcendence and Immanence,2020
SMIAPB-6,Sean M. Smith,A P\={a}li Buddhist Philosophy of Sentience: Reflections on Bhava\.{n}ga Citta,2020
STADAM-5,Marco Stango,Death as Material Kenosis: A Thomistic Proposal,2020
Snyder2017-HOWP-8,Daniel Howard{-}Snyder,Panmetaphoricism,2017
STRSOT-2,Lloyd Strickland,Staying Optimistic: The Trials and Tribulations of Leibnizian Optimism,2019
TEEDHA,Luke Teeninga,Divine Hiddenness and the Problem of No Greater Goods,2021
RUYWEI,Doret J. de Ruyter and Michael S. Merry,Why Education in Public Schools Should Include Religious Ideals,2009
STRLAM-4,Lloyd Strickland and Daniel J. Cook,Leibniz and Millenarianism,2011
WILRGA-2,Michael Allen Williams,"Rethinking ""Gnosticism"": An Argument for Dismantling a Dubious Category",1999
OYANAU,Alberto Oya,Nietzsche and Unamuno on Conatus and the Agapeic Way of Life,2020
METGRI,Thaddeus Metz,God?s Role in a Meaningful Life: New Reflections From Tim Mawson,2018
ESPTMP,Luis Gregorio Abad Espinoza,The Moral Philosophy of Nature: Spiritual Amazonian Conceptualizations of the Environment,2019
SMUTPT-2,Aaron Smuts,The Power to Make Others Worship,2012
FERLSA-8,David Fern\'{a}ndez Navas,La Saudade Abrasada: Una Mirada Al Saudosismo de Teixeira de Pascoaes Desde El Amor y la Nostalgia En Emilio Prados,2019
OPPITC,Graham Oppy,Introduction to Companion to Atheism and Philosophy,2019
COCPAN-3,Joshua Cockayne,Personal and Non-Personal Worship,2020
Snyder2008-HOWTPO-4,Daniel Howard{-}Snyder,The Puzzle of Prayers of Thanksgiving and Praise,2008
BESRTM,Brian Besong,Reappraising the Manual Tradition,2015
MERSTS,Michael S. Merry,Should the State Fund Religious Schools?,2007
MILAAT-5,Christian Miller,Atheism and the Benefits of Theistic Belief,2013
PARATA-6,Benjamin N. Parks,A Thousand and One Thebaidian Noons: Transhumanism and Acedia,2020
CHRGWU,"Christoph J\""{a}ger","Glaube, Wissen Und Rationales Hoffen",2016
HESAFM,Elijah Hess,Arguing From Molinism to Neo-Molinism,2015
OPPNAV,Graham Oppy,New Atheism' Versus 'Christian Nationalism,2011
FISRGT-2,Bob Fischer,Rawls Goes to Church,forthcoming
GRIREW,Amber Griffioen,Religious Experience Without Belief? Toward an Imaginative Account of Religious Engagement,2016
MIZJSD,Moti Mizrahi,"Jewish Survival, Divine Supervision, and the Existence of God",2012
BANPPA-4,Debashish Banerji,Posthuman Perspectivism and Technologies of the Self,2019
COLOEP,Matthew James Collier,On Emily Paul on Brian Leftow,2019
SOWCOF,Andrzej S\l{}owikowski,Crossroads of Forgiveness: A Transcendent Understanding of Forgiveness in Kierkegaard?s Religious Writings and Immanent Account of Forgiveness in Contemporary Secular and Christian Ethics,2019
MCKRV,Daniel J. McKaughan,Religious Violence,2014
KVAHAH,Jonathan Kvanvig,Heaven and Hell,unknown
OPPG-3,Graham Oppy,Gods,2009
MILDWT,Christian Miller,Divine Will Theory: Desires or Intentions?,2013
HOLDET,A. G. Holdier,Divine Energies: The Consuming Fire and the Beatific Vision,2018
SADRFB,Gregory B. Sadler,Reason Fulfilled by Revelation: The 1930s Christian Philosophy Debates in France,2011
JAKCMA,Roomet Jakapi,Christian Mysteries and Berkeley's Alleged Non-Cognitivism,2007
WOODAW-2,Philip Woodward,Devotion and Well-Being: A Platonic Personalist Perfectionist Account,2024
BRYWKB,Dorota Brylla,Wyk\l{}adnia Kategorii Boga Ukrytego Na Podstawie Dialogu Miko\l{}aja Z Kuzy de Deo Abscondito,2018
MAROAN-3,Michael N. Marsh,Out-of-Body and Near-Death Experiences: Brain-State Phenomena or Glimpses of Immortality?,2010
OMEOGS-2,Adam Omelianchuk,Ontologically Grounded Subordination,2011
MIGLSD-3,Damiano Migliorini,La Soluzione di Boezio Nel Dibattito Contemporaneo Sull?Onniscienza Divina: Un Bilancio,2016
KIDPNA,Ian James Kidd,"Phenomenology, Naturalism, and Religious Experience",2019
KIDMAH,Ian James Kidd and Guy Bennett{-}Hunter,Mystery and Humility,2012
CHEIAT-7,Kirill Chepurin,Indifference and the World: Schelling?s Pantheism of Bliss,2019
VUKRR,Marko Vu\v{c}kovi\'c,Reason?s Reasons,2018
HOLTAO-18,A. G. Holdier,The Agony of the Infinite: The Presence of God as Phenomenological Hell,2017
ROSAAA-6,James F. Ross,Analogy as a Rule of Meaning for Religious Language,1961
DEWTSO-8,John Dewey,The Superstition of Necessity,1893
STROTN-2,Lloyd Strickland,On the Necessity of the Best (Possible) World,2005
KEPSAN,Steven Kepnes,Seeing and Not Seeing the Face of God: Overcoming the Law of Contradiction in Biblical Theology,2020
HERTAF,Blake Hereth,Two Arguments for Animal Immortality,2017
CARPEA-7,Louis Caruana,"Philosophy, Experience, and the Spiritual Life",2007
REATIK,Michael Rea,The Ill-Made Knight and the Stain on the Soul,2019
SVOODO,Zuzana Svobodov\'a,"Overcoming Despair: Open Soul, Hope in Dialogue",2020
AUGBME,Piotr Augustyniak,B\'{o}g Mistrza Eckharta Wobec Nietzschea\'{n}skiej Krytyki Chrze\'{s}cija\'{n}stwa,2011
SKAWAS,John Skalko,Would Aquinas Support Homosexual Activity If He Were Alive Today?,2020
OXETGW,Richard Oxenberg,The God Who Died on a Cross,manuscript
SCRSOP-2,Anastasia Philippa Scrutton,Schizophrenia or Possession? A Reply to Kemal Irmak and Nuray Karanci.,forthcoming
MARH-10,Jacqueline Mari\~{n}a,Holiness,1997
