ID,Author,Title,Year
GUEAET,Alexander Guerrero,Against Elections: The Lottocratic Alternative,2014
SAWTRC,Michael Saward,The Representative Claim,2010
LOVMEC,Adam Lovett,Must Egalitarians Condemn Representative Democracy?,2021
SAWTRC-2,Michael Saward,The Representative Claim,2006
MOOCED,Alfred Moore,"Critical Elitism: Deliberation, Democracy, and the Problem of Expertise",2017
MRZDAT,Attila Mr\'{a}z,Disenfranchisement and the Capacity / Equality Puzzle: Why Disenfranchise Children but Not Adults Living with Cognitive Disabilities?,2020
NOVDDI,Claudio Novelli and Giulia Sandri,Digital Democracy in the Age of Artificial Intelligence,manuscript
ABIRBP,Arash Abizadeh,"Representation, Bicameralism, Political Equality, and Sortition: Reconstituting the Second Chamber as a Randomly Selected Assembly",2021
MERCSI,Michael Merry,"Citizenship, Structural Inequality and the Political Elite",2018
PETVOP-2,Philip Pettit,Varieties of Public Representation,2009
LEVMAT-4,Annabelle Lever,Mill and the Secret Ballot: Beyond Coercion and Corruption,2007
INGRBM,Sean Ingham,Rule by Multiple Majorities: A New Theory of Popular Control,2018
BOUTER-4,Cameron Boult,The Epistemic Responsibilities of Citizens in a Democracy,2021
GUETPO,Alexander A. Guerrero,The Paradox of Voting and the Ethics of Political Representation,2010
NSSWIT,"Sofia N\""{a}sstr\""{o}m",Where is the Representative Turn Going?,2011
MUETMO-6,Axel Mueller,The Meaning of ?Populism?,2019
LEVEDE,Annabelle Lever and Chiara Destri,Egalit\'e D\'{e}mocratique Et Tirage au Sort,forthcoming
STEWWA-2,Uwe Steinhoff,"Why ""We"" Are Not Harming the Global Poor: A Critique of Pogge's Leap From State to Individual Responsibility",2012
ELLAID,Kevin J. Elliott,An Institutional Duty to Vote: Applying Role Morality in Representative Democracy,forthcoming
KNIROE-2,Jack Knight and H\'{e}l\`{e}ne Landemore and Nadia Urbinati and Daniel Viehoff,Roundtable on Epistemic Democracy and its Critics,2016
DOVPR,Suzanne Dovi,Political Representation,2008
BECDIL,Ludvig Beckman,"Democratic Inclusion, Law, and Causes",2008
PETMR-2,Philip Pettit,Meritocratic Representation,2013
WODWMS,Daniel Wodak,Which Majority Should Rule?,2024
ANDITA-6,Vuko Andri\'c,Is the All-Subjected Principle Extensionally Adequate?,2020
WEYFTP-2,Wim Weymans,Freedom Through Political Representation,2005
INGRDA-2,Sean Ingham,Representative Democracy and Social Equality,2021
AJEKWC,Martin Odei Ajei,Kwasi Wiredu?s Consensual Democracy: Prospects for Practice in Africa,2016
LEYRDA-2,Dominique Leydet,Representative Democracy and Democratic Struggles From Below,2023
ONERPR,John O'Neill,"Representing People, Representing Nature, Representing the World",2001
HARSEA,Russell Hardin,Street-Level Epistemology and Democratic Participation,2002
STAGAR,E. S. Staveley,Greek and Roman Voting and Elections,1972
GIRDEG,Charles Girard,D\'{e}lib\'{e}rer Entre \'{E}gaux. Enqu\^{e}te Sur l'Id\'{e}al D\'{e}mocratique,2019
ZAKLAD,Alex Zakaras,Lot and Democratic Representation: A Modest Proposal,2010
SALSFO-2,Wendy Salkin,Speaking for Others From the Bench,2023
WODTPO-4,Daniel Wodak,The Perversity of Weighted Voting,2024
BADPRP,Gabriele Badano and Alasia Nuti,"Public Reason, Partisanship and the Containment of the Populist Radical Right",2023
WODTDI,Daniel Wodak,The Democratic Imperative to Make Margins Matter,2023
MARDED-19,Rub\'{e}n Marciel,Deliberaci\'{o}n En Democracias Digitales: ?Es Plausible El Ideal de Ciudadan\'{i}a Competente?,2024
KATTMD,George Kateb,The Moral Distinctiveness of Representative Democracy,1981
FUEDRA,Michael Fuerstein,Democratic Representatives as Epistemic Intermediaries,2020
WIMTPA,Cory Wimberly,"Trump, Propaganda, and the Politics of Ressentiment",2018
LAUECO,Ben Laurence and Itai Sher,Ethical Considerations on Quadratic Voting,2017
LEVDAJ,Annabelle Lever,Democracy and Judicial Review: Are They Really Incompatible?,2007
BADCOP,Veit Bader,"Crisis of Political Parties and Representative Democracies: Rethinking Parties in Associational, Experimentalist Governance",2014
ZWAPRO,Danielle Zwarthoed,Political Representation of Future Generations,2018
ALFECT,Mark Alfano,"Elections, Civic Trust, and Digital Literacy: The Promise of Blockchain as a Basis for Common Knowledge",forthcoming
OAKTMI,M. Oakeshott,The Masses in a Representative Democracy,1995
JAKTEQ,Julia Jakobi,The Egalitarian Quality of Lottocracy,2019
LEVSVB,Annabelle Lever and Annabelle Lever and Alexandru Volacu,Should Voting Be Compulsory? Democracy and the Ethics of Voting,2019
HARRI,Russell Hardin,Representing Ignorance,2004
NAVCYD,Mar\'{i}a G. Navarro,Consensuar y Disentir En Un Modelo de Democracia Contestataria,2016
HANAAF,Nathan Hanna,An Argument for Voting Abstention,2009
MRZAPE,Attila Mr\'{a}z,A Polarization-Containing Ethics of Campaign Advertising,2023
GUECPA,Alexander A. Guerrero,"Coercion, Political Accountability, and Voter Ignorance: The Mistaken Medicaid Expansion Ruling in \emph{Nfib V. Sebelius}",2013
BRYPPA-2,Alexander Bryan,Political Parties and Republican Democracy,2022
CHRVIA,Andreas T. Christiansen,Voter Incompetence and the Legitimacy of Representative Democracy,forthcoming
GRIVAT,Patrick Grim and Daniel J. Singer and Aaron Bramson and William J. Berger and Jiin Jung and Scott Page,Votes and Talks: Sorrows and Success in Representational Hierarchy,manuscript
PRECOM-3,Gail Presbey,Criticisms of Multiparty Democracy: Parallels Between Wamba-Dia-Wamba and Arendt,1998
LEVCAA-13,Annabelle Lever,Citizen Assemblies and the Challenges of Democratic Equality,2022
LANTPO-69,"Claudia Landwehr and Armin Sch\""{a}fer",The Promise of Representative Democracy: Deliberative Responsiveness,forthcoming
FRATEO,Richard Fralin,The Evolution of Rousseau's View of Representative Government,1978
FOSEDO,Thomas Fossen and Bert van den Brink,Electoral Dioramas: On the Problem of Representation in Voting Advice Applications,2015
