ID,Author,Title,Year
LOVARA,Frank Lovett,A Republican Argument for the Rule of Law,2022
WRIAKC,Ava Thomas Wright,A Kantian Course Correction for Machine Ethics,2023
HUNP-10,Luke William Hunt,Policing,2017
LEVEAC-4,Annabelle Lever,Equality and Constitutionality,2024
WIEPPN,Micha\l Wieczorkowski,Pa\'{n}stwo Prawa Na Gruncie Filozofii Politycznej Immanuela Kanta ? Dwie Interpretacje,2019
FININP,Carolyn Benson and Julian Fink,New Perspectives on Nazi Law,2012
FINLON,Carolyn Benson and Julian Fink,"Legal Oughts, Normative Transmission, and the Nazi Use of Analogy",2012
VANLSO,Lucinda Vandervort,"Legal Subversion of the Criminal Justice Process? Judicial, Prosecutorial and Police Discretion in Edmondson, Kindrat and Brown",2012
HUNIPA-3,Luke William Hunt,"Informants, Police, and Unconscionability",2018
VANPCO-4,Lucinda Vandervort,Political Control of Independent Administrative Agencies,1979
DOUDFL,Jude P. Dougherty,Design for Liberty,2012
BECEAT-3,Lawrence C. Becker,Ethics and the Rule of Law,1986
JONTRO-9,Jonathan Rose,The Rule of Law in the Western World: An Overview,2004
ROBROL-2,Robert C. Berring,Rule of Law: The Chinese Perspective,2004
RABROL,Julieta A. Rabanos,"Rule of Law Transnacional, Reglas y Acci\'{o}n Humana",2022
RABTRO-6,Julieta A. Rabanos,"Transnational Rule of Law, Coercion, and Human Action",2022
ANDBOC,Gianluca Andresani and Natalina Stamile,Bentham: Our Contemporary?,2020
CRELFD-6,Jorge Crego,La Forma Del Derecho y la Libertad. Una Cr\'{i}tica a la Concepci\'{o}n de Rawls y Fuller Sobre El Valor Del Rule of Law,2020
DAEERE,Josette Daemen and Tom Theuns,Een Rechtsstatelijk Europa: Beperk de Overheidsmacht,2024
FREREM,Danny Frederick,"Review Essay: Mark D. Friedman, 'Nozick?s Libertarian Project: An Elaboration and Defense'",2014
BECEAT-2,Lawrence C. Becker,David Lyons: Ethics and the Rule of Law,1986
DIMHTR,Athina Dimopoulou,"Harris the Rule of Law in Action in Democratic Athens. Oxford and New York: Oxford University Press, 2013. Pp. Xi + 475. \pounds50. 9780199899166",2016
