ID,Author,Title,Year
HANIOB-2,Jason Hanna,In Our Best Interest: A Defense of Paternalism,2018
TIMSIO,Cristian Timmermann,Sharing in or Benefiting From Scientific Advancement?,2014
TERSAJ,Ruud ter Meulen,Solidarity and Justice in Health Care. A Critical Analysis of Their Relationship,2015
LIZIDO,John P. Lizza,"In Defense of Brain Death: Replies to Don Marquis, Michael Nair-Collins, Doyen Nguyen, and Laura Specker Sullivan",2018
MANV-2,Alejandra Mancilla,Veganism,2012
PROCPA,Evangelos D. Protopapadakis,"Clones, Prototypes, and the Right to Uniqueness",2013
USAMGF,Makoto Usami,Moral Grounds for Indigenous Hunting Rights,2016
FORDWM,Elizabeth Foreman,Doing Without Moral Rights,2014
BECEE,Katja Becker and Eva{-}Maria Engelen and Milos Vec,Ethisierung - Ethikferne: Wie Viel Ethik Braucht Die Wissenschaft?,2003
LEWACD,Court D. Lewis and Gregory L. Bock and David Boersema and Jennifer Kling,Author Court D. Lewis Meets Critics on Repentance and the Right to Forgiveness,2019
