ID,Author,Title,Year
BARCL-2,Roland Barthes,Camera Lucida : Reflections on Photography,2010
BAREOS,Roland Barthes,Elements of Semiology,1990
BURTDA,Sean Burke,"The Death and Return of the Author: Criticism and Subjectivity in Barthes, Foucault and Derrida",1998
CANTRO-21,Elizabeth Cantalamessa,The Rights of the Living Dead: Taylor Swift's Zombie Army,forthcoming
DERTDO-2,Jacques Derrida,The Deaths of Roland Barthes,1988
BATPDZ,Geoffrey Batchen,Photography Degree Zero: Reflections on Roland Barthes's Camera Lucida,2011
BARTO-3,Roland Barthes,2 Theory of the Text,1981
DUTMOT,Denis Dutton,Mythologies of Tribal Art,unknown
IRWAI,William Irwin,Against Intertextuality,2004
CALOMA-3,Patrizia Calefato,On Myths and Fashion,2008
LANTMO-23,Joshua Landy,The Most Overrated Article of All Time?,2017
KATUSD,Schwerzmann Katia,"?Une Sorte de Remont\'{e}e Vers le Corps?. Skizze Einer \""{A}sthetik der K\""{o}rperlichen Responsivit\""{a}t Im Ausgang von Roland Barthes? \""{U}berlegungen Zur Pseudo-Schrift",2014
NOVPBA,David Novitz,Postmodernism: Barthes and Derrida,2000
LAURBS,Lode Lauwaert,Roland Barthes' Semiologische Lezing van Sade,2012
Bornstein2012-BOTTCA,Thorsten Botz{-}Bornstein,"The Conscious and the Unconscious in History:L\'{e}vi-Strauss, Collingwood, Bally, Barthes",2012
HUCORA,Nicholas Huckle,On Representation and Essence: Barthes and Heidegger,1985
MACLCR,D. Macey,"Louis-Jean Calvet, Roland Barthes: A Biography",forthcoming
SMIRBV-2,Thomas R. Smith,Roland Barthes Vu Par Roland Barthes,1994
FENCPC-2,Gene Fendt,\emph{Confessions}?Bliss: Postmodern Criticism as a Palimpsest of Augustine's \emph{Confessions},1995
BALRB,J. G. Ballard,Roland Bleiker,2008
RIGNOG,Curtis A. Rigsby,"Nishida on God, Barth and Christianity",2009
CULBAV,Jonathan Culler,Barthes: A Very Short Introduction,2002
JOHTCD-3,Barbara Johnson,The Critical Difference: Balzac's ?Sarrasine? and Barthes's s/Z',1981
WHIHTR,Ed White,How to Read Barthes' Image-Music-Text,2012
MENTIO-16,Dimitry Mentuz,The Idea of Knowledge and its Evolution in Modern Discourse,2019
