ID,Author,Title,Year
BEISAP-2,Frederick C. Beiser,Schiller as Philosopher: A Re-Examination,2005
CHAJDI-4,Marc Champagne,Just Do It: Schopenhauer and Peirce on the Immediacy of Agency,2014
CHESTW-2,Kirill Chepurin,Suspending the World: Romantic Irony and Idealist System,2020
LICTPA,Eli I. Lichtenstein,"The Passions and Disinterest: From Kantian Free Play to Creative Determination by Power, Via Schiller and Nietzsche",2019
KRIMDS-3,Arthur Krieger,"Mme de Sta\""{e}l's Philosophy of Imagination",2023
NASTRA,Dalia Nassar,"The Romantic Absolute: Being and Knowing in Early German Romantic Philosophy, 1795-1804",2013
WARIOI-2,Owen Ware,Images of India: Voltaire and Herder,2023
MARRAE-18,Jacqueline Mari\~{n}a,Religion and Early German Romanticism,2020
MWRGAW,M. W. Rowe,Goethe and Wittgenstein,1991
CHECCP-9,Peter Cheyne,Coleridge's Contemplative Philosophy,2020
JECNVA,Alexander Jech,Narrative Variation and the Mood of Freedom in Fear and Trembling,2020
NASTRO-3,Dalia Nassar,The Relevance of Romanticism: Essays on German Romantic Philosophy,2014
MENTPA-7,Jennifer Mensch,The Poem as Plant: Archetype and Metamorphosis in Goethe and Schlegel,2014
CULTHS,Carolyn Culbertson,The Hermeneutic Situation of Thought as a Hermeneutic Principle,2022
POLTPS,Pawe\l Polak,The Paradigm Shift in the 19Th-Century Polish Philosophy of Mathematics,2022
CASLPE-4,Raquel Cascales,"La Primac\'{i}a Entre Arte, Religi\'{o}n y Filosof\'{i}a. Un Debate Abierto Desde El Romanticismo",2017
HALPWM,Joshua M. Hall,Prevailing Winds: Marx as Romantic Poet,2013
LIUHDA-2,Xuansong Liu,"Humboldt, Darwin, and Romantic Resonance in Science",2022
FISTEO-23,Naomi Fisher,The Epistemology of Schelling's Philosophy of Nature,2017
BEYPYP,Facundo Bey and Hans{-}Georg Gadamer,"Prometeo y Pandora. Introducci\'{o}n, Edici\'{o}n, Traducci\'{o}n y Notas de Facundo Bey",2020
NASIIN,Dalia Nassar,"Idealism is Nothing but Genuine Empiricism: Novalis, Goethe and the Ideal of Romantic Science",2011
