ID,Author,Title,Year
GOFCAF,Philip Goff,Consciousness and Fundamental Reality,2017
STRMR,Galen Strawson,Mental Reality,1994
RUSTAO,Bertrand Russell,The Analysis of Matter,1927
PERCAT-2,Derk Pereboom,Consciousness and the Prospects of Physicalism,2011
CHAPAP-17,David Chalmers,Panpsychism and Panprotopsychism,2013
STRRM-2,Galen Strawson,Realistic Monism - Why Physicalism Entails Panpsychism,2006
MRCTEA,Hedda Hassel M\o{}rch,The Evolutionary Argument for Phenomenal Powers,2017
MRCITI-2,Hedda Hassel M\o{}rch,Is the Integrated Information Theory of Consciousness Compatible with Russellian Panpsychism?,2019
STOIAI-3,Daniel Stoljar,Ignorance and Imagination: The Epistemic Origin of the Problem of Consciousness,2006
FEITMA,Herbert Feigl,The 'Mental' and the 'Physical',1958
LOCMBA,Michael Lockwood,"Mind, Brain and the Quantum: The Compound ""I""",1989
RUSMPD-2,Bertrand Russell,My Philosophical Development,1959
FOSTIS-4,John Foster,The Immaterial Self: A Defence of the Cartesian Dualist Conception of the Mind,1991
MRCDDE-2,Hedda Hassel M\o{}rch,Does Dispositionalism Entail Panpsychism?,2018
STOTCO-34,Daniel Stoljar,Two Conceptions of the Physical,2001
RUSTAO-33,Bertrand Russell,The Analysis of Mind,1921
ALTWIR,Torin Alter and Yujin Nagasawa,What is Russellian Monism?,2012
ROSAPF,Gregg Rosenberg,A Place for Consciousness: Probing the Deep Structure of the Natural World,2004
COLTRC-2,Sam Coleman,"The Real Combination Problem: Panpsychism, Micro-Subjects, and Emergence",2013
MRCICI,Hedda Hassel M\o{}rch,Is Consciousness Intrinsic?: A Problem for the Integrated Information Theory,2019
NEWMRC,M. H. A. Newman,Mr. Russell's Causal Theory of Perception,1928
HASPAC-2,Hedda Hassel M\o{}rch,Panpsychism and Causation: A New Argument and a Solution to the Combination Problem,2014
BLAFIS,Simon W. Blackburn,Filling in Space,1990
GOFTPB,Philip Goff,The Phenomenal Bonding Solution\} to the Combination Problem,2016
ROBMAS,Howard Robinson,Matter and Sense: A Critique of Contemporary Materialism,1982
SEACIA,William Seager,"Consciousness, Information, and Panpsychism",1995
SEATOC,William Seager,Theories of Consciousness: An Introduction and Assessment,1999
GOFWPD,Philip Goff,Why Panpsychism Doesn?T Help Us Explain Consciousness,2009
STRMAB,Galen Strawson,Mind and Being: The Primacy of Panpsychism,2016
COLPAN,Sam Coleman,Panpsychism and Neutral Monism: How to Make Up One's Mind,2016
SCHGTO,Moritz Schlick,General Theory of Knowledge (2nd edition),1974
SHAEBA-3,Itay Shani,Eden Benumbed: A Critique of Panqualityism and the Disclosure View of Consciousness,2022
BANREI,Erik C. Banks,"The Realistic Empiricism of Mach, James, and Russell: Neutral Monism Reconceived",2014
HOWTRM,Robert Howell,The Russellian Monist?s Problems with Mental Causation,2015
YUJCIT,Torin Andrew Alter and Yujin Nagasawa,Consciousness in the Physical World: Perspectives on Russellian Monism,2015
KINWIC,Amy Kind and Daniel Stoljar,What is Consciousness?,2023
CUTPRA,Brian Cutter,Paradise Regained: A Non-Reductive Realist Account of the Sensible Qualities,2018
ROEPBA-2,Luke Roelofs,Phenomenal Blending and the Palette Problem,2014
MIHPAA,Jakub Mih\'{a}lik,"Panqualityism, Awareness and the Explanatory Gap",2022
COLMCC-3,Sam Coleman,Mental Chemistry1: Combination for Panpsychists,2012
MONARR,Barbara Montero,A Russellian Response to the Structural Argument Against Physicalism,2010
STRRM-3,Galen Strawson,Real Materialism,2003
MAXSRA,Grover Maxwell,Structural Realism and the Meaning of Theoretical Terms,1970
STUCAQ,Leopold Stubenberg,Consciousness and Qualia,1998
MILCSB-2,Gregory Miller,Can Subjects Be Proper Parts of Subjects? The de-Combination Problem,2018
MRCDPM-2,Hedda Hassel M\o{}rch,"Does Panpsychism Mean That ""We Are All One""?",forthcoming
CRASCA-5,Sean Crawford,"Schlick, Carnap and Feigl on the Mind-Body Problem",2022
GOFACR,Philip Goff,Against Constitutive Russellian Monism,2015
KINPAR-2,Amy Kind,Pessimism About Russellian Monism,2015
STORMO-2,Daniel Stoljar,Russellian Monism or Nagelian Monism?,2015
HOODOM,Sidney Hook,Dimensions of Mind: A Symposium.,1960
LEETMO-15,Andrew Y. Lee,The Microstructure of Experience,2019
MRCPPT,Hedda Hassel M\o{}rch,Phenomenal Powers,manuscript
MRCNTO,Hedda Hassel M\o{}rch,Non-Physicalist Theories of Consciousness,2023
MAXRDA,Grover Maxwell,Rigid Designators and Mind-Brain Identity,1979
BANNMR,Erik C. Banks,Neutral Monism Reconsidered,2010
HIDDAC,Eric Hiddleston,"Dispositional and Categorical Properties, and Russellian Monism",2019
SEATIN,William E. Seager,The 'Intrinsic Nature' Argument for Panpsychism,2006
RUSIPW,Bertrand Russell,On Propositions: What They Are and How They Mean,1919
CHARPA-9,Lok{-}Chi Chan,Russellian Physicalism and its Dilemma,2020
BOUIEA,David Bourget,Anomalous Dualism: A New Approach to the Mind-Body Problem,2019
FEITMP,Herbert Feigl,The Mind-Body Problem: Not a Pseudo-Problem,1960
MCCTNI,Tom McClelland,The Neo-Russellian Ignorance Hypothesis: A Hybrid Account of Phenomenal Consciousness,2013
MILFAP-5,Gregory Miller,Forming a Positive Concept of the Phenomenal Bonding Relation for Constitutive Panpsychism,2017
STOFKO,Daniel Stoljar,Four Kinds of Russellian Monism,2013
JOLAHD,Jacob Jolij,A Higher Dimension of Consciousness: Constructing an Empirically Falsifiable Panpsychist Model of Consciousness,manuscript
GOFEDS,Philip Goff,Experiences Don?T Sum,2006
NEYAPC,Alyssa Ney,A Physicalist Critique of Russellian Monism,2015
MORRPB,Kevin Morris,"Russellian Physicalism, Bare Structure, and Swapped Inscrutables",2016
WISREN,Donovan Wishon,"Radical Empiricism, Neutral Monism, and the Elements of Mind",2021
BROAPP-5,Christopher Devlin Brown,A Properly Physical Russellian Physicalism,2017
LOCTGP,Michael Lockwood,The Grain Problem,1993
GANWIC,Jonardon Ganeri and Itay Shani,What is Cosmopsychism?,2022
ROBRMA-5,William S. Robinson,Russellian Monism and Epiphenomenalism,2018
SAADCP,Bradford Saad,Does Cognitive Phenomenology Support Dualism?,forthcoming
WISROR,Donovan Wishon,Russell on Russellian Monism,2015
CHACTR-2,Lok{-}Chi Chan,Can the Russellian Monist Escape the Epiphenomenalist?s Paradox?,2020
GRAIMP-2,Matteo Grasso and Anna Marmodoro,Introduction: Mental Powers,2020
CUTATM,Brian Cutter,Against the Middle Ground: Why Russellian Monism is Unstable,2019
