ID,Author,Title,Year
SALAMV,Nathan Salm\'{o}n,Alethic Modalities,forthcoming
KRIALF,Saul A. Kripke,A Letter From Kripke to Lewis,2024
JACAKS,Henry Jackman,Answering Kripke's Skeptic : Dispositions Without 'Dispositionalism',2024
WILAAL-2,Timothy Williamson,"Accepting a Logic, Accepting a Theory",2024
KRIICT-3,Saul A. Kripke,"Individual Concepts: Their Logic, Philosophy, and Some of Their Uses",2024
WEISKA,Yale Weiss and Romina Birman,Saul Kripke: A Portrait of the Modal Logician as a Young Man,2024
SHICM-2,Sanford Shieh,Chapter 36. Modality,2013
CONTVO-6,James Conant,Two Varieties of Skepticism,2012
WEISKO,Yale Weiss and Romina Birman,Saul Kripke on Modal Logic,2024
GOUEI-8,Pelagia Goulimari,Editorial Introduction,2003
NEKKAA,A. Nekhaev,Kripkenstein and Aborigines: The True Order of Language and Rule-Following Paradox,2013
