ID,Author,Title,Year
CAPISA-5,Herman Cappelen and Ernest Lepore,Insensitive Semantics: A Defense of Semantic Minimalism and Speech Act Pluralism,2005
SAULMA-3,Jennifer Mather Saul,"Lying, Misleading, and What is Said: An Exploration in Philosophy of Language and in Ethics",2012
CAPIS,Herman Cappelen and Ernie Lepore,Insensitive Semantics,2006
CAPISA-8,Herman Cappelen and Ernest Lepore,Insensitive Semantics. A Defence of Semantic Minimalism and Speech Act Pluralism,2008
STOLAI,Andreas Stokke,Lying and Insincerity,2018
SCHWIS-8,Andreas Stokke and Anders J. Schoubye,What is Said?,2015
RECWIS,Fran\c{c}ois Recanati,What is Said,2001
WYAATA,Jeremy Wyatt,Absolutely Tasty: An Examination of Predicates of Personal Taste and Faultless Disagreement,2018
MACSMA,John MacFarlane,Semantic Minimalism and Nonindexical Contextualism,2007
BORMVC,Emma Borg,Minimalism Versus Contextualism in Semantics,2007
LEPCSA,Ernie Lepore and Herman Cappelen,Context Shifting Arguments,2003
BERDBA-3,Jonathan Berg,"Direct Belief: An Essay on the Semantics, Pragmatics, and Metaphysics of Belief",2012
UNNCAS,Elmar Geir Unnsteinsson,Compositionality and Sandbag Semantics,2014
CAPSC,Herman Cappelen and Ernest Lepore,Shared Content,2006
PRISMA,Huw Price,Semantic Minimalism and the Frege Point,
PAGCCA,Peter Pagin and Francis Jeffry Pelletier,"Content, Context and Composition",2007
CAPSAP,Herman Cappelen,Semantics and Pragmatics: Some Central Issues,2007
BROATT-2,Herman Cappelen and Ernie Lepore,A Tall Tale: In Defense of Semantic Minimalism and Speech Act Pluralism,2005
RECCM,Fran\c{c}ois Recanati,Crazy Minimalism,2006
TRAIS,Charles Travis,Insensitive Semantics,2006
CAPATT,Herman Cappelen and Ernie Lepore,A Tall Tale: In Defense of Semantic Minimalism and Speech Act Pluralism,2013
SIUTIR,Charlie Siu,"Tipper is Ready but He is Not Strong Enough: Minimal Proposition, Question Under Discussion, and What is Said",2020
WIECSA-2,Nellie Wieland,Context Sensitivity and Indirect Reports,2010
CAPR,Herman Cappelen and Ernest Lepore,Response,2006
ZOLST,Zolt\'{a}n Gendler Szab\'o,Sensitivity Training,2006
BORELL-2,Emma Borg and Patrick Joseph Connolly,Exploring Linguistic Liability,2021
KORRMM,Kepa Korta and John Perry,"Radical Minimalism, Moderate Contextualism",2007
CAPATT-2,Herman Cappelen and Ernest Lepore,A Tall Tale: In Defense of Semantic Minimalism and Speech Act Pluralism,2004
BORMAT-2,Emma Borg,Minimalism and the Content of the Lexicon,2010
BEZTCO,Anne Bezuidenhout,The Coherence of Contextualism,2006
PINBMA,Mark Pinder,Borg?s Minimalism and the Problem of Paradox,2014
BRORIP-2,Kent Bach,Regressions in Pragmatics (and Semantics),
HUAAPF,Minyao Huang,A Plea for Radical Contextualism,2017
CORCMA-4,Eros Corazza,"Contextualism, Minimalism, and Situationalism",2007
BEZLMM,Anne Louise Bezuidenhout and J. Cooper Cutting,"Literal Meaning, Minimal Propositions, and Pragmatic Processing",2002
BIAC,Claudia Bianchi,Contextualism,2010
CAMPSM-2,Elisabeth Camp,Prudent Semantics Meets Wanton Speech Act Pluralism,2007
RECCSV,Fran\c{c}ois Recanati,Contextualism: Some Varieties,2012
WIEMPA,Nellie Wieland,Minimal Propositions and Real World Utterances,2010
MAIHAW,Ishani Maitra,How and Why to Be a Moderate Contextualist,2007
BLASRA-4,Simon Blackburn,Some Remarks About Minimalism,2012
