ID,Author,Title,Year
MACISM,Fabrizio Macagno and Douglas Walton,Interpreting Straw Man Argumentation,2017
INDRRA,Reiland Indrek,Regulative Rules: A Distinctive Normative Kind,2024
OLILAF,Karl Olivecrona,Law as Fact,1939
ASGTNA,Hrafn Asgeirsson,The Nature and Value of Vagueness in the Law,2020
FINQAS,Stephen Finlay and David Plunkett,Quasi-Expressivism About Statements of Law: A Hartian Theory,2018
NIEAOT,Katharina Nieswandt,Anscombe on the Sources of Normativity,2017
MCHTLO-3,Jakub M\'{a}cha,The Logic of Exemplarity,forthcoming
AKMRLW,Varol Akman,Reading Law with Chatgpt (with Special Emphasis on Contextual Canons),2024
SILNIL,Alex Silk,Normativity in Language and Law,2019
SCHANI-3,Fran\c{c}ois Schroeter and Laura Schroeter and Kevin Toh,A New Interpretivist Metasemantics for Fundamental Legal Disagreements,2020
SMIISA-5,J. P. Smit and Filip Buekens,Is Somaliland a Country? An Essay on Institutional Objects in the Social Sciences,forthcoming
WODWDL,Daniel Wodak,What Does ?Legal Obligation? Mean?,2018
BAUTMO-10,Lucien Baumgartner and Markus Kneer,The Meaning of ?Reasonable?: Evidence From a Corpus-Linguistic Study,forthcoming
SKOIWL,Izabela Skocze\'n,Implicatures Within Legal Language,2019
KEIVIT,Geert Keil and Ralf Poscher,Vagueness and Law: Philosophical and Legal Perspectives,2016
EICSRA,Niklas Eickhoff,Soll ?Rasse? Aus Dem Grundgesetz Gestrichen Werden?,2024
GEEVAL,Geert Keil and Ralf Poscher,Vagueness and Law. Philosophical and Legal Perspectives,2016
MORTSA-24,Jose Juan Moreso and Samuele Chilovi,The Semantics and Pragmatics of 'According to the Law',2016
KRIASI-2,Andrej Kristan and Massimiliano Vignolo,Assessment Sensitivity in Legal Discourse,2018
MARHDA-4,Teresa Marques,Hybrid Dispositionalism and the Law,2019
SILTOV,Alex Silk,Theories of Vagueness and Theories of Law,2019
CONTPO-49,William Conklin,The Phenomenology of Modern Legal Discourse: The Juridical Production and the Disclosure of Suffering,1998
PIEWGZ,Marek Piechowiak,Wyra\.{z}enie ?Godno\'{s}'c? ? Poj\k{e}cie Godno\'{s}ci ? Godno\'{s}'c. O Niekt\'{o}rych Teoretycznych Aspektach Uj\k{e}cia Godno\'{s}ci W Konstytucji Rp [the Term ?Dignity? ? the Concept of Dignity ? Dignity: On Some Theoretical Aspects of Recognizing Dignity in the Constitution of the Republic of Poland],2022
CONHRA,William Conklin,Human Rights and the Forgotten Acts of Meaning in the Social Conventions of Conceptual Jurisprudence,2014
TERCMN-2,Teresa Marques,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
FERDNI,Rafael Ferber,"Das Normative ""Ist""",1988
MARDLI-10,Matczak Marcin,Does Legal Interpretation Need Paul Grice?,2016
COLWTD,John M. Collins,Why the Debate Between Originalists and Evolutionists Rests on a Semantic Mistake,2011
LUDCSI,Kirk Ludwig,Corporate Speech in Citizens United Vs. Federal Election Commission,2016
QVISLT,Lennart \A{A}qvist,Some Logico-Semantical Themes in Karl Olivecrona's Philosophy of Law: A Non-Exegetical Approach,2008
CONDTK,William Conklin,Derrida's Territorial Knowledge of Justice,2012
CONATJ,William Conklin,'Access to Justice' as Access to a Lawyer's Language,1990
MARHDA-5,Teresa Marques,Hybrid Dispositionalism and the Law,2019
TERCMN-4,Marques Teresa,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
TERCMN-10,Teresa Marques,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
SKODLI,Izabela Skocze\'n and Francesca Poggi,Delimiting Legal Interpretation: The Problem of Moral Bias and Political Distortion--the Case of Criminal Intention,2022
JUMLC,Fengkui Ju and Karl Nygren and Tianwen Xu,Modeling Legal Conflict Resolution Based on Dynamic Logic,2021
WODHAT-2,Daniel Wodak,"Hrafn Asgeirsson, the Nature and Value of Vagueness in Law",2021
ALLSRR,Layman E. Allen and Sallyanne Payton and Charles S. Saxon,Synthesizing Related Rules From Statutes and Cases for Legal Expert Systems,1990
SKOCAA-2,Izabela Skocze\'n,Constraining Adjudication: An Inquiry Into the Nature of W. Baude?s and S. Sachs? Law of Interpretation,2019
BACOTF-2,Giuliano Bacigalupo,On the Fiction of the Retroaction of the Condition in Contracts,2016
NYGNAA,Karl Nygren,Norms and Alternatives : Logical Aspects of Normative Reasoning,2022
SKOEAT-4,Izabela Skocze\'n and Krzysztof Poslajko,Expressivism and the Ex Aequo Et Bono Adjudication Method,2022
WEBTNO-8,Marc Andree Weber,The Non-Conservativeness of Legal Definitions,2016
LABDEO,Felipe Labruna,Di\'{a}logo Entre ?o Processo? de Franz Kafka e ?o Estrangeiro? de Albert Camus Sob Perspectiva Jur\'{i}dico-Existencial,2024
DECASA-2,Claudio De Cicco and Roberto Beijato Junior and Felipe Labruna,Apanhado Sobre a Teoria Dos Sistemas de Niklas Luhmann,2024
RABBTL,Julieta A. Rabanos,"Back to (Law as) Fact. Some Remarks on Olivecrona, Scandinavian Legal Realism, and Legal Notions as Hollow Words",2023
LLOLQO,Harold Anthony Lloyd,"Law's ""Way of Words:"" Pragmatics and Textualist Error",2016
TRA-6,Nadiya Trach,"\CYRM\cyro\cyrv\cyrn\cyre \CYRZ\cyra\cyrk\cyro\cyrn\cyro\cyrd\cyra\cyrv\cyrs\cyrt\cyrv\cyro \CYRU\cyrk\cyrr\cyra\cyryi\cyrn\cyri, \CYRG\cyrr\cyru\cyrz\cyrii\cyryi \CYRT\cyra \CYRM\cyro\cyrl\cyrd\cyro\cyrv\cyri: \CYRP\cyro\cyrr\cyrii\cyrv\cyrn\cyrya\cyrl\cyrsftsn\cyrn\cyri\cyrishrt \CYRA\cyrs\cyrp\cyre\cyrk\cyrt",2017
MARWJF-2,Matczak Marcin,Why Judicial Formalism is Incompatible with the Rule of Law,manuscript
LLOLAT-3,Lloyd Harold Anthony,Law as Trope: Framing and Evaluating Conceptual Metaphors,2016
SOSLCV,Tristan Sosa,Lawyer Cat V. Lawyer Dog: A Forensic Linguistic Analysis of State of Louisiana V. Warren Demesme,2022
TERCMN-7,Marques Teresa,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
TERCMN-3,Marques Teresa,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
ECOTPO,William E. Conklin,The Phenomenology of Modern Legal Discourse: The Juridical Production and the Disclosure of Suffering,1998
TERCMN-8,Marques Teresa,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
TERCMN-9,Teresa Marques,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
TERCMN,Marques Teresa,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
Studnick2022-GIZIAT-2,Tomasz Gizbert{-}Studnick and Francesca Poggi and Izabela Skoczen?,Interpretivism and the Limits of Law,2022
TERCMN-5,Marques Teresa,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
TERCMN-6,Marques Teresa,Can Metalinguistic Negotiations and 'Conceptual Ethics' Rescue Legal Positivism?,2017
EDMBLO,William Edmundson,"Brian Leiter, Objectivity in Law and Morals",2002
LABFSA,Felipe Labruna,Fragmentos Sobre a Obra the Force of Law de Frederick Schauer,2021
