ID,Author,Title,Year
SHECAA-3,Joshua Shepherd,Conscious Action/Zombie Action,2016
OCAAMP,Casey O'Callaghan,A Multisensory Philosophy of Perception,2019
MATTIO-3,Mohan Matthen,The Individuation of the Senses,2015
MACTSC-6,Fiona Macpherson,The Senses: Classic and Contemporary Philosophical Perspectives,2011
SERTFS-2,Michel Serres,The Five Senses: A Philosophy of Mingled Bodies (I),2008
MACCE,Fiona Macpherson,Xv--Cross-Modal Experiences,2011
RICSAS-5,Louise Richardson,Sniffing and Smelling,2013
MACITS,Fiona Macpherson,Individuating the Senses,2011
DIBTAR-2,Elvira Di Bona,Towards a Rich View of Auditory Experience,2017
OCAPAM,Casey O'Callaghan,Perception and Multimodality,2012
OCASWY,Casey O'Callaghan,Seeing What You Hear: Cross-Modal Illusions and Perception,2008
Langley2022-DREGFA-2,Birgitta Dresp{-}Langley,Grip Force as a Functional Window to Somatosensory Cognition,2022
GRATPA-20,Richard Gray,Thermal Perception and its Relation to Touch,2023
NESPNM,Anders Nes,Perception Needs Modular Stimulus-Control,2023
MACTTS,Fiona Macpherson,Taxonomising the Senses,2011
COOITS-2,Ed Cooke and Erik Myin,Is Trilled Smell Possible? How the Structure of Olfaction Determines the Phenomenology of Smell,2011
STOTDO-4,Dustin Stokes and Stephen Biggs,The Dominance of the Visual,2014
BIGPAI,Dustin Stokes and Mohan Matthen and Stephen Biggs,Perception and its Modalities,2014
BAYICM,Tim Bayne and Charles Spence,Is Consciousnes Multisensory?,2014
DAMAES-3,Justin D'Ambrosio,An Empirical Solution to the Puzzle of Macbeth?s Dagger,2022
GRAPPA-3,Richard Gray,"Pain, Perception and the Sensory Modalities: Revisiting the Intensive Theory",2014
ACKANH,Diane Ackerman,A Natural History of the Senses,1990
HOCAIB,Gregor Hochstetter,Attention in Bodily Awareness,2016
OCANAP,Casey O'Callaghan,Not All Perceptual Experience is Modality Specific,2014
BROSER,C. D. Broad,Some Elementary Reflexions on Sense-Perception,1952
CONMSO-2,Kevin Connolly,Making Sense of Multiple Senses,2013
RICBSA-3,Louise Richardson,Bodily Sensation and Tactile Perception,2011
OCABVP,Casey O'Callaghan,Beyond Vision: Philosophical Essays,2017
ARAFSD,Alejandro Arango,From Sensorimotor Dependencies to Perceptual Practices: Making Enactivism Social,2018
BAYTMN-3,Tim Bayne,The Multisensory Nature of Perceptual Consciousness,2014
GREBAD-3,E. J. Green,Binding and Differentiation in Multisensory Object Perception,2019
KIVSTS,Julian Kiverstein and Mirko Farina and Andy Clark,Substituting the Senses,2015
LIUPOM-3,Michelle Liu,Paintings of Music,2022
NUDTSA,Matthew Nudds,The Senses as Psychological Kinds,2011
MACTSO-22,Fiona Macpherson,The Space of Sensory Modalities,2014
DERBVT,Ophelia Deroy and Malika Auvray,Beyond Vision: The Vertical Integration of Sensory Substitution Devices,2014
GRAOTC,Richard Gray,On the Concept of a Sense,2005
MACSSA-16,Fiona Macpherson,Sensory Substitution and Augmentation: An Introduction,2018
HOPMQ,Robert Hopkins,Molyneux?s Question,2005
SAUFS-2,Martina Sauer,"Faszination - Schrecken. Zur Handlungsrelevanz \""{A}sthetischer Erfahrung Anhand Anselm Kiefers Deutschlandbilder",2018
GRAHBP,Richard Gray,How Bodily Perception Parallels Distal Perception,2024
