ID,Author,Title,Year
DALAST-2,William D?Alessandro,"Arithmetic, Set Theory, Reduction and Explanation",2018
ANTUAE-2,Carolin Antos and Neil Barton and Sy{-}David Friedman,Universism and Extensions of V,2021
Duggan2022-EBEONI,Sean C. Ebels{-}Duggan,On Number-Set Identity: A Study,2022
FRETOI,Alfredo Roque Freire and Rodrigo de Alvarenga Freire,The Ontological Import of Adding Proper Classes,2019
CROSTC,Laura Crosilla,Set Theory: Constructive and Intuitionistic Zf,2010
PENAMM-2,Vasil Penchev,A Mathematical Model of Quantum Computer by Both Arithmetic and Set Theory,2020
PENTHO-3,Vasil Penchev,"The Homeomorphism of Minkowski Space and the Separable Complex Hilbert Space: The Physical, Mathematical and Philosophical Interpretations",2021
BJRTIO,Frode Bj\o{}rdal,The Inadequacy of a Proposed Paraconsistent Set Theory,2011
ANTCOI-3,Carolin Antos,Conceptions of Infinity and Set in Lorenzen?s Operationist System,2004
PENCIA-2,Vasil Penchev,"Choice, Infinity, and Negation: Both Set-Theory and Quantum-Information Viewpoints to Negation",2020
PEN-23,Vasil Penchev,\CYRP\cyra\cyrr\cyra\cyrd\cyro\cyrk\cyrs\cyrhrdsn\cyrt \CYRN\cyra \CYRS\cyrk\cyru\cyrl\cyre\cyrm \CYRI \CYRK\cyrv\cyra\cyrn\cyrt\cyro\cyrv\cyra\cyrt\cyra \CYRI\cyrn\cyrf\cyro\cyrr\cyrm\cyra\cyrc\cyri\cyrya. \CYRO\cyrt\cyrn\cyro\cyrs\cyri\cyrt\cyre\cyrl\cyrn\cyro\cyrs\cyrt \CYRN\cyra \CYRP\cyrhrdsn\cyrl\cyrn\cyro\cyrt\cyra \CYRP\cyro \CYRG\cyrsftsn\cyro\cyrd\cyre\cyrl,2011
PEN-21,Vasil Penchev,\CYRN\cyre\cyrr\cyra\cyrz\cyrr\cyre\cyrsh\cyri\cyrm\cyro\cyrs\cyrt \CYRN\cyra \CYRP\cyrhrdsn\cyrr\cyrv\cyra\cyrt\cyra \CYRT\cyre\cyro\cyrr\cyre\cyrm\cyra \CYRZ\cyra \CYRN\cyre\cyrp\cyrhrdsn\cyrl\cyrn\cyro\cyrt\cyra\cyrt\cyra. \CYRG\cyrsftsn\cyro\cyrd\cyre\cyrl\cyro\cyrv\cyra \CYRI \CYRH\cyri\cyrl\cyrb\cyre\cyrr\cyrt\cyro\cyrv\cyra \CYRM\cyra\cyrt\cyre\cyrm\cyra\cyrt\cyri\cyrk\cyra,2010
PENANR,Vasil Penchev,"A New Reading and Comparative Interpretation of G\""{o}del?s Completeness (1930) and Incompleteness (1931) Theorems",2016
ULILOP,Boris \v{C}ulina,Logic of Paradoxes in Classical Set Theories,2013
CHRGEA,Arkadiusz Chrudzimski,"Gestalt, Equivalency, and Functional Dependency. Kurt Grelling?s Formal Ontology",2013
CROCOT-10,Laura Crosilla and Andrea Cantini,Conservativity of Transitive Closure Over Weak Operational Set Theory,2012
GREDAD-3,Kurt Grelling,"Die Axiome der Arithmetik MIT Besonderer Ber\""{u}cksichtigung der Beziehungen Zur Mengenlehre",1910
BARICO-5,Neil Barton,Iterative Conceptions of Set,manuscript
BAZOTC,Andr\'e Bazzoni,On the Concepts of Function and Dependence,2015
PERLDD-3,Tommaso Perrone,"La Dinamica Delle Teorie Scientifiche. Strutturalismo Ed Interpretazione Logico-Formale Dell?Epistemologia di Kuhn, with a Preface of C. Ulises Moulines",2012
