ID,Author,Title,Year
PIKSFA,Jon Pike,"Safety, Fairness, and Inclusion: Transgender Athletes and the Essence of Rugby",2021
SAITAI-3,Pam R. Sailors,Transgender and Intersex Athletes and the Women?s Category in Sport,2020
TORBPE,Cesar R. Torres and Francisco Javier Lopez Frias and Mar\'{i}a Jos\'e Mart\'{i}nez Pati\~{n}o,"Beyond Physiology: Embodied Experience, Embodied Advantage, and the Inclusion of Transgender Athletes in Competitive Sport",2020
MAROCI-2,Irena Mart\'{i}nkov\'a,Open Categories in Sport: One Way to Decrease Discrimination,2020
HOWATN,Leslie A. Howe,"Altering the Narrative of Champions: Recognition, Excellence, Fairness, and Inclusion",2020
MARUSC-3,Irena Mart\'{i}nkov\'a,Unisex Sports: Challenging the Binary,2020
SCHGWB-4,Angela Schneider,"Girls Will Be Girls, in a League of Their Own ? the Rules for Women?s Sport as a Protected Category in the Olympic Games and the Question of ?Doping Down?",2020
TEEAIE,Sarah Teetzel,Allyship in Elite Women?s Sport,2020
DELEAC-6,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a Carlos Reymer. Instructor de Taekwondo (1st edition),2024
DELETY-2,Jes\'{u}s Miguel Delgado Del Aguila,El Taekwondo y la Gimnasia Art\'{i}stica: Dos Deportes Que Buscan El Efecto Sorpresivo. Entrevista a Diego Torrealva (1st edition),2024
TAKGVI,Mizuho Takemura,Gender Verification Issues in Women?s Competitive Sports: An Ethical Critique of the Iaaf Dsd Regulation,2020
DELJDH-2,Jes\'{u}s Miguel Delgado Del Aguila,La Revaloraci\'{o}n de la Pr\'{a}ctica Del Boxeo y Los \'{O}ptimos Resultados En la Cultura Peruana. Entrevista Al Campe\'{o}n de Boxeo Jonathan Maicelo (1st edition),2024
ENGEWA,Colleen English,Elite Women Athletes and Feminist Narrative in Sport,2020
REIPOW,Heather Reid,Plato on Women in Sport,2020
SCHWIS-12,Angela Schneider,Women in Sport,2020
REIHPA-5,Heather Reid,Heroic Parthenoi and the Virtues of Independence: A Feminine Philosophical Perspective on the Origins of Women?s Sport,2020
WEICPO-9,Peg Brand Weiser,Changing Perceptions of Beautiful Bodies: The Athletic Agency Model,2022
WEIMAN-5,Peg Brand Weiser and Edward Weiser,Misleading Aesthetic Norms of Beauty: Perceptual Sexism in Elite Women's Sports,2016
MCCSOF-3,Sandra McCalla,Sexism or Fair Play,2019
