ID,Author,Title,Year
DUNHAT-4,Robb Dunphy,Hegel and the Problem of Beginning: Scepticism and Presuppositionlessness,2022
ARETRH,Kelly Arenson,The Routledge Handbook of Hellenistic Philosophy,2020
OKEAOI-2,Tim O'Keefe,"Anaxarchus on Indifference, Happiness, and Convention",2020
VERCAE-2,M\'{a}t\'e Veres,Conceivability and Expert Inference: Two Hellenistic Perspectives,2023
VERSEO-2,Mate Veres,Sextus Empiricus on Religious Dogmatism,2020
VERKCA,M\'{a}t\'e Veres,Keep Calm and Carry On: Sextus Empiricus on the Origins of Pyrrhonism,2020
BULTCO-3,Joseph B. Bullock,The Challenges of the Modes of Agrippa,2016
VERHTR,Mate Veres,How to Resist Musical Dogmatism: The Aim and Methods of Pyrrhonian Inquiry in Sextus Empiricus' Against the Musicologists (Math. 6),2020
DUNSAT-10,Robb Dunphy,Sextus and the Nature of Suspension,2023
BYRTPP,Jeremy Byrd,The Practical Price of Pyrrhonism,2023
NAWPST,Tamer Nawar,"Pyrrhonian Scepticism, the Infinite Regress of Reasons, and Ancient Infinitism",2023
NERPUS,Zbigniew Nerczuk,Protagoras U Sekstusa Empiryka (Ph I 216) a Plato\'{n}ski Teajtet ( Sextus' Account on Protagoras in Outlines of Pyrrhonism [Ph I 216] and its Relation to Plato's Theaetetus),2007
LANPCC-2,Joshua Landy,"Passion, Counter-Passion, Catharsis: Flaubert (and Beckett) on Feeling Nothing",2007
VERTCO-22,Mate Veres,The Causes of \emph{Epoch\={e}},2016
VAZEMY,Daniel Vazquez,"Escepticismo, Metaf\'{i}sica y Argumentaci\'{o}n. Estudios Sobre Filosof\'{i}a Griega Antigua",2023
MATAAA-9,Josef Mattes,Acting as a Pyrrhonist,2022
PINSAN-2,Rodrigo Pinto de Brito,"Sobre a No\c{c}~{a}o de Linguagem Subjacente Ao Ceticismo Pirr\^{o}nico Sextiano: Um Estudo Do Livro I de Esbo\c{c}os Pirr\^{o}nicos, de Sexto Emp\'{i}rico, Acompanhado de Tradu\c{c}~{a}o e de Uma Investiga\c{c}~{a}o Te\'{o}rico-Metodol\'{o}gica",2024
WHIROM-3,F. C. White,Review Of: M Burnyeat and M Frede (Eds) the Original Sceptics: A Controversy,2001
