ID,Author,Title,Year
MELWDI,Filipa Melo Lopes,What Do Incels Want? Explaining Incel Violence Using Beauvoirian Otherness,2023
NEUPAD-2,Eleonore Neufeld,Pornography and Dehumanization: The Essentialist Dimension,2020
MELMDN-2,Filipa Melo Lopes,Misogynistic Dehumanization,forthcoming
HALSAS-12,Raja Halwani,Sex and Sexuality,2018
LOPPTP,Filipa Melo Lopes,Perpetuating the Patriarchy: Misogyny and (Post-)Feminist Backlash,2019
HALCSP,Raja Halwani,"Casual Sex, Promiscuity, and Objectification",2017
MARTEO-6,Patricia Marino,The Ethics of Sexual Objectification: Autonomy and Consent,2008
ROBOAV,Alice Roberts,Objectification and Vision: How Images Shape Our Early Visual Processes,2021
TAYSYS,Robert S. Taylor,Selling Yourself Short? Self-Ownership and Commodification,2023
STEPAO-8,Nils{-}Hennes Stear,Personification and Objectification,2024
MORWMA-3,Robert Morgan,What Makes an Attack Sexual?,2021
LOPIVA,Filipa Melo Lopes,Incel Violence and Beauvoirian Otherness,2024
ANDOAS,Scott Anderson,Objectification: A 21St Century Reassessment,2013
HADSPE,John Hadley,Street Photography Ethics,2022
MOSFSO,Claudia Moscovici,From Sex Objects to Sexual Subjects,1996
KINSHE,Jasmin Bleimling and Adrian Kind,Stalag Holocaust-Pornografie. Eine Psychoanalytische Betrachtung der Transformationen des Traumas Im Schatten des Eichmann-Prozesses in den 1960Er Jahren in Israel,2015
DILSOA,M. C. Dillon,Sex Objects and Sexual Objectification: Erotic Versus Pornographic Depiction,1998
COLEOP,Rory Collins,Effects of Porn: A Critical Analysis,2019
THETSO-6,Shirah Theron,The Subjectivity of Sex(Ual Inclusion) (1st edition),2021
KLYDOM,Oksana Klymchuk,Discourse of Male Erotomania in Knut Hamsun?s Pan,2017
THEPCA,Shirah Theron,Pornography Conceptualised as an Addictive Substance,2023
BRAOOA-3,Shoshana Brassfield,"""Overcoming Objectification: A Carnal Ethics,"" by Ann J. Cahill",2012
MIKNBR-2,Mari Mikkola,"Nancy Bauer: Review of How to Do Things with Pornography: Cambridge, Ma: Harvard University Press, 978?0?674?05520?9, 211 Pp, Hardback ? 31,50",2016
