ID,Author,Title,Year
NEWSAC,David Newheiser,Sexuality and Christian Tradition,2015
MIGPU,Damiano Migliorini,\`E Possibile Una Teologia Del Genere? Antropologia e Morale Alla Prova Della Postmodernit\`a (?e Del ?Gender?),2018
MIGGFT,Damiano Migliorini,"Gender, Filosofie, Teologie. La Complessit\`a Contro Ogni Ideologia",2017
PRELBL,Alejandro P\'{e}rez,"La Bible, L?Homosexualit\'e Et les Sciences Cognitives: Vers Une Approche Interdisciplinaire de L?Homosexualit\'e",2020
PREHES,Alejandro P\'{e}rez,"La Bible, l'Homosexualit\'e Et les Sc. Cog.",manuscript
SnyderManuscript-HOWTFO-3,Daniel Howard{-}Snyder,The Fellowship of Confessing Anglicans: Should Conservative Anglicans Sign Up?,
MIGSDT,Damiano Migliorini,"Segni Dei Tempi, Sinodalit\`a, ""Gender""",2019
SATCDA,Mark Satta,Commercial Discrimination as Religious Messaging in 303 Creative V. Elenis,2024
LUTTCC-4,David W. Lutz,"The Catholic Church, the American Military, and Homosexual Reorientation Therapy",2004
HOWTHA-5,A. A. Howsepian,Treating Homosexuality: A Response to Yarhouse,2004
HIEAWR-3,Robert W. Hierholzer,Are We Ready for Sexual Reorientation Therapy in the U.S. Military? A Response to David W. Lutz,2004
BAUHWT,Dominique Bauer,Homosexuality Within the Context of Social Institutionalisation and Moral Sense,2006
DAVRGA,Dena S. Davis,"Religion, Genetics, and Sexual Orientation: The Jewish Tradition",2008
KIRPFT,David G. Kirchhoffer and Natalie Lindner L?Huillier,Preparing for the Synod on the Family,2014
BENCBR,Michael Benoit,Conflict Between Religious Commitment and Same-Sex Attraction: Possibilities for a Virtuous Response,2005
VISSAS-2,Robert K. Vischer,Subsidiarity as Subversion,2005
DYNHAR,Wayne R. Dynes and Stephen Donaldson,Homosexuality and Religion and Philosophy,1992
KROHMA,John D. Kronen and Eric H. Reitan,"Homosexuality, Misogyny, and God?s Plan",1999
BLAEG,Ralph Blair,Ethics \& Gay Christians,1982
WALPRL,Greg Walker,Public Reason Liberalism and Sex-Neutral Marriage,forthcoming
RICAAA-6,Cristina Richie,An Argument Against the Use of the Word ?Homosexual? in English Translations of the Bible,2010
CLAADC,John Michael Clark,A Defiant Celebration: Theological Ethics \& Gay Sexuality,1990
CROPAO,S. Crown,Psychosocial Aspects of Homosexuality,1980
PLAECF,Thomas G. Plante,Ethical Considerations for Psychologists Screening Applicants for the Priesthood in the Catholic Church: Implications of the Vatican Instruction on Homosexuality,2007
SMIHAT-21,Trevor Smith,Homosexuality and the Bible,2006
ALFBAC,Andi Alfian,Buddhism and Confucianism on Homosexuality: The Acceptance and Rejection Based on the Arguments of Religious Texts,2022
OKEHIF,Onyenuru OkechukwuP,Homosexuality in Friedrick Nietzsche?s Moral Relativism.,manuscript
ANDCBS,Per Anderson,"Christian Batalden Scharen, Married in the Sight of God: Theology, Ethics and Church Debates Over Homosexuality",2003
