ID,Author,Title,Year
NAGSP,Thomas Nagel,Sexual Perversion,1969
SOBKAS,Alan Soble,Kant and Sexual Perversion,2003
HALSAS-12,Raja Halwani,Sex and Sexuality,2018
PRISP,Graham Priest,Sexual Perversion,1997
MILOTC-3,Kristie Miller,On the Concept of Sexual Perversion,2010
GRASAS,Robert Gray,Sex and Sexual Perversion,1978
COMQAS,Rebecca Comay,Adorno Avec Sade,2006
JONPOT-10,Steve Jones,"Porn of the Dead: Necrophilia, Feminism, and Gendering the Undead",2011
WEBS-10,Jonathan Webber,Sex,2009
ORSSSJ,Francesco Orsi,"Seks, Surm Ja Perverssus [Sex, Death and Perversion]",2019
VANTSO-9,Russell Vannoy,The Structure of Sexual Perversity,2000
HUMSPA-2,James M. Humber,Sexual Perversion and Human Nature,1987
FRASDA-2,Francis Williamson,"Sex, Disorder and Perversion",2004
ROUODS,Elisabeth Roudinesco,Our Dark Side: A History of Perversion,2009
HOFPS-3,Sarah Hoffman,"Perversion, Sexual",2006
KREFEA,Dgp Kreps,"Foucault, Exhibitionism and Voyeurism on Chatroulette",2010
