ID,Author,Title,Year
FLES-7,Barrie Fleet,Simplicius,2014
HARSOT-20,Orna Harari,Simplicius on the Reality of Relations and Relational Change,2009
BOWSAT,Alan C. Bowen,Simplicius and the Early History of Greek Planetary Theory,2002
BARSCH,Rachel Barney,"Simplicius: Commentary, Harmony, and Authority",2009
BOWSOT-2,Alan C. Bowen,Simplicius on the Planets and Their Motions: In Defense of a Heresy,2012
BLUSAT-3,H. J. Blumenthal and A. C. Lloyd,"Soul and the Structure of Being in Late Neoplatonism. Syrianus, Proclus and Simplicius",1983
RISTEO-5,John M. Rist,The End of Aristotle's on Prayer,1985
DEHPOL,F. A. J. De Haas,Priscian of Lydia and Pseudo-Simplicius on the Soul,2010
BLUTPO-3,H. J. Blumenthal,The Psychology of (?) Simplicius' Commentary on the de Anima,1982
SHOOSD,Paul Shorey,"On Simplicius \emph{de Caelo}, 476, 11 \emph{Sqq.}",1905
MAYMAS,John E. B. Mayor,Musonius and Simplicius,1903
CORLAY,N\'{e}stor Luis Cordero,La Aristotelizaci\'{o}n y Platonizaci\'{o}n de Parm\'{e}nides Por Simplicio,2020
GURPOT-18,S. J. Gurtler and Daniel P. Maher,Proceedings of the Boston Area Colloquium in Ancient Philosophy: Volume Xxxv,2020
SMIDK-2,Andrew Smith,"David Konstan : Simplicius on Aristotle, Physics 6 . Pp. V + 181. London: Duckworth, 1989. \pounds19.95",1990
MILATI-5,Chiara Militello,Aristotle?s Topics in the Greek Neoplatonic Commentaries on the Categories,2014
ZAHECD-2,Joh Zahlfleisch,Einige Corollarien des Simplicius in Seinem Commentar Zu Aristoteles? Physik . I. P. 1129--1152,1902
HANTNH,Wayne Hankey,Thomas' Neoplatonic Histories: His Following of Simplicius,2002
FARFAT-2,B. Farrington,From Aristotle to Philoponus,1963
ZAHXDP,Zahlfleisch,X. Die Polemik des Simplicius Gegen Alexander Und Andere in Dem Conmentar des Ersteren Zu der Aristotelischen Schrift de Coelo,1897
