ID,Author,Title,Year
KRINAN,Saul A. Kripke,Naming and Necessity: Lectures Given to the Princeton University Philosophy Colloquium,1980
EVATVO,Gareth Evans,The Varieties of Reference,1982
ALMTFK,Joseph Almog and John Perry and Howard Wettstein,Themes From Kaplan,1989
SOABRT,Scott Soames,Beyond Rigidity: The Unfinished Semantic Agenda of Naming and Necessity,2002
HAWTRB,John Hawthorne and David Manley,The Reference Book,2012
KRIJLL,Saul A. Kripke,Reference and Existence: The John Locke Lectures,2013
PERRAR-11,John Perry,Reference and Reflexivity,2001
CRITAB,Mark Crimmins,Talk About Beliefs,1992
MERP-13,Trenton Merricks,Propositions,2015
INGP-7,David Ingram and Jonathan Tallant,Presentism,2022
WILNE,Timothy Williamson,Necessary Existents,2002
JESSTA,Robin Jeshion,"Singular Thought: Acquaintance, Semantic Instrumentalism, and Cognitivism",2010
PLAOE,Alvin Plantinga,On Existentialism,1983
GILPOP,Cody Gilmore,Parts of Propositions,2014
JESNEO,Robin Jeshion,New Essays on Singular Thought,2010
SALSCQ,Nathan Salm\'{o}n,Singular Concepts,2024
INGTP-7,David Ingram,"Thisness Presentism: An Essay on Time, Truth, and Ontology",2018
OPERIR,James Openshaw and Kourken Michaelian,Reference in Remembering: Towards a Simulationist Account,2024
MARPT-9,M. G. F. Martin,Particular Thoughts \& Singular Thought,2002
JAGHP,Mark Jago,Hyperintensional Propositions,2015
CRAST-3,Tim Crane and Jody Azzouni,Singular Thought,2011
INGTVO,David Ingram,The Virtues of Thisness Presentism,2016
ROBTAT-3,Robert Merrihew Adams,Time and Thisness,1986
RECSTI-2,Francois Recanati,Singular Thought: In Defense of Acquaintance,2010
GOOHLA-2,Jeremy Goodman,Higher-Order Logic as Metaphysics,2024
FRIPC-2,Peter Fritz,Propositional Contingentism,2016
UNNTAA,Elmar Unnsteinsson,Talking About: An Intentionalist Theory of Reference,2022
MASPCA-6,Christopher James Masterman,Propositional Contingentism and Possible Worlds,2022
INGTPA-4,David Ingram,"Thisnesses, Propositions, and Truth",2018
SAWCAN,Sarah Sawyer,Cognitivism: A New Theory of Singular Thought?,2012
KLEMAL,Shieva Kleinschmidt,Mereology and Location,2014
SCHNAK-2,Stephen Schiffer,Naming and Knowing,1977
GLIWIA,Ephraim N. Glick,What is a Singular Proposition?,2018
SOAS,Scott Soames,Substitutivity,1987
SOABSP,Scott Soames,Beyond Singular Propositions?,1995
UNNRIA,Elmar Unnsteinsson,Referential Intentions: A Response to Buchanan and Peet,2018
WETTMP,Howard K. Wettstein,The Magic Prism: An Essay in the Philosophy of Language,2004
PLATBC,Alvin Plantinga,The Boethian Compromise,1978
BACGAT,Kent Bach,Getting a Thing Into a Thought,2010
TILPAP-4,Chris Tillman and Gregory Fowler,Propositions and Parthood: The Universe and Anti-Symmetry,2012
UNNCIC-2,Elmar Unnsteinsson,Confusion is Corruptive Belief in False Identity,2016
UNNFPI,Elmar Unnsteinsson,Frege?s Puzzle is About Identity After All,2019
TAYOS,Kenneth Taylor,On Singularity,2010
FITSP,Greg Fitch,Singular Propositions,2008
BVEADT,Arvid B\a{a}ve,A Deflationary Theory of Reference,2009
YATTAF,David Yates,Three Arguments for Humility,2018
SPEOPN,Jeff Speaks,On Possibly Nonexistent Propositions,2012
Carpintero2008-GARSTA-4,Manuel Garc\'{i}a{-}Carpintero,Singular Thought and the Contingent a Priori,2008
HARHTU,Gilbert Harman,How to Use Propositions,1977
MURSTO,Michael Murez and Joulia Smortchkova,"Singular Thought: Object-Files, Person-Files, and the Sortal Person",2014
MARTEO,Genoveva Marti,The Essence of Genuine Reference,1995
ATKTVO-3,Philip Atkins,The Varieties of Russellianism,forthcoming
SHIDRF,David Shier,Direct Reference for the Narrow Minded,2017
CZEOCP-2,Tadeusz Cze\.{z}owski,On Certain Peculiarities of Singular Propositions,1955
PROROS,Ian Proops,Russell on Substitutivity and the Abandonment of Propositions,2011
SALOD,Nathan Salmon,On Designating,2005
BVEAPD,Arvid B\a{a}ve,A Pragmatic Defense of Millianism,2008
PROWOT,Ian Proops,Wittgenstein on the Substance of the World,2004
SCHATA-9,Anders J. Schoubye,Against the Argument From Convention,2012
CAROSP-2,Richard L. Cartwright,On Singular Propositions,1997
HODRCH-2,Thomas Hodgson,Russellians Can Have a No Proposition View of Empty Names,2017
MENSPA,Christopher Menzel,Singular Propositions and Modal Logic,1993
BEAAII-2,George Bealer,An Inconsistency in Direct Reference Theory,2004
JESITN,Robin Jeshion,Introduction to New Essays on Singular Thought,2010
STEAAF-5,Yannis Stephanou,An Argument for Existentialism,2020
ZALSPA,Edward N. Zalta,"Singular Propositions, Abstract Constituents, and Propositional Attitudes",1989
SALFMT,Nathan Salm\'{o}n,From Modality to Millianism,forthcoming
HODTSO-5,Thomas Hodgson,The Structure of Content is Not Transparent,2017
DAVDRA,Matthew Davidson,Direct Reference and Singular Propositions,2000
SPEUE,Joshua Spencer,Unnecessary Existents,2013
GEISTC-3,Heimir Geirsson,"Singular Thought, Cognitivism, and Conscious Attention",2018
MCGPSA,Michael McGlone,Propositional Structure and Truth Conditions,2012
MERSP,Trenton Merricks,Singular Propositions,2011
BVEPFR,Arvid B\a{a}ve,Problems for Russellian Act-Type Theories,forthcoming
VOLIIM-2,Alberto Voltolini and Elisabetta Sacchi,To Think is to Have Something in One?s Thought,2012
OPPSOT,Graham Oppy,Salmon on the Contingent a Priori and the Necessary a Posteriori,1994
FITSPI,G. W. Fitch,Singular Propositions in Time,1994
CHOSPN,Lopamudra Choudhury and Mihir Kumar Chakraborty,"Singular Propositions, Negation and the Square of Opposition",2016
