ID,Author,Title,Year
NGUVCH,Christopher Nguyen,Value Capture,2024
MATEAA-10,Jonathan Matheson,Epistemic Autonomy and Intellectual Humility: Mutually Supporting Virtues,2024
BENTEO-46,Matthew A. Benton,The Epistemology of Interpersonal Relations,2024
Brehier2024-STATPO-88,Alexios Stamatiadis{-}Br\'{e}hier,The Power of Second-Order Conspiracies,2024
Taylor2024-CAVDAS,Dan Cavedon{-}Taylor,Deepfakes: A Survey and Introduction to the Topical Collection,2024
DOAFEA,Michael D. Doan,Feminist Epistemology and Social Epistemology: Another Uneasy Alliance (1st edition),2024
RYASEW,Shane Ryan and S. Orestis Palermos and Mirko Farina,Smart Environments,2024
WESPIE-3,Mason Westfall,Polarization is Epistemically Innocuous,2024
MARDAA-19,Berislav Maru\v{s}i\'c and Stephen J. White,Disagreement and Alienation,2023
NAGRCA-2,Jennifer Nagel,"Reflection, Confabulation, and Reasoning",forthcoming
SCHSWR-5,Sebastian Schmidt,Should We Respond Correctly to Our Reasons?,forthcoming
DAVCTP-5,Emmalon Davis,Challenging the Pursuit of Novelty,2023
GRADDR,Peter Graham,Deception Detection Research: Some Lessons for Epistemology,forthcoming
PEDOTS-2,Mette Marie Pedersen and Asbj\o{}rn Steglich{-}Petersen,On the Social Epistemology of Psychedelic Experience,forthcoming
MUNWTN,Lauritz Munch,Why the Nsa Didn?T Diminish Your Privacy but Might Have Violated Your Right to Privacy,forthcoming
RANEBA,Finlay Malcolm and Christopher Ranalli,Extreme Beliefs and Echo Chambers,forthcoming
BUCAEM-2,Daniel Buckley,Against Evidential Minimalism: Reply to Hofmann,forthcoming
KOPIBA,Felix Kopecky and Gregor Betz,Inconsistent Belief Aggregation in Diverse and Polarised Groups,forthcoming
SIVAEA,Jevgenija Sivoronova and Aleksejs Vorobjovs and Vit\={a}lijs Ra\v{s}v{c}evskis,Academics? Epistemological Attitudes Towards Academic Social Networks and Social Media,2024
JGEFAN,"Christoph J\""{a}ger",False Authorities,forthcoming
SCHEBH-2,Lukas Schwengerer,Epistemic Bystander,forthcoming
MUNITS-2,Daniel Munro,Internet Trolling: Social Exploration and the Epistemic Norms of Assertion,forthcoming
TRAIFT,Marina Trakas,'I Forgot That You Existed': Making People Responsible for Their Memories,2024
KITEEA,Eve Kitsik,Epistemic Environmentalism and Autonomy: The Case of Conceptual Engineering,forthcoming
NERIIT-2,Nancy J. Nersessian,Interdisciplinarity in the Making: Models and Methods in Frontier Science,2022
DAOLIE,Marc{-}Kevin Daoust,Les Invisibles Et les Inaudibles de L'Ing\'{e}nierie,manuscript
OKWKAS,Chrysogonus M. Okwenna,Knowledge and Society: A Comprehensive Approach to Social Epistemology,2023
CODOEC,Cody Turner,"Online Echo Chambers, Online Epistemic Bubbles, and Open-Mindedness",2023
EICATB,Gen Eickers,Approaches to Blushing: Context Matters,2022
VIDRKI,Ilya Vidrin,Responsible Knowing in Dance Partnering,2023
PONEHI-2,Francesca Pongiglione,Epistemic Hubris,forthcoming
ARAIAC,Alejandro Arango,Ignorance and Cultural Diversity: The Ethical Obligations of the Behavior Analyst,2023
DOTIPH,Kristie Dotson,Inheriting Patricia Hill Collins?s Black Feminist Epistemology,2015
ARATSI-4,Alejandro Arango and Adam Burgos,The Social Identity Affordance View: A Theory of Social Identities,2024
SPITEI-2,Thomas J. Spiegel,The Epistemic Injustice of Epistemic Injustice,2022
KELCPB,Thomas Kelly,Can Prejudiced Beliefs Be Rational?,2024
DELWOI,Finnur Dells\'{e}n,We Owe It to Others to Think for Ourselves,2021
KARGPE,Jasenko Karovic?,Geneza Postmoderne Epistemologije,2022
MATCAE-5,Taylor Matthews,\emph{Corrupted: An Essay on Intellectual Character and Epistemic Vice},2023
VILESD,Alex Villas Boas,Epistemologias Sul-Sul: Do Mar Que Nos Separa a?s Pontes Que Nos Unem,2022
GRICB-3,Jumbly Grindrod,Computational Beliefs,2019
SPICSM-3,Thomas J. Spiegel,Cringe,2023
VANWKW-2,Floris van den Berg,Wokabulary: Kritisch Wokewoordenboek,2022
BRSDOB,"Peter Br\""{o}ssel and Anna{-}Maria Asunta Eder",Disagreement,forthcoming
ILYTKS,Kasavin Ilya T.,The Knowledge Society: Migration Discourse Captured by Capital,2024
THOZHO,Roberto Thomas Arruda,????:????,2024
MCBENA,Lee A. Mcbride Iii,Epistemology Naturalized and the Conceptual Systems in the Cupboard,manuscript
DAVCCA-14,Maria del Guadalupe Davidson and Kirsten Edwards,College Curriculum at the Crossroads: Women of Color Reflect and Resist,2017
