ID,Author,Title,Year
HASRIA-4,Sally Haslanger,"Racism, Ideology, and Social Movements",2017
HASWIA-2,Sally Haslanger,What is a Social Practice?,2018
QUADWC,Anne Quaranto,"Dog Whistles, Covertly Coded Speech, and the Practices That Enable Them",2022
RIGAVA,Nick Riggle,Aesthetic Value and the Practice of Aesthetic Valuing,2024
Sehr2022-SALCWO,Jules Salomone{-}Sehr,Cooperation: With or Without Shared Intentions,2022
SHOTDO-8,Elizabeth Shove,The Dynamics of Social Practice: Everyday Life and How It Changes,2012
MCTMEA,Emily McTernan,"Microaggressions, Equality, and Social Practices",2017
VANWIS-3,Han van Wietmarschen,What is Social Hierarchy?,2021
Seaver2023-MARPBA-7,Madeline Martin{-}Seaver,Personal Beauty and Personal Agency (1st edition),2023
BIAICA-2,Matteo Bianchin,"Ideology, Critique, and Social Structures",2021
STAIC-4,Titus Stahl,Immanent Critique,2021
FLEEPA,Will Fleisher,Epistemic Practices: A Unified Account of Epistemic and Zetetic Normativity,forthcoming
SIMTCC-8,Robert Mark Simpson,The Conversational Character of Oppression,2021
Sehr2024-SALHTB-2,Jules Salomone{-}Sehr,How to Be Minimalist About Shared Agency,2024
HINNTM,Frank Hindriks,Norms That Make a Difference: Social Practices and Institutions,2019
ANDAEC-6,Derek Anderson,An Epistemological Conception of Safe Spaces,2021
CROSAG-3,Anthony Cross,Social Aesthetic Goods and Aesthetic Alienation,forthcoming
GILSCR,Margaret Gilbert,Social Convention Revisited,2008
REISGA-2,Indrek Reiland,Squid Games and the Lusory Attitude,2022
MAROC,Andrei Marmor,On Convention,1996
HUETPO-10,Wolfgang Huemer,Two Pillars of Institutions: Constitutive Rules and Participation,2021
LAWSNA,John Lawless,Social Norms and Social Practices,2023
HENN-3,David Henderson,Norms,2012
CULTGP,Carolyn Culbertson,"The Genuine Possibility of Being-With: Watsuji, Heidegger, and the Primacy of Betweenness",2019
ZACWAW,Vojt\v{e}ch Zachn\'{i}k,When and Why Conventions Cannot Be Social Institutions,2020
GIUHFH,Giulia Codognato,"Human Flourishing, Human Nature, and Practices: Macintyre?s Ethics Still Requires a More Thomistic Metaphysics",2024
SADCRU,Brook J. Sadler,"Collective Responsibility, Universalizability, and Social Practices",2007
JANCAS-5,Marija Jankovic and Kirk Ludwig,Conventions and Status Functions,2022
NGUTAH-2,C. Thi Nguyen,The Aesthetic Homogenization of Cities,2022
ROSCGT,Don Ross,"Classical Game Theory, Socialization and the Rationalization of Conventions",2008
MARCAP-7,Carol C. Gould,Constructivism and Practice: Toward a Historical Epistemology,2002
OYOTMO,Oritsegbubemi Anthony Oyowe,The Making of Ancestral Persons,2022
RACCIC,Matthew Rachar and Jules Salomone,Collective Intentions,2017
GEROAV,Eline Gerritsen,Onconventionele Aandacht Voor Conventionele Normen,2023
QUIEAT-4,Christopher Quintana,Ethics at the Intersection: Human-Centered Ai \& User Experience Design,forthcoming
COHACA-4,Andrew Jason Cohen,A Conceptual and (Preliminary) Normative Exploration of Waste,2010
HORTRF-3,"S\""{a}de Hormio",Taking Responsibility for Climate Change,2024
WEICAS-2,Paul Weirich,Conventions and Social Institutions,1989
MARTSO-110,Laura Martin,The Social Ontology of Systemic Oppression,2020
EICSAS-3,Gen Eickers,Scripts and Social Cognition: How We Interact with Others (1st edition),forthcoming
MARCPA-3,Maksymilian Del Mar,Concerted Practices and the Presence of Obligations: Joint Action in Competition Law and Social Philosophy,2011
MELRSS-2,Filipa Melo Lopes,"Recognizing Social Subjects: Gender, Disability and Social Standing",2019
RUBCRA,Sebastia?n Figueroa Rubio,"Conventions, Recognition, and the Practical Point of View",2024
MORSGT,Luca Moretti,"Social Goodness: The Ontology of Social Norms. By Charlotte Witt (New York: Oxford University Press, 2023. Pp. Xi + 145. Price \pounds 54.)",forthcoming
TOMAPF,Poljan\v{s}ek Tom,A Philosophical Framework of Shared Worlds and Cultural Significance for Social Simulation,2020
VEGOAW-2,Marga Vega,Once Again What Counts as Art,2016
