ID,Author,Title,Year
DORRPM-3,Kevin Dorst,Rational Polarization (1st edition),2023
PETWIT-6,Uwe Peters,What is the Function of Confirmation Bias?,2022
Dunn2018-QUIADB,Jake Quilty{-}Dunn and Eric Mandelbaum,Against Dispositionalism: Belief in Cognitive Science,2018
BROUIB,Michael Brownstein and Alex Madva and Bertram Gawronski,Understanding Implicit Bias: Putting the Criticism Into Perspective,2020
CURIAN,Devin Sanchez Curry,Interpretivism and Norms,2020
FAZDTA,Sina Fazelpour and Daniel Steel,"Diversity, Trust, and Conformity: A Simulation Study",2022
NEUAET,Eleonore Neufeld,An Essentialist Theory of the Meaning of Slurs,2019
BROTIM-9,Michael S. Brownstein,"The Implicit Mind: Cognitive Architecture, the Self, and Ethics",2018
PORTSO-12,Nicolas Porot and Eric Mandelbaum,The Science of Belief: A Progress Report,forthcoming
ALEBAD-2,Alex Madva,Biased Against Debiasing: On the Role of (Institutionally Sponsored) Self-Transformation in the Struggle Against Prejudice,2017
REIILB,Louisa M. Reins and Alex Wiegmann,"Is Lying Bound to Commitment? Empirically Investigating Deceptive Presuppositions, Implicatures, and Actions",2021
PETIDH-2,Uwe Peters and Nathan Honeycutt and Andreas De Block and Lee Jussim,"Ideological Diversity, Hostility, and Discrimination in Philosophy",2020
BROWDI-4,Michael Brownstein and Alex Madva and Bertram Gawronski,What Do Implicit Measures Measure?,2019
REHMFE,Paul Rehren and Walter Sinnott{-}Armstrong,Moral Framing Effects Within Subjects,2021
ELPTGO,Andreas Elpidorou,The Good of Boredom,2018
WESGTK,Evan Westra,Getting to Know You: Accuracy and Error in Judgments of Character,2019
EVACAT-7,Evan Westra,Character and Theory of Mind: An Integrative Approach,2018
PETIBI-2,Uwe Peters,"Implicit Bias, Ideological Bias, and Epistemic Risks in Philosophy",2018
MADIAS,Alex Madva,Individual and Structural Interventions,2020
FEECVI,Uljana Feest,Construct Validity in Psychological Tests ? the Case of Implicit Social Cognition,2020
DANIDO-10,John Danaher and Steve Petersen,In Defence of the Hivemind Society,2020
EKDSBI-2,David Ekdahl and Susanne Ravn,Social Bodies in Virtual Worlds: Intercorporeality in Esports,2021
DELSCC,Guillermo Del Pinal and Alex Madva and Kevin Https://Orcidorg Reuter,"Stereotypes, Conceptual Centrality and Gender Bias: An Empirical Investigation",2017
REUAEI,Kevin Reuter and Eleonore Neufeld and Guillermo Del Pinal,Asymmetry Effects in Generic and Quantified Generalizations,2023
MCCMCA-4,Emma McClure and Regina Rini,Microaggression: Conceptual and Scientific Issues,2020
BYRWWC,Nick Byrd,What We Can (and Can?T) Infer About Implicit Bias From Debiasing Experiments,2019
PHITNT-2,Ben Phillips,?They're Not True Humans:? Beliefs About Moral Character Drive Denials of Humanity,2022
ANDISI-3,Kristin Andrews and Evan Westra,"If Skill is Normative, Then Norms Are Everywhere",2021
BROSBD-2,Berit Brogaard,Sex by Deception,2022
POTBBP,Nina Poth and Krzysztof Dolega,Bayesian Belief Protection: A Study of Belief in Conspiracy Theories,2023
PUDDTE,Katherine Puddifoot,Dissolving the Epistemic/Ethical Dilemma Over Implicit Bias,2017
ALLSP,F. H. Allport,Social Psychology,1924
CURSS-4,Devin Sanchez Curry,Street Smarts,2021
SAUWIH,Jennifer Saul,What is Happening to Our Norms Against Racist Speech?,2019
LENJAW,Felipe Le\'{o}n,Joint Attention Without Recursive Mindreading: On the Role of Second-Person Engagement,2021
NEUPAD-2,Eleonore Neufeld,Pornography and Dehumanization: The Essentialist Dimension,2020
PETLDI-4,Uwe Peters,Linguistic Discrimination in Science: Can English Disfluency Help Debias Scientific Research?,2023
CHOBLM,Michael Cholbi and Alex Madva,Black Lives Matter and the Call for Death Penalty Abolition,2018
PETHFE,Uwe Peters,Hidden Figures: Epistemic Costs and Benefits of Detecting (Invisible) Diversity in Science,2021
EICCBI,Gen Eickers,Coordinating Behaviors: Is Social Interaction Scripted?,2023
PETCBI,Uwe Peters and Mary Carman,Cultural Bias in Explainable Ai Research,forthcoming
RUCSAE,Zuzanna Rucinska,Social and Enactive Perspectives on Pretending,2019
Berrocal2021-CARTPO-173,Fernando Carter Broncano{-}Berrocal and J. Adam Carter,"The Philosophy of Group Polarization: Epistemology, Metaphysics, Psychology",2021
EICSAS-2,Gen Eickers,Scripts and Social Cognition,2024
KRSFAO,Vladimir Krsti\'c,Fearful Apes or Nervous Goats? Another Look at Functions of Dispositions or Traits,2023
PETAGA-2,Uwe Peters and Ignacio Ojea Quintana,Are Generics and Negativity About Social Groups Common on Social Media? A Comparative Analysis of Twitter (X) Data,2024
GILCFI-2,Paul Gilbert,Compassion: From its Evolution to a Psychotherapy,2020
DAVBON-2,Taylor Davis,Beyond Objectivism: New Methods for Studying Metaethical Intuitions,2021
PETAAF-5,Uwe Peters,An Argument for Egalitarian Confirmation Bias and Against Political Diversity in Academia,2020
DESSAS-3,Hugh Desmond,Service and Status Competition May Help Explain Perceived Ethical Acceptability,2020
MARPPI-9,Colin Marshall,Political Persuasion is \emph{Prima Facie} Disrespectful,forthcoming
KAAATO,Roope Oskari Kaaronen,A Theory of Predictive Dissonance: Predictive Processing Presents a New Take on Cognitive Dissonance,2018
BAUTPF,Bert Baumgaertner and Florian Justwan,"The Preference for Belief, Issue Polarization, and Echo Chambers",2022
MALRAA-5,Ron Mallon,"Racial Attitudes, Accumulation Mechanisms, and Disparities",2021
COFJAA,Nathan Cofnas,Judaism as a Group Evolutionary Strategy,2018
MADTIO-17,Alex Madva,The Inevitability of Aiming for Virtue,2019
MANAAC-2,Eric Mandelbaum,Assimilation and Control: Belief at the Lowest Levels,2020
BERGBT,Jo Bervoets and Kristien Hens,Going Beyond the Catch-22 of Autism Diagnosis and Research. The Moral Implications of (Not) Asking ?What is Autism??,2020
SHIHSE,Dor Shilton and Mati Breski and Daniel Dor and Eva Jablonka,Human Social Evolution: Self-Domestication or Self-Control?,2020
AXTTTA-2,Guy Axtell,Thinking Twice About Virtue and Vice: Philosophical Situationism and the Vicious Minds Hypothesis,2017
MCCTAS-8,Emma McClure,"Theorizing a Spectrum of Aggression: Microaggressions, Creepiness, and Sexual Assault",2019
MARQFE,Francesco Margoni and Luca Surian,Question Framing Effects and the Processing of the Moral?Conventional Distinction,2021
WUTTE,Jianfei Wu and Weinan Zhang and Chuanhu Peng and Juan Li and Saiyu Zhang and Wenjing Cai and Dan Chen,The Trickle-Down Effect of Leaders? Vwgb on Employees? Pro-Environmental Behaviors: A Moderated Mediation Model,2021
WESMAC-2,Mason Westfall,Mindshaping and Constructing Kinds,forthcoming
PIEEET-2,Elizabeth Pienkos and Borut \v{S}kodlar and Louis Sass,Expressing Experience: The Promise and Perils of the Phenomenological Interview,2021
DUBSEA,Veljko Dubljevi\'c and Sam Cacace and Sarah L. Desmarais,Surveying Ethics: A Measurement Model of Preference for Precepts Implied in Moral Theories (Ppimt),2022
WUTMC,Sarah A. Wu and Rose E. Wang and James A. Evans and Joshua B. Tenenbaum and David C. Parkes and Max Kleiman{-}Weiner,Too Many Cooks: Bayesian Inference for Coordinating Multi-Agent Collaboration,2021
JOSHTP,Vukov Joseph and Charles Lassiter,How to Power Encultured Minds,2020
MANTSO-25,Eric Mandelbaum and Nicolas Porot,The Science of Belief: A Progress Report (Expanded Reprint),forthcoming
BAIPBA,April Bailey and Robin Dembroff and Daniel Wodak and Elif Ikizer and Andrei Cimpian,People?s Beliefs About Pronouns Reflect Both the Language They Speak and Their Ideologies,forthcoming
REDJII-2,V. Reddy,Joining Intentions in Infancy,2015
JACWDF,Pierre Jacob,What Do False-Belief Tests Show?,2020
HANMGM,Hyemin Han and Youn{-}Jeng Choi and Kelsie J. Dawson and Changwoo Jeong,Moral Growth Mindset is Associated with Change in Voluntary Service Engagement,2018
JAQBMD,Fran\c{c}ois Jaquet and Florian Cova,Retracted: Beyond Moral Dilemmas: The Role of Reasoning in Five Categories of Utilitarian Judgment,2021
PROEMP,E. Pronin and Daniel M. Wegner and K. McCarthy and S. Rodriguez,Everyday Magical Powers: The Role of Apparent Mental Causation in the Overestimation of Personal Influence,2006
JENSI,Richard Jenkins,Social Identity,2014
PETOTA-4,Uwe Peters,On the Automaticity and Ethics of Belief,2017
PUDSTM,Katherine Puddifoot,Stereotyping: The Multifactorial View,2017
BOYMTM,Alexandria Boyle,Mapping the Minds of Others,2019
HARPBA,Rom Harre?,Physical Being: A Theory for a Corporeal Psychology,1991
NIETEI,Laura Niemi and Natalia Washington and Clifford Workman and de Brigard Felipe and Migdalia Arcila{-}Valenzuela,The Emotional Impact of Baseless Discrediting of Knowledge: An Empirical Investigation of Epistemic Injustice,2024
SMOSGA,Joulia Smortchkova,Seeing Goal-Directedness: A Case for Social Perception,2020
HAQRTT,Hina Haq and Saad Shaheed and Achim Stephan,Radicalization Through the Lens of Situated Affectivity,2020
DONTAC-5,Silvia Donato and Miriam Parise and Ariela Francesca Pagani and Margherita Lanz and Camillo Regalia and Rosa Rosnati and Raffaella Iafrate,Together Against Covid-19 Concerns: The Role of the Dyadic Coping Process for Partners? Psychological Well-Being During the Pandemic,2021
