ID,Author,Title,Year
BRIWP,Liam Kofi Bright,White Psychodrama,2023
BENTEO-46,Matthew A. Benton,The Epistemology of Interpersonal Relations,2024
PETSCA-5,Uwe Peters,Science Communication and the Problematic Impact of Descriptive Norms,2023
MILRTF-6,Per{-}Erik Milam,Reasons to Forgive,2019
ZHASFA-3,Michael Zhao,"Solidarity, Fate-Sharing, and Community",2019
Cantero2018-LOPTBC,Pilar Lopez{-}Cantero,The Break-Up Check: Exploring Romantic Love Through Relationship Terminations,2018
VANSSN-2,Han van Wietmarschen,Stratified Social Norms,2024
UMTAAK,Sungwoo Um,Trustfulness as a Risky Virtue (1st edition),forthcoming
WENIDO-2,Fabian Wendt,In Defense of Unfair Compromises,2019
INGRDA-2,Sean Ingham,Representative Democracy and Social Equality,2021
MILHIS-10,Per{-}Erik Milam,How is Self-Forgiveness Possible?,2017
DISSAT-3,Samuel Dishaw,Solidarity and the Work of Moral Understanding,2024
KNODMA-3,Charlotte Knowles,Das Man and Everydayness: A New Interpretation,2017
BARRIA-11,Steven James Bartlett,Rage in America: Why is This Happening?,2023
KLITPO-14,Jennifer Kling and Megan Mitchell,The Philosophy of Protest: Fighting for Justice Without Going to War,2021
NGUTAH-2,C. Thi Nguyen,The Aesthetic Homogenization of Cities,2022
Rangel2023-PEAEIA-3,David Pe\~{n}a{-}Rangel,Economic Inequality and the Permissibility of Leveling Down,2023
THRMSP-2,Dan Threet,Mill?s Social Pressure Puzzle,2018
NICDNI,Sfetcu Nicolae,Desocializarea \^{I}n ?i Dup\ua Pandemie,manuscript
METTAA-2,Thaddeus Metz,Harmony,2021
LEEEUV,Jon Leefmann,Empfehlen Und Vertrauen,forthcoming
FISSAS-4,Jeremy Fischer,Self-Assessment and Social Practices,2017
MARBAA-17,Luke Maring,Beyond Agent-Regret: Another Attitude for Non-Culpable Failure,2021
AVEIVD,G. Avellino,Il Valore Dell'educazione e Del Lavoro Nella Societ\`a Dell'immagine,unknown
FERLFA-6,Floriana Ferro,La Filosofia a Scuola e le Relazioni Con Gli Altri,2023
ARICAA-3,Emanuele Arielli,"Coolness, Aesthetic Agency and Self-Construction",2020
BYLVPT,Daria Bylieva and Nadezhda Almazova and Victoria Lobatyuk and Anna Rubtsova,Virtual Pet: Trends of Development,2020
JAGSCW,Jaros\l{}aw Jagie\l\l{}o and Karolina Tytko,Solidarno\'{s}'c: Cz\l{}owiek W Sieci Zale\.{z}no\'{s}ci Spo\l{}ecznych,2021
