ID,Author,Title,Year
PERUFT-3,Ingmar Persson and Julian Savulescu,Unfit for the Future: The Need for Moral Enhancement,2012
NOREE-2,Nora Berenstain,Epistemic Exploitation,2016
JUSMG,Justin Tosi and Brandon Warmke,Moral Grandstanding,2016
BAUTIS,Zygmunt Bauman,The Individualized Society,2013
HANRHO-2,Michael Hannon and Jeroen de Ridder,The Routledge Handbook of Political Epistemology,2021
GUESCS,Lisa Guenther,Solitary Confinement: Social Death and its Afterlives,2013
VUOQAA,Quan{-}Hoang Vuong and Manh{-}Tung Ho and Viet{-}Phuong La and Dam Van Nhue and Bui Quang Khiem and Nghiem Phu Kien Cuong and Thu{-}Trang Vuong and Manh{-}Toan Ho and Hong Kong T. Nguyen and Viet{-}Ha T. Nguyen and Hiep{-}Hung Pham and Nancy K. Napier,"""Cultural Additivity"" and How the Values and Norms of Confucianism, Buddhism, and Taoism Co-Exist, Interact, and Influence Vietnamese Society: A Bayesian Analysis of Long-Standing Folktales, Using R and Stan",manuscript
JOHWAE-2,Kyle Johannsen,Wild Animal Ethics: The Moral and Political Problem of Wild Animal Suffering,2020
TOSGTU,Justin Tosi and Brandon Warmke,Grandstanding: The Use and Abuse of Moral Talk,2020
ARCHAA,Alfred Archer and Benjamin Matheson,Honouring and Admiring the Immoral: An Ethical Guide,2021
GIBBIP,Adam F. Gibbons,Bullshit in Politics Pays,forthcoming
JOHCCA-14,Stephen David John and Emma J. Curran,"Costa, Cancer and Coronavirus: Contractualism as a Guide to the Ethics of Lockdown",2022
RAERUA,Paul Raekstad,"Realism, Utopianism, and Radical Values",2018
ANGCCP-3,Stephen C. Angle,Contemporary Confucian Political Philosophy: Toward Progressive Confucianism,2012
SCHPS-17,Sally J. Scholz,Political Solidarity,2008
PEPWNA,Jessica Pepp and Eliot Michaelson and Rachel Sterken,What?s New About Fake News?,2019
TREFAF-2,Shelley Tremain,\emph{Foucault and Feminist Philosophy of Disability} (Winner of the Tobin Siebers Prize for Disability Studies in the Humanities for 2016),2017
NEUSIP-2,Blain Neufeld,"Shared Intentions, Public Reason, and Political Autonomy",2019
FREHOS-2,Fabian Freyenhagen,Honneth on Social Pathologies: A Critique,2015
SCHITA-19,Anne Schwenkenbecher,Is There an Obligation to Reduce One?s Individual Carbon Footprint?,2014
KOLAMT-2,Avery Kolers,A Moral Theory of Solidarity,2016
BOTWIT-2,Tina F. Botts and Liam K. Bright and Guntur Mallarangeng and Quayshawn Spencer and Myisha Cherry,What is the State of Blacks in Philosophy?,2014
PIGCTA,Charles Pigden,Conspiracy Theories and the Conventional Wisdom,2007
HAYTMP,Madeleine Hayenhjelm and Jonathan Wolff,The Moral Problem of Risk Impositions: A Survey of the Literature,2012
MCKIMY,Maeve McKeown,Iris Marion Young?s ?Social Connection Model? of Responsibility: Clarifying the Meaning of Connection,2018
STOSAP-4,Katie Stockdale,Social and Political Dimensions of Hope,2019
GARTPF-3,Arran Gare,The Philosophical Foundations of Ecological Civilization: A Manifesto for the Future,2016
BLOIHA-3,N. J. Block and Gerald Dworkin,"Iq, Heritability and Inequality, Part 1",1974
BRYTDE-2,Alexander Bryan,The Dominating Effects of Economic Crises,2021
CHARAT-7,Simone Chambers,Rhetoric and the Public Sphere,2009
GILFAS,Pablo Gilabert,Feasibility and Socialism,2010
ROSCRH-4,Enzo Rossi,Critical Responsiveness: How Epistemic Ideology Critique Can Make Normative Legitimacy Empirical Again,forthcoming
QUOPR,Jonathan Quong,Public Reason,2013
JEFLEA-3,Anne Jeffrey,Limited Epistocracy and Political Inclusion,2017
BESOJI,Thomas M. Besch,"On Justification, Idealization, and Discursive Purchase",2019
ROBAAA-18,Robin Zheng,"Attributability, Accountability, and Implicit Bias",2016
TREFGA,Shelley Tremain,"Foucault, Governmentality, and Critical Disability Theory: An Introduction",2005
DEAWSU,Shannon Dea,When Should Universities Take a Stand?,manuscript
BARFLP,"Adrien Barton and Till Gr\""{u}ne{-}Yanoff",From Libertarian Paternalism to Nudging--and Beyond,2015
SCHFWT-15,Michael Schmitz,From We-Mode to Role-Mode,2023
VARAAA-3,Somogy Varga,Authenticity as an Ethical Ideal,2011
SIMUTB,Robert Mark Simpson,Un-Ringing the Bell: Mcgowan on Oppressive Speech and the Asymmetric Pliability of Conversations,2013
AUDRIT-2,Robert Audi and Nicholas Wolterstorff,Religion in the Public Square: The Place of Religious Convictions in Political Debate,1996
DOAFEA,Michael D. Doan,Feminist Epistemology and Social Epistemology: Another Uneasy Alliance (1st edition),2024
COFMWS,Alan M. S. J. Coffee,"Mary Wollstonecraft, Freedom and the Enduring Power of Social Domination",2013
CEVIJA,Emanuela Ceva,Interactive Justice: A Proceduralist Approach to Value Conflict in Politics,2016
BALCPG,Vaughn Bryan Baltzly,"Concerning Publicized Goods (or, the Promiscuity of the Public Goods Argument)",2021
ARAPTA,Andrew Arato,Political Theology and Populism,2013
FERPLR-3,Luara Ferracioli,"Procreative-Parenting, Love's Reasons and the Demands of Morality",2018
COLFCD,Stephanie Collins,Filling Collective Duty Gaps,2017
SIMOTT,A. John Simmons,On the Territorial Rights of States,2001
BAREC-3,Christian Barry and Laura Valentini,Egalitarian Challenges to Global Egalitarianism: A Critique,2009
ADALBT,N. P. Adams and Antoinette Scherz and Cord Schmelzle,Legitimacy Beyond the State: Institutional Purposes and Contextual Constraints,2020
WIEAIG-2,David Wiens,"Against Ideal Guidance, Again: A Reply to Erman and M\""{o}ller",2023
COLCAI-6,Stephanie Collins and Holly Lawford{-}Smith,Collectives? and Individuals? Obligations: A Parity Argument,2016
HIMEOT,Johannes Himmelreich,Ethics of Technology Needs More Political Philosophy,2020
ARACSP,Andrew Arato and Jean L. Cohen,"Civil Society, Populism and Religion",2017
CHRPAS-2,Matthew Chrisman and Graham Hubbs,Protest and Speech Act Theory,2021
BUTTPO-14,Judith Butler and Jurgen Habermas and Charles Taylor and Cornel West and Craig Calhoun,The Power of Religion in the Public Sphere,2011
BESODR,Thomas M. Besch,On Discursive Respect,2014
ROETVO,Beate Roessler,The Value of Privacy,2005
GIBOEE,Adam F. Gibbons,On Epistocracy's Epistemic Problem: Reply to M\'{e}ndez,2022
THRHAV,John Thrasher and Toby Handfield,Honor and Violence,2018
BECFIS-2,Ulrich Beck,"From Industrial Society to the Risk Society: Questions of Survival, Social Structure and Ecological Enlightenment",1992
TESSNA,Italo Testa,Second Nature and Recognition: Hegel and the Social Space,2009
MOEHDY,Lars J. K. Moen,"How Do You Like Your Justice, Bent or Unbent?",2023
KREHIL,Adrian Kreutz and Enzo Rossi,How I Learned to Stop Worrying and Love Political Normativity,forthcoming
CEVPC,Emanuela Ceva and Maria Paola Ferretti,Political Corruption,2017
UMBETY-2,Lachlan Montgomery Umbers,Enfranchising the Youth,2018
BENTFO-24,Jane Bennett,The Force of Things,2004
WRIMIT-2,Bill Wringe,May I Treat a Collective as a Mere Means,2014
DESVCR,C. Tyler DesRoches,"Value Commitment, Resolute Choice, and the Normative Foundations of Behavioural Welfare Economics",2020
BRATPO-97,Laura Brace and Moya Lloyd and Andrew Reid and Kelly Staples and V\'{e}ronique Pin{-}Fat and Anne Phillips,The Politics of the Human,2015
HUEITA,Michael Huemer,Is There a Right to Own a Gun?,2003
FESD,Steven Fesmire,Dewey,2015
DAVTMO-24,Paul Davies,The Mind of God,1994
GIBCEA-4,Adam F. Gibbons,Conceptual Engineering and the Dynamics of Linguistic Intervention,forthcoming
BARUKU,William Warren Bartley,"Unfathomed Knowledge, Unmeasured Wealth: On Universities and the Wealth of Nations",1990
WENCPA-2,Fabian Wendt,"Compromise, Peace and Public Justification: Political Morality Beyond Justice",2016
BUTTIB,Judith Butler,The Inorganic Body in the Early Marx: A Limit-Concept of Anthropocentrism,2019
TORTEO-2,Lawrence Torcello,"The Ethics of Inquiry, Scientific Belief, and Public Discourse",2011
