ID,Author,Title,Year
NOWSVS-2,Ethan Nowak,"Sociolinguistic Variation, Slurs, and Speech Acts",forthcoming
MCKNOA,Rachel McKinnon,"Norms of Assertion: Truth, Lies, and Warrant",2015
MARSIS-7,Neri Marsili and Alex Wiegmann,Should I Say That? An Experimental Investigation of the Norm of Assertion,2021
CROSSA-5,Adam M. Croom,Spanish Slurs and Stereotypes for Mexican-Americans in the Usa: A Context-Sensitive Account of Derogation and Appropriation,2014
CROHTD,Adam M. Croom,How to Do Things with Slurs: Studies in the Way of Derogatory Words,2013
Legaspe2020-DIAWIA,Justina Diaz{-}Legaspe,What is a Slur?,2020
MACADI,Chris Reed and Douglas Walton and Fabrizio Macagno,"Argument Diagramming in Logic, Artificial Intelligence, and Law",2007
FUSCLF-2,Riccardo Fusaroli and Kristian Tyl\'{e}n,Carving Language for Social Coordination: A Dynamical Approach,2012
PETTPD-7,Uwe Peters,The Philosophical Debate on Linguistic Bias: A Critical Perspective,2024
PERBEO-3,Alex Pereira De Ara\'{u}jo,Bncc e o Ensino de Portugu\^{e}s: Uma Normativa Curricular Para a L\'{i}ngua [Em Face Do Pretugu\^{e}s] Ou a Linguagem [Dos Falantes] Sob For\c{c}a de Lei?,2024
MATLCE-8,Takaaki Matsui,Local Conceptual Engineering in a Linguistic Subgroup and the Implementation Problem,manuscript
AMBTLO,Mengistu Amberber,The Language of Memory in a Crosslinguistic Perspective,2007
PinedoForthcoming-CARSIX,V\'{i}ctor Carranza{-}Pinedo,Slurring Individuals,forthcoming
Pinedo2023-CARSVE,V\'{i}ctor Carranza{-}Pinedo,"Slurs' Variability, Emotional Dimensions, and Game-Theoretic Pragmatics",2023
Boada2014-BASTAC-4,Albert Bastardas{-}Boada,Towards a Complex-Figurational Socio-Linguistics,2014
MALTCA-10,Fintan Mallory,The Case Against Linguistic Palaeontology,2020
ARAMHO,Andrew Arana and Heather Burnett,Mathematical Hygiene,2023
BURGPS,Sylvia Burrow,"Gendered Politeness, Self-Respect, and Autonomy",2008
Coote2024-HABTTA,Joshua Habgood{-}Coote,Thinking Together: Advising as Collaborative Deliberation,2024
EARTEO-3,Brian D. Earp,The Extinction of Masculine Generics,2012
BONLPA-5,Matteo Bonotti and Louisa Willoughby,Linguistic Prejudice and Electoral Discrimination: What Can Political Theory Learn From Sociolinguistics?,2023
FERAOV,Christine N. Ferrer and Melanie Q. Brangan,Assessment of Vitality of Pangasinan Language in Municipality of San Carlos City: Basis for Recovery Plan in Language Endangerment,2023
SHYPOO,Vitalii Shymko,Psycholinguistics of Organizational Phenomena: A Case of the Managerial Culture Study,2022
GROTIO-16,Arnold Groh,The Impact of Mobile Phones on Indigenous Social Structures: A Cross-Cultural Comparative Study,2016
SHYDOL,Vitalii Shymko,Discourseology of Linguistic Consciousness: Neural Network Modeling of Some Structural and Semantic Relationships,2021
FAKTSO,Christina Fakalou,The Sociolinguistics of Asylum Decision-Writing in the Context of the Greek Appeals Authority,2024
SHYSOT,Vitalii Shymko and Anzhela Babadzhanova,Study of the Covid-19 Related Quarantine Concept as an Emerging Category of a Linguistic Consciousness,2020
PERADD-11,Alex Pereira De Ara\'{u}jo,A Desconstru\c{c}~{a}o da Ordem Do Discurso e a Viol\^{e}ncia Simb\'{o}lica Nas Orienta\c{c}~{o}es Curriculares Nacionais: Em Quest\~{a}o a Identidade Do Sujeito-Professor,2013
CALDLD-3,H. G. Callaway,Does Language Determine Our Scientific Ideas?,1992
CULMLW,Carolyn Culbertson,My Language Which is Not My Own,2016
MACIAH-3,Fabrizio Macagno,Implicatures and Hierarchies of Presumptions,2011
BOUSAS-3,Jeremie Bouchard,Sociolinguistics as Scientific Project: Insight From Critical Realism,2022
NIEBGM,Martin Walter Niederl and Marlene Valek,"\""{U}bersehene Generische Maskulina ? Einheitlichkeit von Gendering in der Deutschen Zeitschrift F\""{u}r Philosophie (2020)",2021
ASOLSA,Alf Sommerfelt and Victor A. Velen,Linguistic Structures and the Structures of Social Groups,1965
KRKLAC,Jarom\'{i}r Kr\v{s}ko,Linguistic and Cultural Dimensions of Slovak Onomastics in Slavistics Research,2013
PATFNT,Trevor Pateman,From Nativism to Sociolinguistics: Integrating a Theory of Language Growth with a Theory of Speech Practices,1985
BARFIL,Michael P. Barnes,Faroe Islands: Language Situation,2005
HASSVM,Ruqaiya Hasan,Semantic Variation: Meaning in Society and in Sociolinguistics,2009
JANLMA,Karol Janicki,Language Misconceived: Arguing for Applied Cognitive Sociolinguistics,2006
Rowe2023-TREBTO,John Tredinnick{-}Rowe,Bourdieu's Theory of Economic Practice and Organisational Modelling,2023
BEVBOS,Madeleine E. L. Beveridge and Thomas H. Bak,"Beyond One-Way Streets: The Interaction of Phonology, Morphology, and Culture with Orthography",2012
CHCQWD,?????? ?????,????? ??????? ???? ????????. ???? ??????? ????????? ?????? (1st edition),2016
HALCSI-3,Kira Hall and Chad Nilep,"Code Switching, Identity, and Globalization",2015
NVYXVK,?????? ??????? ??????? and Seddik Sadiki Amari,?????? ??????? ?????? ???????: ????? ?????? (1st edition),2013
ALEEQE,Luis Felipe Bartolo Alegre,El Quechua En El Bicentenario: ?Una Lengua En Proceso de Exintici\'{o}n?,2021
YASGFT,Emin Yas,Gender From the Linguistic and Sociolinguistic Perspective,2022
YASTCO-2,Emin Yas,The Change of Some Grammatical Cagetories in Turkish:Words with Adverbial Functions,2021
MEILI,Ningombam Bupenda Meitei,"Language , Identity and Meiteilon",manuscript
RUD-10,Olena Ruda,\CYRM\cyro\cyrv\cyrn\cyra \CYRS\cyri\cyrt\cyru\cyra\cyrc\cyrii\cyrya \CYRV \CYRU\cyrk\cyrr\cyra\cyryi\cyrn\cyrs\cyrsftsn\cyrk\cyri\cyrh \CYRZ\cyra\cyrs\cyro\cyrb\cyra\cyrh \CYRM\cyra\cyrs\cyro\cyrv\cyro\cyryi \CYRK\cyro\cyrm\cyru\cyrn\cyrii\cyrk\cyra\cyrc\cyrii\cyryi \CYRV \CYRO\cyrc\cyrii\cyrn\cyrk\cyra\cyrh \CYRG\cyrr\cyro\cyrm\cyra\cyrd\cyrya\cyrn (\CYRZ\cyra \CYRR\cyre\cyrz\cyru\cyrl\cyrsftsn\cyrt\cyra\cyrt\cyra\cyrm\cyri \CYRM\cyra\cyrs\cyro\cyrv\cyro\cyrg\cyro \CYRO\cyrp\cyri\cyrt\cyru\cyrv\cyra\cyrn\cyrn\cyrya),2017
