ID,Author,Title,Year
HATTNA,Gary Hatfield,The Natural and the Normative: Theories of Spatial Perception From Kant to Helmholtz,1990
CHATPA-19,David Chalmers,Three Puzzles About Spatial Experience,2018
AYDITE-2,Murat Aydede,Is the Experience of Pain Transparent? Introspecting Phenomenal Qualities,2019
HEESAT,Patrick A. Heelan,Space-Perception and the Philosophy of Science,1983
GRESPT,E. J. Green and Susanna Schellenberg,Spatial Perception: The Perspectival Aspect of Perception,2018
FELFFS,Jerome A. Feldman,Four Frames Suffice: A Provisional Model of Vision and Space,1985
HAFCIV,Alon Hafri and E. J. Green and Chaz Firestone,Compositionality in Visual Perception,2023
SCHAAS,Susanna Schellenberg,Action and Self-Location in Perception,2007
BRIMIA,Robert Eamon Briscoe,Mental Imagery and the Varieties of Amodal Perception,2011
LANTPC-4,Kevin J. Lande,The Perspectival Character of Perception,2018
GREAPP-3,E. J. Green,A Pluralist Perspective on Shape Constancy,forthcoming
BRIVRI,Robert Briscoe,"Depiction, Pictorial Experience, and Vision Science",2016
HUSTAS-2,Edmund Husserl and Richard Rojcewicz,Thing and Space: Lectures of 1907,1997
MARSAT,Michael Martin,Sight and Touch,1992
GRETPO-78,E. J. Green,The Puzzle of Cross-Modal Shape Experience,2022
BRIESR,Robert Briscoe,Egocentric Spatial Representation in Action and Perception,2009
GREALV,E. J. Green,A Layered View of Shape Perception,2017
NANBAP,Bence Nanay,Blur and Perceptual Content,2018
SKRSPA-2,B\l{}a\.{z}ej Skrzypulec,Silence Perception and Spatial Content,2022
BRIVAA-3,Robert Eamon Briscoe,"Vision, Action, and Make-Perceive",2008
HATTSC,Gary Hatfield and William Epstein,The Sensory Core and the Medieval Foundations of Early Modern Perceptual Theory,1979
BRIBAA-3,Robert Eamon Briscoe,Bodily Awareness and Novel Multisensory Features,2021
BITATO-2,Thomas Bittner and Barry Smith,A Theory of Granular Partitions,2003
SCHVSA-3,John Schwenkler,"Vision, Self-Location, and the Phenomenology of the 'Point of View'",2012
BRIGAT-2,Robert Eamon Briscoe,Gombrich and the Duck-Rabbit,2015
SKRITA,B\l{}a\.{z}ej Skrzypulec,Is There a Tactile Field?,2022
THOTSC-2,Brad Thompson,The Spatial Content of Experience,2010
PEASCA,Christopher Peacocke,"Scenarios, Concepts, and Perception",1992
BRIMPA-2,Robert Eamon Briscoe,Multisensory Processing and Perceptual Consciousness: Part I,2016
