ID,Author,Title,Year
DEAWSU,Shannon Dea,When Should Universities Take a Stand?,manuscript
OSHWIE,Tom O?Shea,What is Economic Liberty?,2020
MIKISA,Mari Mikkola,"Illocution, Silencing and the Act of Refusal",2011
NAVVMV,Mark C. Navin and Katie Attwell,"Vaccine Mandates, Value Pluralism, and Policy Diversity",2019
OSHMMC,Tom O?Shea,Modern Moral Conscience,2018
BRIFTR-2,Matthias Brinkmann,Freedom to Roam,2022
WHIFDA,Matt S. Whitt,Felon Disenfranchisement and Democratic Legitimacy,2017
HUEAUD,Michael Huemer,America's Unjust Drug War,2004
MACIIA-6,Douglas Mackay,Incentive Inequalities and Freedom of Occupational Choice,2016
LAYTFV,Daniel M. Layman,The Fair Value of Economic Liberty,2015
PIECOP,Marek Piechowiak,Co Osobie Po Prywatno\'{s}ci? [What's the Use of Privacy?{]},2009
BAGSAT,Julian Baggini and Alex Voorhoeve and Catherine Audard and Saladin Meckled{-}Garcia and Tony McWalter,Security and the 'War on Terror': A Roundtable,2007
KRALRT,Matthew H. Kramer,Legal Responses to Consensual Sexuality Among Adults: Through and Beyond the Harm Principle,2014
BAGSAT-4,Julian Baggini and Alex Voorhoeve and Catherine Audard and Saladin Meckled{-}Garcia and Tony McWalter,Security and the 'War on Terror': A Roundtable,2007
LEVDLV,Annabelle Lever,De la Vie Priv\'{e}e,2023
BRISAF-3,Percy Bridgman,Science and Freedom Reflections of a Physicist,1947
LANTMR,Bruce Langtry,The Maximin Rule Argument for Rawls's Principles of Justice,1985
BROTSO-55,Timothy L. Brownlee,The Sociality of Conscience and Rawls's Liberalism,2017
RISFOI-2,David T. Risser,Freedom of Information,2001
MASTNP,Bill Masters,The New Prohibition: Voices of Dissent Challenge the Drug War,2004
